[139111] ['(3-3i)', '5', '(8-4i)', '(9+9i)'] -> ((-9i * (8+8i)) / (2i + (3-5i)))
[139117] ['(3-3i)', '5', '(8-3i)', '(8+6i)'] -> (((3-3i) + 5) + ((8-3i) + (8+6i)))
[139120] ['(3-3i)', '5', '(8-3i)', '(9-7i)'] -> ((3-3i) * ((5 + (8-3i)) - (9-7i)))
[139130] ['(3-3i)', '5', '(8-2i)', '(8+5i)'] -> (((3-3i) + 5) + ((8-2i) + (8+5i)))
[139131] ['(3-3i)', '5', '(8-2i)', '(9-6i)'] -> ((3-3i) * ((5 + (8-2i)) - (9-6i)))
[139138] ['(3-3i)', '5', '(8-i)', '(8+4i)'] -> (((3-3i) + 5) + ((8-i) + (8+4i)))
[139141] ['(3-3i)', '5', '(8-i)', '(9-5i)'] -> ((3-3i) * ((5 + (8-i)) - (9-5i)))
[139145] ['(3-3i)', '5', '8', '(8+3i)'] -> (((3-3i) + 5) + (8 + (8+3i)))
[139149] ['(3-3i)', '5', '8', '(9-4i)'] -> ((3-3i) * ((5 + 8) - (9-4i)))
[139151] ['(3-3i)', '5', '8', '(9-i)'] -> (((9-i) * (8 - 5)) - (3-3i))
[139157] ['(3-3i)', '5', '(8+i)', '(8+2i)'] -> (((3-3i) + 5) + ((8+i) + (8+2i)))
[139165] ['(3-3i)', '5', '(8+i)', '(9-3i)'] -> ((3-3i) * ((5 + (8+i)) - (9-3i)))
[139176] ['(3-3i)', '5', '(8+2i)', '(9-2i)'] -> ((3-3i) * ((5 + (8+2i)) - (9-2i)))
[139183] ['(3-3i)', '5', '(8+3i)', '(9-i)'] -> ((2-4i) + ((7-i) * (-4i + (3+5i))))
[139193] ['(3-3i)', '5', '(8+4i)', '(9-3i)'] -> ((3+5i) * ((2-4i) - (-4i / (8+2i))))
[139196] ['(3-3i)', '5', '(8+4i)', '9'] -> ((3-3i) * ((5 + (8+4i)) - 9))
[139203] ['(3-3i)', '5', '(8+5i)', '(9+i)'] -> ((3-3i) * ((5 + (8+5i)) - (9+i)))
[139209] ['(3-3i)', '5', '(8+6i)', '(9+2i)'] -> ((3-3i) * ((5 + (8+6i)) - (9+2i)))
[139218] ['(3-3i)', '5', '(8+7i)', '(9+3i)'] -> ((-4i - (6-4i)) + ((2-4i) * (3+6i)))
[139224] ['(3-3i)', '5', '(8+8i)', '(9+4i)'] -> ((3-3i) * ((5 + (8+8i)) - (9+4i)))
[139229] ['(3-3i)', '5', '(8+9i)', '(9+5i)'] -> ((3-3i) * ((5 + (8+9i)) - (9+5i)))
[139235] ['(3-3i)', '5', '(9-9i)', '9'] -> (((2-4i) - (2-4i)) + ((2+2i) * (6-6i)))
[139272] ['(3-3i)', '5', '(9-3i)', '(9+7i)'] -> (((3-3i) + (9+7i)) / (5 / (9-3i)))
[139278] ['(3-3i)', '5', '(9-i)', '(9+3i)'] -> (((3-3i) + (9-i)) / (5 / (9+3i)))
[139298] ['(3-3i)', '5', '(9+7i)', '(9+9i)'] -> (((3-3i) * ((9+7i) - 5)) - (9+9i))
[139301] ['(3-3i)', '(5+i)', '(5+i)', '(5+4i)'] -> (8 * ((7-2i) - ((1-7i) + (3+5i))))
