[386099] ['-6i', '(1+7i)', '(3-5i)', '(9-7i)'] -> ((-6i + (1+7i)) * ((3-5i) + (9-7i)))
[386110] ['-6i', '(1+7i)', '(3-4i)', '(4-i)'] -> (-6i * (((1+7i) + (3-4i)) - (4-i)))
[386112] ['-6i', '(1+7i)', '(3-4i)', '(4+7i)'] -> (-6i * ((4+7i) - ((1+7i) + (3-4i))))
[386120] ['-6i', '(1+7i)', '(3-4i)', '(9-8i)'] -> ((-6i + (1+7i)) * ((3-4i) + (9-8i)))
[386121] ['-6i', '(1+7i)', '(3-3i)', '3'] -> ((-6i * 3) + ((1+7i) * (3-3i)))
[386123] ['-6i', '(1+7i)', '(3-3i)', '(4-4i)'] -> (((3-3i) * ((1+7i) + (4-4i))) - -6i)
[386124] ['-6i', '(1+7i)', '(3-3i)', '(4+2i)'] -> ((-6i * (1+7i)) - ((3-3i) * (4+2i)))
[386125] ['-6i', '(1+7i)', '(3-3i)', '(4+3i)'] -> ((4+3i) * ((3-3i) - (-6i / (1+7i))))
[386127] ['-6i', '(1+7i)', '(3-3i)', '(4+8i)'] -> (((3+3i) * ((7-7i) - -3i)) - (9+9i))
[386130] ['-6i', '(1+7i)', '(3-3i)', '(5+5i)'] -> ((3-3i) * ((5+5i) - (-6i + (1+7i))))
[386135] ['-6i', '(1+7i)', '(3-3i)', '(9-9i)'] -> ((-6i + (1+7i)) * ((3-3i) + (9-9i)))
[386137] ['-6i', '(1+7i)', '(3-2i)', '(4+i)'] -> (-6i * (((1+7i) + (3-2i)) - (4+i)))
[386138] ['-6i', '(1+7i)', '(3-2i)', '(4+9i)'] -> (-6i * ((4+9i) - ((1+7i) + (3-2i))))
[386142] ['-6i', '(1+7i)', '(3-2i)', '(7+5i)'] -> ((-6i / (3-2i)) * ((1+7i) + (7+5i)))
[386147] ['-6i', '(1+7i)', '(3-2i)', '(9+7i)'] -> (-6i * ((1+7i) - ((9+7i) / (3-2i))))
[386148] ['-6i', '(1+7i)', '(3-i)', '(3+5i)'] -> ((-6i / (3-i)) * ((1+7i) + (3+5i)))
