[228110] ['-i', '(3+7i)', '4', '(9+8i)'] -> (4 * ((9+8i) + (-i - (3+7i))))
[228118] ['-i', '(3+7i)', '(4+i)', '(7-5i)'] -> (((3+i) * (5-4i)) - ((1-6i) * (1-i)))
[228138] ['-i', '(3+7i)', '(4+i)', '(9+7i)'] -> ((-i + (4+i)) * ((9+7i) - (3+7i)))
[228199] ['-i', '(3+7i)', '(4+4i)', '(6+3i)'] -> ((4+4i) * ((6+3i) - (-i + (3+7i))))
[228200] ['-i', '(3+7i)', '(4+4i)', '(6+5i)'] -> ((4+4i) * ((6+5i) + (-i - (3+7i))))
[228225] ['-i', '(3+7i)', '(4+5i)', '(6+4i)'] -> ((-i + (4+5i)) * ((6+4i) - (3+7i)))
[228438] ['-i', '(3+7i)', '(5-5i)', '(6-6i)'] -> ((6-6i) * ((-i * (3+7i)) - (5-5i)))
[228444] ['-i', '(3+7i)', '(5-5i)', '(6+6i)'] -> ((6+6i) * (((5-5i) / -i) - (3+7i)))
[228552] ['-i', '(3+7i)', '(5-i)', '(6+6i)'] -> ((6+6i) * ((-i * (3+7i)) - (5-i)))
[228668] ['-i', '(3+7i)', '(5+4i)', '(6+6i)'] -> ((6+6i) * ((5+4i) - (-i + (3+7i))))
[228697] ['-i', '(3+7i)', '(5+5i)', '(6+7i)'] -> ((-i + (6+7i)) * ((5+5i) - (3+7i)))
[228723] ['-i', '(3+7i)', '(5+6i)', '(6+6i)'] -> ((6+6i) * ((5+6i) + (-i - (3+7i))))
[228756] ['-i', '(3+7i)', '(5+8i)', '(6-6i)'] -> (((5-4i) * (9+3i)) - ((2-9i) * (3+3i)))
[228783] ['-i', '(3+7i)', '(5+9i)', '(6-5i)'] -> (((5-8i) + (5+3i)) + ((6+3i) + (8+2i)))
[228880] ['-i', '(3+7i)', '(6-6i)', '(9-5i)'] -> ((6-6i) * (((9-5i) / -i) - (3+7i)))
[228970] ['-i', '(3+7i)', '6', '(7-7i)'] -> (6 * (((7-7i) / -i) - (3+7i)))
[228975] ['-i', '(3+7i)', '6', '(7+6i)'] -> (6 * ((7+6i) - (-i + (3+7i))))
[228976] ['-i', '(3+7i)', '6', '(7+8i)'] -> (6 * ((7+8i) + (-i - (3+7i))))
[228993] ['-i', '(3+7i)', '(6+i)', '(7+7i)'] -> ((-i + (6+i)) * ((7+7i) - (3+7i)))
[229083] ['-i', '(3+7i)', '(6+6i)', '8'] -> (8 * ((6+6i) - (-i + (3+7i))))
[229096] ['-i', '(3+7i)', '(6+7i)', '(8+i)'] -> (((1-3i) - (1+i)) * ((3+5i) - (3-i)))
[229111] ['-i', '(3+7i)', '(6+8i)', '8'] -> (8 * ((6+8i) + (-i - (3+7i))))
[229183] ['-i', '(3+7i)', '(7-6i)', '8'] -> (8 * (((7-6i) / -i) - (3+7i)))
[229399] ['-i', '(3+7i)', '8', '(9-3i)'] -> (((2-4i) - (8-4i)) * ((5-3i) - (9-3i)))
[229448] ['-i', '(3+7i)', '(8+8i)', '(8+9i)'] -> ((8+8i) * (-i + ((8+9i) / (3+7i))))
[229733] ['-i', '(3+8i)', '(4-4i)', '(5-6i)'] -> ((4-4i) * ((-i * (3+8i)) - (5-6i)))
[229760] ['-i', '(3+8i)', '(4-3i)', '6'] -> (((2-5i) * (4+5i)) - ((2-7i) + (7-3i)))
[229820] ['-i', '(3+8i)', '4', '(8-9i)'] -> (4 * (((8-9i) / -i) - (3+8i)))
[229830] ['-i', '(3+8i)', '4', '(9+7i)'] -> (4 * ((9+7i) - (-i + (3+8i))))
[229831] ['-i', '(3+8i)', '4', '(9+9i)'] -> (4 * ((9+9i) + (-i - (3+8i))))
[229853] ['-i', '(3+8i)', '(4+i)', '(9+8i)'] -> ((-i + (4+i)) * ((9+8i) - (3+8i)))
[229866] ['-i', '(3+8i)', '(4+2i)', '(8-8i)'] -> ((-7i + (2+9i)) * ((3-7i) + (3+i)))
[229879] ['-i', '(3+8i)', '(4+3i)', '(6-8i)'] -> ((6-8i) * (((3+8i) / (4+3i)) - -i))
[229899] ['-i', '(3+8i)', '(4+4i)', '(5-6i)'] -> ((4+4i) * (((5-6i) / -i) - (3+8i)))
[229902] ['-i', '(3+8i)', '(4+4i)', '5'] -> ((4+4i) * ((-i * (3+8i)) - 5))
[229910] ['-i', '(3+8i)', '(4+4i)', '(6+4i)'] -> ((4+4i) * ((6+4i) - (-i + (3+8i))))
[229912] ['-i', '(3+8i)', '(4+4i)', '(6+6i)'] -> (((1-9i) - (4-6i)) * ((5-i) - (9-5i)))
[229938] ['-i', '(3+8i)', '(4+5i)', '(6+5i)'] -> (((7+i) * (-4i + (4+4i))) - (4+4i))
[230221] ['-i', '(3+8i)', '(5-3i)', '8'] -> (8 * ((-i * (3+8i)) - (5-3i)))
[230397] ['-i', '(3+8i)', '(5+5i)', '(6+6i)'] -> ((6+6i) * ((5+5i) - (-i + (3+8i))))
[230416] ['-i', '(3+8i)', '(5+6i)', '(6+7i)'] -> ((-i + (6+7i)) * ((5+6i) - (3+8i)))
[230440] ['-i', '(3+8i)', '(5+7i)', '(6+6i)'] -> (((3-2i) * (9+6i)) - ((7-5i) + (8+5i)))
[230481] ['-i', '(3+8i)', '(5+9i)', '(6-6i)'] -> ((6-6i) * ((5+9i) - (-i + (3+8i))))
[230561] ['-i', '(3+8i)', '(6-6i)', '(6-5i)'] -> ((6-6i) * ((-i * (3+8i)) - (6-5i)))
[230582] ['-i', '(3+8i)', '(6-5i)', '(6+6i)'] -> ((6+6i) * (((6-5i) / -i) - (3+8i)))
[230649] ['-i', '(3+8i)', '(6-i)', '(6+6i)'] -> ((6+6i) * ((-i * (3+8i)) - (6-i)))
[230669] ['-i', '(3+8i)', '6', '(7+7i)'] -> ((-4i * ((6-2i) - (7-9i))) - (4+4i))
[230670] ['-i', '(3+8i)', '6', '(7+9i)'] -> (6 * ((7+9i) + (-i - (3+8i))))
[230673] ['-i', '(3+8i)', '6', '(8-7i)'] -> (6 * (((8-7i) / -i) - (3+8i)))
[230687] ['-i', '(3+8i)', '(6+i)', '(7+8i)'] -> ((-i + (6+i)) * ((7+8i) - (3+8i)))
[230781] ['-i', '(3+8i)', '(6+7i)', '8'] -> (8 * ((6+7i) - (-i + (3+8i))))
[230799] ['-i', '(3+8i)', '(6+8i)', '(8+i)'] -> ((4+4i) * ((9-2i) - (-4i + (6+5i))))
[230818] ['-i', '(3+8i)', '(6+9i)', '8'] -> (8 * ((6+9i) + (-i - (3+8i))))
[231024] ['-i', '(3+8i)', '(8-6i)', '8'] -> (((2-7i) - (2-4i)) * ((2+5i) - (2-3i)))
[231072] ['-i', '(3+8i)', '8', '9'] -> (9 / (-i + ((3+8i) / 8)))
[231250] ['-i', '(3+9i)', '(4-7i)', '5'] -> ((3+9i) * (-i + ((4-7i) / 5)))
[231354] ['-i', '(3+9i)', '(4-4i)', '(6-6i)'] -> ((4-4i) * ((-i * (3+9i)) - (6-6i)))
[231357] ['-i', '(3+9i)', '(4-4i)', '(6+5i)'] -> ((3+9i) / (-i + ((6+5i) / (4-4i))))
[231360] ['-i', '(3+9i)', '(4-4i)', '(7-4i)'] -> ((4-4i) / (-i - ((7-4i) / (3+9i))))
[231454] ['-i', '(3+9i)', '4', '(9-9i)'] -> (4 * (((9-9i) / -i) - (3+9i)))
[231455] ['-i', '(3+9i)', '4', '(9+8i)'] -> (4 * ((9+8i) - (-i + (3+9i))))
[231469] ['-i', '(3+9i)', '(4+i)', '(8-8i)'] -> (((3+9i) * (8-8i)) / ((4+i) - -i))
[231477] ['-i', '(3+9i)', '(4+i)', '(9+9i)'] -> ((4+4i) * ((5-3i) + (-9i - (2-9i))))
[231486] ['-i', '(3+9i)', '(4+2i)', '(6-4i)'] -> ((3+9i) * (-i + ((6-4i) / (4+2i))))
[231494] ['-i', '(3+9i)', '(4+2i)', '(8-9i)'] -> (((3+9i) / (4+2i)) * ((8-9i) - -i))
[231495] ['-i', '(3+9i)', '(4+2i)', '(8-7i)'] -> ((-i + (8-7i)) * ((3+9i) / (4+2i)))
[231497] ['-i', '(3+9i)', '(4+2i)', '(8+8i)'] -> ((-i * (3+9i)) / ((4+2i) / (8+8i)))
[231518] ['-i', '(3+9i)', '(4+3i)', '(8-8i)'] -> (((3+9i) * (8-8i)) / (-i + (4+3i)))
[231524] ['-i', '(3+9i)', '(4+4i)', '(5-6i)'] -> ((3+9i) / (-i - ((5-6i) / (4+4i))))
[231527] ['-i', '(3+9i)', '(4+4i)', '(6-6i)'] -> ((4+4i) * (((6-6i) / -i) - (3+9i)))
[231529] ['-i', '(3+9i)', '(4+4i)', '6'] -> ((4+4i) * ((-i * (3+9i)) - 6))
[231530] ['-i', '(3+9i)', '(4+4i)', '(6+5i)'] -> ((4+4i) * ((6+5i) - (-i + (3+9i))))
[231531] ['-i', '(3+9i)', '(4+4i)', '(6+7i)'] -> ((4+4i) * ((6+7i) + (-i - (3+9i))))
[231538] ['-i', '(3+9i)', '(4+4i)', '(8-i)'] -> ((4+4i) / (((8-i) / (3+9i)) - -i))
[231550] ['-i', '(3+9i)', '(4+5i)', '(6+6i)'] -> ((-i + (4+5i)) * ((6+6i) - (3+9i)))
[231746] ['-i', '(3+9i)', '(5-5i)', '(8-8i)'] -> ((8-8i) / (-i - ((5-5i) / (3+9i))))
[231780] ['-i', '(3+9i)', '(5-3i)', '6'] -> (6 * ((-i * (3+9i)) - (5-3i)))
[231918] ['-i', '(3+9i)', '(5+6i)', '(6+6i)'] -> (((5-8i) + (5+7i)) + ((7-i) + (7+2i)))
[231933] ['-i', '(3+9i)', '(5+7i)', '(6+7i)'] -> ((-i + (6+7i)) * ((5+7i) - (3+9i)))
[231945] ['-i', '(3+9i)', '(5+8i)', '(6+6i)'] -> ((6+6i) * ((5+8i) + (-i - (3+9i))))
[232024] ['-i', '(3+9i)', '(6-6i)', '(7-5i)'] -> ((6-6i) * ((-i * (3+9i)) - (7-5i)))
[232068] ['-i', '(3+9i)', '(6-4i)', '(8+8i)'] -> ((3+9i) / (((6-4i) / (8+8i)) - -i))
[232083] ['-i', '(3+9i)', '(6-3i)', '8'] -> (8 * ((-i * (3+9i)) - (6-3i)))
[232131] ['-i', '(3+9i)', '6', '(7+8i)'] -> (6 * ((7+8i) - (-i + (3+9i))))
[232139] ['-i', '(3+9i)', '6', '(9-7i)'] -> (6 * (((9-7i) / -i) - (3+9i)))
[232149] ['-i', '(3+9i)', '(6+i)', '(7+9i)'] -> ((6-6i) * ((4+6i) + ((2-2i) - (4+2i))))
[232173] ['-i', '(3+9i)', '(6+3i)', '(9-6i)'] -> ((3+9i) * (-i + ((9-6i) / (6+3i))))
[232200] ['-i', '(3+9i)', '(6+6i)', '(7-5i)'] -> ((6+6i) * (((7-5i) / -i) - (3+9i)))
[232202] ['-i', '(3+9i)', '(6+6i)', '(7-i)'] -> ((6+6i) * ((-i * (3+9i)) - (7-i)))
[232226] ['-i', '(3+9i)', '(6+8i)', '8'] -> (8 * ((6+8i) - (-i + (3+9i))))
[232238] ['-i', '(3+9i)', '(6+9i)', '(8+i)'] -> ((-i + (8+i)) * ((6+9i) - (3+9i)))
[232247] ['-i', '(3+9i)', '(7-9i)', '(7+i)'] -> ((3+9i) * (-i + ((7-9i) / (7+i))))
[232359] ['-i', '(3+9i)', '(7+i)', '(8+8i)'] -> ((8+8i) / (((7+i) / (3+9i)) - -i))
[232461] ['-i', '(3+9i)', '(8-6i)', '8'] -> (8 / (-i - ((8-6i) / (3+9i))))
[232495] ['-i', '(3+9i)', '8', '(9-6i)'] -> (8 * (((9-6i) / -i) - (3+9i)))
[232496] ['-i', '(3+9i)', '8', '(9+3i)'] -> ((9+3i) / (-i + ((3+9i) / 8)))
[232665] ['-i', '(4-9i)', '(4-4i)', '(6+i)'] -> ((4-4i) * (((4-9i) / -i) - (6+i)))
[232666] ['-i', '(4-9i)', '(4-4i)', '(6+7i)'] -> ((4-4i) * ((-i * (6+7i)) - (4-9i)))
[232667] ['-i', '(4-9i)', '(4-4i)', '(7-7i)'] -> ((4-4i) * ((7-7i) - (-i + (4-9i))))
[232669] ['-i', '(4-9i)', '(4-4i)', '(7-5i)'] -> ((4-4i) * ((7-5i) + (-i - (4-9i))))
[232683] ['-i', '(4-9i)', '(4-3i)', '(7-6i)'] -> ((-i + (4-3i)) * ((7-6i) - (4-9i)))
[232734] ['-i', '(4-9i)', '4', '(5+2i)'] -> (6 * ((2-i) - (-9i - (2-8i))))
[232744] ['-i', '(4-9i)', '4', '(7-2i)'] -> ((-i - (4-9i)) + (4 * (7-2i)))
[232764] ['-i', '(4-9i)', '(4+i)', '(6-4i)'] -> (((4+i) * (6-4i)) - (-i + (4-9i)))
[232782] ['-i', '(4-9i)', '(4+2i)', '5'] -> ((-i + (4-9i)) + ((4+2i) * 5))
[232839] ['-i', '(4-9i)', '(4+4i)', '(6+7i)'] -> ((4+4i) * (((4-9i) / -i) - (6+7i)))
[232985] ['-i', '(4-9i)', '(5-3i)', '(5+i)'] -> (((5-3i) * (5+i)) - (-i + (4-9i)))
[233102] ['-i', '(4-9i)', '(5+4i)', '6'] -> (6 * (((4-9i) / -i) - (5+4i)))
[233210] ['-i', '(4-9i)', '(6-8i)', '(6-6i)'] -> ((6-6i) * ((6-8i) - (-i + (4-9i))))
[233224] ['-i', '(4-9i)', '(6-7i)', '(6-5i)'] -> ((-i + (6-5i)) * ((6-7i) - (4-9i)))
[233240] ['-i', '(4-9i)', '(6-6i)', '(6-6i)'] -> ((6-6i) * ((6-6i) + (-i - (4-9i))))
[233248] ['-i', '(4-9i)', '(6-6i)', '(7+2i)'] -> ((6-6i) * (((4-9i) / -i) - (7+2i)))
