[470250] ['-8i', '(3+8i)', '(6-9i)', '(9+2i)'] -> (-8i * ((9+2i) - ((3+8i) + (6-9i))))
[470255] ['-8i', '(3+8i)', '(6-8i)', '(9-3i)'] -> (-8i * (((3+8i) + (6-8i)) - (9-3i)))
[470256] ['-8i', '(3+8i)', '(6-8i)', '(9+3i)'] -> (-8i * ((9+3i) - ((3+8i) + (6-8i))))
[470259] ['-8i', '(3+8i)', '(6-7i)', '(9-2i)'] -> (-8i * (((3+8i) + (6-7i)) - (9-2i)))
[470260] ['-8i', '(3+8i)', '(6-7i)', '(9+4i)'] -> (-8i * ((9+4i) - ((3+8i) + (6-7i))))
[470262] ['-8i', '(3+8i)', '(6-6i)', '(6+2i)'] -> ((6-6i) + ((6+2i) * (-8i + (3+8i))))
[470263] ['-8i', '(3+8i)', '(6-6i)', '(6+6i)'] -> (((6-6i) * (6+6i)) / (-8i + (3+8i)))
[470267] ['-8i', '(3+8i)', '(6-6i)', '(9-i)'] -> (-8i * (((3+8i) + (6-6i)) - (9-i)))
[470269] ['-8i', '(3+8i)', '(6-6i)', '(9+5i)'] -> (-8i * ((9+5i) - ((3+8i) + (6-6i))))
[470273] ['-8i', '(3+8i)', '(6-5i)', '9'] -> (-8i * (((3+8i) + (6-5i)) - 9))
[470274] ['-8i', '(3+8i)', '(6-5i)', '(9+6i)'] -> (-8i * ((9+6i) - ((3+8i) + (6-5i))))
[470277] ['-8i', '(3+8i)', '(6-4i)', '(9+i)'] -> (-8i * (((3+8i) + (6-4i)) - (9+i)))
[470279] ['-8i', '(3+8i)', '(6-4i)', '(9+7i)'] -> (-8i * ((9+7i) - ((3+8i) + (6-4i))))
[470281] ['-8i', '(3+8i)', '(6-3i)', '(6+i)'] -> (-2i * ((7+3i) - ((2-7i) + (5-2i))))
[470283] ['-8i', '(3+8i)', '(6-3i)', '(6+9i)'] -> ((6+9i) + ((6-3i) * (-8i + (3+8i))))
[470287] ['-8i', '(3+8i)', '(6-3i)', '(9+2i)'] -> (-8i * (((3+8i) + (6-3i)) - (9+2i)))
[470288] ['-8i', '(3+8i)', '(6-3i)', '(9+8i)'] -> (-8i * ((9+8i) - ((3+8i) + (6-3i))))
[470289] ['-8i', '(3+8i)', '(6-2i)', '(6+6i)'] -> ((6+6i) + ((6-2i) * (-8i + (3+8i))))
[470291] ['-8i', '(3+8i)', '(6-2i)', '(7+8i)'] -> (((6-2i) * ((7+8i) - (3+8i))) - -8i)
[470293] ['-8i', '(3+8i)', '(6-2i)', '(9+3i)'] -> (-8i * (((3+8i) + (6-2i)) - (9+3i)))
[470294] ['-8i', '(3+8i)', '(6-2i)', '(9+9i)'] -> (-8i * ((9+9i) - ((3+8i) + (6-2i))))
[470295] ['-8i', '(3+8i)', '(6-i)', '(6+3i)'] -> ((6+3i) + ((6-i) * (-8i + (3+8i))))
[470297] ['-8i', '(3+8i)', '(6-i)', '(9+4i)'] -> (-8i * (((3+8i) + (6-i)) - (9+4i)))
[470298] ['-8i', '(3+8i)', '6', '6'] -> (6 + (6 * (-8i + (3+8i))))
[470299] ['-8i', '(3+8i)', '6', '7'] -> (6 * (7 - (-8i + (3+8i))))
[470300] ['-8i', '(3+8i)', '6', '8'] -> (8 * (6 - (-8i + (3+8i))))
[470301] ['-8i', '(3+8i)', '6', '(9+5i)'] -> (-8i * (((3+8i) + 6) - (9+5i)))
[470304] ['-8i', '(3+8i)', '(6+i)', '(9+6i)'] -> (-8i * (((3+8i) + (6+i)) - (9+6i)))
[470306] ['-8i', '(3+8i)', '(6+2i)', '(9+7i)'] -> (-8i * (((3+8i) + (6+2i)) - (9+7i)))
[470310] ['-8i', '(3+8i)', '(6+3i)', '(9+8i)'] -> (-8i * (((3+8i) + (6+3i)) - (9+8i)))
[470317] ['-8i', '(3+8i)', '(6+4i)', '(9+9i)'] -> (-8i * (((3+8i) + (6+4i)) - (9+9i)))
[470321] ['-8i', '(3+8i)', '(6+5i)', '(9+9i)'] -> ((-6i * 8) / ((8+6i) - (8+8i)))
[470323] ['-8i', '(3+8i)', '(6+6i)', '(6+9i)'] -> ((-8i * (6+9i)) / ((6+6i) - (3+8i)))
[470327] ['-8i', '(3+8i)', '(6+7i)', '8'] -> ((8 * ((6+7i) - (3+8i))) - -8i)
[470332] ['-8i', '(3+8i)', '(6+8i)', '(7+8i)'] -> ((-8i + (6+8i)) * ((7+8i) - (3+8i)))
[470334] ['-8i', '(3+8i)', '(6+8i)', '(8+8i)'] -> ((-8i + (8+8i)) * ((6+8i) - (3+8i)))
[470374] ['-8i', '(3+8i)', '(7+4i)', '(8-8i)'] -> (((7+4i) * (8-8i)) - (-8i * (3+8i)))
[470385] ['-8i', '(3+8i)', '8', '8'] -> ((-8i * 8) + ((3+8i) * 8))
[470387] ['-8i', '(3+8i)', '8', '9'] -> ((8 * 9) / (-8i + (3+8i)))
[470406] ['-8i', '(3+9i)', '(3+9i)', '(6-2i)'] -> ((-8i / (6-2i)) * ((3+9i) + (3+9i)))
[470407] ['-8i', '(3+9i)', '(3+9i)', '(6+8i)'] -> ((-8i * (3+9i)) / ((6+8i) - (3+9i)))
[470409] ['-8i', '(3+9i)', '(3+9i)', '9'] -> ((9 * (-8i + (3+9i))) - (3+9i))
[470411] ['-8i', '(3+9i)', '(4-9i)', '(7-3i)'] -> (-8i * (((3+9i) + (4-9i)) - (7-3i)))
[470412] ['-8i', '(3+9i)', '(4-9i)', '(7+3i)'] -> (-8i * ((7+3i) - ((3+9i) + (4-9i))))
[470416] ['-8i', '(3+9i)', '(4-8i)', '(7-9i)'] -> ((-8i * (3+9i)) / ((7-9i) - (4-8i)))
[470419] ['-8i', '(3+9i)', '(4-8i)', '(7-2i)'] -> (-8i * (((3+9i) + (4-8i)) - (7-2i)))
[470420] ['-8i', '(3+9i)', '(4-8i)', '(7+4i)'] -> (-8i * ((7+4i) - ((3+9i) + (4-8i))))
[470421] ['-8i', '(3+9i)', '(4-7i)', '(7-8i)'] -> ((-8i * (3+9i)) / ((7-8i) - (4-7i)))
[470422] ['-8i', '(3+9i)', '(4-7i)', '(7-i)'] -> (-8i * (((3+9i) + (4-7i)) - (7-i)))
[470423] ['-8i', '(3+9i)', '(4-7i)', '(7+5i)'] -> (-8i * ((7+5i) - ((3+9i) + (4-7i))))
[470425] ['-8i', '(3+9i)', '(4-6i)', '(7-7i)'] -> ((-8i * (3+9i)) / ((7-7i) - (4-6i)))
[470427] ['-8i', '(3+9i)', '(4-6i)', '7'] -> (-8i * (((3+9i) + (4-6i)) - 7))
[470428] ['-8i', '(3+9i)', '(4-6i)', '(7+6i)'] -> (-8i * ((7+6i) - ((3+9i) + (4-6i))))
[470429] ['-8i', '(3+9i)', '(4-6i)', '(8-8i)'] -> (((3+9i) * (8-8i)) / ((4-6i) - -8i))
[470432] ['-8i', '(3+9i)', '(4-5i)', '(7-6i)'] -> ((-8i * (3+9i)) / ((7-6i) - (4-5i)))
[470433] ['-8i', '(3+9i)', '(4-5i)', '(7+i)'] -> (-8i * (((3+9i) + (4-5i)) - (7+i)))
[470434] ['-8i', '(3+9i)', '(4-5i)', '(7+7i)'] -> (-8i * ((7+7i) - ((3+9i) + (4-5i))))
[470435] ['-8i', '(3+9i)', '(4-4i)', '5'] -> ((-8i + (4-4i)) * ((3+9i) / 5))
[470437] ['-8i', '(3+9i)', '(4-4i)', '(6+4i)'] -> ((4-4i) * ((6+4i) - (-8i + (3+9i))))
[470438] ['-8i', '(3+9i)', '(4-4i)', '(7-5i)'] -> ((-8i * (3+9i)) / ((7-5i) - (4-4i)))
