[112709] ['-4i', '(1+7i)', '2', '(2+2i)'] -> (4 * ((8+2i) + ((4-3i) - (6-i))))
[112712] ['-4i', '(1+7i)', '2', '(2+8i)'] -> (-4i * (((1+7i) * 2) - (2+8i)))
[112716] ['-4i', '(1+7i)', '2', '(3+i)'] -> (-4i * (((1+7i) + 2) - (3+i)))
[112727] ['-4i', '(1+7i)', '2', '(4-4i)'] -> (((3+3i) * (-7i + (5+4i))) - 6i)
[112732] ['-4i', '(1+7i)', '2', '(4+4i)'] -> ((-4i * ((1+7i) - 2)) - (4+4i))
[112740] ['-4i', '(1+7i)', '2', '(6-4i)'] -> ((-4i * (1+7i)) + (2 - (6-4i)))
[112744] ['-4i', '(1+7i)', '2', '(6+6i)'] -> ((6+6i) / (2 + ((1+7i) / -4i)))
[112755] ['-4i', '(1+7i)', '2', '(8-8i)'] -> ((3 * ((3+i) + (6-3i))) - (3-6i))
[112777] ['-4i', '(1+7i)', '(2+i)', '(3+2i)'] -> (-4i * (((1+7i) + (2+i)) - (3+2i)))
[112779] ['-4i', '(1+7i)', '(2+i)', '(3+5i)'] -> (4 * ((6+2i) - ((6+8i) / (4-3i))))
[112786] ['-4i', '(1+7i)', '(2+i)', '(5-9i)'] -> (-4i * ((5-9i) + ((1+7i) * (2+i))))
[112797] ['-4i', '(1+7i)', '(2+i)', '(6-3i)'] -> ((-4i * (1+7i)) + ((2+i) - (6-3i)))
[112800] ['-4i', '(1+7i)', '(2+i)', '(7-9i)'] -> (((2+i) * (7-9i)) - (-4i - (1+7i)))
[112801] ['-4i', '(1+7i)', '(2+i)', '(7-5i)'] -> (((3-6i) + 3) * ((5+4i) - (3+2i)))
[112820] ['-4i', '(1+7i)', '(2+2i)', '(3+3i)'] -> (-4i * (((1+7i) + (2+2i)) - (3+3i)))
[112828] ['-4i', '(1+7i)', '(2+2i)', '(4+9i)'] -> (((1-i) - (8+7i)) + ((4-3i) * (4+5i)))
[112830] ['-4i', '(1+7i)', '(2+2i)', '(5-9i)'] -> ((3+3i) * ((4+2i) + ((3-6i) - 3)))
[112836] ['-4i', '(1+7i)', '(2+2i)', '(5-i)'] -> ((-4i + (2+2i)) * ((1+7i) + (5-i)))
[112843] ['-4i', '(1+7i)', '(2+2i)', '(6-8i)'] -> ((6-8i) * ((2+2i) + (-4i / (1+7i))))
[112848] ['-4i', '(1+7i)', '(2+2i)', '(6-2i)'] -> (((3+3i) + ((3-6i) * (5+9i))) / 3)
[112850] ['-4i', '(1+7i)', '(2+2i)', '6'] -> (((2+2i) * (6 - (1+7i))) - -4i)
[112855] ['-4i', '(1+7i)', '(2+2i)', '(7-3i)'] -> ((2+2i) * ((7-3i) - (-4i + (1+7i))))
[112857] ['-4i', '(1+7i)', '(2+2i)', '(7+5i)'] -> ((2+2i) * ((7+5i) + (-4i - (1+7i))))
[112880] ['-4i', '(1+7i)', '(2+3i)', '(3+4i)'] -> (-4i * (((1+7i) + (2+3i)) - (3+4i)))
[112893] ['-4i', '(1+7i)', '(2+3i)', '(6-i)'] -> ((-4i * (1+7i)) + ((2+3i) - (6-i)))
[112916] ['-4i', '(1+7i)', '(2+4i)', '(3+i)'] -> (-4i * ((1+7i) - ((2+4i) / (3+i))))
[112917] ['-4i', '(1+7i)', '(2+4i)', '(3+5i)'] -> (-4i * (((1+7i) + (2+4i)) - (3+5i)))
[112934] ['-4i', '(1+7i)', '(2+4i)', '6'] -> (6 - ((1-i) * (-i - (9+8i))))
[112942] ['-4i', '(1+7i)', '(2+4i)', '(7+i)'] -> ((-4i * (2+4i)) + ((1+7i) + (7+i)))
[112956] ['-4i', '(1+7i)', '(2+5i)', '(3-7i)'] -> (-4i * ((1+7i) + ((3-7i) / (2+5i))))
[112958] ['-4i', '(1+7i)', '(2+5i)', '(3+i)'] -> ((-4i * (2+5i)) + ((1+7i) + (3+i)))
[112959] ['-4i', '(1+7i)', '(2+5i)', '(3+6i)'] -> (-4i * (((1+7i) + (2+5i)) - (3+6i)))
[112975] ['-4i', '(1+7i)', '(2+5i)', '(6+i)'] -> ((-4i * (1+7i)) + ((2+5i) - (6+i)))
[112991] ['-4i', '(1+7i)', '(2+6i)', '(3-3i)'] -> ((-4i * (3-3i)) * ((1+7i) - (2+6i)))
[112996] ['-4i', '(1+7i)', '(2+6i)', '(3+7i)'] -> (-4i * (((1+7i) + (2+6i)) - (3+7i)))
[112999] ['-4i', '(1+7i)', '(2+6i)', '(4-8i)'] -> (-4i * ((1+7i) + ((4-8i) / (2+6i))))
[113001] ['-4i', '(1+7i)', '(2+6i)', '(4+2i)'] -> (-4i * ((1+7i) - ((2+6i) / (4+2i))))
[113014] ['-4i', '(1+7i)', '(2+6i)', '(6+2i)'] -> ((-4i * (1+7i)) + ((2+6i) - (6+2i)))
[113015] ['-4i', '(1+7i)', '(2+6i)', '(6+6i)'] -> ((8+7i) + ((6+5i) * (-i + (1-i))))
[113019] ['-4i', '(1+7i)', '(2+6i)', '(7+i)'] -> ((-4i + (2+6i)) * ((7+i) - (1+7i)))
[113037] ['-4i', '(1+7i)', '(2+7i)', '(3+8i)'] -> (((4-3i) + 4) + ((7-2i) + (9+5i)))
[113045] ['-4i', '(1+7i)', '(2+7i)', '(5-9i)'] -> (-4i * ((1+7i) + ((5-9i) / (2+7i))))
[113047] ['-4i', '(1+7i)', '(2+7i)', '(5-i)'] -> ((-4i * (2+7i)) + ((1+7i) - (5-i)))
[113055] ['-4i', '(1+7i)', '(2+7i)', '(6+3i)'] -> ((-4i * (1+7i)) + ((2+7i) - (6+3i)))
[113075] ['-4i', '(1+7i)', '(2+8i)', '(3+3i)'] -> ((-4i * (3+3i)) * ((2+8i) - (1+7i)))
[113077] ['-4i', '(1+7i)', '(2+8i)', '(3+9i)'] -> (-4i * (((1+7i) + (2+8i)) - (3+9i)))
[113086] ['-4i', '(1+7i)', '(2+8i)', '(5-7i)'] -> (((5-7i) * (-4i + (1+7i))) - (2+8i))
[113090] ['-4i', '(1+7i)', '(2+8i)', '(5+3i)'] -> (-4i * ((1+7i) - ((2+8i) / (5+3i))))
[113093] ['-4i', '(1+7i)', '(2+8i)', '(6-6i)'] -> ((-4i * (6-6i)) / ((1+7i) - (2+8i)))
[113097] ['-4i', '(1+7i)', '(2+8i)', '(6+4i)'] -> ((-4i * (1+7i)) + ((2+8i) - (6+4i)))
[113117] ['-4i', '(1+7i)', '(2+8i)', '(9-i)'] -> ((-4i * (2+8i)) + ((1+7i) - (9-i)))
