[487783] ['-2i', '(3-3i)', '(3+9i)', '(8+6i)'] -> (((3-3i) * (8+6i)) - (-2i * (3+9i)))
[487784] ['-2i', '(3-3i)', '(3+9i)', '(9-6i)'] -> ((-2i * (9-6i)) + ((3-3i) * (3+9i)))
[487786] ['-2i', '(3-3i)', '(3+9i)', '(9+3i)'] -> ((-2i * (3+9i)) - ((3-3i) - (9+3i)))
[487788] ['-2i', '(3-3i)', '(4-9i)', '(4+i)'] -> (((4-9i) + (4+i)) / (-2i / (3-3i)))
[487791] ['-2i', '(3-3i)', '(4-9i)', '7'] -> (-2i * (7 - ((3-3i) + (4-9i))))
[487792] ['-2i', '(3-3i)', '(4-9i)', '(8-7i)'] -> ((3-3i) * ((8-7i) - (-2i + (4-9i))))
[487793] ['-2i', '(3-3i)', '(4-9i)', '(8-3i)'] -> ((3-3i) * ((8-3i) + (-2i - (4-9i))))
[487795] ['-2i', '(3-3i)', '(4-8i)', '4'] -> (((4-8i) + 4) / (-2i / (3-3i)))
[487797] ['-2i', '(3-3i)', '(4-8i)', '(5-5i)'] -> (((3-3i) + (5-5i)) - (-2i * (4-8i)))
[487798] ['-2i', '(3-3i)', '(4-8i)', '6'] -> ((3-3i) * ((4-8i) - (-2i * 6)))
[487801] ['-2i', '(3-3i)', '(4-8i)', '(7+i)'] -> (-2i * ((7+i) - ((3-3i) + (4-8i))))
[487803] ['-2i', '(3-3i)', '(4-8i)', '(8-6i)'] -> ((3-3i) * ((8-6i) - (-2i + (4-8i))))
[487804] ['-2i', '(3-3i)', '(4-8i)', '(8-2i)'] -> ((3-3i) * ((8-2i) + (-2i - (4-8i))))
[487805] ['-2i', '(3-3i)', '(4-8i)', '(8+6i)'] -> ((3-3i) * ((8+6i) - ((4-8i) / -2i)))
[487807] ['-2i', '(3-3i)', '(4-7i)', '(4-i)'] -> (((4-7i) + (4-i)) / (-2i / (3-3i)))
[487809] ['-2i', '(3-3i)', '(4-7i)', '(6-9i)'] -> ((-2i * (3-3i)) * ((4-7i) - (6-9i)))
[487810] ['-2i', '(3-3i)', '(4-7i)', '(7-5i)'] -> (((3-3i) + (7-5i)) - (-2i * (4-7i)))
[487811] ['-2i', '(3-3i)', '(4-7i)', '(7+2i)'] -> (-2i * ((7+2i) - ((3-3i) + (4-7i))))
[487812] ['-2i', '(3-3i)', '(4-7i)', '(8-5i)'] -> ((3-3i) * ((8-5i) - (-2i + (4-7i))))
[487813] ['-2i', '(3-3i)', '(4-7i)', '(8-i)'] -> ((3-3i) * ((8-i) + (-2i - (4-7i))))
[487814] ['-2i', '(3-3i)', '(4-6i)', '(4-2i)'] -> (((4-6i) + (4-2i)) / (-2i / (3-3i)))
[487815] ['-2i', '(3-3i)', '(4-6i)', '5'] -> ((-5i + (4+5i)) * ((1-5i) + (5+5i)))
[487818] ['-2i', '(3-3i)', '(4-6i)', '(6-8i)'] -> ((-2i * (3-3i)) * ((4-6i) - (6-8i)))
[487820] ['-2i', '(3-3i)', '(4-6i)', '(7+3i)'] -> (-2i * ((7+3i) - ((3-3i) + (4-6i))))
[487821] ['-2i', '(3-3i)', '(4-6i)', '(7+6i)'] -> ((3-3i) * ((7+6i) - ((4-6i) / -2i)))
[487822] ['-2i', '(3-3i)', '(4-6i)', '(8-4i)'] -> ((3-3i) * ((8-4i) - (-2i + (4-6i))))
