[279239] ['(1-3i)', '(3-5i)', '(4-4i)', '(7+3i)'] -> (((1-3i) * ((7+3i) - (3-5i))) - (4-4i))
[279243] ['(1-3i)', '(3-5i)', '(4-4i)', '(8+6i)'] -> (((3-5i) * ((5+3i) - (2-i))) - (5-3i))
[279245] ['(1-3i)', '(3-5i)', '(4-4i)', '(9-i)'] -> (((3-5i) + (9-i)) / ((1-3i) / (4-4i)))
[279252] ['(1-3i)', '(3-5i)', '(4-3i)', '(5+5i)'] -> (((3-5i) + (5+5i)) * ((4-3i) - (1-3i)))
[279258] ['(1-3i)', '(3-5i)', '(4-2i)', '(4+2i)'] -> (((3-5i) * (4+2i)) - ((1-3i) * (4-2i)))
[279277] ['(1-3i)', '(3-5i)', '(4-2i)', '(9-7i)'] -> ((3i + (2-5i)) * ((6+3i) - -3i))
[279290] ['(1-3i)', '(3-5i)', '4', '(4+2i)'] -> (4 * ((4+2i) - ((1-3i) - (3-5i))))
[279295] ['(1-3i)', '(3-5i)', '4', '(5+2i)'] -> (((1-3i) + (3-5i)) + (4 * (5+2i)))
[279298] ['(1-3i)', '(3-5i)', '4', '(6-6i)'] -> ((6-6i) * (4 + ((1-3i) - (3-5i))))
[279300] ['(1-3i)', '(3-5i)', '4', '(7-2i)'] -> ((4 * (7-2i)) - ((1-3i) + (3-5i)))
[279302] ['(1-3i)', '(3-5i)', '4', '(7+7i)'] -> (((7+7i) * ((3-5i) - (1-3i))) - 4)
[279306] ['(1-3i)', '(3-5i)', '(4+i)', '(5+i)'] -> (((2-3i) * (-3i + (3+9i))) - 3i)
[279310] ['(1-3i)', '(3-5i)', '(4+i)', '(6-2i)'] -> (((1-3i) - (3-5i)) + ((4+i) * (6-2i)))
[279314] ['(1-3i)', '(3-5i)', '(4+2i)', '(4+9i)'] -> (((1-3i) * (4+9i)) - ((3-5i) + (4+2i)))
[279315] ['(1-3i)', '(3-5i)', '(4+2i)', '(5-3i)'] -> (((1-3i) - (3-5i)) + ((4+2i) * (5-3i)))
[279338] ['(1-3i)', '(3-5i)', '(4+4i)', '(4+6i)'] -> (((1-3i) * ((4+4i) - (3-5i))) - (4+6i))
[279339] ['(1-3i)', '(3-5i)', '(4+4i)', '(5-5i)'] -> ((4+4i) * ((5-5i) + ((1-3i) - (3-5i))))
[279341] ['(1-3i)', '(3-5i)', '(4+4i)', '(5-2i)'] -> (((5-2i) * ((1-3i) + (4+4i))) - (3-5i))
[279345] ['(1-3i)', '(3-5i)', '(4+4i)', '(5+6i)'] -> ((3 * ((2-3i) + 8)) - (6-9i))
[279346] ['(1-3i)', '(3-5i)', '(4+4i)', '(6+2i)'] -> ((4+4i) * ((3-5i) + ((6+2i) / (1-3i))))
[279347] ['(1-3i)', '(3-5i)', '(4+4i)', '(6+8i)'] -> (((6+8i) * ((3-5i) - (1-3i))) - (4+4i))
[279349] ['(1-3i)', '(3-5i)', '(4+4i)', '(7-5i)'] -> (((3-5i) * (4+4i)) - ((1-3i) + (7-5i)))
[279360] ['(1-3i)', '(3-5i)', '(4+4i)', '(9+7i)'] -> (((3-5i) - (9+7i)) / ((1-3i) / (4+4i)))
[279371] ['(1-3i)', '(3-5i)', '(4+5i)', '(7+7i)'] -> (((2-9i) + (6+5i)) + ((7-5i) + (9+9i)))
[279376] ['(1-3i)', '(3-5i)', '(4+5i)', '(8+2i)'] -> (((1-3i) * (4+5i)) - ((3-5i) - (8+2i)))
[279387] ['(1-3i)', '(3-5i)', '(4+6i)', '(5+i)'] -> (((1-3i) * (4+6i)) - ((3-5i) - (5+i)))
[279408] ['(1-3i)', '(3-5i)', '(4+8i)', '(5+9i)'] -> (((5+9i) * ((3-5i) - (1-3i))) - (4+8i))
[279412] ['(1-3i)', '(3-5i)', '(4+8i)', '(6+7i)'] -> ((4+8i) * ((1-3i) - ((3-5i) / (6+7i))))
[279413] ['(1-3i)', '(3-5i)', '(4+8i)', '(6+8i)'] -> ((4+8i) * ((3-5i) + ((6+8i) / (1-3i))))
[279414] ['(1-3i)', '(3-5i)', '(4+8i)', '(7-9i)'] -> ((3 * (9-8i)) - ((2-3i) * (6-3i)))
[279418] ['(1-3i)', '(3-5i)', '(4+8i)', '(9+i)'] -> (((3-5i) - (9+i)) / ((1-3i) / (4+8i)))
[279427] ['(1-3i)', '(3-5i)', '(4+9i)', '(8+8i)'] -> (((1-3i) - (4+9i)) / ((3-5i) / (8+8i)))
[279440] ['(1-3i)', '(3-5i)', '(5-9i)', '(7-5i)'] -> (((5-9i) + (7-5i)) - ((1-3i) * (3-5i)))
[279454] ['(1-3i)', '(3-5i)', '(5-8i)', '(7-6i)'] -> (((5-8i) + (7-6i)) - ((1-3i) * (3-5i)))
[279468] ['(1-3i)', '(3-5i)', '(5-7i)', '(5+9i)'] -> (((1-3i) + (5+9i)) * ((5-7i) - (3-5i)))
[279470] ['(1-3i)', '(3-5i)', '(5-7i)', '(7-7i)'] -> (((5-7i) + (7-7i)) - ((1-3i) * (3-5i)))
[279480] ['(1-3i)', '(3-5i)', '(5-7i)', '(8+3i)'] -> (((1-3i) * ((8+3i) - (3-5i))) - (5-7i))
[279486] ['(1-3i)', '(3-5i)', '(5-6i)', '(7-8i)'] -> (((2-9i) + (6+5i)) + ((8-5i) + (8+9i)))
[279494] ['(1-3i)', '(3-5i)', '(5-5i)', '(7-9i)'] -> (((5-5i) + (7-9i)) - ((1-3i) * (3-5i)))
[279511] ['(1-3i)', '(3-5i)', '(5-3i)', '(5-3i)'] -> (((1-3i) + (5-3i)) * ((5-3i) - (3-5i)))
[279515] ['(1-3i)', '(3-5i)', '(5-3i)', '(6-3i)'] -> (((3-5i) + (5-3i)) / ((1-3i) / (6-3i)))
[279522] ['(1-3i)', '(3-5i)', '(5-3i)', '(9-8i)'] -> (((3-5i) + ((5-3i) * (9-8i))) / (1-3i))
[279529] ['(1-3i)', '(3-5i)', '(5-2i)', '(6-2i)'] -> (((5-2i) * ((6-2i) - (1-3i))) - (3-5i))
[279537] ['(1-3i)', '(3-5i)', '(5-2i)', '8'] -> (8 * ((5-2i) + ((1-3i) - (3-5i))))
[279545] ['(1-3i)', '(3-5i)', '(5-i)', '(5+9i)'] -> (((1-3i) * (5+9i)) - ((3-5i) + (5-i)))
[279548] ['(1-3i)', '(3-5i)', '(5-i)', '(7-7i)'] -> (((3-5i) * (5-i)) - ((1-3i) * (7-7i)))
[279561] ['(1-3i)', '(3-5i)', '(5+i)', '(6-6i)'] -> ((9+6i) - (3 * ((2-3i) - (7-5i))))
[279562] ['(1-3i)', '(3-5i)', '(5+i)', '(6-5i)'] -> (((5+i) * ((6-5i) - (1-3i))) - (3-5i))
[279565] ['(1-3i)', '(3-5i)', '(5+i)', '(8-8i)'] -> (((3-5i) * ((5+i) - (1-3i))) - (8-8i))
[279568] ['(1-3i)', '(3-5i)', '(5+2i)', '(5+4i)'] -> ((9+9i) + ((8+2i) * (-9i / (3-3i))))
[279573] ['(1-3i)', '(3-5i)', '(5+2i)', '(6-3i)'] -> ((6-3i) * ((5+2i) - ((3-5i) / (1-3i))))
[279576] ['(1-3i)', '(3-5i)', '(5+3i)', '(5+4i)'] -> (((1-3i) * ((5+4i) - (3-5i))) - (5+3i))
[279581] ['(1-3i)', '(3-5i)', '(5+3i)', '(7-5i)'] -> (((1-3i) + (5+3i)) * ((7-5i) - (3-5i)))
[279605] ['(1-3i)', '(3-5i)', '(5+5i)', '(7+5i)'] -> (((1-3i) * (5+5i)) - ((3-5i) - (7+5i)))
[279608] ['(1-3i)', '(3-5i)', '(5+5i)', '(8+4i)'] -> (((1-3i) * ((5+5i) - (3-5i))) - (8+4i))
[279652] ['(1-3i)', '(3-5i)', '(5+9i)', '(9-7i)'] -> ((5+9i) + ((9-7i) / ((1-3i) / (3-5i))))
[279656] ['(1-3i)', '(3-5i)', '(6-9i)', '(6-5i)'] -> (((6-9i) + (6-5i)) - ((1-3i) * (3-5i)))
[279673] ['(1-3i)', '(3-5i)', '(6-8i)', '(6-6i)'] -> (((6-8i) + (6-6i)) - ((1-3i) * (3-5i)))
[279686] ['(1-3i)', '(3-5i)', '(6-7i)', '(6-7i)'] -> (((6-7i) + (6-7i)) - ((1-3i) * (3-5i)))
[279690] ['(1-3i)', '(3-5i)', '(6-7i)', '(7-3i)'] -> (((3-5i) + ((6-7i) * (7-3i))) / (1-3i))
[279696] ['(1-3i)', '(3-5i)', '(6-6i)', '(6-6i)'] -> ((6-6i) * ((6-6i) - ((1-3i) + (3-5i))))
[279705] ['(1-3i)', '(3-5i)', '(6-6i)', '8'] -> (((6-6i) * 8) / ((3-5i) - (1-3i)))
[279710] ['(1-3i)', '(3-5i)', '(6-6i)', '(9+6i)'] -> (((9+6i) * ((3-5i) - (1-3i))) - (6-6i))
[279715] ['(1-3i)', '(3-5i)', '(6-5i)', '(7+3i)'] -> (((1-3i) + (7+3i)) * ((6-5i) - (3-5i)))
[279723] ['(1-3i)', '(3-5i)', '(6-4i)', '(6+9i)'] -> (((1-3i) * (6+9i)) - ((3-5i) + (6-4i)))
[279726] ['(1-3i)', '(3-5i)', '(6-4i)', '(8-9i)'] -> (((8-9i) / ((1-3i) / (6-4i))) - (3-5i))
[279738] ['(1-3i)', '(3-5i)', '(6-2i)', '6'] -> (6 * ((6-2i) + ((1-3i) - (3-5i))))
[279753] ['(1-3i)', '(3-5i)', '(6-2i)', '(8+7i)'] -> (((8-4i) + (9-5i)) - (-i * (9-7i)))
[279783] ['(1-3i)', '(3-5i)', '(6+i)', '(8-3i)'] -> (((3-5i) * (6+i)) - ((1-3i) * (8-3i)))
[279787] ['(1-3i)', '(3-5i)', '(6+i)', '(8+8i)'] -> (((3-5i) - (6+i)) / ((1-3i) / (8+8i)))
[279797] ['(1-3i)', '(3-5i)', '(6+2i)', '(7+8i)'] -> (3i - (-3i * ((6-7i) - (7+i))))
[279824] ['(1-3i)', '(3-5i)', '(6+4i)', '(9+9i)'] -> (((1-3i) * (6+4i)) - ((3-5i) - (9+9i)))
[279825] ['(1-3i)', '(3-5i)', '(6+5i)', '(6+8i)'] -> ((-7i - (8-7i)) * ((4+8i) - (7+8i)))
[279837] ['(1-3i)', '(3-5i)', '(6+5i)', '(9+i)'] -> (((1-3i) * ((6+5i) - (3-5i))) - (9+i))
[279840] ['(1-3i)', '(3-5i)', '(6+6i)', '(6+6i)'] -> (((3-5i) * (6+6i)) - ((1-3i) * (6+6i)))
[279842] ['(1-3i)', '(3-5i)', '(6+6i)', '(6+9i)'] -> (((6+9i) * ((3-5i) - (1-3i))) - (6+6i))
[279846] ['(1-3i)', '(3-5i)', '(6+6i)', '(7+3i)'] -> (((3-5i) - (7+3i)) / ((1-3i) / (6+6i)))
[279848] ['(1-3i)', '(3-5i)', '(6+6i)', '(8-2i)'] -> ((6+6i) * ((1-3i) + ((8-2i) / (3-5i))))
[279851] ['(1-3i)', '(3-5i)', '(6+6i)', '(8+6i)'] -> ((6+6i) * ((3-5i) + ((8+6i) / (1-3i))))
[279890] ['(1-3i)', '(3-5i)', '(7-8i)', '8'] -> (8 * ((7-8i) - ((1-3i) + (3-5i))))
[279897] ['(1-3i)', '(3-5i)', '(7-7i)', '(7+9i)'] -> (((1-3i) * (7+9i)) - ((3-5i) + (7-7i)))
[279907] ['(1-3i)', '(3-5i)', '(7-6i)', '(9+8i)'] -> ((9+9i) / (((8-2i) / (8+8i)) - -i))
[279924] ['(1-3i)', '(3-5i)', '(7-3i)', '(7+4i)'] -> (((1-3i) * ((7+4i) - (3-5i))) - (7-3i))
[279948] ['(1-3i)', '(3-5i)', '7', '(9-2i)'] -> (7 + ((9-2i) / ((1-3i) / (3-5i))))
[279965] ['(1-3i)', '(3-5i)', '(7+3i)', '(9+i)'] -> (((3-5i) * (7+3i)) - ((1-3i) * (9+i)))
[279995] ['(1-3i)', '(3-5i)', '(7+9i)', '(8+4i)'] -> (((7+9i) * ((3-5i) - (1-3i))) - (8+4i))
[280014] ['(1-3i)', '(3-5i)', '(8-8i)', '(9-8i)'] -> (((9-8i) - (3-5i)) / ((1-3i) / (8-8i)))
[280024] ['(1-3i)', '(3-5i)', '(8-6i)', '(8+4i)'] -> (((1-3i) * ((8+4i) - (3-5i))) - (8-6i))
