[276012] ['-3i', '2i', '(1-6i)', '(6-2i)'] -> ((6-2i) + (2i * (-3i + (1-6i))))
[276013] ['-3i', '2i', '(1-6i)', '(6-i)'] -> ((6-i) - (2i + (-3i * (1-6i))))
[276014] ['-3i', '2i', '(1-6i)', '(6+5i)'] -> (((1-6i) * (2i - -3i)) - (6+5i))
[276024] ['-3i', '2i', '(1-5i)', '(1+i)'] -> (-3i * ((1+i) + (2i - (1-5i))))
[276026] ['-3i', '2i', '(1-5i)', '(1+4i)'] -> (2i * ((-3i + (1-5i)) - (1+4i)))
[276034] ['-3i', '2i', '(1-5i)', '(3+5i)'] -> ((-3i * 2i) * ((1-5i) + (3+5i)))
[276042] ['-3i', '2i', '(1-5i)', '(5-5i)'] -> ((-3i * 2i) * ((5-5i) - (1-5i)))
[276052] ['-3i', '2i', '(1-5i)', '(8-2i)'] -> ((8-2i) + (2i * (-3i + (1-5i))))
[276056] ['-3i', '2i', '(1-5i)', '(9-5i)'] -> ((2i + (9-5i)) - (-3i * (1-5i)))
[276057] ['-3i', '2i', '(1-5i)', '(9-i)'] -> ((9-i) - (2i + (-3i * (1-5i))))
[276060] ['-3i', '2i', '(1-4i)', '(1+2i)'] -> (-3i * ((1+2i) + (2i - (1-4i))))
[276061] ['-3i', '2i', '(1-4i)', '(1+5i)'] -> (2i * ((-3i + (1-4i)) - (1+5i)))
[276063] ['-3i', '2i', '(1-4i)', '(1+6i)'] -> (-3i * ((1+6i) - (2i + (1-4i))))
[276070] ['-3i', '2i', '(1-4i)', '(3+4i)'] -> ((-3i * 2i) * ((1-4i) + (3+4i)))
[276076] ['-3i', '2i', '(1-4i)', '(5-4i)'] -> ((-3i * 2i) * ((5-4i) - (1-4i)))
[276077] ['-3i', '2i', '(1-4i)', '(6-6i)'] -> ((2i * (6-6i)) * ((1-4i) - -3i))
[276078] ['-3i', '2i', '(1-4i)', '(6+9i)'] -> (((6+9i) * (2i + (1-4i))) - -3i)
[276080] ['-3i', '2i', '(1-4i)', '(8-6i)'] -> (-3i * ((2i * (1-4i)) - (8-6i)))
[276082] ['-3i', '2i', '(1-3i)', '(1+3i)'] -> (-3i * ((1+3i) + (2i - (1-3i))))
[276084] ['-3i', '2i', '(1-3i)', '(1+6i)'] -> (2i * ((-3i + (1-3i)) - (1+6i)))
[276085] ['-3i', '2i', '(1-3i)', '(1+7i)'] -> (-3i * ((1+7i) - (2i + (1-3i))))
[276087] ['-3i', '2i', '(1-3i)', '(3+3i)'] -> ((3+3i) * ((7-4i) - ((1-6i) + (2+6i))))
[276090] ['-3i', '2i', '(1-3i)', '(3+9i)'] -> (((1-3i) * (3+9i)) - (-3i * 2i))
[276094] ['-3i', '2i', '(1-3i)', '(5-3i)'] -> ((-3i * 2i) * ((5-3i) - (1-3i)))
[276097] ['-3i', '2i', '(1-3i)', '(6-6i)'] -> (-3i * ((2i * (1-3i)) - (6-6i)))
[276103] ['-3i', '2i', '(1-3i)', '(8+8i)'] -> ((-3i * (8+8i)) / (2i + (1-3i)))
[276104] ['-3i', '2i', '(1-3i)', '(9-9i)'] -> (2i * ((9-9i) + (-3i * (1-3i))))
[276105] ['-3i', '2i', '(1-2i)', '(1+4i)'] -> (-3i * ((1+4i) + (2i - (1-2i))))
[276106] ['-3i', '2i', '(1-2i)', '(1+7i)'] -> (2i * ((-3i + (1-2i)) - (1+7i)))
[276107] ['-3i', '2i', '(1-2i)', '(1+8i)'] -> (-3i * ((1+8i) - (2i + (1-2i))))
[276111] ['-3i', '2i', '(1-2i)', '(3+2i)'] -> ((-3i * 2i) * ((1-2i) + (3+2i)))
[276114] ['-3i', '2i', '(1-2i)', '(4-8i)'] -> ((-3i * 2i) / ((1-2i) / (4-8i)))
[276116] ['-3i', '2i', '(1-2i)', '(4-6i)'] -> (-3i * ((2i * (1-2i)) - (4-6i)))
[276119] ['-3i', '2i', '(1-2i)', '(4+7i)'] -> (((1-3i) - (7-9i)) * ((3-7i) - (5-5i)))
[276120] ['-3i', '2i', '(1-2i)', '(5-2i)'] -> ((-3i * 2i) * ((5-2i) - (1-2i)))
[276121] ['-3i', '2i', '(1-2i)', '(6-9i)'] -> (2i * ((6-9i) + (-3i * (1-2i))))
[276122] ['-3i', '2i', '(1-2i)', '(6-3i)'] -> (2i * (((1-2i) * (6-3i)) - -3i))
[276124] ['-3i', '2i', '(1-2i)', '(6+6i)'] -> ((-3i - (1-2i)) * (2i * (6+6i)))
[276125] ['-3i', '2i', '(1-2i)', '(6+7i)'] -> (((1-2i) * (2i + (6+7i))) - -3i)
[276128] ['-3i', '2i', '(1-i)', '(1+5i)'] -> (-3i * ((1+5i) + (2i - (1-i))))
[276129] ['-3i', '2i', '(1-i)', '(1+7i)'] -> (-3i * ((1+7i) + (2i / (1-i))))
[276130] ['-3i', '2i', '(1-i)', '(1+8i)'] -> (2i * ((-3i + (1-i)) - (1+8i)))
[276131] ['-3i', '2i', '(1-i)', '(1+9i)'] -> (-3i * ((1+9i) - (2i + (1-i))))
[276134] ['-3i', '2i', '(1-i)', '(2-6i)'] -> (-3i * ((2i * (1-i)) - (2-6i)))
[276135] ['-3i', '2i', '(1-i)', '(2+2i)'] -> ((-3i * 2i) * ((1-i) * (2+2i)))
[276138] ['-3i', '2i', '(1-i)', '(3-9i)'] -> (2i * ((3-9i) + (-3i * (1-i))))
[276139] ['-3i', '2i', '(1-i)', '(3-3i)'] -> (((2-i) * (9+3i)) - ((3-7i) - (6-4i)))
[276142] ['-3i', '2i', '(1-i)', '(3+i)'] -> ((-3i * 2i) * ((1-i) + (3+i)))
[276145] ['-3i', '2i', '(1-i)', '(4-4i)'] -> ((-3i * 2i) / ((1-i) / (4-4i)))
[276147] ['-3i', '2i', '(1-i)', '(4-2i)'] -> ((-3i * (1-i)) * (2i - (4-2i)))
[276149] ['-3i', '2i', '(1-i)', '(4+4i)'] -> ((-3i * (4+4i)) * (2i + (1-i)))
[276152] ['-3i', '2i', '(1-i)', '(5-i)'] -> ((-3i * 2i) * ((5-i) - (1-i)))
[276153] ['-3i', '2i', '(1-i)', '(6-9i)'] -> ((2i * (1-i)) * ((6-9i) - -3i))
[276154] ['-3i', '2i', '(1-i)', '(6-3i)'] -> ((-3i + (6-3i)) * (2i * (1-i)))
[276155] ['-3i', '2i', '(1-i)', '(6+6i)'] -> (-3i * (2i + ((6+6i) / (1-i))))
[276160] ['-3i', '2i', '(1-i)', '(8+6i)'] -> ((-3i / (1-i)) * (2i + (8+6i)))
[276163] ['-3i', '2i', '1', '(1+6i)'] -> (-3i * ((1+6i) + (2i - 1)))
[276164] ['-3i', '2i', '1', '(1+9i)'] -> (2i * ((-3i + 1) - (1+9i)))
[276167] ['-3i', '2i', '1', '(3-7i)'] -> (((3-7i) * (1 - -3i)) - 2i)
[276168] ['-3i', '2i', '1', '3'] -> ((-3i * 2i) * (1 + 3))
[276169] ['-3i', '2i', '1', '(3+7i)'] -> (2i + ((3+7i) * (-3i + 1)))
[276172] ['-3i', '2i', '1', '5'] -> (((3-4i) * (3+4i)) - ((1-8i) / (1-8i)))
[276174] ['-3i', '2i', '1', '(6-9i)'] -> (-3i + ((6-9i) * (2i + 1)))
[276175] ['-3i', '2i', '1', '(6+9i)'] -> (((6+9i) * (1 - 2i)) - -3i)
[276179] ['-3i', '2i', '1', '8'] -> (8 / (1 + (2i / -3i)))
[276180] ['-3i', '2i', '(1+i)', '(1+7i)'] -> (-3i * ((1+7i) + (2i - (1+i))))
