[483275] ['-5i', '4i', '(3-4i)', '(8+5i)'] -> ((-5i + (8+5i)) * (4i + (3-4i)))
[483277] ['-5i', '4i', '(3-3i)', '(3-2i)'] -> (4i * ((-5i + (3-3i)) - (3-2i)))
[483278] ['-5i', '4i', '(3-3i)', '(3+8i)'] -> (4i * ((3-3i) - (-5i + (3+8i))))
[483279] ['-5i', '4i', '(3-3i)', '(4-5i)'] -> ((3-3i) * ((4-5i) - (-5i - 4i)))
[483280] ['-5i', '4i', '(3-3i)', '(4-4i)'] -> (((3-3i) * (4-4i)) / (-5i + 4i))
[483281] ['-5i', '4i', '(3-3i)', '(4+3i)'] -> ((3-3i) * ((4+3i) - (-5i + 4i)))
[483282] ['-5i', '4i', '(3-3i)', '(4+5i)'] -> ((3-3i) * ((4+5i) + (-5i + 4i)))
[483285] ['-5i', '4i', '(3-3i)', '(7-3i)'] -> ((-5i * 4i) - ((3-3i) - (7-3i)))
[483287] ['-5i', '4i', '(3-3i)', '(8+8i)'] -> ((-5i - 4i) / ((3-3i) / (8+8i)))
[483289] ['-5i', '4i', '(3-2i)', '(3-i)'] -> (4i * ((-5i + (3-2i)) - (3-i)))
[483290] ['-5i', '4i', '(3-2i)', '(3+9i)'] -> (4i * ((3-2i) - (-5i + (3+9i))))
[483292] ['-5i', '4i', '(3-2i)', '(4-8i)'] -> ((4i + (4-8i)) * ((3-2i) - -5i))
[483293] ['-5i', '4i', '(3-2i)', '(4+4i)'] -> ((4+4i) * ((3-2i) + (-5i + 4i)))
[483297] ['-5i', '4i', '(3-2i)', '(7-2i)'] -> ((-5i * 4i) - ((3-2i) - (7-2i)))
[483299] ['-5i', '4i', '(3-i)', '3'] -> (4i * ((-5i + (3-i)) - 3))
[483302] ['-5i', '4i', '(3-i)', '(4-9i)'] -> ((4i + (3-i)) * ((4-9i) - -5i))
[483303] ['-5i', '4i', '(3-i)', '(4+i)'] -> ((-5i + (4+i)) * (4i + (3-i)))
[483305] ['-5i', '4i', '(3-i)', '(5+9i)'] -> (4i * ((5+9i) + (-5i * (3-i))))
[483306] ['-5i', '4i', '(3-i)', '(7-i)'] -> ((-5i * 4i) - ((3-i) - (7-i)))
[483308] ['-5i', '4i', '(3-i)', '8'] -> (8 * ((3-i) - (-5i + 4i)))
[483310] ['-5i', '4i', '3', '(3+i)'] -> (4i * ((-5i + 3) - (3+i)))
[483313] ['-5i', '4i', '3', '7'] -> ((-5i * 4i) - (3 - 7))
[483315] ['-5i', '4i', '3', '(8-9i)'] -> (3 * ((8-9i) - (-5i - 4i)))
[483316] ['-5i', '4i', '3', '(8-3i)'] -> ((3 * (8-3i)) - (-5i - 4i))
[483317] ['-5i', '4i', '3', '(8-i)'] -> (3 * ((8-i) - (-5i + 4i)))
[483318] ['-5i', '4i', '3', '(8+i)'] -> (3 * ((8+i) + (-5i + 4i)))
[483319] ['-5i', '4i', '3', '(8+3i)'] -> ((-5i - 4i) + (3 * (8+3i)))
[483320] ['-5i', '4i', '3', '(8+9i)'] -> (3 * ((8+9i) + (-5i - 4i)))
[483321] ['-5i', '4i', '(3+i)', '(3+2i)'] -> (4i * ((-5i + (3+i)) - (3+2i)))
[483323] ['-5i', '4i', '(3+i)', '(4+9i)'] -> ((-5i + (4+9i)) * ((3+i) - 4i))
[483324] ['-5i', '4i', '(3+i)', '(5-9i)'] -> (4i * ((-5i * (3+i)) - (5-9i)))
[483325] ['-5i', '4i', '(3+i)', '(7+i)'] -> ((-5i * 4i) - ((3+i) - (7+i)))
[483326] ['-5i', '4i', '(3+i)', '8'] -> (8 * ((3+i) + (-5i + 4i)))
[483327] ['-5i', '4i', '(3+2i)', '(3+3i)'] -> (4i * ((-5i + (3+2i)) - (3+3i)))
[483328] ['-5i', '4i', '(3+2i)', '(4-4i)'] -> ((4-4i) * ((3+2i) - (-5i + 4i)))
[483329] ['-5i', '4i', '(3+2i)', '4'] -> ((-5i + (3+2i)) * (4i + 4))
[483331] ['-5i', '4i', '(3+2i)', '(4+8i)'] -> ((-5i + (3+2i)) * ((4+8i) - 4i))
[483332] ['-5i', '4i', '(3+2i)', '(7+2i)'] -> ((-5i * 4i) - ((3+2i) - (7+2i)))
[483335] ['-5i', '4i', '(3+3i)', '(3+4i)'] -> (4i * ((-5i + (3+3i)) - (3+4i)))
[483336] ['-5i', '4i', '(3+3i)', '(4-5i)'] -> ((3+3i) * ((4-5i) - (-5i + 4i)))
[483337] ['-5i', '4i', '(3+3i)', '(4-3i)'] -> ((3+3i) * ((4-3i) + (-5i + 4i)))
[483338] ['-5i', '4i', '(3+3i)', '(4+4i)'] -> ((-5i + 4i) * ((3+3i) * (4+4i)))
[483339] ['-5i', '4i', '(3+3i)', '(4+5i)'] -> ((3+3i) * ((4+5i) + (-5i - 4i)))
