[429339] ['-8i', '(1+8i)', '(2-2i)', '(7+6i)'] -> ((2-2i) * ((7+6i) - (-8i + (1+8i))))
[429342] ['-8i', '(1+8i)', '(2-2i)', '(9-8i)'] -> ((9-8i) - ((1+8i) + (-8i * (2-2i))))
[429343] ['-8i', '(1+8i)', '(2-i)', '(3+4i)'] -> (-8i * (((1+8i) + (2-i)) - (3+4i)))
[429350] ['-8i', '(1+8i)', '(2-i)', '7'] -> (-8i + ((2-i) * ((1+8i) + 7)))
[429355] ['-8i', '(1+8i)', '(2-i)', '(7+9i)'] -> (-8i * ((1+8i) - ((7+9i) / (2-i))))
[429357] ['-8i', '(1+8i)', '2', '(2+i)'] -> (-8i * (((1+8i) / (2+i)) - 2))
[429359] ['-8i', '(1+8i)', '2', '(3+5i)'] -> (-8i * (((1+8i) + 2) - (3+5i)))
[429366] ['-8i', '(1+8i)', '2', '(8-4i)'] -> (((-8i * (1+8i)) / 2) - (8-4i))
[429367] ['-8i', '(1+8i)', '2', '8'] -> (8 * (2 + (-8i + (1+8i))))
[429371] ['-8i', '(1+8i)', '(2+i)', '(2+6i)'] -> (-8i * ((2+6i) - ((1+8i) / (2+i))))
[429375] ['-8i', '(1+8i)', '(2+i)', '(3-i)'] -> ((-8i / (3-i)) * ((1+8i) + (2+i)))
[429376] ['-8i', '(1+8i)', '(2+i)', '(3+6i)'] -> (((1-5i) + (7+5i)) * (6 - 3))
[429379] ['-8i', '(1+8i)', '(2+i)', '(4+2i)'] -> ((-8i / (2+i)) * ((1+8i) - (4+2i)))
[429387] ['-8i', '(1+8i)', '(2+i)', '9'] -> (((2+i) * (9 - (1+8i))) - -8i)
[429393] ['-8i', '(1+8i)', '(2+2i)', '(3+7i)'] -> (-8i * (((1+8i) + (2+2i)) - (3+7i)))
[429394] ['-8i', '(1+8i)', '(2+2i)', '(5-6i)'] -> ((2+2i) * ((5-6i) + (-8i + (1+8i))))
[429396] ['-8i', '(1+8i)', '(2+2i)', '5'] -> (((2+2i) * (5 - (1+8i))) - -8i)
[429399] ['-8i', '(1+8i)', '(2+2i)', '(7-6i)'] -> ((2+2i) * ((7-6i) - (-8i + (1+8i))))
[429401] ['-8i', '(1+8i)', '(2+2i)', '(7+2i)'] -> ((-8i / (2+2i)) * ((1+8i) - (7+2i)))
[429402] ['-8i', '(1+8i)', '(2+2i)', '(7+8i)'] -> ((-8i * (2+2i)) + ((1+8i) + (7+8i)))
[429407] ['-8i', '(1+8i)', '(2+3i)', '(2+4i)'] -> (-8i * ((2+4i) - ((1+8i) / (2+3i))))
[429409] ['-8i', '(1+8i)', '(2+3i)', '(3+8i)'] -> (-8i * (((1+8i) + (2+3i)) - (3+8i)))
[429410] ['-8i', '(1+8i)', '(2+3i)', '(4-4i)'] -> ((4-4i) * ((2+3i) + (-8i + (1+8i))))
[429417] ['-8i', '(1+8i)', '(2+3i)', '(8-8i)'] -> (((8-8i) * ((1+8i) / (2+3i))) - -8i)
[429427] ['-8i', '(1+8i)', '(2+4i)', '(3+9i)'] -> (-8i * (((1+8i) + (2+4i)) - (3+9i)))
[429431] ['-8i', '(1+8i)', '(2+4i)', '(4-i)'] -> ((-8i / (4-i)) * ((1+8i) + (2+4i)))
[429444] ['-8i', '(1+8i)', '(2+4i)', '(8+8i)'] -> ((-8i * ((1+8i) - (2+4i))) - (8+8i))
[429445] ['-8i', '(1+8i)', '(2+4i)', '(9-8i)'] -> ((-8i * (2+4i)) + ((1+8i) - (9-8i)))
[429447] ['-8i', '(1+8i)', '(2+5i)', '(2+7i)'] -> (((2+7i) * (-8i + (2+5i))) - (1+8i))
[429455] ['-8i', '(1+8i)', '(2+5i)', '(9+3i)'] -> ((-8i * (9+3i)) / ((2+5i) - (1+8i)))
[429458] ['-8i', '(1+8i)', '(2+6i)', '(5-2i)'] -> ((-8i + (2+6i)) * ((1+8i) + (5-2i)))
[429460] ['-8i', '(1+8i)', '(2+6i)', '(6+3i)'] -> ((-8i * (6+3i)) / ((2+6i) - (1+8i)))
[429464] ['-8i', '(1+8i)', '(2+6i)', '(8+8i)'] -> (((8+8i) * ((2+6i) - (1+8i))) - -8i)
[429468] ['-8i', '(1+8i)', '(2+7i)', '(3+3i)'] -> ((-8i * (3+3i)) / ((2+7i) - (1+8i)))
[429470] ['-8i', '(1+8i)', '(2+7i)', '(5-i)'] -> ((-8i / (5-i)) * ((1+8i) + (2+7i)))
[429477] ['-8i', '(1+8i)', '(2+9i)', '(3-3i)'] -> ((-8i * (3-3i)) / ((1+8i) - (2+9i)))
[429487] ['-8i', '(1+8i)', '(3-9i)', '(4-4i)'] -> (-8i * (((1+8i) + (3-9i)) - (4-4i)))
[429488] ['-8i', '(1+8i)', '(3-9i)', '(4+2i)'] -> (-8i * ((4+2i) - ((1+8i) + (3-9i))))
[429490] ['-8i', '(1+8i)', '(3-9i)', '(4+9i)'] -> ((-8i * (3-9i)) / ((1+8i) - (4+9i)))
[429498] ['-8i', '(1+8i)', '(3-8i)', '(4-3i)'] -> (-8i * (((1+8i) + (3-8i)) - (4-3i)))
[429499] ['-8i', '(1+8i)', '(3-8i)', '(4+3i)'] -> (-8i * ((4+3i) - ((1+8i) + (3-8i))))
[429503] ['-8i', '(1+8i)', '(3-8i)', '(6-8i)'] -> (((1+8i) + (3-8i)) * ((6-8i) - -8i))
[429505] ['-8i', '(1+8i)', '(3-8i)', '(6-2i)'] -> (((6-2i) * ((1+8i) + (3-8i))) - -8i)
[429506] ['-8i', '(1+8i)', '(3-8i)', '(6+2i)'] -> (-8i + ((6+2i) * ((1+8i) + (3-8i))))
[429508] ['-8i', '(1+8i)', '(3-8i)', '(6+8i)'] -> ((-8i + (6+8i)) * ((1+8i) + (3-8i)))
[429509] ['-8i', '(1+8i)', '(3-8i)', '(7-8i)'] -> (((1+8i) + (7-8i)) * ((3-8i) - -8i))
[429517] ['-8i', '(1+8i)', '(3-7i)', '(4-2i)'] -> (-8i * (((1+8i) + (3-7i)) - (4-2i)))
[429518] ['-8i', '(1+8i)', '(3-7i)', '(4+4i)'] -> (-8i * ((4+4i) - ((1+8i) + (3-7i))))
[429531] ['-8i', '(1+8i)', '(3-6i)', '(3+9i)'] -> ((-8i * (3-6i)) / ((1+8i) - (3+9i)))
[429532] ['-8i', '(1+8i)', '(3-6i)', '(4-4i)'] -> (((4-4i) * ((1+8i) + (3-6i))) - -8i)
[429533] ['-8i', '(1+8i)', '(3-6i)', '(4-i)'] -> (-8i * (((1+8i) + (3-6i)) - (4-i)))
[429534] ['-8i', '(1+8i)', '(3-6i)', '(4+5i)'] -> (-8i * ((4+5i) - ((1+8i) + (3-6i))))
[429539] ['-8i', '(1+8i)', '(3-6i)', '(7-2i)'] -> (((7-2i) * ((3-6i) - -8i)) - (1+8i))
