[310531] ['(2-i)', '(4+2i)', '(6+6i)', '(8-6i)'] -> (((2-i) * (4+2i)) + ((6+6i) + (8-6i)))
[310532] ['(2-i)', '(4+2i)', '(6+6i)', '(8-i)'] -> ((3i * (-6i + -5i)) - 9)
[310533] ['(2-i)', '(4+2i)', '(6+6i)', '(8+2i)'] -> ((6+6i) * (((2-i) * (4+2i)) - (8+2i)))
[310535] ['(2-i)', '(4+2i)', '(6+6i)', '(8+6i)'] -> ((6+6i) * ((4+2i) - ((8+6i) / (2-i))))
[310536] ['(2-i)', '(4+2i)', '(6+6i)', '(9-9i)'] -> ((((4+2i) * (9-9i)) - (6+6i)) / (2-i))
[310537] ['(2-i)', '(4+2i)', '(6+6i)', '(9-3i)'] -> (-3i * (((1+3i) + (3+6i)) - (4+i)))
[310540] ['(2-i)', '(4+2i)', '(6+7i)', '(7-2i)'] -> (((4+2i) * (7-2i)) - ((2-i) + (6+7i)))
[310544] ['(2-i)', '(4+2i)', '(6+7i)', '(8-7i)'] -> (((2-i) * (4+2i)) + ((6+7i) + (8-7i)))
[310547] ['(2-i)', '(4+2i)', '(6+7i)', '(9-6i)'] -> (((2-i) * (6+7i)) - ((4+2i) - (9-6i)))
[310554] ['(2-i)', '(4+2i)', '(6+8i)', '(8+4i)'] -> ((8+4i) * ((2-i) + ((4+2i) / (6+8i))))
[310556] ['(2-i)', '(4+2i)', '(6+8i)', '(9-4i)'] -> ((2-i) + ((9-4i) / ((4+2i) / (6+8i))))
[310557] ['(2-i)', '(4+2i)', '(6+8i)', '(9+4i)'] -> (((2-i) * (9+4i)) + ((6+8i) / (4+2i)))
[310559] ['(2-i)', '(4+2i)', '(6+9i)', '(8-9i)'] -> (((2-i) * (4+2i)) + ((6+9i) + (8-9i)))
[310560] ['(2-i)', '(4+2i)', '(6+9i)', '8'] -> (((6+9i) * 8) / ((4+2i) - (2-i)))
[310562] ['(2-i)', '(4+2i)', '(6+9i)', '(9-3i)'] -> ((-5i * 5i) - (-6i + (1+6i)))
[310564] ['(2-i)', '(4+2i)', '(6+9i)', '(9+8i)'] -> (((2-i) * (9+8i)) + ((4+2i) - (6+9i)))
[310567] ['(2-i)', '(4+2i)', '(7-9i)', '(7+9i)'] -> (((2-i) * (4+2i)) + ((7-9i) + (7+9i)))
[310568] ['(2-i)', '(4+2i)', '(7-9i)', '(8-8i)'] -> ((8-8i) * ((2-i) - ((7-9i) / (4+2i))))
[310575] ['(2-i)', '(4+2i)', '(7-8i)', '(7+8i)'] -> (((2-i) * (4+2i)) + ((7-8i) + (7+8i)))
[310579] ['(2-i)', '(4+2i)', '(7-7i)', '(7+7i)'] -> (((2-i) * (4+2i)) + ((7-7i) + (7+7i)))
[310584] ['(2-i)', '(4+2i)', '(7-6i)', '(7+6i)'] -> (((2-i) * (4+2i)) + ((7-6i) + (7+6i)))
[310591] ['(2-i)', '(4+2i)', '(7-6i)', '(8+9i)'] -> (((7-6i) * ((4+2i) - (2-i))) - (8+9i))
[310597] ['(2-i)', '(4+2i)', '(7-5i)', '(7+5i)'] -> (((2-i) * (4+2i)) + ((7-5i) + (7+5i)))
[310598] ['(2-i)', '(4+2i)', '(7-5i)', '(7+7i)'] -> (((2-i) * (7+7i)) - ((4+2i) - (7-5i)))
[310603] ['(2-i)', '(4+2i)', '(7-4i)', '(7+4i)'] -> (((2-i) * (4+2i)) + ((7-4i) + (7+4i)))
[310610] ['(2-i)', '(4+2i)', '(7-3i)', '(7+3i)'] -> (((2-i) * (4+2i)) + ((7-3i) + (7+3i)))
[310613] ['(2-i)', '(4+2i)', '(7-3i)', '(8+3i)'] -> (((4+2i) * (7-3i)) - ((2-i) + (8+3i)))
[310615] ['(2-i)', '(4+2i)', '(7-3i)', '(9+3i)'] -> (((2-i) * ((4+2i) + (9+3i))) - (7-3i))
[310620] ['(2-i)', '(4+2i)', '(7-2i)', '(7+2i)'] -> (((2-i) * (4+2i)) + ((7-2i) + (7+2i)))
