[284943] ['(1-6i)', '(3-8i)', '(3+6i)', '(3+8i)'] -> (((1-6i) + (3+6i)) * ((3-8i) + (3+8i)))
[284957] ['(1-6i)', '(3-8i)', '(3+6i)', '(9-8i)'] -> (((1-6i) + (3+6i)) * ((9-8i) - (3-8i)))
[284978] ['(1-6i)', '(3-8i)', '(3+8i)', '(5-6i)'] -> (((3-8i) + (3+8i)) * ((5-6i) - (1-6i)))
[285033] ['(1-6i)', '(3-8i)', '(4-8i)', '(9+5i)'] -> (((9+5i) * ((3-8i) - (1-6i))) - (4-8i))
[285056] ['(1-6i)', '(3-8i)', '(4-6i)', '(5+8i)'] -> (((3-8i) + (5+8i)) * ((4-6i) - (1-6i)))
[285098] ['(1-6i)', '(3-8i)', '(4-4i)', '(5-6i)'] -> (((5-6i) * ((4-4i) - (1-6i))) - (3-8i))
[285099] ['(1-6i)', '(3-8i)', '(4-4i)', '(5+i)'] -> ((4-4i) * ((5+i) + ((1-6i) - (3-8i))))
[285106] ['(1-6i)', '(3-8i)', '(4-4i)', '(6+6i)'] -> ((6+6i) * ((4-4i) + ((1-6i) - (3-8i))))
[285114] ['(1-6i)', '(3-8i)', '(4-4i)', '(8+6i)'] -> (((8+6i) * ((3-8i) - (1-6i))) - (4-4i))
[285131] ['(1-6i)', '(3-8i)', '(4-3i)', '(7-i)'] -> (((1-6i) * ((4-3i) - (3-8i))) - (7-i))
[285150] ['(1-6i)', '(3-8i)', '(4-2i)', '7'] -> (((4-2i) * 7) - ((1-6i) + (3-8i)))
[285184] ['(1-6i)', '(3-8i)', '4', '(4+2i)'] -> (4 * ((4+2i) - ((1-6i) - (3-8i))))
[285195] ['(1-6i)', '(3-8i)', '4', '(6-6i)'] -> ((6-6i) * (4 + ((1-6i) - (3-8i))))
[285204] ['(1-6i)', '(3-8i)', '4', '(7+7i)'] -> (((7+7i) * ((3-8i) - (1-6i))) - 4)
[285207] ['(1-6i)', '(3-8i)', '4', '(8-2i)'] -> (4 * ((8-2i) + ((1-6i) - (3-8i))))
[285223] ['(1-6i)', '(3-8i)', '(4+i)', '(6-2i)'] -> (((1-6i) - (3-8i)) + ((4+i) * (6-2i)))
[285232] ['(1-6i)', '(3-8i)', '(4+2i)', '(5-3i)'] -> (((1-6i) - (3-8i)) + ((4+2i) * (5-3i)))
[285274] ['(1-6i)', '(3-8i)', '(4+4i)', '(5-5i)'] -> ((4+4i) * ((5-5i) + ((1-6i) - (3-8i))))
[285281] ['(1-6i)', '(3-8i)', '(4+4i)', '(6+8i)'] -> (((6+8i) * ((3-8i) - (1-6i))) - (4+4i))
[285338] ['(1-6i)', '(3-8i)', '(4+8i)', '(5+9i)'] -> (((5+9i) * ((3-8i) - (1-6i))) - (4+8i))
[285445] ['(1-6i)', '(3-8i)', '(5-6i)', '5'] -> (((1-6i) + 5) * ((5-6i) - (3-8i)))
[285508] ['(1-6i)', '(3-8i)', '(5-3i)', '(8-7i)'] -> (((1-6i) * ((5-3i) - (3-8i))) - (8-7i))
[285527] ['(1-6i)', '(3-8i)', '(5-2i)', '8'] -> (8 * ((5-2i) + ((1-6i) - (3-8i))))
[285606] ['(1-6i)', '(3-8i)', '(5+2i)', '(7+8i)'] -> (((1-6i) * (7+8i)) - ((3-8i) * (5+2i)))
[285680] ['(1-6i)', '(3-8i)', '(5+6i)', '(7-8i)'] -> (((1-6i) + (5+6i)) * ((7-8i) - (3-8i)))
[285762] ['(1-6i)', '(3-8i)', '(6-8i)', '(7+6i)'] -> (((1-6i) + (7+6i)) * ((6-8i) - (3-8i)))
[285807] ['(1-6i)', '(3-8i)', '(6-6i)', '8'] -> (((6-6i) * 8) / ((3-8i) - (1-6i)))
[285811] ['(1-6i)', '(3-8i)', '(6-6i)', '(9+6i)'] -> (((9+6i) * ((3-8i) - (1-6i))) - (6-6i))
[285855] ['(1-6i)', '(3-8i)', '(6-2i)', '6'] -> (6 * ((6-2i) + ((1-6i) - (3-8i))))
[285869] ['(1-6i)', '(3-8i)', '(6-2i)', '(8+7i)'] -> (((8+7i) * ((3-8i) - (1-6i))) - (6-2i))
[285902] ['(1-6i)', '(3-8i)', '6', '(8-8i)'] -> ((6 * (8-8i)) / ((3-8i) - (1-6i)))
[285940] ['(1-6i)', '(3-8i)', '(6+2i)', '(7+8i)'] -> (3 * ((3+2i) + ((8-9i) / (2-i))))
[285984] ['(1-6i)', '(3-8i)', '(6+6i)', '(6+6i)'] -> (((3-8i) * (6+6i)) - ((1-6i) * (6+6i)))
[285985] ['(1-6i)', '(3-8i)', '(6+6i)', '(6+9i)'] -> (((6+9i) * ((3-8i) - (1-6i))) - (6+6i))
[286099] ['(1-6i)', '(3-8i)', '(7-5i)', '(9-4i)'] -> (((3-8i) + (9-4i)) / ((1-6i) / (7-5i)))
[286157] ['(1-6i)', '(3-8i)', '7', '(9-2i)'] -> (((3-8i) * 7) - ((1-6i) * (9-2i)))
[286240] ['(1-6i)', '(3-8i)', '(7+9i)', '(8+4i)'] -> (((7+9i) * ((3-8i) - (1-6i))) - (8+4i))
[286294] ['(1-6i)', '(3-8i)', '(8-4i)', '(9+7i)'] -> (((9+7i) * ((3-8i) - (1-6i))) - (8-4i))
[286338] ['(1-6i)', '(3-8i)', '8', '(8+8i)'] -> ((6+i) - ((2-3i) * ((3+5i) - (6+9i))))
[286483] ['(1-6i)', '(3-7i)', '(3-6i)', '(9+7i)'] -> (((3-7i) + (9+7i)) * ((3-6i) - (1-6i)))
[286484] ['(1-6i)', '(3-7i)', '(3-5i)', '(3-3i)'] -> (((3-7i) * ((3-3i) - (1-6i))) - (3-5i))
[286516] ['(1-6i)', '(3-7i)', '(3-4i)', '(3+i)'] -> (((3-7i) + (3+i)) * ((3-4i) - (1-6i)))
[286536] ['(1-6i)', '(3-7i)', '(3-3i)', '3'] -> (((3-7i) * 3) - ((1-6i) * (3-3i)))
[286548] ['(1-6i)', '(3-7i)', '(3-3i)', '(6+3i)'] -> ((3-3i) * ((6+3i) + ((1-6i) - (3-7i))))
[286560] ['(1-6i)', '(3-7i)', '(3-3i)', '(8-9i)'] -> ((3-3i) * ((8-9i) - ((1-6i) + (3-7i))))
[286581] ['(1-6i)', '(3-7i)', '(3-2i)', '(6+5i)'] -> (((1-6i) * ((3-2i) - (3-7i))) - (6+5i))
[286625] ['(1-6i)', '(3-7i)', '3', '(6+i)'] -> (3 * ((6+i) - ((1-6i) - (3-7i))))
[286642] ['(1-6i)', '(3-7i)', '(3+i)', '(4+6i)'] -> (((1-6i) * (4+6i)) - ((3-7i) * (3+i)))
[286654] ['(1-6i)', '(3-7i)', '(3+i)', '(6+6i)'] -> ((3-7i) + ((3+i) * ((1-6i) + (6+6i))))
[286680] ['(1-6i)', '(3-7i)', '(3+2i)', '(6-4i)'] -> (((2-i) - (5-i)) + (3 * 9))
[286695] ['(1-6i)', '(3-7i)', '(3+3i)', '(5-6i)'] -> (((3-7i) * (3+3i)) - ((1-6i) + (5-6i)))
[286703] ['(1-6i)', '(3-7i)', '(3+3i)', '(6-5i)'] -> (((1-3i) - (4-3i)) + (3 * 9))
[286706] ['(1-6i)', '(3-7i)', '(3+3i)', '(6+8i)'] -> (((6+3i) * ((1-7i) + (2+5i))) - -3i)
[286738] ['(1-6i)', '(3-7i)', '(3+5i)', '(6-6i)'] -> (((1-6i) * (3+5i)) - ((3-7i) + (6-6i)))
[286756] ['(1-6i)', '(3-7i)', '(3+6i)', '(3+7i)'] -> (((1-6i) + (3+6i)) * ((3-7i) + (3+7i)))
[286781] ['(1-6i)', '(3-7i)', '(3+6i)', '(9-7i)'] -> (((1-6i) + (3+6i)) * ((9-7i) - (3-7i)))
[286786] ['(1-6i)', '(3-7i)', '(3+7i)', '(5-6i)'] -> (((3-7i) + (3+7i)) * ((5-6i) - (1-6i)))
[286839] ['(1-6i)', '(3-7i)', '(3+9i)', '(9+9i)'] -> (((9+9i) * ((3-7i) - (1-6i))) - (3+9i))
[286907] ['(1-6i)', '(3-7i)', '(4-6i)', '(5+7i)'] -> (((9-7i) * ((4-5i) - (2-7i))) - (8+4i))
[286933] ['(1-6i)', '(3-7i)', '(4-5i)', '(7-i)'] -> (((1-6i) * (7-i)) - ((3-7i) * (4-5i)))
[286942] ['(1-6i)', '(3-7i)', '(4-4i)', '(5+2i)'] -> ((4-4i) * ((5+2i) + ((1-6i) - (3-7i))))
[286960] ['(1-6i)', '(3-7i)', '(4-4i)', '(9+3i)'] -> (((4-4i) * (9+3i)) / ((3-7i) - (1-6i)))
[286978] ['(1-6i)', '(3-7i)', '(4-3i)', '(6+6i)'] -> ((6+6i) * ((4-3i) + ((1-6i) - (3-7i))))
[287013] ['(1-6i)', '(3-7i)', '(4-2i)', '(7-i)'] -> (-3i * (((5+i) / (3-2i)) - (1-7i)))
[287045] ['(1-6i)', '(3-7i)', '4', '(4+i)'] -> (4 * ((4+i) - ((1-6i) - (3-7i))))
[287058] ['(1-6i)', '(3-7i)', '4', '(8-i)'] -> (4 * ((8-i) + ((1-6i) - (3-7i))))
[287073] ['(1-6i)', '(3-7i)', '(4+i)', '(6-6i)'] -> ((6-6i) * ((4+i) + ((1-6i) - (3-7i))))
[287134] ['(1-6i)', '(3-7i)', '(4+4i)', '(5-4i)'] -> ((4+4i) * ((5-4i) + ((1-6i) - (3-7i))))
[287318] ['(1-6i)', '(3-7i)', '(5-5i)', '5'] -> (((2-3i) * (3+6i)) + ((5-6i) - (5-3i)))
[287385] ['(1-6i)', '(3-7i)', '(5-2i)', '(8-7i)'] -> (((1-6i) * ((5-2i) - (3-7i))) - (8-7i))
[287404] ['(1-6i)', '(3-7i)', '(5-i)', '8'] -> (((3+6i) * (8-8i)) / ((5-2i) - (2-3i)))
[287504] ['(1-6i)', '(3-7i)', '(5+6i)', '(7-7i)'] -> (((1-6i) + (5+6i)) * ((7-7i) - (3-7i)))
[287560] ['(1-6i)', '(3-7i)', '(6-7i)', '(7+6i)'] -> (((1-6i) + (7+6i)) * ((6-7i) - (3-7i)))
[287571] ['(1-6i)', '(3-7i)', '(6-6i)', '(6+2i)'] -> (((6-6i) * (6+2i)) / ((3-7i) - (1-6i)))
[287622] ['(1-6i)', '(3-7i)', '(6-3i)', '8'] -> (((6-3i) * 8) / ((3-7i) - (1-6i)))
[287650] ['(1-6i)', '(3-7i)', '(6-i)', '6'] -> (6 * ((6-i) + ((1-6i) - (3-7i))))
