[17814] ['(1-7i)', '(1-i)', '(1+i)', '(8-9i)'] -> ((1+i) * ((8-9i) + ((1-7i) / (1-i))))
[17815] ['(1-7i)', '(1-i)', '(1+i)', '(8+3i)'] -> ((1+i) * ((1-7i) + ((1-i) * (8+3i))))
[17819] ['(1-7i)', '(1-i)', '(1+i)', '(9-4i)'] -> ((1-i) * (((1+i) * (9-4i)) - (1-7i)))
[17824] ['(1-7i)', '(1-i)', '(1+i)', '(9+8i)'] -> ((1-i) * ((9+8i) - ((1-7i) / (1+i))))
[17830] ['(1-7i)', '(1-i)', '(1+2i)', '(2+7i)'] -> (((4-2i) + (5+7i)) + (6 + (9-5i)))
[17838] ['(1-7i)', '(1-i)', '(1+2i)', '(4-2i)'] -> ((1-i) + ((1+2i) * ((1-7i) + (4-2i))))
[17853] ['(1-7i)', '(1-i)', '(1+2i)', '(6+4i)'] -> ((6+4i) + ((1+2i) * ((1-7i) + (1-i))))
[17859] ['(1-7i)', '(1-i)', '(1+2i)', '(8-4i)'] -> (((1-i) - (1-7i)) / ((1+2i) / (8-4i)))
[17861] ['(1-7i)', '(1-i)', '(1+2i)', '(8+6i)'] -> (((1-7i) * (1+2i)) + ((1-i) + (8+6i)))
[17866] ['(1-7i)', '(1-i)', '(1+3i)', '(1+5i)'] -> (((1-7i) * (1+3i)) + ((1-i) + (1+5i)))
[17868] ['(1-7i)', '(1-i)', '(1+3i)', '(2-2i)'] -> (((1+3i) * ((1-7i) + (1-i))) - (2-2i))
[17875] ['(1-7i)', '(1-i)', '(1+3i)', '(3+3i)'] -> ((-4i * ((4+5i) - (3-i))) - -4i)
[17878] ['(1-7i)', '(1-i)', '(1+3i)', '(4+4i)'] -> (((1-7i) * ((1+3i) - (1-i))) - (4+4i))
[17880] ['(1-7i)', '(1-i)', '(1+3i)', '(5+i)'] -> (8 * (((4-5i) + (5-2i)) - (6-7i)))
[17887] ['(1-7i)', '(1-i)', '(1+3i)', '(6+2i)'] -> (((1-7i) * (1+3i)) + ((6+2i) / (1-i)))
[17895] ['(1-7i)', '(1-i)', '(1+3i)', '8'] -> (((5-4i) + (5+i)) + ((6+i) + (8+2i)))
[17907] ['(1-7i)', '(1-i)', '(1+4i)', '(2-8i)'] -> (((1-7i) * (1+4i)) - ((2-8i) / (1-i)))
[17909] ['(1-7i)', '(1-i)', '(1+4i)', '(2-4i)'] -> ((1-7i) + ((1+4i) * ((1-i) + (2-4i))))
[17913] ['(1-7i)', '(1-i)', '(1+4i)', '(2+8i)'] -> ((3 + 5) - (-4i * -4i))
[17923] ['(1-7i)', '(1-i)', '(1+4i)', '(4-2i)'] -> (((1-7i) * (1+4i)) - ((1-i) + (4-2i)))
[17924] ['(1-7i)', '(1-i)', '(1+4i)', '(4-i)'] -> ((1-7i) + ((4-i) * ((1-i) * (1+4i))))
[17925] ['(1-7i)', '(1-i)', '(1+4i)', '(4+i)'] -> (((1-7i) * (1+4i)) - ((1-i) * (4+i)))
[17934] ['(1-7i)', '(1-i)', '(1+4i)', '(6-4i)'] -> (((1-7i) * (1+4i)) + ((1-i) - (6-4i)))
[17956] ['(1-7i)', '(1-i)', '(1+5i)', '(2+2i)'] -> (((1-7i) - (1+5i)) / ((1-i) / (2+2i)))
[17964] ['(1-7i)', '(1-i)', '(1+5i)', '(4+4i)'] -> ((-4i + -4i) * ((3+5i) - (3+2i)))
[17970] ['(1-7i)', '(1-i)', '(1+5i)', '(5+7i)'] -> (((1-7i) + (1+5i)) * ((1-i) + (5+7i)))
[17972] ['(1-7i)', '(1-i)', '(1+5i)', '(6-6i)'] -> (((3-9i) * (4-4i)) / ((3+i) - (4+3i)))
[18015] ['(1-7i)', '(1-i)', '(1+6i)', '(7+9i)'] -> ((1-7i) + ((1-i) * ((1+6i) + (7+9i))))
[18028] ['(1-7i)', '(1-i)', '(1+6i)', '(9+5i)'] -> ((1-i) + ((9+5i) * ((1-7i) + (1+6i))))
[18054] ['(1-7i)', '(1-i)', '(1+7i)', '(6+6i)'] -> (((3-9i) / (3+i)) * ((4+7i) - (4-i)))
[18062] ['(1-7i)', '(1-i)', '(1+7i)', '(7+8i)'] -> ((1-7i) + ((1-i) * ((1+7i) + (7+8i))))
