[142770] ['(2-8i)', '3', '(5+5i)', '(7-7i)'] -> (((2-8i) + (7-7i)) + (3 * (5+5i)))
[142824] ['(2-8i)', '3', '(5+7i)', '(7-5i)'] -> ((3 * (7-5i)) - ((2-8i) - (5+7i)))
[142844] ['(2-8i)', '3', '(5+7i)', '(9+5i)'] -> (((2-8i) - (5+7i)) + (3 * (9+5i)))
[142854] ['(2-8i)', '3', '(5+8i)', '6'] -> (((5-7i) + (9-3i)) / ((6+i) / (6+6i)))
[142924] ['(2-8i)', '3', '(6-9i)', '(8+5i)'] -> ((3 * ((2-8i) + (8+5i))) - (6-9i))
[142966] ['(2-8i)', '3', '(6-7i)', '(8+4i)'] -> (((2-8i) * 3) / ((6-7i) / (8+4i)))
[142973] ['(2-8i)', '3', '(6-6i)', '(7-6i)'] -> ((3-3i) * ((5+4i) - ((6+2i) / (6+2i))))
[142982] ['(2-8i)', '3', '(6-6i)', '(8-2i)'] -> (((8-2i) - (2-8i)) / (3 / (6-6i)))
[142984] ['(2-8i)', '3', '(6-6i)', '(8+6i)'] -> ((3 * ((2-8i) + (8+6i))) - (6-6i))
[143013] ['(2-8i)', '3', '(6-5i)', '(8+7i)'] -> ((3 * (6-5i)) - ((2-8i) - (8+7i)))
[143029] ['(2-8i)', '3', '(6-4i)', '(8+4i)'] -> ((3 * (6-4i)) - ((2-8i) - (8+4i)))
[143031] ['(2-8i)', '3', '(6-4i)', '(9-9i)'] -> (((1-9i) + (7+9i)) * ((5-8i) - (2-8i)))
[143046] ['(2-8i)', '3', '(6-3i)', '(8+i)'] -> ((3 * (6-3i)) - ((2-8i) - (8+i)))
[143048] ['(2-8i)', '3', '(6-3i)', '(8+7i)'] -> ((3 * ((2-8i) + (8+7i))) - (6-3i))
[143073] ['(2-8i)', '3', '(6-2i)', '(8-2i)'] -> ((3 * (6-2i)) - ((2-8i) - (8-2i)))
[143099] ['(2-8i)', '3', '(6-i)', '(8-5i)'] -> ((3 * (6-i)) - ((2-8i) - (8-5i)))
[143109] ['(2-8i)', '3', '6', '(6+8i)'] -> (((2-8i) + (6+8i)) * (6 - 3))
[143117] ['(2-8i)', '3', '6', '(8+2i)'] -> ((8+2i) * (3 - (6 / (2-8i))))
[143118] ['(2-8i)', '3', '6', '(8+8i)'] -> ((3 * ((2-8i) + (8+8i))) - 6)
[143121] ['(2-8i)', '3', '6', '(9-8i)'] -> (3i * (-9i - ((2-7i) / (7+2i))))
[143131] ['(2-8i)', '3', '(6+i)', '(7-5i)'] -> ((6+6i) * ((3+7i) + (-i - (1+8i))))
[143133] ['(2-8i)', '3', '(6+i)', '(7-2i)'] -> (((6+i) * ((7-2i) - 3)) - (2-8i))
[143181] ['(2-8i)', '3', '(6+3i)', '(8+9i)'] -> ((3 * ((2-8i) + (8+9i))) - (6+3i))
[143300] ['(2-8i)', '3', '(6+8i)', '9'] -> (((2-8i) + (6+8i)) / (3 / 9))
[143421] ['(2-8i)', '3', '(7-5i)', '(9+3i)'] -> (((9+3i) / (3 / (7-5i))) - (2-8i))
[143700] ['(2-8i)', '3', '(7+8i)', '8'] -> (((2-8i) + (7+8i)) / (3 / 8))
[143753] ['(2-8i)', '3', '(8-8i)', '8'] -> ((4+4i) * (((4-6i) + (8+6i)) - (9+3i)))
[143809] ['(2-8i)', '3', '(8-2i)', '(8+3i)'] -> (((2-8i) + ((8-2i) * (8+3i))) / 3)
[143883] ['(2-8i)', '3', '(9-9i)', '(9+5i)'] -> (((5-9i) - ((1+8i) + (4+7i))) / -i)
[143897] ['(2-8i)', '3', '(9-6i)', '(9+6i)'] -> ((3 * ((2-8i) + (9+6i))) - (9-6i))
[143907] ['(2-8i)', '3', '(9-3i)', '(9+7i)'] -> ((3 * ((2-8i) + (9+7i))) - (9-3i))
[143914] ['(2-8i)', '3', '9', '(9+8i)'] -> ((3 * ((2-8i) + (9+8i))) - 9)
[143924] ['(2-8i)', '3', '(9+3i)', '(9+9i)'] -> ((3 * ((2-8i) + (9+9i))) - (9+3i))
[143931] ['(2-8i)', '(3+i)', '(3+i)', '(4-6i)'] -> (((3+i) * ((3+i) + (4-6i))) - (2-8i))
[143937] ['(2-8i)', '(3+i)', '(3+i)', '(6-5i)'] -> (((3+i) * (6-5i)) - ((2-8i) - (3+i)))
[143942] ['(2-8i)', '(3+i)', '(3+i)', '(7-5i)'] -> ((3+i) * ((7-5i) - ((2-8i) / (3+i))))
[143950] ['(2-8i)', '(3+i)', '(3+i)', '(8-5i)'] -> (((3+i) * (8-5i)) - ((2-8i) + (3+i)))
[143960] ['(2-8i)', '(3+i)', '(3+2i)', '(4-7i)'] -> (((3+i) * ((3+2i) + (4-7i))) - (2-8i))
[143997] ['(2-8i)', '(3+i)', '(3+3i)', '(4-8i)'] -> (((3+i) * ((3+3i) + (4-8i))) - (2-8i))
[144002] ['(2-8i)', '(3+i)', '(3+3i)', '(4+5i)'] -> ((3-3i) * ((5+5i) - ((9+3i) / (6-3i))))
[144008] ['(2-8i)', '(3+i)', '(3+3i)', '(5+5i)'] -> ((3+3i) * ((5+5i) + ((2-8i) - (3+i))))
[144037] ['(2-8i)', '(3+i)', '(3+4i)', '(4-9i)'] -> (((3+i) * ((3+4i) + (4-9i))) - (2-8i))
[144044] ['(2-8i)', '(3+i)', '(3+4i)', '(5+7i)'] -> ((5+7i) + ((3+i) * ((2-8i) + (3+4i))))
[144093] ['(2-8i)', '(3+i)', '(3+5i)', '(6-i)'] -> (((2-8i) + (3+5i)) + ((3+i) * (6-i)))
[144096] ['(2-8i)', '(3+i)', '(3+5i)', '(6+4i)'] -> ((6+4i) + ((3+i) * ((2-8i) + (3+5i))))
[144107] ['(2-8i)', '(3+i)', '(3+5i)', '(8+8i)'] -> (((2-8i) * ((3+5i) - (3+i))) - (8+8i))
[144130] ['(2-8i)', '(3+i)', '(3+6i)', '6'] -> (((2-8i) + 6) / ((3+i) / (3+6i)))
[144137] ['(2-8i)', '(3+i)', '(3+6i)', '(7+i)'] -> ((7+i) + ((3+i) * ((2-8i) + (3+6i))))
[144150] ['(2-8i)', '(3+i)', '(3+6i)', '(9+9i)'] -> ((9+9i) + ((3+6i) * ((2-8i) / (3+i))))
[144164] ['(2-8i)', '(3+i)', '(3+7i)', '(6+6i)'] -> ((6+6i) * ((3+7i) + ((2-8i) - (3+i))))
[144173] ['(2-8i)', '(3+i)', '(3+7i)', '(8-2i)'] -> ((8-2i) + ((3+i) * ((2-8i) + (3+7i))))
[144179] ['(2-8i)', '(3+i)', '(3+7i)', '(9+2i)'] -> (((2-8i) - (3+7i)) + ((3+i) * (9+2i)))
[144213] ['(2-8i)', '(3+i)', '(3+8i)', '(9-5i)'] -> (((7+9i) * (-9i / (3-3i))) - 3i)
[144222] ['(2-8i)', '(3+i)', '(3+9i)', '(4-i)'] -> ((3+i) + ((4-i) * ((2-8i) + (3+9i))))
[144244] ['(2-8i)', '(3+i)', '(3+9i)', '(7+8i)'] -> (((3+i) * ((2-8i) + (7+8i))) - (3+9i))
[144311] ['(2-8i)', '(3+i)', '(4-8i)', '(7+3i)'] -> (((2-8i) + (4-8i)) + ((3+i) * (7+3i)))
