[326396] ['-6i', 'i', '(5-4i)', '(5+i)'] -> (-6i * ((5+i) - (i + (5-4i))))
[326409] ['-6i', 'i', '(5-3i)', '5'] -> (-6i * (5 + (i - (5-3i))))
[326410] ['-6i', 'i', '(5-3i)', '(5+2i)'] -> (-6i * ((5+2i) - (i + (5-3i))))
[326422] ['-6i', 'i', '(5-2i)', '(5+i)'] -> (-6i * ((5+i) + (i - (5-2i))))
[326423] ['-6i', 'i', '(5-2i)', '(5+3i)'] -> (-6i * ((5+3i) - (i + (5-2i))))
[326427] ['-6i', 'i', '(5-2i)', '(8-4i)'] -> ((8-4i) / (((5-2i) / -6i) - i))
[326430] ['-6i', 'i', '(5-i)', '(5+2i)'] -> (-6i * ((5+2i) + (i - (5-i))))
[326431] ['-6i', 'i', '(5-i)', '(5+4i)'] -> (-6i * ((5+4i) - (i + (5-i))))
[326433] ['-6i', 'i', '(5-i)', '(6-6i)'] -> (((1-3i) * (9 - (7-9i))) - (5+3i))
[326435] ['-6i', 'i', '(5-i)', '(6+6i)'] -> (i * ((6+6i) + (-6i * (5-i))))
[326440] ['-6i', 'i', '5', '(5+3i)'] -> (-6i * ((5+3i) + (i - 5)))
[326441] ['-6i', 'i', '5', '(5+5i)'] -> (-6i * ((5+5i) - (i + 5)))
[326451] ['-6i', 'i', '(5+i)', '(5+4i)'] -> (-3i * ((8+5i) - ((2-9i) + (6+6i))))
[326453] ['-6i', 'i', '(5+i)', '(5+6i)'] -> (-6i * ((5+6i) - (i + (5+i))))
[326456] ['-6i', 'i', '(5+i)', '(6+6i)'] -> (((5+i) * (-6i * i)) - (6+6i))
[326469] ['-6i', 'i', '(5+2i)', '(5+5i)'] -> (-6i * ((5+5i) + (i - (5+2i))))
[326470] ['-6i', 'i', '(5+2i)', '(5+7i)'] -> (-6i * ((5+7i) - (i + (5+2i))))
[326471] ['-6i', 'i', '(5+2i)', '(6-5i)'] -> (-6i * ((i * (6-5i)) - (5+2i)))
[326480] ['-6i', 'i', '(5+2i)', '(8+4i)'] -> ((8+4i) / (i - ((5+2i) / -6i)))
[326483] ['-6i', 'i', '(5+3i)', '(5+6i)'] -> (-6i * ((5+6i) + (i - (5+3i))))
[326485] ['-6i', 'i', '(5+3i)', '(5+8i)'] -> (-6i * ((5+8i) - (i + (5+3i))))
[326490] ['-6i', 'i', '(5+3i)', '(7-5i)'] -> (-6i * ((i * (7-5i)) - (5+3i)))
[326494] ['-6i', 'i', '(5+4i)', '(5+7i)'] -> (-6i * ((5+7i) + (i - (5+4i))))
[326496] ['-6i', 'i', '(5+4i)', '(5+9i)'] -> (-6i * ((5+9i) - (i + (5+4i))))
[326499] ['-6i', 'i', '(5+4i)', '(8-5i)'] -> (-6i * ((i * (8-5i)) - (5+4i)))
[326507] ['-6i', 'i', '(5+5i)', '(5+8i)'] -> (-6i * ((5+8i) + (i - (5+5i))))
[326519] ['-6i', 'i', '(5+5i)', '(9-5i)'] -> (-6i * ((i * (9-5i)) - (5+5i)))
[326522] ['-6i', 'i', '(5+6i)', '(5+9i)'] -> (-6i * ((5+9i) + (i - (5+6i))))
[326524] ['-6i', 'i', '(5+6i)', '(6-9i)'] -> (-6i * (((5+6i) / i) - (6-9i)))
[326533] ['-6i', 'i', '(5+7i)', '(7-9i)'] -> (-6i * (((5+7i) / i) - (7-9i)))
[326553] ['-6i', 'i', '(5+8i)', '(8-9i)'] -> (-6i * (((5+8i) / i) - (8-9i)))
[326565] ['-6i', 'i', '(5+9i)', '(9-9i)'] -> (4 * ((7+5i) + ((1-8i) - (2-3i))))
[326568] ['-6i', 'i', '(6-9i)', '(6-6i)'] -> (-6i * ((6-6i) + (i - (6-9i))))
[326569] ['-6i', 'i', '(6-9i)', '(6-4i)'] -> (-6i * ((6-4i) - (i + (6-9i))))
[326577] ['-6i', 'i', '(6-9i)', '(9+2i)'] -> (-6i * ((i * (6-9i)) - (9+2i)))
[326579] ['-6i', 'i', '(6-8i)', '(6-5i)'] -> (-6i * ((6-5i) + (i - (6-8i))))
[326581] ['-6i', 'i', '(6-8i)', '(6-3i)'] -> (-6i * ((6-3i) - (i + (6-8i))))
[326584] ['-6i', 'i', '(6-8i)', '(8+2i)'] -> (-6i * ((i * (6-8i)) - (8+2i)))
