[69724] ['(1-i)', '(3-3i)', '(3+i)', '(8-4i)'] -> ((-3i * (2+8i)) - (-7i + i))
[69726] ['(1-i)', '(3-3i)', '(3+i)', '(8+2i)'] -> ((3-3i) * ((8+2i) - ((1-i) * (3+i))))
[69727] ['(1-i)', '(3-3i)', '(3+i)', '(8+4i)'] -> ((3-3i) * ((8+4i) - ((1-i) + (3+i))))
[69730] ['(1-i)', '(3-3i)', '(3+i)', '(8+8i)'] -> ((3+i) - (i + (-7i * -3i)))
[69735] ['(1-i)', '(3-3i)', '(3+i)', '(9-3i)'] -> (((1-i) + (3+i)) * ((9-3i) - (3-3i)))
[69741] ['(1-i)', '(3-3i)', '(3+2i)', '(3+4i)'] -> (((3-3i) - (1-i)) * ((3+2i) + (3+4i)))
[69745] ['(1-i)', '(3-3i)', '(3+2i)', '(4+4i)'] -> (((4-i) * (6+i)) + ((6+9i) - (7+7i)))
[69751] ['(1-i)', '(3-3i)', '(3+2i)', '(5-2i)'] -> (((3+2i) + (5-2i)) / ((1-i) / (3-3i)))
[69754] ['(1-i)', '(3-3i)', '(3+2i)', '(6-6i)'] -> (((5-2i) + (5+i)) + ((6+3i) + (8-2i)))
[69757] ['(1-i)', '(3-3i)', '(3+2i)', '(6+5i)'] -> (((3-9i) * (8+8i)) / ((9-6i) - (5-4i)))
[69759] ['(1-i)', '(3-3i)', '(3+2i)', '(6+7i)'] -> ((3-3i) * ((6+7i) + ((1-i) - (3+2i))))
[69768] ['(1-i)', '(3-3i)', '(3+2i)', '(8+4i)'] -> (((1-i) + (8+4i)) + ((3-3i) * (3+2i)))
[69769] ['(1-i)', '(3-3i)', '(3+2i)', '(8+5i)'] -> ((3-3i) * ((8+5i) - ((1-i) + (3+2i))))
[69777] ['(1-i)', '(3-3i)', '(3+2i)', '(9+3i)'] -> ((3-3i) * ((9+3i) - ((1-i) * (3+2i))))
[69780] ['(1-i)', '(3-3i)', '(3+2i)', '(9+9i)'] -> (((3-4i) + (6+7i)) + ((7-5i) + (8+2i)))
[69782] ['(1-i)', '(3-3i)', '(3+3i)', '(3+4i)'] -> ((3+3i) + ((3-3i) * ((1-i) + (3+4i))))
[69783] ['(1-i)', '(3-3i)', '(3+3i)', '(3+5i)'] -> (((3-3i) - (3+5i)) / ((1-i) / (3+3i)))
[69784] ['(1-i)', '(3-3i)', '(3+3i)', '(3+6i)'] -> (((3-3i) * ((1-i) + (3+6i))) - (3+3i))
[69785] ['(1-i)', '(3-3i)', '(3+3i)', '(3+7i)'] -> (((1-i) * (3-3i)) * ((3+7i) - (3+3i)))
[69787] ['(1-i)', '(3-3i)', '(3+3i)', '(4-i)'] -> ((1-i) * (((3+3i) * (4-i)) - (3-3i)))
[69788] ['(1-i)', '(3-3i)', '(3+3i)', '(4+2i)'] -> (((5-2i) * (5+i)) + ((6+4i) - (9-i)))
[69791] ['(1-i)', '(3-3i)', '(3+3i)', '(4+7i)'] -> ((3-3i) * ((4+7i) - ((3+3i) / (1-i))))
[69795] ['(1-i)', '(3-3i)', '(3+3i)', '(5-6i)'] -> (((3+3i) * ((5-6i) - (1-i))) - (3-3i))
[69796] ['(1-i)', '(3-3i)', '(3+3i)', '(5-i)'] -> (((3-3i) + (3+3i)) * ((5-i) - (1-i)))
[69797] ['(1-i)', '(3-3i)', '(3+3i)', '(5+i)'] -> (((1-i) + (5+i)) + ((3-3i) * (3+3i)))
[69799] ['(1-i)', '(3-3i)', '(3+3i)', '(5+4i)'] -> (((3-3i) * ((5+4i) - (1-i))) - (3+3i))
