[136957] ['(1-i)', '(5-5i)', '(7-4i)', '(9+6i)'] -> (((4-6i) - 4) * ((6-3i) - (6-7i)))
[136971] ['(1-i)', '(5-5i)', '(7-3i)', '(9-i)'] -> (4 - ((8+4i) * ((4-6i) - (6-7i))))
[136990] ['(1-i)', '(5-5i)', '(7-2i)', '9'] -> (4 * (8 + ((4-6i) - (6-6i))))
[137007] ['(1-i)', '(5-5i)', '(7-i)', '(9+i)'] -> (((1-i) + (5-5i)) * ((9+i) - (7-i)))
[137018] ['(1-i)', '(5-5i)', '7', '(7+7i)'] -> ((7+7i) * ((1-i) + ((5-5i) / 7)))
[137031] ['(1-i)', '(5-5i)', '7', '(9+2i)'] -> (((1-i) + (5-5i)) * ((9+2i) - 7))
[137038] ['(1-i)', '(5-5i)', '(7+i)', '(8-5i)'] -> (((1-i) + (7+i)) * ((8-5i) - (5-5i)))
[137043] ['(1-i)', '(5-5i)', '(7+i)', '(9+3i)'] -> (((1-i) + (5-5i)) * ((9+3i) - (7+i)))
[137055] ['(1-i)', '(5-5i)', '(7+2i)', '(9+4i)'] -> (((1-i) + (5-5i)) * ((9+4i) - (7+2i)))
[137067] ['(1-i)', '(5-5i)', '(7+3i)', '(9+5i)'] -> (((1-i) + (5-5i)) * ((9+5i) - (7+3i)))
[137069] ['(1-i)', '(5-5i)', '(7+3i)', '(9+9i)'] -> (((1-i) * (7+3i)) + ((5-5i) + (9+9i)))
[137076] ['(1-i)', '(5-5i)', '(7+4i)', '(8+8i)'] -> (((1-i) * (7+4i)) + ((5-5i) + (8+8i)))
[137081] ['(1-i)', '(5-5i)', '(7+4i)', '(9+6i)'] -> (((1-i) + (5-5i)) * ((9+6i) - (7+4i)))
[137084] ['(1-i)', '(5-5i)', '(7+5i)', '(7+7i)'] -> (((1-i) * (7+5i)) + ((5-5i) + (7+7i)))
[137097] ['(1-i)', '(5-5i)', '(7+5i)', '(9+7i)'] -> (((1-i) + (5-5i)) * ((9+7i) - (7+5i)))
[137109] ['(1-i)', '(5-5i)', '(7+6i)', '(9+8i)'] -> ((9-6i) - ((5+2i) + (-4i * (2-5i))))
[137120] ['(1-i)', '(5-5i)', '(7+7i)', '(9+9i)'] -> (((1-i) + (5-5i)) * ((9+9i) - (7+7i)))
[137132] ['(1-i)', '(5-5i)', '(7+8i)', '(9+9i)'] -> ((9-5i) - ((5+3i) + (-4i * (2-5i))))
[137140] ['(1-i)', '(5-5i)', '(7+9i)', '(8+4i)'] -> (((1-i) * (8+4i)) + ((5-5i) + (7+9i)))
[137142] ['(1-i)', '(5-5i)', '(7+9i)', '(8+8i)'] -> ((8+8i) + ((1-i) * ((5-5i) + (7+9i))))
[137143] ['(1-i)', '(5-5i)', '(7+9i)', '(8+9i)'] -> ((7+9i) + ((1-i) * ((5-5i) + (8+9i))))
[137159] ['(1-i)', '(5-5i)', '(8-8i)', '(8-5i)'] -> ((((8-5i) - (5-5i)) * (8-8i)) / (1-i))
[137161] ['(1-i)', '(5-5i)', '(8-8i)', '8'] -> ((((8-8i) - (5-5i)) * 8) / (1-i))
[137196] ['(1-i)', '(5-5i)', '(8-6i)', '(9+3i)'] -> ((9+3i) * ((1-i) + ((8-6i) / (5-5i))))
[137228] ['(1-i)', '(5-5i)', '(8-2i)', '(9+9i)'] -> ((1-i) * ((9+9i) - ((5-5i) - (8-2i))))
[137241] ['(1-i)', '(5-5i)', '(8-i)', '(9+8i)'] -> ((1-i) * ((9+8i) - ((5-5i) - (8-i))))
[137242] ['(1-i)', '(5-5i)', '8', '8'] -> ((9-6i) - ((2-5i) * ((8-3i) - 8)))
[137247] ['(1-i)', '(5-5i)', '8', '(9-9i)'] -> ((9-9i) / ((1-i) - ((5-5i) / 8)))
[137249] ['(1-i)', '(5-5i)', '8', '(9-6i)'] -> (8 * ((9-6i) - ((1-i) + (5-5i))))
[137250] ['(1-i)', '(5-5i)', '8', '(9+7i)'] -> ((1-i) * ((9+7i) - ((5-5i) - 8)))
[137259] ['(1-i)', '(5-5i)', '(8+i)', '(9+6i)'] -> ((1-i) * ((9+6i) - ((5-5i) - (8+i))))
[137264] ['(1-i)', '(5-5i)', '(8+2i)', '(9+5i)'] -> ((1-i) * ((9+5i) - ((5-5i) - (8+2i))))
[137270] ['(1-i)', '(5-5i)', '(8+3i)', '(9+4i)'] -> ((1-i) * ((9+4i) - ((5-5i) - (8+3i))))
[137272] ['(1-i)', '(5-5i)', '(8+3i)', '(9+9i)'] -> (((1-i) * ((8+3i) + (9+9i))) - (5-5i))
[137277] ['(1-i)', '(5-5i)', '(8+4i)', '(9+3i)'] -> ((1-i) * ((9+3i) - ((5-5i) - (8+4i))))
