[369952] ['-8i', 'i', '(1-9i)', '(1-7i)'] -> (-8i * ((1-7i) + (i - (1-9i))))
[369954] ['-8i', 'i', '(1-9i)', '(1-5i)'] -> (-8i * ((1-5i) - (i + (1-9i))))
[369959] ['-8i', 'i', '(1-9i)', '(2+9i)'] -> (((3+2i) * (7-6i)) - ((2-6i) + (7+2i)))
[369975] ['-8i', 'i', '(1-9i)', '(6+i)'] -> (-8i * (((6+i) / i) - (1-9i)))
[369989] ['-8i', 'i', '(1-9i)', '(9-2i)'] -> (-8i * ((i * (1-9i)) - (9-2i)))
[369997] ['-8i', 'i', '(1-8i)', '(1-6i)'] -> ((7+9i) + ((5-7i) / (-3i / (3-6i))))
[369999] ['-8i', 'i', '(1-8i)', '(1-4i)'] -> (-8i * ((1-4i) - (i + (1-8i))))
[370010] ['-8i', 'i', '(1-8i)', '(2+8i)'] -> ((-8i * i) * ((1-8i) + (2+8i)))
[370026] ['-8i', 'i', '(1-8i)', '(5+i)'] -> (-8i * (((5+i) / i) - (1-8i)))
[370047] ['-8i', 'i', '(1-8i)', '(8-2i)'] -> (-6i * ((7+5i) - ((1+i) * (4-3i))))
[370056] ['-8i', 'i', '(1-7i)', '(1-5i)'] -> (-8i * ((1-5i) + (i - (1-7i))))
[370057] ['-8i', 'i', '(1-7i)', '(1-3i)'] -> (-8i * ((1-3i) - (i + (1-7i))))
[370062] ['-8i', 'i', '(1-7i)', '(2+7i)'] -> ((-8i * i) * ((1-7i) + (2+7i)))
[370070] ['-8i', 'i', '(1-7i)', '(4+i)'] -> (-8i * (((4+i) / i) - (1-7i)))
[370087] ['-8i', 'i', '(1-7i)', '(7-2i)'] -> (-8i * ((i * (1-7i)) - (7-2i)))
[370101] ['-8i', 'i', '(1-6i)', '(1-4i)'] -> (-8i * ((1-4i) + (i - (1-6i))))
[370102] ['-8i', 'i', '(1-6i)', '(1-2i)'] -> (-8i * ((1-2i) - (i + (1-6i))))
[370106] ['-8i', 'i', '(1-6i)', '(2+6i)'] -> ((-6i / (1+i)) * ((4-i) - (8-5i)))
[370108] ['-8i', 'i', '(1-6i)', '(3+i)'] -> (-8i * (((3+i) / i) - (1-6i)))
[370121] ['-8i', 'i', '(1-6i)', '(6-2i)'] -> (-8i * ((i * (1-6i)) - (6-2i)))
[370135] ['-8i', 'i', '(1-5i)', '(1-3i)'] -> (-8i * ((1-3i) + (i - (1-5i))))
[370136] ['-8i', 'i', '(1-5i)', '(1-i)'] -> (-8i * ((1-i) - (i + (1-5i))))
[370142] ['-8i', 'i', '(1-5i)', '(2+i)'] -> (-8i * (((2+i) / i) - (1-5i)))
[370147] ['-8i', 'i', '(1-5i)', '(2+5i)'] -> ((-8i * i) * ((1-5i) + (2+5i)))
[370156] ['-8i', 'i', '(1-5i)', '(5-2i)'] -> ((1+i) * ((8-7i) + (-6i + (4+i))))
[370179] ['-8i', 'i', '(1-4i)', '(1-2i)'] -> (-8i * ((1-2i) + (i - (1-4i))))
[370180] ['-8i', 'i', '(1-4i)', '1'] -> (-8i * (1 - (i + (1-4i))))
[370181] ['-8i', 'i', '(1-4i)', '(1+i)'] -> (-8i * (((1+i) / i) - (1-4i)))
