[174528] ['(1-9i)', '(2+3i)', '(3+9i)', '(8+3i)'] -> (1-9i + 3+9i) * (8+3i - 2+3i)
[174541] ['(1-9i)', '(2+3i)', '(4-9i)', '(6-3i)'] -> (2+3i + 6-3i) * (4-9i - 1-9i)
[174564] ['(1-9i)', '(2+3i)', '(4-8i)', '(7+5i)'] -> 2+3i * 4-8i - (1-9i + 7+5i)
[174576] ['(1-9i)', '(2+3i)', '(4-7i)', '(4+7i)'] -> 2-2i * 2-2i * (8-i - 8-4i)
[174584] ['(1-9i)', '(2+3i)', '(4-7i)', '(5+7i)'] -> 2-4i - 3-4i * (6-7i - 8-3i)
[174645] ['(1-9i)', '(2+3i)', '(4-5i)', '(7+5i)'] -> 4-5i * 7+5i - 1-9i * 2+3i
[174664] ['(1-9i)', '(2+3i)', '(4-4i)', '(6-3i)'] -> 4-4i * (6-3i - (1-9i + 2+3i))
[174685] ['(1-9i)', '(2+3i)', '(4-3i)', '(5-9i)'] -> (2+3i + 4-3i) * (5-9i - 1-9i)
[174696] ['(1-9i)', '(2+3i)', '(4-3i)', '(6+3i)'] -> 1-9i + 6+3i + 2+3i * 4-3i
[174752] ['(1-9i)', '(2+3i)', '(4-2i)', '(9+i)'] -> 1-9i + 9+i + 2+3i * 4-2i
[174770] ['(1-9i)', '(2+3i)', '(4-i)', '(6-5i)'] -> 1-9i - 4-i + 2+3i * 6-5i
[174808] ['(1-9i)', '(2+3i)', '4', '(5-3i)'] -> 1-9i + 4 + 2+3i * 5-3i
[174840] ['(1-9i)', '(2+3i)', '4', '(9-6i)'] -> 2-2i * 7+7i - (2-i + 2+i)
[174846] ['(1-9i)', '(2+3i)', '(4+i)', '(4+7i)'] -> 2+3i + 4+i * (1-9i + 4+7i)
[174857] ['(1-9i)', '(2+3i)', '(4+i)', '(6-3i)'] -> 4+i * 6-3i - (1-9i + 2+3i)
[174912] ['(1-9i)', '(2+3i)', '(4+2i)', '(7+i)'] -> 2+3i * (1-9i + 4+2i) - 7+i
[174927] ['(1-9i)', '(2+3i)', '(4+3i)', '(4+3i)'] -> 2+3i * (1-9i + 4+3i) - 4+3i
[174966] ['(1-9i)', '(2+3i)', '(4+4i)', '(4+9i)'] -> 4+4i * (4+9i + 1-9i - 2+3i)
