[317266] ['-6i', '-3i', '(3+3i)', '(6-2i)'] -> ((-6i * (3+3i)) - (-3i * (6-2i)))
[317267] ['-6i', '-3i', '(3+3i)', '(7-7i)'] -> ((-6i * -3i) + ((3+3i) * (7-7i)))
[317269] ['-6i', '-3i', '(3+3i)', '(8-8i)'] -> (((3+3i) * (8-8i)) / (-6i / -3i))
[317270] ['-6i', '-3i', '(3+3i)', '(8-6i)'] -> ((-3i + (3+3i)) * ((8-6i) - -6i))
[317272] ['-6i', '-3i', '(3+3i)', '(8-2i)'] -> (((8-2i) * (-3i + (3+3i))) - -6i)
[317273] ['-6i', '-3i', '(3+3i)', '8'] -> (8 * ((3+3i) + (-6i - -3i)))
[317274] ['-6i', '-3i', '(3+3i)', '(8+2i)'] -> (-6i + ((8+2i) * (-3i + (3+3i))))
[317276] ['-6i', '-3i', '(3+3i)', '(8+6i)'] -> ((-6i + (8+6i)) * (-3i + (3+3i)))
[317277] ['-6i', '-3i', '(3+3i)', '(9-5i)'] -> (-6i * ((9-5i) - (-3i * (3+3i))))
[317278] ['-6i', '-3i', '(3+3i)', '(9-3i)'] -> ((-6i / -3i) * ((3+3i) + (9-3i)))
[317280] ['-6i', '-3i', '(3+3i)', '(9+3i)'] -> ((9+3i) - ((3+3i) + (-6i * -3i)))
[317282] ['-6i', '-3i', '(3+4i)', '(3+5i)'] -> (-6i * ((3+5i) - (-3i + (3+4i))))
[317283] ['-6i', '-3i', '(3+4i)', '(3+6i)'] -> (-3i * ((3+6i) - (-6i + (3+4i))))
[317284] ['-6i', '-3i', '(3+4i)', '(4-3i)'] -> (-6i * (((3+4i) / (4-3i)) - -3i))
[317289] ['-6i', '-3i', '(3+4i)', '(6-9i)'] -> ((-3i * ((3+4i) - -6i)) - (6-9i))
[317291] ['-6i', '-3i', '(3+4i)', '6'] -> ((-6i * (3+4i)) - (-3i * 6))
[317292] ['-6i', '-3i', '(3+4i)', '(6+3i)'] -> ((8+3i) - ((2-7i) * ((6+i) - (7+3i))))
[317302] ['-6i', '-3i', '(3+4i)', '(9-4i)'] -> ((-6i / -3i) * ((3+4i) + (9-4i)))
[317303] ['-6i', '-3i', '(3+4i)', '(9+4i)'] -> ((9+4i) - ((3+4i) + (-6i * -3i)))
[317305] ['-6i', '-3i', '(3+5i)', '(3+6i)'] -> (-6i * ((3+6i) - (-3i + (3+5i))))
[317306] ['-6i', '-3i', '(3+5i)', '(3+7i)'] -> (-3i * ((3+7i) - (-6i + (3+5i))))
[317313] ['-6i', '-3i', '(3+5i)', '(6+2i)'] -> ((-6i * (3+5i)) - (-3i * (6+2i)))
[317316] ['-6i', '-3i', '(3+5i)', '(9-9i)'] -> ((-3i * ((3+5i) - -6i)) - (9-9i))
[317317] ['-6i', '-3i', '(3+5i)', '(9-5i)'] -> (((1-6i) * (8+4i)) - ((4-2i) * (6-8i)))
[317321] ['-6i', '-3i', '(3+5i)', '(9+3i)'] -> ((-3i * (3+5i)) - (-6i - (9+3i)))
[317322] ['-6i', '-3i', '(3+5i)', '(9+5i)'] -> ((9+5i) - ((3+5i) + (-6i * -3i)))
[317323] ['-6i', '-3i', '(3+6i)', '(3+7i)'] -> (-6i * ((3+7i) - (-3i + (3+6i))))
[317324] ['-6i', '-3i', '(3+6i)', '(3+8i)'] -> (-3i * ((3+8i) - (-6i + (3+6i))))
[317325] ['-6i', '-3i', '(3+6i)', '(4-9i)'] -> ((-6i - (3+6i)) - (-3i * (4-9i)))
[317326] ['-6i', '-3i', '(3+6i)', '(4-4i)'] -> ((4-4i) * ((3+6i) + (-6i - -3i)))
[317328] ['-6i', '-3i', '(3+6i)', '(4+2i)'] -> ((-6i + (4+2i)) * (-3i + (3+6i)))
[317329] ['-6i', '-3i', '(3+6i)', '(4+4i)'] -> ((4+4i) * ((3+6i) + (-6i + -3i)))
[317330] ['-6i', '-3i', '(3+6i)', '(4+7i)'] -> ((-3i * (4+7i)) - (-6i - (3+6i)))
[317332] ['-6i', '-3i', '(3+6i)', '(5-3i)'] -> (-6i + ((5-3i) * (-3i + (3+6i))))
[317336] ['-6i', '-3i', '(3+6i)', '(6-9i)'] -> (-6i * ((3+6i) - ((6-9i) / -3i)))
[317337] ['-6i', '-3i', '(3+6i)', '(6-3i)'] -> (-6i * (((3+6i) / (6-3i)) - -3i))
[317339] ['-6i', '-3i', '(3+6i)', '(6+3i)'] -> ((-3i * (3+6i)) - (-6i - (6+3i)))
[317340] ['-6i', '-3i', '(3+6i)', '(6+4i)'] -> ((-6i * (3+6i)) - (-3i * (6+4i)))
[317345] ['-6i', '-3i', '(3+6i)', '(8-3i)'] -> ((-6i + (3+6i)) * ((8-3i) - -3i))
[317346] ['-6i', '-3i', '(3+6i)', '(8-i)'] -> (((8-i) * (-6i + (3+6i))) - -3i)
[317347] ['-6i', '-3i', '(3+6i)', '(8+i)'] -> (-3i + ((8+i) * (-6i + (3+6i))))
[317348] ['-6i', '-3i', '(3+6i)', '(8+3i)'] -> ((-6i + (3+6i)) * (-3i + (8+3i)))
