[116567] ['(3-6i)', '(3+i)', '(7+2i)', '(9+3i)'] -> 3-6i + 9+3i / (3+i / 7+2i)
[116581] ['(3-6i)', '(3+i)', '(7+3i)', '(9+i)'] -> 3+i * (3-6i + 7+3i) - 9+i
[116590] ['(3-6i)', '(3+i)', '(7+4i)', '(8+4i)'] -> -4i * 2+7i + 1+8i - 5
[116602] ['(3-6i)', '(3+i)', '(7+5i)', '(7+7i)'] -> 3+i * (3-6i + 7+5i) - 7+7i
[116659] ['(3-6i)', '(3+i)', '(8-9i)', '(9-8i)'] -> 3+i * 9-8i - (3-6i + 8-9i)
[116701] ['(3-6i)', '(3+i)', '(8-4i)', '9'] -> (9 - 3-6i) / (3+i / 8-4i)
[116708] ['(3-6i)', '(3+i)', '(8-3i)', '(9-2i)'] -> (-9i + 8+9i) * (3-4i - -4i)
[116742] ['(3-6i)', '(3+i)', '8', '(9-5i)'] -> 3-3i * (8-5i + 4+i - 8-8i)
[116795] ['(3-6i)', '(3+i)', '(8+8i)', '(9-9i)'] -> (9-9i - 3-6i) / (3+i / 8+8i)
[116810] ['(3-6i)', '(3+i)', '(9-9i)', '(9-5i)'] -> (3+i + 9-5i) / (3-6i / 9-9i)
[116833] ['(3-6i)', '(3+i)', '(9-6i)', '(9-3i)'] -> 3-6i - 9-6i + 3+i * 9-3i
[116843] ['(3-6i)', '(3+i)', '(9-4i)', '(9+9i)'] -> 3-6i + 3+i + 9-4i + 9+9i
[116849] ['(3-6i)', '(3+i)', '(9-3i)', '(9+8i)'] -> 3-6i + 3+i + 9-3i + 9+8i
[116851] ['(3-6i)', '(3+i)', '(9-2i)', '(9+3i)'] -> 9+3i / (3+i / 9-2i) - 3-6i
[116854] ['(3-6i)', '(3+i)', '(9-2i)', '(9+7i)'] -> 3-6i + 3+i + 9-2i + 9+7i
[116857] ['(3-6i)', '(3+i)', '(9-i)', '(9+6i)'] -> 3-6i + 3+i + 9-i + 9+6i
