[51377] ['(3-i)', '(6-5i)', '(8+3i)', '(9-2i)'] -> (((1-3i) - (9+i)) - (-4i * (1-8i)))
[51405] ['(3-i)', '(6-5i)', '(8+9i)', '(9+2i)'] -> (((8+9i) + ((6-5i) * (9+2i))) / (3-i))
[51456] ['(3-i)', '(6-4i)', '(6-4i)', '(9+9i)'] -> (((3-i) + (6-4i)) + ((6-4i) + (9+9i)))
[51466] ['(3-i)', '(6-4i)', '(6-3i)', '8'] -> (8 * ((6-3i) + ((3-i) - (6-4i))))
[51471] ['(3-i)', '(6-4i)', '(6-3i)', '(9+8i)'] -> (((3-i) + (6-4i)) + ((6-3i) + (9+8i)))
[51473] ['(3-i)', '(6-4i)', '(6-2i)', '(6+4i)'] -> ((((6-4i) + (6+4i)) * (6-2i)) / (3-i))
[51480] ['(3-i)', '(6-4i)', '(6-2i)', '(7+3i)'] -> (((3-i) * (7+3i)) + ((6-4i) - (6-2i)))
[51494] ['(3-i)', '(6-4i)', '(6-2i)', '(9+2i)'] -> ((6-4i) + (((9+2i) * (6-2i)) / (3-i)))
[51496] ['(3-i)', '(6-4i)', '(6-2i)', '(9+7i)'] -> ((2-2i) * ((4+6i) + ((1-4i) + (1+4i))))
[51516] ['(3-i)', '(6-4i)', '(6-i)', '(9+6i)'] -> (((2-8i) - (1-7i)) * ((4+7i) + (8+5i)))
[51520] ['(3-i)', '(6-4i)', '6', '6'] -> ((((6-4i) + 6) * 6) / (3-i))
[51524] ['(3-i)', '(6-4i)', '6', '(7-3i)'] -> (6 * ((7-3i) + ((3-i) - (6-4i))))
[51543] ['(3-i)', '(6-4i)', '6', '(9+5i)'] -> (((3-i) + (6-4i)) + (6 + (9+5i)))
[51563] ['(3-i)', '(6-4i)', '(6+i)', '(9+4i)'] -> (((3-i) + (6-4i)) + ((6+i) + (9+4i)))
[51566] ['(3-i)', '(6-4i)', '(6+2i)', '(6+6i)'] -> (((6-4i) * ((6+2i) - (3-i))) - (6+6i))
[51582] ['(3-i)', '(6-4i)', '(6+2i)', '(9+3i)'] -> (((5-3i) + (6-3i)) + ((6+6i) + 7))
[51601] ['(3-i)', '(6-4i)', '(6+3i)', '(9-7i)'] -> (((5-3i) + (6-3i)) + ((6+7i) + (7-i)))
[51604] ['(3-i)', '(6-4i)', '(6+3i)', '(9-3i)'] -> (((4-i) * (6-i)) - ((5-3i) - (6+7i)))
[51608] ['(3-i)', '(6-4i)', '(6+3i)', '(9+2i)'] -> (((3-i) + (6-4i)) + ((6+3i) + (9+2i)))
[51609] ['(3-i)', '(6-4i)', '(6+3i)', '(9+7i)'] -> ((6+3i) * ((3-i) + ((6-4i) / (9+7i))))
[51618] ['(3-i)', '(6-4i)', '(6+4i)', '8'] -> (((3-i) * 8) - ((6-4i) - (6+4i)))
[51625] ['(3-i)', '(6-4i)', '(6+4i)', '(9+i)'] -> (((1-4i) + (3-8i)) + ((1+4i) * (4-4i)))
[51643] ['(3-i)', '(6-4i)', '(6+5i)', '(9-3i)'] -> (((6+5i) * ((6-4i) - (3-i))) - (9-3i))
[51645] ['(3-i)', '(6-4i)', '(6+5i)', '9'] -> ((1-i) * ((7+8i) + ((2+8i) + (3-4i))))
[51649] ['(3-i)', '(6-4i)', '(6+5i)', '(9+5i)'] -> (((3-4i) + 5) + ((8-3i) + (8+7i)))
[51651] ['(3-i)', '(6-4i)', '(6+6i)', '(6+8i)'] -> (((3-i) * (6+6i)) + ((6-4i) - (6+8i)))
[51652] ['(3-i)', '(6-4i)', '(6+6i)', '(7-3i)'] -> ((6+9i) - ((6-3i) * ((5-3i) - (8-3i))))
[51658] ['(3-i)', '(6-4i)', '(6+6i)', '(8-i)'] -> (((3-i) * (6-4i)) * ((6+6i) / (8-i)))
