[282856] ['-3i', '(1-8i)', '(1-5i)', '(9-3i)'] -> 9-3i / (-3i / 1-8i) - 1-5i
[282858] ['-3i', '(1-8i)', '(1-4i)', '(1-4i)'] -> -3i * (1-4i / 1-4i - 1-8i)
[282867] ['-3i', '(1-8i)', '(1-4i)', '(2-4i)'] -> -3i * (2-4i - (1-8i + 1-4i))
[282869] ['-3i', '(1-8i)', '(1-4i)', '2'] -> -3i * 2 * (1-4i - 1-8i)
[282886] ['-3i', '(1-8i)', '(1-4i)', '(7+9i)'] -> -3i - 7+9i - 1-8i * 1-4i
[282898] ['-3i', '(1-8i)', '(1-3i)', '(1-3i)'] -> -3i * (1-3i / 1-3i - 1-8i)
[282901] ['-3i', '(1-8i)', '(1-3i)', '(2-3i)'] -> -3i * (2-3i - (1-8i + 1-3i))
[282909] ['-3i', '(1-8i)', '(1-3i)', '(4+7i)'] -> -3i - 1-8i + 1-3i * 4+7i
[282931] ['-3i', '(1-8i)', '(1-3i)', '(9+3i)'] -> -3i + 9+3i * 1-8i / 1-3i
[282935] ['-3i', '(1-8i)', '(1-2i)', '(1-2i)'] -> -3i * (1-2i / 1-2i - 1-8i)
[282937] ['-3i', '(1-8i)', '(1-2i)', '(1+3i)'] -> 1-8i * 1+3i - (-3i + 1-2i)
[282939] ['-3i', '(1-8i)', '(1-2i)', '(2-8i)'] -> 1-8i - 1-2i - -3i * 2-8i
[282940] ['-3i', '(1-8i)', '(1-2i)', '(2-2i)'] -> -3i * (2-2i - (1-8i + 1-2i))
[282941] ['-3i', '(1-8i)', '(1-2i)', '(2+8i)'] -> -3i * 2+8i - (1-8i - 1-2i)
[282956] ['-3i', '(1-8i)', '(1-2i)', '(6+3i)'] -> 3-2i * 7+7i - 2-i * 3+5i
[282958] ['-3i', '(1-8i)', '(1-2i)', '(7+i)'] -> 1-2i * (7+i - 1-8i) - -3i
[282961] ['-3i', '(1-8i)', '(1-2i)', '(7+9i)'] -> -3i - 1-8i + 1-2i * 7+9i
[282964] ['-3i', '(1-8i)', '(1-2i)', '(9-7i)'] -> -3i + 9-7i - 1-8i * 1-2i
[282970] ['-3i', '(1-8i)', '(1-i)', '(1-i)'] -> 7-7i - 2-3i * (3+3i - 4+8i)
[282974] ['-3i', '(1-8i)', '(1-i)', '(2-i)'] -> -3i * (2-i - (1-8i + 1-i))
[282982] ['-3i', '(1-8i)', '(1-i)', '(3+3i)'] -> -3i + 3+3i * 1-8i / 1-i
