[285387] ['(1-3i)', '(3-i)', '(5-3i)', '(6+2i)'] -> ((9-5i) - ((3-i) * ((2-i) - (6+2i))))
[285397] ['(1-3i)', '(3-i)', '(5-3i)', '8'] -> (((7+i) - (7+4i)) - (-3i * (1-8i)))
[285398] ['(1-3i)', '(3-i)', '(5-3i)', '(8+4i)'] -> ((((1-3i) + (5-3i)) * (8+4i)) / (3-i))
[285399] ['(1-3i)', '(3-i)', '(5-3i)', '(9-7i)'] -> ((3-i) + (((9-7i) * (5-3i)) / (1-3i)))
[285412] ['(1-3i)', '(3-i)', '(5-2i)', '(8+i)'] -> (((1-3i) + (3-i)) * ((8+i) - (5-2i)))
[285416] ['(1-3i)', '(3-i)', '(5-2i)', '(8+6i)'] -> (((1-3i) * ((8+6i) - (5-2i))) - (3-i))
[285422] ['(1-3i)', '(3-i)', '(5-i)', '(5-i)'] -> (((5-i) * (5-i)) - ((1-3i) * (3-i)))
[285423] ['(1-3i)', '(3-i)', '(5-i)', '(5+3i)'] -> (((1-3i) + (5-i)) + ((3-i) * (5+3i)))
[285424] ['(1-3i)', '(3-i)', '(5-i)', '(5+7i)'] -> (((1-3i) * (5-i)) + ((3-i) * (5+7i)))
[285435] ['(1-3i)', '(3-i)', '(5-i)', '(8+2i)'] -> (((1-3i) + (3-i)) * ((8+2i) - (5-i)))
[285439] ['(1-3i)', '(3-i)', '(5-i)', '(8+7i)'] -> (((1-3i) * ((8+7i) - (5-i))) - (3-i))
[285448] ['(1-3i)', '(3-i)', '5', '(6+3i)'] -> ((6+3i) * ((3-i) + ((1-3i) / 5)))
[285453] ['(1-3i)', '(3-i)', '5', '(7+3i)'] -> ((3-i) * ((7+3i) + ((1-3i) / 5)))
[285456] ['(1-3i)', '(3-i)', '5', '(8+3i)'] -> (((1-3i) + (3-i)) * ((8+3i) - 5))
[285463] ['(1-3i)', '(3-i)', '(5+i)', '(5+i)'] -> (((1-3i) * (3-i)) + ((5+i) * (5+i)))
[285470] ['(1-3i)', '(3-i)', '(5+i)', '(7+5i)'] -> (((1-3i) + (7+5i)) + ((3-i) * (5+i)))
[285474] ['(1-3i)', '(3-i)', '(5+i)', '(8+9i)'] -> (((1-3i) * ((8+9i) - (5+i))) - (3-i))
[285478] ['(1-3i)', '(3-i)', '(5+i)', '(9-i)'] -> (-3i * (((7+9i) / (7+9i)) - (1-8i)))
[285481] ['(1-3i)', '(3-i)', '(5+2i)', '(6+2i)'] -> (((1-3i) + (6+2i)) + ((3-i) * (5+2i)))
[285486] ['(1-3i)', '(3-i)', '(5+2i)', '(7+9i)'] -> ((7+9i) + ((3-i) * ((1-3i) + (5+2i))))
[285487] ['(1-3i)', '(3-i)', '(5+2i)', '(8-4i)'] -> (((3-i) * (5+2i)) - ((1-3i) - (8-4i)))
[285488] ['(1-3i)', '(3-i)', '(5+2i)', '8'] -> (8 * ((5+2i) + ((1-3i) - (3-i))))
