[406132] ['(1-2i)', '3', '(3+2i)', '4'] -> -3i * (4+5i + 5+9i - 9+6i)
[406140] ['(1-2i)', '3', '(3+2i)', '(6-4i)'] -> 6-9i + -3i * (4+5i - 7-i)
[406143] ['(1-2i)', '3', '(3+2i)', '(6+3i)'] -> 6+3i * (3 - 3+2i / 1-2i)
[406155] ['(1-2i)', '3', '(3+2i)', '(8-2i)'] -> 2-6i - 8 + 5+i * 6
[406163] ['(1-2i)', '3', '(3+2i)', '(9-3i)'] -> 5-i * (2+3i + 3-3i) - 1-5i
[406165] ['(1-2i)', '3', '(3+2i)', '9'] -> (1-2i + 3+2i) * (9 - 3)
[406170] ['(1-2i)', '3', '(3+3i)', '(4-i)'] -> 3 * (4-i + 1-2i + 3+3i)
[406175] ['(1-2i)', '3', '(3+3i)', '(5+i)'] -> 1-2i * 3+3i + 3 * 5+i
[406177] ['(1-2i)', '3', '(3+3i)', '(5+9i)'] -> 1-2i * 5+9i + 3+3i / 3
[406179] ['(1-2i)', '3', '(3+3i)', '(6-6i)'] -> (1-5i - 3-3i) * (2+3i - 8-3i)
[406181] ['(1-2i)', '3', '(3+3i)', '(6-5i)'] -> -8i * (1+i - 1-3i) - 8
[406183] ['(1-2i)', '3', '(3+3i)', '(6-2i)'] -> 1-5i + 8+2i + 2+3i * 3-3i
[406186] ['(1-2i)', '3', '(3+3i)', '(6+i)'] -> 3+3i + 3 * (1-2i + 6+i)
[406188] ['(1-2i)', '3', '(3+3i)', '(6+9i)'] -> 1-2i * 6+9i - (3 - 3+3i)
[406190] ['(1-2i)', '3', '(3+3i)', '(7+6i)'] -> 3+3i * (3 - 7+6i / 1-2i)
[406191] ['(1-2i)', '3', '(3+3i)', '(8-6i)'] -> 3+3i * (8-6i - (1-2i + 3))
[406196] ['(1-2i)', '3', '(3+3i)', '(8+3i)'] -> 3 * (1-2i + 8+3i) - 3+3i
[406199] ['(1-2i)', '3', '(3+3i)', '(9-6i)'] -> 3+3i * (1-2i + 9-6i / 3)
[406208] ['(1-2i)', '3', '(3+4i)', '(4-2i)'] -> 3 * (4-2i + 1-2i + 3+4i)
[406221] ['(1-2i)', '3', '(3+4i)', '(7+2i)'] -> -8i * (7+2i - 1-3i * 1+2i)
[406232] ['(1-2i)', '3', '(3+4i)', '(9-6i)'] -> -6i / 2-i * (9+8i - 5)
[406239] ['(1-2i)', '3', '(3+5i)', '(4-3i)'] -> 3 * (4-3i + 1-2i + 3+5i)
[406247] ['(1-2i)', '3', '(3+5i)', '(5-i)'] -> 3 * (1-2i * 3+5i - 5-i)
[406248] ['(1-2i)', '3', '(3+5i)', '(6-7i)'] -> 3 * (6-7i - (1-2i - 3+5i))
[406259] ['(1-2i)', '3', '(3+5i)', '(8+i)'] -> 1-2i * 3+5i + 3 + 8+i
[406262] ['(1-2i)', '3', '(3+5i)', '(8+7i)'] -> 8+7i + 1-2i * (3 + 3+5i)
[406266] ['(1-2i)', '3', '(3+5i)', '(9+3i)'] -> 1-2i * 9+3i + 3 * 3+5i
[406270] ['(1-2i)', '3', '(3+6i)', '(4-8i)'] -> 4-8i * (3 + 3+6i / 1-2i)
[406273] ['(1-2i)', '3', '(3+6i)', '(4-4i)'] -> 3 * (4-4i + 1-2i + 3+6i)
[406275] ['(1-2i)', '3', '(3+6i)', '4'] -> 4 * (3+6i + 1-2i * 3)
[406276] ['(1-2i)', '3', '(3+6i)', '(4+2i)'] -> 4+2i * (3 - 3+6i / 1-2i)
[406277] ['(1-2i)', '3', '(3+6i)', '(4+8i)'] -> 4+8i * (1-2i + 3 / 3+6i)
[406279] ['(1-2i)', '3', '(3+6i)', '(5+6i)'] -> (3 - 3+6i * 5+6i) / 1-2i
[406281] ['(1-2i)', '3', '(3+6i)', '(6-8i)'] -> -8i * (1-3i + 1+4i - 2-2i)
[406284] ['(1-2i)', '3', '(3+6i)', '(6-3i)'] -> (-3i - 6-3i) * (4+5i - 8+5i)
[406287] ['(1-2i)', '3', '(3+6i)', '7'] -> 3 * (1-2i * 3+6i - 7)
[406295] ['(1-2i)', '3', '(3+6i)', '(9-9i)'] -> (1-2i + 3+6i) / (3 / 9-9i)
[406301] ['(1-2i)', '3', '(3+7i)', '(4-5i)'] -> 3 * (4-5i + 1-2i + 3+7i)
[406302] ['(1-2i)', '3', '(3+7i)', '(4-i)'] -> 1-2i * 3+7i + 3 + 4-i
[406303] ['(1-2i)', '3', '(3+7i)', '(4+5i)'] -> 4+5i + 1-2i * (3 + 3+7i)
[406304] ['(1-2i)', '3', '(3+7i)', '(4+7i)'] -> 3+7i + 1-2i * (3 + 4+7i)
[406310] ['(1-2i)', '3', '(3+7i)', '(6-9i)'] -> 3 * (6-9i - (1-2i - 3+7i))
[406327] ['(1-2i)', '3', '(3+8i)', '(4-6i)'] -> 9-6i + -3i * (4+5i - 6)
[406338] ['(1-2i)', '3', '(3+8i)', '(6+3i)'] -> (3 - 3+8i) / (1-2i / 6+3i)
[406346] ['(1-2i)', '3', '(3+8i)', '(8-2i)'] -> 1-2i * 3+8i - (3 - 8-2i)
[406348] ['(1-2i)', '3', '(3+8i)', '(8+8i)'] -> 1-2i * 8+8i - (3 - 3+8i)
[406349] ['(1-2i)', '3', '(3+9i)', '(4-7i)'] -> 3 * (4-7i + 1-2i + 3+9i)
[406357] ['(1-2i)', '3', '(3+9i)', '(5+3i)'] -> 3 * (5+3i - 3+9i / 1-2i)
[406362] ['(1-2i)', '3', '(3+9i)', '(6-3i)'] -> 1-2i * 3+9i - (3 - 6-3i)
[406363] ['(1-2i)', '3', '(3+9i)', '(6-i)'] -> 3+9i + 3 * (1-2i + 6-i)
[406368] ['(1-2i)', '3', '(3+9i)', '(7-2i)'] -> 3+9i * (3 - 7-2i / 1-2i)
[406369] ['(1-2i)', '3', '(3+9i)', '(7+i)'] -> 3 * 7+i - 3+9i / 1-2i
[406370] ['(1-2i)', '3', '(3+9i)', '(7+4i)'] -> (3 - 7+4i) / (1-2i / 3+9i)
