[101379] ['-7i', '4i', '(1-8i)', '(5-8i)'] -> -7i * 4i + 1-8i - 5-8i
[101387] ['-7i', '4i', '(1-8i)', '(6+6i)'] -> 4i * 6+6i / (-7i - 1-8i)
[101393] ['-7i', '4i', '(1-8i)', '(8-3i)'] -> -7i - 8-3i + 4i * 1-8i
[101402] ['-7i', '4i', '(1-7i)', '(1-6i)'] -> 4i * (1-6i + -7i - 1-7i)
[101405] ['-7i', '4i', '(1-7i)', '(1+i)'] -> (-7i + 4i) * (1+i - 1-7i)
[101409] ['-7i', '4i', '(1-7i)', '(1+6i)'] -> 9+3i - 5-i * (6-7i - 9-7i)
[101416] ['-7i', '4i', '(1-7i)', '(3-7i)'] -> 3-7i - -7i * (4i + 1-7i)
[101418] ['-7i', '4i', '(1-7i)', '(3-3i)'] -> 4-4i * (3+4i + 3-6i - 3-5i)
[101423] ['-7i', '4i', '(1-7i)', '(3+7i)'] -> -4i * (1+4i * 2-i - 6+i)
[101425] ['-7i', '4i', '(1-7i)', '(4-3i)'] -> -7i - 4-3i + 4i * 1-7i
[101428] ['-7i', '4i', '(1-7i)', '(5-7i)'] -> -7i * 4i + 1-7i - 5-7i
[101444] ['-7i', '4i', '(1-7i)', '(7+7i)'] -> 4i * (1-7i + 7+7i / -7i)
[101459] ['-7i', '4i', '(1-6i)', '(1-5i)'] -> (9-9i - 1-9i) / (1-i / 3-3i)
[101462] ['-7i', '4i', '(1-6i)', '(1+2i)'] -> (-7i + 4i) * (1+2i - 1-6i)
[101465] ['-7i', '4i', '(1-6i)', '(1+7i)'] -> 2+i * 8-4i - (2-8i - 6-8i)
[101480] ['-7i', '4i', '(1-6i)', '(3+3i)'] -> (-7i - 1-6i) * 4i * 3+3i
[101482] ['-7i', '4i', '(1-6i)', '(3+6i)'] -> (3-5i + 3+5i) * (7-6i - 3-6i)
[101493] ['-7i', '4i', '(1-6i)', '(5-6i)'] -> -7i * 4i + 1-6i - 5-6i
[101502] ['-7i', '4i', '(1-6i)', '(6-6i)'] -> 4i * 6-6i / (1-6i - -7i)
[101503] ['-7i', '4i', '(1-6i)', '(6-3i)'] -> 6-3i - 1-6i * (-7i + 4i)
[101521] ['-7i', '4i', '(1-5i)', '(1-4i)'] -> 4i * (1-4i + -7i - 1-5i)
[101524] ['-7i', '4i', '(1-5i)', '(1+3i)'] -> (-7i + 4i) * (1+3i - 1-5i)
[101525] ['-7i', '4i', '(1-5i)', '(1+8i)'] -> (4-7i + 8+7i) * (7+5i - 5+5i)
[101533] ['-7i', '4i', '(1-5i)', '(3+5i)'] -> 3-i * 8 - (1-9i - 1-i)
[101542] ['-7i', '4i', '(1-5i)', '(4+3i)'] -> -7i + 4+3i + 4i * 1-5i
[101544] ['-7i', '4i', '(1-5i)', '(5-5i)'] -> -7i * 4i + 1-5i - 5-5i
[101558] ['-7i', '4i', '(1-5i)', '(7-7i)'] -> 4i * (1-5i - 7-7i / -7i)
[101575] ['-7i', '4i', '(1-5i)', '(9-3i)'] -> 9-3i - 1-5i * (-7i + 4i)
[101581] ['-7i', '4i', '(1-4i)', '(1-3i)'] -> 4i * (1-3i + -7i - 1-4i)
[101584] ['-7i', '4i', '(1-4i)', '(1+4i)'] -> (-7i + 4i) * (1+4i - 1-4i)
[101586] ['-7i', '4i', '(1-4i)', '(1+9i)'] -> 4i * (1-4i - (-7i + 1+9i))
[101601] ['-7i', '4i', '(1-4i)', '(3+4i)'] -> -7i * 4i - (1-4i + 3+4i)
[101614] ['-7i', '4i', '(1-4i)', '(4+5i)'] -> (-9i + 8+9i) * (-7i + 3+7i)
[101620] ['-7i', '4i', '(1-4i)', '(5-4i)'] -> (1-9i + 5+9i) * (1-i + 3+i)
[101639] ['-7i', '4i', '(1-4i)', '(8+3i)'] -> -7i + 8+3i + 4i * 1-4i
[101643] ['-7i', '4i', '(1-3i)', '(1-2i)'] -> 4i * (1-2i + -7i - 1-3i)
[101647] ['-7i', '4i', '(1-3i)', '(1+5i)'] -> (-7i + 4i) * (1+5i - 1-3i)
[101657] ['-7i', '4i', '(1-3i)', '(3-3i)'] -> 3+3i * (1-3i + -i * 1+3i)
[101659] ['-7i', '4i', '(1-3i)', '(3+3i)'] -> -7i * 4i - (1-3i + 3+3i)
[101670] ['-7i', '4i', '(1-3i)', '(5-3i)'] -> -7i * 4i + 1-3i - 5-3i
[101696] ['-7i', '4i', '(1-2i)', '(1-i)'] -> 4i * (1-i + -7i - 1-2i)
[101697] ['-7i', '4i', '(1-2i)', '(1+6i)'] -> (-7i + 4i) * (1+6i - 1-2i)
[101703] ['-7i', '4i', '(1-2i)', '(2+7i)'] -> 1-i * 7+9i + 4-9i + 4+7i
[101709] ['-7i', '4i', '(1-2i)', '(3+2i)'] -> -7i * 4i - (1-2i + 3+2i)
[101714] ['-7i', '4i', '(1-2i)', '(4-8i)'] -> 3+3i * (1-i * 9-4i - 1-9i)
[101719] ['-7i', '4i', '(1-2i)', '(5-2i)'] -> -7i * 4i + 1-2i - 5-2i
[101728] ['-7i', '4i', '(1-2i)', '(6+9i)'] -> 1-2i * 6+9i - (-7i + 4i)
[101750] ['-7i', '4i', '(1-i)', '1'] -> 4-4i * (9-8i - (3-6i + 3-5i))
[101755] ['-7i', '4i', '(1-i)', '(1+7i)'] -> (2-5i - 8-5i) * (5-6i - 9-6i)
[101758] ['-7i', '4i', '(1-i)', '(2+2i)'] -> -7i * 4i - 1-i * 2+2i
[101768] ['-7i', '4i', '(1-i)', '(3+i)'] -> -7i * 4i - (1-i + 3+i)
[101771] ['-7i', '4i', '(1-i)', '(3+4i)'] -> (-7i + 3+4i) * 4i * 1-i
[101772] ['-7i', '4i', '(1-i)', '(3+7i)'] -> 3+7i + -7i * (4i + 1-i)
[101776] ['-7i', '4i', '(1-i)', '(4-4i)'] -> -7i * 4i - 4-4i / 1-i
