[215932] ['-i', '(3-i)', '(6-6i)', '(7+i)'] -> 6-6i * (7+i / 3-i - -i)
[215936] ['-i', '(3-i)', '(6-6i)', '(8+3i)'] -> (8+3i - -i) * 6-6i / 3-i
[215937] ['-i', '(3-i)', '(6-6i)', '(8+5i)'] -> (-i + 8+5i) * 6-6i / 3-i
[215939] ['-i', '(3-i)', '(6-6i)', '(9+7i)'] -> 6-6i * (-i + 9+7i / 3-i)
[215948] ['-i', '(3-i)', '(6-5i)', '(8+4i)'] -> (-i + 6-5i) * 8+4i / 3-i
[215992] ['-i', '(3-i)', '(6-2i)', '8'] -> 8 * (6-2i - (-i + 3-i))
[216004] ['-i', '(3-i)', '(6-i)', '(7+8i)'] -> 2-9i - 7-6i + 3-4i * 3+5i
[216009] ['-i', '(3-i)', '(6-i)', '(8+i)'] -> (-i + 8+i) * (6-i - 3-i)
[216016] ['-i', '(3-i)', '(6-i)', '(9+3i)'] -> -i - 6-i + 3-i * 9+3i
[216017] ['-i', '(3-i)', '6', '(6+5i)'] -> 3-i * 6 - (-i - 6+5i)
[216018] ['-i', '(3-i)', '6', '(6+7i)'] -> 3-2i + 5+5i + 7+6i + 9-9i
[216022] ['-i', '(3-i)', '6', '(7-2i)'] -> 6 * (7-2i - (-i + 3-i))
[216023] ['-i', '(3-i)', '6', '7'] -> 6 * (7 + -i - 3-i)
[216026] ['-i', '(3-i)', '6', '(7+9i)'] -> (4-6i - 3-5i) * (6+4i + 6+8i)
[216028] ['-i', '(3-i)', '6', '8'] -> 8 * (6 + -i - 3-i)
[216034] ['-i', '(3-i)', '6', '(9+2i)'] -> 3-i * (9+2i - -i) - 6
[216035] ['-i', '(3-i)', '6', '(9+4i)'] -> 3-i * (-i + 9+4i) - 6
[216036] ['-i', '(3-i)', '(6+i)', '(6+6i)'] -> 3+9i * (2-2i - 6-2i / 4-3i)
[216040] ['-i', '(3-i)', '(6+i)', '(7-i)'] -> (-i + 6+i) * (7-i - 3-i)
[216050] ['-i', '(3-i)', '(6+i)', '(9+3i)'] -> 3-i * 9+3i - (-i + 6+i)
[216059] ['-i', '(3-i)', '(6+2i)', '(8-8i)'] -> (6+2i - -i) * 8-8i / 3-i
[216076] ['-i', '(3-i)', '(6+3i)', '(8-9i)'] -> 8+5i + 9-6i - (1-4i - 8-3i)
[216079] ['-i', '(3-i)', '(6+3i)', '(8-7i)'] -> 2+2i * (6-5i + 1-6i - 1-5i)
[216083] ['-i', '(3-i)', '(6+3i)', '(8+8i)'] -> -i / 3-i * 6+3i * 8+8i
[216086] ['-i', '(3-i)', '(6+3i)', '(9-5i)'] -> 6+3i * (-i + 9-5i / 3-i)
[216094] ['-i', '(3-i)', '(6+4i)', '(8-8i)'] -> (-i + 6+4i) * 8-8i / 3-i
[216116] ['-i', '(3-i)', '(6+6i)', '(6+6i)'] -> 6+6i * (-i + 3-i) - 6+6i
[216123] ['-i', '(3-i)', '(6+6i)', '(8+4i)'] -> -i / 3-i * 6+6i * 8+4i
[216131] ['-i', '(3-i)', '(6+7i)', '(8+9i)'] -> 6+7i * (-i + 3-i) - 8+9i
[216151] ['-i', '(3-i)', '(6+9i)', '(8+6i)'] -> -i - 6+9i + 3-i * 8+6i
[216222] ['-i', '(3-i)', '(7-3i)', '(8+4i)'] -> 8+4i * (-i + 7-3i / 3-i)
[216226] ['-i', '(3-i)', '(7-3i)', '(9-3i)'] -> 9-3i * (7-3i / 3-i - -i)
[216263] ['-i', '(3-i)', '(7+i)', '(7+5i)'] -> 7+5i * (-i + 3-i) - 7+i
[216288] ['-i', '(3-i)', '(7+2i)', '(9+4i)'] -> -i - 7+2i + 3-i * 9+4i
[216296] ['-i', '(3-i)', '(7+3i)', '(9+3i)'] -> 3-i * (9+3i - -i) - 7+3i
[216298] ['-i', '(3-i)', '(7+3i)', '(9+5i)'] -> 3-i * (-i + 9+5i) - 7+3i
[216309] ['-i', '(3-i)', '(7+4i)', '(9+4i)'] -> 3-i * 9+4i - (-i + 7+4i)
[216323] ['-i', '(3-i)', '(7+6i)', '(8-8i)'] -> 8-8i * (-i + 7+6i / 3-i)
[216333] ['-i', '(3-i)', '(7+6i)', '(9+4i)'] -> 7+6i * (-i + 3-i) - 9+4i
[216386] ['-i', '(3-i)', '(8-6i)', '8'] -> 8 * (8-6i / 3-i - -i)
[216400] ['-i', '(3-i)', '(8-4i)', '(8+4i)'] -> 3-5i + 4-6i + 8+2i + 9+9i
[216428] ['-i', '(3-i)', '(8-i)', '(9-3i)'] -> 3-2i * 7+7i - (5+6i + 6+i)
[216433] ['-i', '(3-i)', '8', '(9-6i)'] -> 1-5i * 3+5i - (1-6i + 3-4i)
[216436] ['-i', '(3-i)', '8', '(9-4i)'] -> (9-4i - -i) * 8 / 3-i
[216437] ['-i', '(3-i)', '8', '(9-2i)'] -> (-i + 9-2i) * 8 / 3-i
[216438] ['-i', '(3-i)', '8', '9'] -> 3-5i + 4-6i + 8+8i + 9+3i
[216451] ['-i', '(3-i)', '(8+i)', '(9-3i)'] -> (-i + 8+i) * 9-3i / 3-i
[216471] ['-i', '(3-i)', '(8+5i)', '(9+5i)'] -> -i - 8+5i + 3-i * 9+5i
[216477] ['-i', '(3-i)', '(8+6i)', '(9+4i)'] -> 3-i * (9+4i - -i) - 8+6i
[216478] ['-i', '(3-i)', '(8+6i)', '(9+6i)'] -> 3-i * (-i + 9+6i) - 8+6i
[216488] ['-i', '(3-i)', '(8+7i)', '(9+5i)'] -> 3-i * 9+5i - (-i + 8+7i)
[216502] ['-i', '(3-i)', '(9-9i)', '(9+3i)'] -> 9+3i * (-i + 3-i) - 9-9i
[216525] ['-i', '(3-i)', '(9-3i)', '(9+3i)'] -> 9-3i * (-i + 9+3i / 3-i)
