[4035] ['(8-5i)', '(8-i)', '(8+i)', '(8+5i)'] -> (((8-5i) * (8+5i)) - ((8-i) * (8+i)))
[8] ['(6-2i)', '(6-2i)', '6', '(8-6i)'] -> (((9-8i) - (9-2i)) * ((9-3i) - (9-7i)))
[9] ['(6-2i)', '(6-2i)', '6', '(8-4i)'] -> (6 * (((6-2i) + (6-2i)) - (8-4i)))
[14] ['(6-2i)', '(6-2i)', '(6+i)', '(8-4i)'] -> ((8-8i) - ((4-8i) * ((4-8i) - (4-6i))))
[23] ['(6-2i)', '(6-2i)', '(6+2i)', '(6+2i)'] -> ((2-3i) - ((2-5i) * ((2-5i) - (3-i))))
[28] ['(6-2i)', '(6-2i)', '(6+2i)', '(8-2i)'] -> (((6-2i) + (6+2i)) * ((8-2i) - (6-2i)))
[43] ['(6-2i)', '(6-2i)', '(7-8i)', '8'] -> (((7-8i) * (8 - (6-2i))) - (6-2i))
[75] ['(6-2i)', '(6-2i)', '(7-3i)', '8'] -> (((7-3i) * 8) - ((6-2i) * (6-2i)))
[161] ['(6-2i)', '(6-2i)', '(8-4i)', '(8+7i)'] -> (((8+7i) * ((8-4i) - (6-2i))) - (6-2i))
[177] ['(6-2i)', '(6-2i)', '8', '(9-4i)'] -> (8 * (((6-2i) + (6-2i)) - (9-4i)))
[253] ['(6-2i)', '(6-i)', '6', '(8-3i)'] -> (6 * (((6-2i) + (6-i)) - (8-3i)))
[257] ['(6-2i)', '(6-i)', '(6+i)', '(6+2i)'] -> (((8-4i) - (8+2i)) * ((9+6i) - (9+2i)))
[258] ['(6-2i)', '(6-i)', '(6+i)', '(7+2i)'] -> (((6-i) * (6+i)) - ((6-2i) + (7+2i)))
[261] ['(6-2i)', '(6-i)', '(6+i)', '(8-5i)'] -> (((6-2i) * (6+i)) - ((6-i) + (8-5i)))
[262] ['(6-2i)', '(6-i)', '(6+i)', '(8-2i)'] -> (((6-i) + (6+i)) * ((8-2i) - (6-2i)))
[270] ['(6-2i)', '(6-i)', '(6+2i)', '(8-i)'] -> (((6-2i) + (6+2i)) * ((8-i) - (6-i)))
[271] ['(6-2i)', '(6-i)', '(6+2i)', '(8+8i)'] -> (((6-i) * (6+2i)) - ((6-2i) + (8+8i)))
[273] ['(6-2i)', '(6-i)', '(6+2i)', '(9+4i)'] -> (((6-2i) * (9+4i)) - ((6-i) * (6+2i)))
[277] ['(6-2i)', '(6-i)', '(7-9i)', '(8+6i)'] -> ((6-i) + (((8+6i) * (7-9i)) / (6-2i)))
[282] ['(6-2i)', '(6-i)', '(7-8i)', '(8+i)'] -> (((7-8i) * ((8+i) - (6-i))) - (6-2i))
[428] ['(6-2i)', '(6-i)', '(8-3i)', '(8+7i)'] -> (((8+7i) * ((8-3i) - (6-i))) - (6-2i))
[450] ['(6-2i)', '(6-i)', '8', '(9-3i)'] -> (8 * (((6-2i) + (6-i)) - (9-3i)))
[512] ['(6-2i)', '6', '6', '(9-3i)'] -> (((5+8i) * ((1-i) + (1-i))) - (2+6i))
[514] ['(6-2i)', '6', '6', '(9+3i)'] -> (((6-2i) * (9+3i)) - (6 * 6))
[516] ['(6-2i)', '6', '(6+i)', '(6+i)'] -> (((6-2i) + 6) + ((6+i) + (6+i)))
[520] ['(6-2i)', '6', '(6+i)', '(8-6i)'] -> (((6-2i) * (6+i)) - (6 + (8-6i)))
[522] ['(6-2i)', '6', '(6+i)', '(8-i)'] -> (6 * (((6-2i) + (6+i)) - (8-i)))
[538] ['(6-2i)', '6', '(7-8i)', '(8+2i)'] -> (((7-8i) * ((8+2i) - 6)) - (6-2i))
[548] ['(6-2i)', '6', '(7-7i)', '(9-9i)'] -> (6 * (((6-2i) + (7-7i)) - (9-9i)))
[554] ['(6-2i)', '6', '(7-6i)', '(9-8i)'] -> (6 * (((6-2i) + (7-6i)) - (9-8i)))
[561] ['(6-2i)', '6', '(7-5i)', '(9-7i)'] -> (((3-4i) * (5+5i)) - ((3-4i) + (8-i)))
[568] ['(6-2i)', '6', '(7-4i)', '(9-6i)'] -> ((6+6i) * (((3-i) * (3-i)) - (6-4i)))
[573] ['(6-2i)', '6', '(7-3i)', '(9-8i)'] -> (((6-2i) * 6) * ((7-3i) / (9-8i)))
[574] ['(6-2i)', '6', '(7-3i)', '(9-5i)'] -> (6 * (((6-2i) + (7-3i)) - (9-5i)))
[582] ['(6-2i)', '6', '(7-2i)', '(9-4i)'] -> (6 * (((6-2i) + (7-2i)) - (9-4i)))
[596] ['(6-2i)', '6', '(7-i)', '(9-3i)'] -> (6 * (((6-2i) + (7-i)) - (9-3i)))
[603] ['(6-2i)', '6', '7', '(9-2i)'] -> (6 * (((6-2i) + 7) - (9-2i)))
[613] ['(6-2i)', '6', '(7+i)', '(9-i)'] -> (6 * (((6-2i) + (7+i)) - (9-i)))
[625] ['(6-2i)', '6', '(7+2i)', '9'] -> (6 * (((6-2i) + (7+2i)) - 9))
[630] ['(6-2i)', '6', '(7+3i)', '(9+i)'] -> (6 * (((6-2i) + (7+3i)) - (9+i)))
[631] ['(6-2i)', '6', '(7+3i)', '(9+6i)'] -> (((6-2i) * (9+6i)) - (6 * (7+3i)))
[636] ['(6-2i)', '6', '(7+4i)', '(9+2i)'] -> (6 * (((6-2i) + (7+4i)) - (9+2i)))
[641] ['(6-2i)', '6', '(7+5i)', '(9+3i)'] -> (6 * (((6-2i) + (7+5i)) - (9+3i)))
[649] ['(6-2i)', '6', '(7+6i)', '(9+4i)'] -> (6 * (((6-2i) + (7+6i)) - (9+4i)))
[652] ['(6-2i)', '6', '(7+7i)', '(9+5i)'] -> (((8-3i) - 8) * ((9+i) - (9-7i)))
[657] ['(6-2i)', '6', '(7+8i)', '(9+6i)'] -> (6 * (((6-2i) + (7+8i)) - (9+6i)))
[660] ['(6-2i)', '6', '(7+9i)', '(9+7i)'] -> (((7-6i) - (7-4i)) * ((8+3i) - (8-9i)))
[669] ['(6-2i)', '6', '(8-8i)', '(8-4i)'] -> ((6 * (8-8i)) / ((8-4i) - (6-2i)))
[685] ['(6-2i)', '6', '(8-4i)', '(8-3i)'] -> ((6 * (8-4i)) / ((8-3i) - (6-2i)))
[692] ['(6-2i)', '6', '(8-2i)', '8'] -> (((4-2i) * (5+2i)) - ((4-i) - (4+i)))
[695] ['(6-2i)', '6', '(8-2i)', '(8+7i)'] -> (((8+7i) * ((8-2i) - 6)) - (6-2i))
[700] ['(6-2i)', '6', '(8-i)', '(8+4i)'] -> ((6 * (8+4i)) / ((8-i) - (6-2i)))
[707] ['(6-2i)', '6', '8', '(8+8i)'] -> ((6 * (8+8i)) / (8 - (6-2i)))
[711] ['(6-2i)', '6', '8', '(9-2i)'] -> (8 * (((6-2i) + 6) - (9-2i)))
[726] ['(6-2i)', '6', '(8+4i)', '(9-9i)'] -> (8 * ((3-2i) - ((1-i) * (1-i))))
[736] ['(6-2i)', '6', '(8+6i)', '(9+9i)'] -> (((6-2i) * (9+9i)) - (6 * (8+6i)))
[766] ['(6-2i)', '6', '(9-3i)', '(9-i)'] -> (((9-3i) * ((9-i) - (6-2i))) - 6)
[768] ['(6-2i)', '6', '(9-3i)', '(9+3i)'] -> (3 * ((1-i) + ((8-6i) / (1-i))))
[794] ['(6-2i)', '(6+i)', '(6+i)', '(8-7i)'] -> (((6-2i) * (6+i)) - ((6+i) + (8-7i)))
[802] ['(6-2i)', '(6+i)', '(7-9i)', '(7+3i)'] -> (((6-2i) * (6+i)) - ((7-9i) + (7+3i)))
