[112718] ['(1-4i)', '(3-9i)', '3', '(8-8i)'] -> (((3-7i) - (1-7i)) * ((6-9i) + (6+9i)))
[112722] ['(1-4i)', '(3-9i)', '3', '(8+i)'] -> (3 * ((8-6i) - ((3-6i) - 3)))
[112766] ['(1-4i)', '(3-9i)', '(3+i)', '(7-3i)'] -> ((3-9i) * (((7-3i) / (3+i)) - (1-4i)))
[112788] ['(1-4i)', '(3-9i)', '(3+2i)', '(4+5i)'] -> ((-9i + (4+9i)) * (-5i + (6+5i)))
[112812] ['(1-4i)', '(3-9i)', '(3+2i)', '(8+8i)'] -> (((3-9i) * (8+8i)) / ((1-4i) + (3+2i)))
[112821] ['(1-4i)', '(3-9i)', '(3+3i)', '(4+2i)'] -> ((3-9i) + ((3+3i) * ((1-4i) + (4+2i))))
[112839] ['(1-4i)', '(3-9i)', '(3+3i)', '(6-9i)'] -> (((4-7i) + 6) + ((6+7i) + 8))
[112851] ['(1-4i)', '(3-9i)', '(3+3i)', '(6+6i)'] -> ((6+6i) * ((1-4i) - ((3-9i) / (3+3i))))
[112859] ['(1-4i)', '(3-9i)', '(3+3i)', '(8+2i)'] -> ((((3-9i) - (3+3i)) * (8+2i)) / (1-4i))
[112862] ['(1-4i)', '(3-9i)', '(3+3i)', '(9-2i)'] -> ((3+3i) + (((9-2i) * (3-9i)) / (1-4i)))
[112868] ['(1-4i)', '(3-9i)', '(3+4i)', '(3+9i)'] -> (((6+6i) * (6+6i)) / (4 - (4-3i)))
[112889] ['(1-4i)', '(3-9i)', '(3+4i)', '(8-i)'] -> (((1-4i) * (3+4i)) - ((3-9i) - (8-i)))
[112891] ['(1-4i)', '(3-9i)', '(3+4i)', '(9-9i)'] -> (((1-4i) + (3+4i)) * ((9-9i) - (3-9i)))
[112898] ['(1-4i)', '(3-9i)', '(3+5i)', '(4-2i)'] -> (((1-4i) * (3+5i)) - ((3-9i) - (4-2i)))
[112910] ['(1-4i)', '(3-9i)', '(3+5i)', '(7-5i)'] -> (((3+5i) * ((3-9i) - (1-4i))) - (7-5i))
[112946] ['(1-4i)', '(3-9i)', '(3+6i)', '(9-3i)'] -> ((3+6i) * ((1-4i) + ((9-3i) / (3-9i))))
[112954] ['(1-4i)', '(3-9i)', '(3+7i)', '(4+4i)'] -> (((1-4i) * (3+7i)) - ((3-9i) + (4+4i)))
