[193551] ['-4i', '(3-i)', '(5+i)', '(8-2i)'] -> (((3-i) * (5+i)) - (-4i - (8-2i)))
[193554] ['-4i', '(3-i)', '(5+i)', '(9+2i)'] -> (((3-i) * (9+2i)) - (-4i + (5+i)))
[193559] ['-4i', '(3-i)', '(5+2i)', '(7-5i)'] -> (((3-i) * (5+2i)) - (-4i - (7-5i)))
[193562] ['-4i', '(3-i)', '(5+2i)', '(7+3i)'] -> ((-4i + (7+3i)) + ((3-i) * (5+2i)))
[193566] ['-4i', '(3-i)', '(5+2i)', '(8-5i)'] -> (-4i * (((3-i) + (5+2i)) - (8-5i)))
[193568] ['-4i', '(3-i)', '(5+2i)', '(8+7i)'] -> (-4i * ((8+7i) - ((3-i) + (5+2i))))
[193573] ['-4i', '(3-i)', '(5+3i)', '(6-8i)'] -> (((3-i) * (5+3i)) - (-4i - (6-8i)))
[193575] ['-4i', '(3-i)', '(5+3i)', '6'] -> (((2-4i) * (5+5i)) + ((3+7i) - (9-3i)))
[193578] ['-4i', '(3-i)', '(5+3i)', '(6+5i)'] -> ((5+3i) + ((3-i) * (-4i + (6+5i))))
[193584] ['-4i', '(3-i)', '(5+3i)', '(8-4i)'] -> (-4i * (((3-i) + (5+3i)) - (8-4i)))
[193585] ['-4i', '(3-i)', '(5+3i)', '(8+5i)'] -> ((-4i - (5+3i)) + ((3-i) * (8+5i)))
[193595] ['-4i', '(3-i)', '(5+4i)', '(8-3i)'] -> (-4i * (((3-i) + (5+4i)) - (8-3i)))
[193598] ['-4i', '(3-i)', '(5+4i)', '(8+9i)'] -> (-4i * ((8+9i) - ((3-i) + (5+4i))))
[193601] ['-4i', '(3-i)', '(5+4i)', '(9+5i)'] -> ((9+5i) + ((3-i) * (-4i + (5+4i))))
[193603] ['-4i', '(3-i)', '(5+5i)', '(6-6i)'] -> ((6-6i) * ((5+5i) + (-4i - (3-i))))
[193610] ['-4i', '(3-i)', '(5+5i)', '(8-2i)'] -> (-4i * (((3-i) + (5+5i)) - (8-2i)))
[193612] ['-4i', '(3-i)', '(5+5i)', '(8+2i)'] -> ((1-i) * (-9i - ((1-2i) * (6-9i))))
[193629] ['-4i', '(3-i)', '(5+6i)', '(7-i)'] -> ((7-i) + ((3-i) * (-4i + (5+6i))))
[193633] ['-4i', '(3-i)', '(5+6i)', '(8-i)'] -> (-4i * (((3-i) + (5+6i)) - (8-i)))
[193643] ['-4i', '(3-i)', '(5+7i)', '(6-4i)'] -> ((6-4i) + ((3-i) * (-4i + (5+7i))))
[193645] ['-4i', '(3-i)', '(5+7i)', '(6+i)'] -> ((-4i + (5+7i)) + ((3-i) * (6+i)))
[193652] ['-4i', '(3-i)', '(5+7i)', '(8-8i)'] -> ((-4i * ((5+7i) - (3-i))) - (8-8i))
[193654] ['-4i', '(3-i)', '(5+7i)', '8'] -> (-4i * (((3-i) + (5+7i)) - 8))
[193655] ['-4i', '(3-i)', '(5+7i)', '(8+i)'] -> (((3-i) * ((8+i) - -4i)) - (5+7i))
[193657] ['-4i', '(3-i)', '(5+7i)', '(8+9i)'] -> (((5-5i) - (5+3i)) * ((7+4i) - (7+i)))
[193676] ['-4i', '(3-i)', '(5+8i)', '(8+i)'] -> (-4i * (((3-i) + (5+8i)) - (8+i)))
[193685] ['-4i', '(3-i)', '(5+9i)', '(7-2i)'] -> (((3-i) * (7-2i)) - (-4i - (5+9i)))
[193692] ['-4i', '(3-i)', '(5+9i)', '(8+2i)'] -> (-4i * (((3-i) + (5+9i)) - (8+2i)))
[193706] ['-4i', '(3-i)', '(6-9i)', '(9-4i)'] -> (-4i * ((9-4i) - ((3-i) + (6-9i))))
[193721] ['-4i', '(3-i)', '(6-8i)', '(9-3i)'] -> (-4i * ((9-3i) - ((3-i) + (6-8i))))
[193745] ['-4i', '(3-i)', '(6-7i)', '(9-2i)'] -> (-4i * ((9-2i) - ((3-i) + (6-7i))))
[193748] ['-4i', '(3-i)', '(6-6i)', '(6-3i)'] -> (((3-i) * (6-6i)) - (-4i * (6-3i)))
[193750] ['-4i', '(3-i)', '(6-6i)', '(6+9i)'] -> ((-4i * (6+9i)) - ((3-i) * (6-6i)))
[193759] ['-4i', '(3-i)', '(6-6i)', '8'] -> (((8 - -4i) * (6-6i)) / (3-i))
[193761] ['-4i', '(3-i)', '(6-6i)', '(8+8i)'] -> ((5+4i) - ((3-2i) * ((4+3i) - (9+5i))))
[193763] ['-4i', '(3-i)', '(6-6i)', '(9-i)'] -> (-4i * ((9-i) - ((3-i) + (6-6i))))
[193775] ['-4i', '(3-i)', '(6-5i)', '8'] -> (8 * ((6-5i) - (-4i + (3-i))))
[193776] ['-4i', '(3-i)', '(6-5i)', '9'] -> (-4i * (9 - ((3-i) + (6-5i))))
[193778] ['-4i', '(3-i)', '(6-5i)', '(9+3i)'] -> (((6-5i) * ((3-i) - -4i)) - (9+3i))
[193789] ['-4i', '(3-i)', '(6-4i)', '(9+i)'] -> (-4i * ((9+i) - ((3-i) + (6-4i))))
[193791] ['-4i', '(3-i)', '(6-4i)', '(9+3i)'] -> ((-4i - (6-4i)) + ((3-i) * (9+3i)))
[193803] ['-4i', '(3-i)', '(6-3i)', '(9+2i)'] -> (-4i * ((9+2i) - ((3-i) + (6-3i))))
[193805] ['-4i', '(3-i)', '(6-2i)', '(6+3i)'] -> ((6+3i) * ((3-i) + (-4i / (6-2i))))
[193809] ['-4i', '(3-i)', '(6-2i)', '(7+3i)'] -> ((3-i) * ((7+3i) + (-4i / (6-2i))))
