[247064] ['-9i', '(2-i)', '3', '(5-6i)'] -> 3 * 5-6i - -9i * 2-i
[247065] ['-9i', '(2-i)', '3', '(5-2i)'] -> 3 * (2-i * 5-2i - -9i)
[247068] ['-9i', '(2-i)', '3', '(6-8i)'] -> 3 * (6-8i - (-9i - 2-i))
[247069] ['-9i', '(2-i)', '3', '(6-6i)'] -> 6-6i * (2-i - -9i / 3)
[247071] ['-9i', '(2-i)', '3', '(6-2i)'] -> 3 * (2-i + 6-2i) - -9i
[247073] ['-9i', '(2-i)', '3', '(6+4i)'] -> -9i + 3 * (2-i + 6+4i)
[247074] ['-9i', '(2-i)', '3', '(6+5i)'] -> -9i * (6+5i / 3 - 2-i)
[247082] ['-9i', '(2-i)', '3', '(9+6i)'] -> -9i / 3 + 2-i * 9+6i
[247083] ['-9i', '(2-i)', '3', '(9+9i)'] -> -9i - 3 + 2-i * 9+9i
[247105] ['-9i', '(2-i)', '(3+i)', '(9-6i)'] -> 3+i * (9-6i - -9i / 2-i)
[247116] ['-9i', '(2-i)', '(3+2i)', '(7+7i)'] -> -9i + 3+2i + 2-i * 7+7i
[247126] ['-9i', '(2-i)', '(3+3i)', '(3+5i)'] -> (3+3i + -9i * 3+5i) / 2-i
[247127] ['-9i', '(2-i)', '(3+3i)', '(4-3i)'] -> (-9i + 4-3i) / (2-i / 3+3i)
[247132] ['-9i', '(2-i)', '(3+3i)', '(6+4i)'] -> 3+3i * (6+4i + -9i - 2-i)
[247180] ['-9i', '(2-i)', '(3+6i)', '(4-2i)'] -> 4-2i * (3+6i + -9i / 2-i)
[247186] ['-9i', '(2-i)', '(3+6i)', '(6-3i)'] -> (-9i * 3+6i - 6-3i) / 2-i
[247189] ['-9i', '(2-i)', '(3+6i)', '(6+3i)'] -> 2-2i * (9+2i + 5+i - 8-3i)
[247232] ['-9i', '(2-i)', '(3+7i)', '(8+5i)'] -> -9i + 3+7i + 2-i * 8+5i
[247273] ['-9i', '(2-i)', '(3+9i)', '(6+i)'] -> (-9i + 3+9i) * (2-i + 6+i)
[247285] ['-9i', '(2-i)', '(3+9i)', '(9-6i)'] -> -9i + 9-6i + 2-i * 3+9i
[247286] ['-9i', '(2-i)', '(3+9i)', '9'] -> 2-i * (9 - -9i) - 3+9i
[247291] ['-9i', '(2-i)', '(4-9i)', '(4+i)'] -> (2-i + 4+i) * (4-9i - -9i)
[247302] ['-9i', '(2-i)', '(4-9i)', '(8+4i)'] -> 2-i * 8+4i - (-9i - 4-9i)
[247309] ['-9i', '(2-i)', '(4-8i)', '4'] -> 4 * (4-8i - (-9i - 2-i))
[247314] ['-9i', '(2-i)', '(4-8i)', '(6-6i)'] -> 6-6i * (4-8i - (-9i + 2-i))
[247373] ['-9i', '(2-i)', '(4-4i)', '(5-7i)'] -> (6-9i - 9+3i) / (3-5i / 8+8i)
[247383] ['-9i', '(2-i)', '(4-4i)', '(9-6i)'] -> (9-6i - -9i) / (2-i / 4-4i)
[247384] ['-9i', '(2-i)', '(4-4i)', '(9+2i)'] -> 2-i * 9+2i - (-9i - 4-4i)
[247415] ['-9i', '(2-i)', '(4-i)', '(6+8i)'] -> -9i + 4-i + 2-i * 6+8i
[247437] ['-9i', '(2-i)', '4', '(8+8i)'] -> 7+5i * (7+5i - 5+7i) - -4i
[247438] ['-9i', '(2-i)', '(4+i)', '(4+9i)'] -> (-9i + 4+9i) * (2-i + 4+i)
[247443] ['-9i', '(2-i)', '(4+i)', '(6+3i)'] -> (2-7i - 2+5i) * (3-2i - 3-4i)
