[91740] ['(3-3i)', '(3+i)', '(4-9i)', '(5-6i)'] -> 3-3i * (5-6i + 3+i - 4-9i)
[91779] ['(3-3i)', '(3+i)', '(4-8i)', '(5-5i)'] -> 3-3i * (5-5i + 3+i - 4-8i)
[91801] ['(3-3i)', '(3+i)', '(4-8i)', '(7-4i)'] -> 6+3i * (9-5i - 6-2i) - 3-9i
[91833] ['(3-3i)', '(3+i)', '(4-7i)', '(5-4i)'] -> 2+3i - 1-4i * (3-3i - 5+2i)
[91876] ['(3-3i)', '(3+i)', '(4-6i)', '(5-3i)'] -> 3-3i * (5-3i + 3+i - 4-6i)
[91881] ['(3-3i)', '(3+i)', '(4-6i)', '(6+i)'] -> -4i * (1+i + 7+8i - 8+3i)
[91894] ['(3-3i)', '(3+i)', '(4-6i)', '(9-9i)'] -> 9-9i * (3+i - 4-6i / 3-3i)
[91897] ['(3-3i)', '(3+i)', '(4-6i)', '(9+3i)'] -> 9+3i * (3-3i - 4-6i / 3+i)
[91906] ['(3-3i)', '(3+i)', '(4-5i)', '(5-2i)'] -> -7i * 1+3i - (2i - 3+9i)
[91913] ['(3-3i)', '(3+i)', '(4-5i)', '(6+4i)'] -> 4-5i * (6+4i - 3+i) - 3-3i
[91946] ['(3-3i)', '(3+i)', '(4-4i)', '(6-6i)'] -> 6-6i * (3-3i + 3+i - 4-4i)
[91947] ['(3-3i)', '(3+i)', '(4-4i)', '6'] -> 6 * (4-4i - (3-3i - 3+i))
[91949] ['(3-3i)', '(3+i)', '(4-4i)', '(6+6i)'] -> 4-4i * (3+i + 6+6i / 3-3i)
[91954] ['(3-3i)', '(3+i)', '(4-4i)', '(7-2i)'] -> 3+i * 7-2i - (3-3i - 4-4i)
[91964] ['(3-3i)', '(3+i)', '(4-4i)', '(9-9i)'] -> 4-4i * (3-3i * 3+i - 9-9i)
[91967] ['(3-3i)', '(3+i)', '(4-4i)', '(9+i)'] -> 4-4i * (9+i - (3-3i + 3+i))
[91971] ['(3-3i)', '(3+i)', '(4-4i)', '(9+9i)'] -> (9+9i - 3-3i) * 4-4i / 3+i
[91977] ['(3-3i)', '(3+i)', '(4-3i)', '5'] -> 9-i + 1+i * (-4i + 8-3i)
[91981] ['(3-3i)', '(3+i)', '(4-3i)', '(6-9i)'] -> 3+i * 6-9i - 3-3i * 4-3i
[91985] ['(3-3i)', '(3+i)', '(4-3i)', '(6+8i)'] -> 8-2i + 1+i * (-4i + 9-3i)
[91996] ['(3-3i)', '(3+i)', '(4-3i)', '(8+9i)'] -> 2-2i * 9+i - (2-8i - 6+8i)
[92010] ['(3-3i)', '(3+i)', '(4-2i)', '(5+i)'] -> 3-3i * (5+i + 3+i - 4-2i)
[92012] ['(3-3i)', '(3+i)', '(4-2i)', '(5+3i)'] -> 3-3i * (5+3i - 4-2i / 3+i)
[92020] ['(3-3i)', '(3+i)', '(4-2i)', '(6+6i)'] -> 6+6i * (3-3i - 4-2i / 3+i)
[92027] ['(3-3i)', '(3+i)', '(4-2i)', '(7+5i)'] -> 3-3i + 7+5i + 3+i * 4-2i
[92032] ['(3-3i)', '(3+i)', '(4-2i)', '8'] -> 2-8i * (8-6i - 7-9i) - 2-2i
[92034] ['(3-3i)', '(3+i)', '(4-2i)', '(8+8i)'] -> 3-3i * 3+i + 4-2i + 8+8i
[92041] ['(3-3i)', '(3+i)', '(4-i)', '(5+2i)'] -> 3-3i * (5+2i + 3+i - 4-i)
[92048] ['(3-3i)', '(3+i)', '(4-i)', '(6+3i)'] -> 3-3i * 4-i + 3+i * 6+3i
[92059] ['(3-3i)', '(3+i)', '(4-i)', '(8+2i)'] -> 3-3i + 8+2i + 3+i * 4-i
[92061] ['(3-3i)', '(3+i)', '(4-i)', '(8+7i)'] -> (1-9i - 1-3i) * (2+9i - 2+5i)
[92065] ['(3-3i)', '(3+i)', '(4-i)', '(9-3i)'] -> 3-3i * (3+i * 4-i - 9-3i)
[92066] ['(3-3i)', '(3+i)', '4', '(4+2i)'] -> 3-3i * 4 * (4+2i - 3+i)
[92071] ['(3-3i)', '(3+i)', '4', '(5+3i)'] -> 3-3i * (5+3i + 3+i - 4)
[92073] ['(3-3i)', '(3+i)', '4', '(6-6i)'] -> 4 * (3-3i * 3+i - 6-6i)
[92074] ['(3-3i)', '(3+i)', '4', '(6-4i)'] -> 4 * (6-4i - (3-3i - 3+i))
[92076] ['(3-3i)', '(3+i)', '4', '(6-i)'] -> 2-8i * (8-3i - 7-6i) - 2-2i
[92077] ['(3-3i)', '(3+i)', '4', '(6+i)'] -> 3-3i - 3+i + 4 * 6+i
[92078] ['(3-3i)', '(3+i)', '4', '(6+4i)'] -> 4 * (6+4i + 3-3i - 3+i)
[92080] ['(3-3i)', '(3+i)', '4', '(6+6i)'] -> 6+6i * (3-3i + 3+i - 4)
[92088] ['(3-3i)', '(3+i)', '4', '(8+6i)'] -> 3-3i * 3+i + 4 + 8+6i
[92092] ['(3-3i)', '(3+i)', '4', '(9-4i)'] -> 3+i * 9-4i - (3-3i + 4)
[92094] ['(3-3i)', '(3+i)', '4', '(9-i)'] -> 3-3i + 9-i + 3+i * 4
[92103] ['(3-3i)', '(3+i)', '(4+i)', '(5+4i)'] -> 3-3i * (5+4i + 3+i - 4+i)
[92111] ['(3-3i)', '(3+i)', '(4+i)', '(6+8i)'] -> 3-3i * 4+i + 3+i + 6+8i
[92115] ['(3-3i)', '(3+i)', '(4+i)', '(7+3i)'] -> 3-3i * (3+i * 4+i - 7+3i)
[92121] ['(3-3i)', '(3+i)', '(4+i)', '(8+5i)'] -> 7-i * 1+7i / 2i - -7i
[92125] ['(3-3i)', '(3+i)', '(4+2i)', '(4+4i)'] -> 4+2i * (3-3i + 3+i) - 4+4i
[92129] ['(3-3i)', '(3+i)', '(4+2i)', '(5+5i)'] -> 3-3i * (5+5i + 3+i - 4+2i)
[92138] ['(3-3i)', '(3+i)', '(4+2i)', '(6+6i)'] -> 3-3i * (3+i * 4+2i - 6+6i)
[92146] ['(3-3i)', '(3+i)', '(4+2i)', '(8-i)'] -> 3-3i - 4+2i + 3+i * 8-i
[92147] ['(3-3i)', '(3+i)', '(4+2i)', '(8+4i)'] -> 1-i * 9+9i - (3+5i - 9+5i)
[92149] ['(3-3i)', '(3+i)', '(4+2i)', '(9-9i)'] -> 4-4i + 6+2i + 6+6i + 8-4i
[92153] ['(3-3i)', '(3+i)', '(4+2i)', '9'] -> 9 * (3+i - 4+2i / 3-3i)
[92154] ['(3-3i)', '(3+i)', '(4+2i)', '(9+7i)'] -> 3-3i * 4+2i - (3+i - 9+7i)
[92158] ['(3-3i)', '(3+i)', '(4+3i)', '(4+8i)'] -> 3-3i * 3+i * 4+8i / 4+3i
[92163] ['(3-3i)', '(3+i)', '(4+3i)', '(5+6i)'] -> 3-3i * (5+6i + 3+i - 4+3i)
[92164] ['(3-3i)', '(3+i)', '(4+3i)', '(5+9i)'] -> 3-3i * (3+i * 4+3i - 5+9i)
[92169] ['(3-3i)', '(3+i)', '(4+3i)', '(6+4i)'] -> 3-3i * 4+3i - (3+i - 6+4i)
[92179] ['(3-3i)', '(3+i)', '(4+3i)', '(8+3i)'] -> (2-8i - 2-2i) * (7+5i - 7+i)
[92181] ['(3-3i)', '(3+i)', '(4+3i)', '(9-9i)'] -> 3-3i * (3+i + 4+3i) - 9-9i
[92190] ['(3-3i)', '(3+i)', '(4+4i)', '(5-2i)'] -> 3-3i + 4+4i + 3+i * 5-2i
