[28900] ['-4i', '-i', '(1-9i)', '(9-5i)'] -> -4i * (1-9i / -i - 9-5i)
[28905] ['-4i', '-i', '(1-8i)', '(1-3i)'] -> -4i * (1-3i - (-i + 1-8i))
[28906] ['-4i', '-i', '(1-8i)', '(1-i)'] -> -4i * (1-i + -i - 1-8i)
[28909] ['-4i', '-i', '(1-8i)', '(2+i)'] -> -4i * (-i * 2+i - 1-8i)
[28916] ['-4i', '-i', '(1-8i)', '(4-8i)'] -> -i * 4-8i - -4i * 1-8i
[28921] ['-4i', '-i', '(1-8i)', '(4+4i)'] -> -4i * (-i - 1-8i) - 4+4i
[28924] ['-4i', '-i', '(1-8i)', '(5+8i)'] -> (3-4i + 7-2i) / (4+i / 6+6i)
[28943] ['-4i', '-i', '(1-8i)', '(8-5i)'] -> -4i * (1-8i / -i - 8-5i)
[28946] ['-4i', '-i', '(1-8i)', '(8+3i)'] -> -i - 8+3i - -4i * 1-8i
[28959] ['-4i', '-i', '(1-7i)', '(1-2i)'] -> -4i * (1-2i - (-i + 1-7i))
[28961] ['-4i', '-i', '(1-7i)', '1'] -> -4i * (1 + -i - 1-7i)
[28972] ['-4i', '-i', '(1-7i)', '(4-4i)'] -> -i * 4-4i - -4i * 1-7i
[28975] ['-4i', '-i', '(1-7i)', '(4+3i)'] -> (6-4i - 6) * (7+5i - 7-i)
[28979] ['-4i', '-i', '(1-7i)', '(5+7i)'] -> 5-4i * 6+9i - 6+3i * 7
[28988] ['-4i', '-i', '(1-7i)', '(7-5i)'] -> -4i * (1-7i / -i - 7-5i)
[28997] ['-4i', '-i', '(1-6i)', '(1-i)'] -> -4i * (1-i - (-i + 1-6i))
[28999] ['-4i', '-i', '(1-6i)', '(1+i)'] -> 5+8i - 7+6i * (2-5i - 3-7i)
[29013] ['-4i', '-i', '(1-6i)', '(5+6i)'] -> -4i / -i * (1-6i + 5+6i)
[29017] ['-4i', '-i', '(1-6i)', '(6-5i)'] -> -4i * (1-6i / -i - 6-5i)
[29030] ['-4i', '-i', '(1-5i)', '(1-i)'] -> -4i * (1-i / -i - 1-5i)
[29032] ['-4i', '-i', '(1-5i)', '1'] -> -4i * (1 - (-i + 1-5i))
[29033] ['-4i', '-i', '(1-5i)', '(1+2i)'] -> -4i * (1+2i + -i - 1-5i)
[29034] ['-4i', '-i', '(1-5i)', '(1+5i)'] -> 1+5i * (-4i + -i) - 1-5i
[29042] ['-4i', '-i', '(1-5i)', '(4-5i)'] -> 4-5i - (-i + -4i * 1-5i)
[29043] ['-4i', '-i', '(1-5i)', '(4-3i)'] -> -i + 4-3i - -4i * 1-5i
[29044] ['-4i', '-i', '(1-5i)', '(4+4i)'] -> -i * 4+4i - -4i * 1-5i
[29047] ['-4i', '-i', '(1-5i)', '(5-5i)'] -> -4i * (1-5i / -i - 5-5i)
