[249720] ['(2-2i)', '(5+6i)', '(6-8i)', '(6-8i)'] -> ((6-4i) - (2 * (-9i - (9-7i))))
[249724] ['(2-2i)', '(5+6i)', '(6-8i)', '(7-8i)'] -> ((2-2i) * ((7-8i) + ((5+6i) - (6-8i))))
[249735] ['(2-2i)', '(5+6i)', '(6-7i)', '(6-7i)'] -> ((2-2i) * ((5+6i) + ((6-7i) / (6-7i))))
[249740] ['(2-2i)', '(5+6i)', '(6-7i)', '(7-7i)'] -> ((2-2i) * ((7-7i) + ((5+6i) - (6-7i))))
[249742] ['(2-2i)', '(5+6i)', '(6-7i)', '(7+8i)'] -> (((6-7i) * ((7+8i) - (5+6i))) - (2-2i))
[249748] ['(2-2i)', '(5+6i)', '(6-6i)', '(6-6i)'] -> ((2-2i) * ((5+6i) + ((6-6i) / (6-6i))))
[249749] ['(2-2i)', '(5+6i)', '(6-6i)', '(6-5i)'] -> ((8-8i) - ((2-4i) * ((9-6i) - (9-2i))))
[249750] ['(2-2i)', '(5+6i)', '(6-6i)', '(7-6i)'] -> ((2-2i) * ((7-6i) + ((5+6i) - (6-6i))))
[249760] ['(2-2i)', '(5+6i)', '(6-6i)', '(9+6i)'] -> ((6-6i) * ((9+6i) - ((2-2i) + (5+6i))))
[249762] ['(2-2i)', '(5+6i)', '(6-5i)', '(6-5i)'] -> ((9 + (9+4i)) - ((2-4i) - (8-8i)))
[249770] ['(2-2i)', '(5+6i)', '(6-5i)', '(7-5i)'] -> ((2-2i) * ((7-5i) + ((5+6i) - (6-5i))))
[249780] ['(2-2i)', '(5+6i)', '(6-4i)', '(6-4i)'] -> ((2-2i) * ((5+6i) + ((6-4i) / (6-4i))))
[249787] ['(2-2i)', '(5+6i)', '(6-4i)', '(7-4i)'] -> ((2-2i) * ((7-4i) + ((5+6i) - (6-4i))))
[249796] ['(2-2i)', '(5+6i)', '(6-3i)', '(6-3i)'] -> ((2-2i) * ((5+6i) + ((6-3i) / (6-3i))))
[249805] ['(2-2i)', '(5+6i)', '(6-3i)', '(7-3i)'] -> ((2-2i) * ((7-3i) + ((5+6i) - (6-3i))))
[249815] ['(2-2i)', '(5+6i)', '(6-2i)', '(6-2i)'] -> ((2-2i) * ((5+6i) + ((6-2i) / (6-2i))))
