[9601] ['(3-9i)', '(3-3i)', '(3-i)', '(9-i)'] -> (((3-3i) * (9-i)) - ((3-9i) * (3-i)))
[9602] ['(3-9i)', '(3-3i)', '(3-i)', '(9+2i)'] -> (((3-3i) * ((9+2i) - (3-i))) - (3-9i))
[9605] ['(3-9i)', '(3-3i)', '(3-i)', '(9+9i)'] -> ((5-8i) - ((3-4i) * ((3+3i) - (4+7i))))
[9606] ['(3-9i)', '(3-3i)', '3', '(3+3i)'] -> (((3-3i) * (3 + (3+3i))) - (3-9i))
[9609] ['(3-9i)', '(3-3i)', '3', '(3+7i)'] -> ((3-3i) * ((3+7i) + ((3-9i) / 3)))
[9612] ['(3-9i)', '(3-3i)', '3', '(4-5i)'] -> ((3+3i) * ((5+7i) + ((3-4i) - (4+7i))))
[9617] ['(3-9i)', '(3-3i)', '3', '4'] -> (4 * (((3-3i) * 3) - (3-9i)))
[9618] ['(3-9i)', '(3-3i)', '3', '(4+6i)'] -> ((3-9i) + (3 * ((3-3i) + (4+6i))))
[9622] ['(3-9i)', '(3-3i)', '3', '(5+i)'] -> ((3-3i) * ((5+i) - ((3-9i) / 3)))
[9625] ['(3-9i)', '(3-3i)', '3', '6'] -> ((3 * ((3-3i) + 6)) - (3-9i))
[9626] ['(3-9i)', '(3-3i)', '3', '(6+i)'] -> (3 * ((6+i) + ((3-9i) / (3-3i))))
[9628] ['(3-9i)', '(3-3i)', '3', '(6+4i)'] -> (((3-9i) + (3-3i)) + (3 * (6+4i)))
[9629] ['(3-9i)', '(3-3i)', '3', '(6+8i)'] -> ((3 * ((3-9i) + (6+8i))) - (3-3i))
[9634] ['(3-9i)', '(3-3i)', '3', '(8-6i)'] -> (3 * ((8-6i) - ((3-9i) - (3-3i))))
[9636] ['(3-9i)', '(3-3i)', '3', '(8-2i)'] -> ((3 * (8-2i)) - ((3-9i) - (3-3i)))
[9639] ['(3-9i)', '(3-3i)', '3', '(8+2i)'] -> (((3-9i) - (3-3i)) + (3 * (8+2i)))
[9642] ['(3-9i)', '(3-3i)', '3', '(8+6i)'] -> (((2-5i) * 2) + ((3+i) * (7+i)))
[9644] ['(3-9i)', '(3-3i)', '3', '(8+8i)'] -> ((((3-9i) - 3) * (8+8i)) / (3-3i))
[9649] ['(3-9i)', '(3-3i)', '3', '(9+3i)'] -> (((3-3i) * ((9+3i) - 3)) - (3-9i))
[9651] ['(3-9i)', '(3-3i)', '(3+i)', '(3+2i)'] -> (((3-3i) * ((3+i) + (3+2i))) - (3-9i))
[9653] ['(3-9i)', '(3-3i)', '(3+i)', '(4-6i)'] -> ((3-3i) * ((4-6i) - ((3-9i) - (3+i))))
[9654] ['(3-9i)', '(3-3i)', '(3+i)', '(4+i)'] -> ((3-3i) * ((4+i) - ((3-9i) / (3+i))))
[9655] ['(3-9i)', '(3-3i)', '(3+i)', '(4+7i)'] -> ((3-3i) * ((4+7i) + ((3-9i) / (3+i))))
[9674] ['(3-9i)', '(3-3i)', '(3+i)', '8'] -> (8 * ((3-3i) - ((3-9i) / (3+i))))
[9679] ['(3-9i)', '(3-3i)', '(3+i)', '(9+4i)'] -> (((3-3i) * ((9+4i) - (3+i))) - (3-9i))
[9681] ['(3-9i)', '(3-3i)', '(3+2i)', '(3+3i)'] -> ((3-3i) * ((3+2i) - ((3-9i) / (3+3i))))
[9686] ['(3-9i)', '(3-3i)', '(3+2i)', '(4-7i)'] -> ((3-3i) * ((4-7i) - ((3-9i) - (3+2i))))
[9688] ['(3-9i)', '(3-3i)', '(3+2i)', '(4-3i)'] -> (((3-9i) * (3+2i)) - ((3-3i) * (4-3i)))
[9701] ['(3-9i)', '(3-3i)', '(3+2i)', '6'] -> (((3-9i) + (3-3i)) + ((3+2i) * 6))
[9714] ['(3-9i)', '(3-3i)', '(3+2i)', '(9+5i)'] -> (((3-3i) * ((9+5i) - (3+2i))) - (3-9i))
[9716] ['(3-9i)', '(3-3i)', '(3+3i)', '(3+6i)'] -> ((3-3i) * ((3+3i) - ((3-9i) / (3+6i))))
[9717] ['(3-9i)', '(3-3i)', '(3+3i)', '(3+9i)'] -> (((3-9i) + (3+9i)) + ((3-3i) * (3+3i)))
[9718] ['(3-9i)', '(3-3i)', '(3+3i)', '(4-8i)'] -> ((3-3i) * ((4-8i) - ((3-9i) - (3+3i))))
[9723] ['(3-9i)', '(3-3i)', '(3+3i)', '(4+2i)'] -> ((3+3i) * ((4+2i) + ((3-9i) - (3-3i))))
[9724] ['(3-9i)', '(3-3i)', '(3+3i)', '(4+4i)'] -> (((6+9i) * ((4-4i) - (3-i))) - (9-9i))
[9728] ['(3-9i)', '(3-3i)', '(3+3i)', '(5-3i)'] -> (((2-5i) * 2) + ((3+4i) * (4-2i)))
[9732] ['(3-9i)', '(3-3i)', '(3+3i)', '(5+6i)'] -> ((3-3i) * ((5+6i) + ((3-9i) / (3+3i))))
[9734] ['(3-9i)', '(3-3i)', '(3+3i)', '(6-9i)'] -> (((3+3i) * ((6-9i) - (3-3i))) - (3-9i))
[9735] ['(3-9i)', '(3-3i)', '(3+3i)', '(6-5i)'] -> ((3+3i) * ((6-5i) - ((3-9i) / (3-3i))))
[9736] ['(3-9i)', '(3-3i)', '(3+3i)', '(6-3i)'] -> ((3+3i) * ((3-3i) + ((3-9i) / (6-3i))))
