[132030] ['(3-8i)', '(3+i)', '(7-2i)', '(9-i)'] -> (((3-8i) - (7-2i)) + ((3+i) * (9-i)))
[132036] ['(3-8i)', '(3+i)', '(7-i)', '(8+2i)'] -> (((3-8i) * ((8+2i) - (7-i))) - (3+i))
[132052] ['(3-8i)', '(3+i)', '7', '(8+3i)'] -> (((3-8i) * ((8+3i) - 7)) - (3+i))
[132061] ['(3-8i)', '(3+i)', '(7+i)', '(8+4i)'] -> (((3-8i) * ((8+4i) - (7+i))) - (3+i))
[132071] ['(3-8i)', '(3+i)', '(7+2i)', '(8+5i)'] -> (((3-8i) * ((8+5i) - (7+2i))) - (3+i))
[132088] ['(3-8i)', '(3+i)', '(7+3i)', '(8+6i)'] -> (((3-8i) * ((8+6i) - (7+3i))) - (3+i))
[132094] ['(3-8i)', '(3+i)', '(7+4i)', '(8+7i)'] -> (((3-8i) * ((8+7i) - (7+4i))) - (3+i))
[132101] ['(3-8i)', '(3+i)', '(7+5i)', '(8+8i)'] -> (((3-8i) * ((8+8i) - (7+5i))) - (3+i))
[132107] ['(3-8i)', '(3+i)', '(7+5i)', '(9+i)'] -> (((3+i) * ((3-8i) + (7+5i))) - (9+i))
[132112] ['(3-8i)', '(3+i)', '(7+6i)', '(8+4i)'] -> (((3+i) * ((3-8i) + (7+6i))) - (8+4i))
[132114] ['(3-8i)', '(3+i)', '(7+6i)', '(8+9i)'] -> (((3-8i) * ((8+9i) - (7+6i))) - (3+i))
[132115] ['(3-8i)', '(3+i)', '(7+7i)', '(7+7i)'] -> ((6-6i) * ((6-6i) + ((1-i) - (5-9i))))
[132147] ['(3-8i)', '(3+i)', '(8-9i)', '(9-6i)'] -> (((3-8i) * ((9-6i) - (8-9i))) - (3+i))
[132159] ['(3-8i)', '(3+i)', '(8-7i)', '(9-8i)'] -> ((((4-6i) + (8+2i)) * (9-9i)) / (3-6i))
[132161] ['(3-8i)', '(3+i)', '(8-7i)', '(9-4i)'] -> (((3-8i) * ((9-4i) - (8-7i))) - (3+i))
[132170] ['(3-8i)', '(3+i)', '(8-6i)', '(9-3i)'] -> (((3-8i) * ((9-3i) - (8-6i))) - (3+i))
[132186] ['(3-8i)', '(3+i)', '(8-4i)', '(9-2i)'] -> ((1-i) - ((5-9i) * ((6-2i) - 7)))
[132187] ['(3-8i)', '(3+i)', '(8-4i)', '(9-i)'] -> (((3-8i) * ((9-i) - (8-4i))) - (3+i))
[132194] ['(3-8i)', '(3+i)', '(8-3i)', '9'] -> (((3-8i) * (9 - (8-3i))) - (3+i))
[132201] ['(3-8i)', '(3+i)', '(8-2i)', '(9+i)'] -> (((3-8i) * ((9+i) - (8-2i))) - (3+i))
[132205] ['(3-8i)', '(3+i)', '(8-i)', '(8+5i)'] -> (((3-8i) + ((8-i) * (8+5i))) / (3+i))
[132210] ['(3-8i)', '(3+i)', '(8-i)', '(9+2i)'] -> (((3-8i) * ((9+2i) - (8-i))) - (3+i))
[132215] ['(3-8i)', '(3+i)', '8', '(9-7i)'] -> (8 * ((9-7i) - ((3-8i) + (3+i))))
[132217] ['(3-8i)', '(3+i)', '8', '(9+3i)'] -> (((3-8i) * ((9+3i) - 8)) - (3+i))
[132226] ['(3-8i)', '(3+i)', '(8+i)', '(9+4i)'] -> (((3-8i) * ((9+4i) - (8+i))) - (3+i))
[132229] ['(3-8i)', '(3+i)', '(8+2i)', '(9+5i)'] -> (((3-8i) * ((9+5i) - (8+2i))) - (3+i))
[132230] ['(3-8i)', '(3+i)', '(8+3i)', '(9+6i)'] -> (((3-8i) * ((9+6i) - (8+3i))) - (3+i))
[132233] ['(3-8i)', '(3+i)', '(8+4i)', '(9+7i)'] -> (((3-8i) * ((9+7i) - (8+4i))) - (3+i))
[132242] ['(3-8i)', '(3+i)', '(8+5i)', '(9+8i)'] -> (((3-8i) * ((9+8i) - (8+5i))) - (3+i))
[132249] ['(3-8i)', '(3+i)', '(8+6i)', '(9+9i)'] -> (((3-8i) * ((9+9i) - (8+6i))) - (3+i))
[132264] ['(3-8i)', '(3+i)', '(9-8i)', '(9-3i)'] -> (((3-8i) - (9-8i)) + ((3+i) * (9-3i)))
[132284] ['(3-8i)', '(3+i)', '(9-2i)', '(9+9i)'] -> (((3-8i) + (3+i)) + ((9-2i) + (9+9i)))
[132287] ['(3-8i)', '(3+i)', '(9-i)', '(9+8i)'] -> ((5-4i) + ((3+2i) * ((1-7i) + (4+5i))))
[132290] ['(3-8i)', '(3+i)', '9', '(9+7i)'] -> (((3-8i) + (3+i)) + (9 + (9+7i)))
[132292] ['(3-8i)', '(3+i)', '(9+i)', '(9+6i)'] -> (((3-8i) + (3+i)) + ((9+i) + (9+6i)))
[132295] ['(3-8i)', '(3+i)', '(9+2i)', '(9+5i)'] -> (((9-2i) * ((8-6i) - (5-7i))) - (5+3i))
[132297] ['(3-8i)', '(3+i)', '(9+3i)', '(9+4i)'] -> (((3-8i) + (3+i)) + ((9+3i) + (9+4i)))
