[498359] ['-2i', '(4+7i)', '(8+6i)', '(8+9i)'] -> ((-2i * (8+6i)) + ((4+7i) + (8+9i)))
[498364] ['-2i', '(4+8i)', '(4+8i)', '(8-6i)'] -> ((-2i * ((4+8i) - (8-6i))) - (4+8i))
[498366] ['-2i', '(4+8i)', '(4+8i)', '(8+4i)'] -> (-2i * (((4+8i) + (4+8i)) - (8+4i)))
[498368] ['-2i', '(4+8i)', '(4+9i)', '(8-5i)'] -> ((-2i * ((4+9i) - (8-5i))) - (4+8i))
[498369] ['-2i', '(4+8i)', '(4+9i)', '(8+5i)'] -> (-2i * (((4+8i) + (4+9i)) - (8+5i)))
[498372] ['-2i', '(4+8i)', '(5-8i)', '(8+2i)'] -> ((-2i * ((4+8i) - (5-8i))) - (8+2i))
[498373] ['-2i', '(4+8i)', '(5-7i)', '(6+2i)'] -> ((-2i * ((4+8i) - (5-7i))) - (6+2i))
[498376] ['-2i', '(4+8i)', '(5-5i)', '(9-9i)'] -> (-2i * (((4+8i) + (5-5i)) - (9-9i)))
[498377] ['-2i', '(4+8i)', '(5-5i)', '(9-3i)'] -> (((-2i * (4+8i)) * (9-3i)) / (5-5i))
[498379] ['-2i', '(4+8i)', '(5-4i)', '(9-8i)'] -> (-2i * (((4+8i) + (5-4i)) - (9-8i)))
[498381] ['-2i', '(4+8i)', '(5-3i)', '(9-7i)'] -> (-2i * (((4+8i) + (5-3i)) - (9-7i)))
[498382] ['-2i', '(4+8i)', '(5-2i)', '(9-6i)'] -> (-2i * (((4+8i) + (5-2i)) - (9-6i)))
[498383] ['-2i', '(4+8i)', '(5-i)', '(5+3i)'] -> ((-2i - (4+8i)) + ((5-i) * (5+3i)))
[498384] ['-2i', '(4+8i)', '(5-i)', '(6+6i)'] -> ((6+6i) * ((4+8i) + (-2i * (5-i))))
[498385] ['-2i', '(4+8i)', '(5-i)', '8'] -> (((5-i) * 8) - (-2i * (4+8i)))
[498386] ['-2i', '(4+8i)', '(5-i)', '(9-5i)'] -> (-2i * (((4+8i) + (5-i)) - (9-5i)))
[498387] ['-2i', '(4+8i)', '5', '(6-2i)'] -> ((4+8i) * (-2i + ((6-2i) / 5)))
[498388] ['-2i', '(4+8i)', '5', '(6+3i)'] -> (((-2i * (4+8i)) * (6+3i)) / 5)
[498389] ['-2i', '(4+8i)', '5', '(9-4i)'] -> (-2i * (((4+8i) + 5) - (9-4i)))
[498391] ['-2i', '(4+8i)', '(5+i)', '(9-3i)'] -> (-2i * (((4+8i) + (5+i)) - (9-3i)))
[498392] ['-2i', '(4+8i)', '(5+2i)', '(8+6i)'] -> (((5+2i) * ((8+6i) - (4+8i))) - -2i)
[498393] ['-2i', '(4+8i)', '(5+2i)', '(9-2i)'] -> (-2i * (((4+8i) + (5+2i)) - (9-2i)))
[498394] ['-2i', '(4+8i)', '(5+3i)', '(9-i)'] -> (-2i * (((4+8i) + (5+3i)) - (9-i)))
[498395] ['-2i', '(4+8i)', '(5+4i)', '9'] -> (-2i * (((4+8i) + (5+4i)) - 9))
[498396] ['-2i', '(4+8i)', '(5+5i)', '(8+4i)'] -> ((4+8i) * (-2i + ((8+4i) / (5+5i))))
[498397] ['-2i', '(4+8i)', '(5+5i)', '(9-9i)'] -> ((-2i * ((5+5i) - (9-9i))) - (4+8i))
[498398] ['-2i', '(4+8i)', '(5+5i)', '(9+i)'] -> (-2i * (((4+8i) + (5+5i)) - (9+i)))
[498399] ['-2i', '(4+8i)', '(5+6i)', '(8+2i)'] -> ((-2i * (5+6i)) + ((4+8i) + (8+2i)))
[498401] ['-2i', '(4+8i)', '(5+6i)', '(9-8i)'] -> ((-2i * ((5+6i) - (9-8i))) - (4+8i))
[498402] ['-2i', '(4+8i)', '(5+6i)', '(9+2i)'] -> (-2i * (((4+8i) + (5+6i)) - (9+2i)))
[498403] ['-2i', '(4+8i)', '(5+7i)', '(6-6i)'] -> ((-2i * (6-6i)) * ((4+8i) - (5+7i)))
[498404] ['-2i', '(4+8i)', '(5+7i)', '(6+2i)'] -> ((-2i * (5+7i)) + ((4+8i) + (6+2i)))
[498405] ['-2i', '(4+8i)', '(5+7i)', '(9-7i)'] -> ((-2i * ((5+7i) - (9-7i))) - (4+8i))
[498406] ['-2i', '(4+8i)', '(5+7i)', '(9+3i)'] -> (-2i * (((4+8i) + (5+7i)) - (9+3i)))
[498407] ['-2i', '(4+8i)', '(5+8i)', '(9-6i)'] -> ((-2i * ((5+8i) - (9-6i))) - (4+8i))
[498408] ['-2i', '(4+8i)', '(5+8i)', '(9+4i)'] -> (-2i * (((4+8i) + (5+8i)) - (9+4i)))
[498409] ['-2i', '(4+8i)', '(5+9i)', '(6+6i)'] -> ((-2i * (6+6i)) * ((5+9i) - (4+8i)))
[498410] ['-2i', '(4+8i)', '(5+9i)', '(9-5i)'] -> ((-2i * ((5+9i) - (9-5i))) - (4+8i))
[498411] ['-2i', '(4+8i)', '(5+9i)', '(9+5i)'] -> (-2i * (((4+8i) + (5+9i)) - (9+5i)))
[498412] ['-2i', '(4+8i)', '(6-8i)', '(8+4i)'] -> ((-2i * ((4+8i) - (6-8i))) - (8+4i))
[498413] ['-2i', '(4+8i)', '(6-7i)', '(6+4i)'] -> ((-2i * ((4+8i) - (6-7i))) - (6+4i))
[498415] ['-2i', '(4+8i)', '(6-6i)', '(6-3i)'] -> ((4+8i) * (-2i + ((6-6i) / (6-3i))))
[498416] ['-2i', '(4+8i)', '(6-6i)', '6'] -> ((6-6i) * (6 + ((4+8i) / -2i)))
[498417] ['-2i', '(4+8i)', '(6-6i)', '(6+8i)'] -> ((6-6i) * ((6+8i) - (-2i + (4+8i))))
[498418] ['-2i', '(4+8i)', '(6-6i)', '(8+4i)'] -> ((((8+4i) - (4+8i)) * (6-6i)) / -2i)
[498419] ['-2i', '(4+8i)', '(6-4i)', '(6+6i)'] -> ((6+6i) * ((6-4i) + ((4+8i) / -2i)))
[498420] ['-2i', '(4+8i)', '(6-3i)', '9'] -> (((-2i * (4+8i)) * 9) / (6-3i))
[498421] ['-2i', '(4+8i)', '6', '(8-2i)'] -> (6 * ((8-2i) + ((4+8i) / -2i)))
[498422] ['-2i', '(4+8i)', '6', '(8+6i)'] -> (6 * ((8+6i) - (-2i + (4+8i))))
[498423] ['-2i', '(4+8i)', '(6+2i)', '(6+6i)'] -> (((-2i * (4+8i)) * (6+6i)) / (6+2i))
[498424] ['-2i', '(4+8i)', '(6+2i)', '8'] -> ((4+8i) * (-2i + (8 / (6+2i))))
[498427] ['-2i', '(4+8i)', '(6+4i)', '(6+7i)'] -> ((-2i * (6+7i)) + ((4+8i) + (6+4i)))
[498429] ['-2i', '(4+8i)', '(6+6i)', '(7-7i)'] -> ((-2i * ((4+8i) - (7-7i))) - (6+6i))
[498430] ['-2i', '(4+8i)', '(6+6i)', '(7+7i)'] -> ((-2i * (7+7i)) + ((4+8i) + (6+6i)))
[498432] ['-2i', '(4+8i)', '(6+6i)', '(8+4i)'] -> ((-2i * (6+6i)) + ((4+8i) + (8+4i)))
[498434] ['-2i', '(4+8i)', '(6+8i)', '(8-7i)'] -> ((-2i * ((4+8i) - (8-7i))) - (6+8i))
[498435] ['-2i', '(4+8i)', '(6+8i)', '(8+7i)'] -> ((-2i * (8+7i)) + ((4+8i) + (6+8i)))
[498436] ['-2i', '(4+8i)', '(6+9i)', '(7+4i)'] -> ((-2i * (4+8i)) * ((6+9i) / (7+4i)))
[498438] ['-2i', '(4+8i)', '(7-8i)', '(8+6i)'] -> ((-2i * ((4+8i) - (7-8i))) - (8+6i))
[498439] ['-2i', '(4+8i)', '(7-3i)', '(7+9i)'] -> (((7-3i) * ((7+9i) - (4+8i))) - -2i)
[498440] ['-2i', '(4+8i)', '(7-2i)', '8'] -> (8 * ((7-2i) + ((4+8i) / -2i)))
[498442] ['-2i', '(4+8i)', '(7-i)', '(8-4i)'] -> ((4+8i) * (-2i + ((8-4i) / (7-i))))
[498443] ['-2i', '(4+8i)', '(7-i)', '(9+3i)'] -> (((-2i * (4+8i)) * (9+3i)) / (7-i))
[498445] ['-2i', '(4+8i)', '(7+5i)', '(8-8i)'] -> ((((7+5i) - (4+8i)) * (8-8i)) / -2i)
[498446] ['-2i', '(4+8i)', '(7+6i)', '8'] -> (8 * ((7+6i) - (-2i + (4+8i))))
[498447] ['-2i', '(4+8i)', '(7+6i)', '(8+6i)'] -> ((-2i * (7+6i)) + ((4+8i) + (8+6i)))
[498448] ['-2i', '(4+8i)', '(7+8i)', '(8+2i)'] -> ((-2i + (8+2i)) * ((7+8i) - (4+8i)))
[498449] ['-2i', '(4+8i)', '(8-8i)', '(8-4i)'] -> ((4+8i) * (-2i + ((8-8i) / (8-4i))))
[498450] ['-2i', '(4+8i)', '(8-8i)', '(8+8i)'] -> ((-2i * ((4+8i) - (8-8i))) - (8+8i))
[498452] ['-2i', '(4+8i)', '(8+i)', '(9+6i)'] -> (((-2i * (4+8i)) * (9+6i)) / (8+i))
[498453] ['-2i', '(4+8i)', '(8+6i)', '(8+8i)'] -> ((-2i * (8+6i)) + ((4+8i) + (8+8i)))
[498455] ['-2i', '(4+8i)', '(9+3i)', '(9+9i)'] -> (((-2i * (4+8i)) * (9+9i)) / (9+3i))
[498457] ['-2i', '(4+9i)', '(4+9i)', '(6+8i)'] -> ((4+9i) * (-2i + ((6+8i) / (4+9i))))
[498458] ['-2i', '(4+9i)', '(4+9i)', '(8+6i)'] -> (-2i * (((4+9i) + (4+9i)) - (8+6i)))
[498459] ['-2i', '(4+9i)', '(4+9i)', '(9+8i)'] -> ((-2i * (9+8i)) + ((4+9i) + (4+9i)))
[498462] ['-2i', '(4+9i)', '(5-7i)', '(8+2i)'] -> ((-2i * ((4+9i) - (5-7i))) - (8+2i))
[498463] ['-2i', '(4+9i)', '(5-6i)', '(6+2i)'] -> ((-2i * ((4+9i) - (5-6i))) - (6+2i))
[498464] ['-2i', '(4+9i)', '(5-6i)', '(9-9i)'] -> (-2i * (((4+9i) + (5-6i)) - (9-9i)))
[498466] ['-2i', '(4+9i)', '(5-5i)', '(9-8i)'] -> (-2i * (((4+9i) + (5-5i)) - (9-8i)))
[498467] ['-2i', '(4+9i)', '(5-4i)', '(9-7i)'] -> (-2i * (((4+9i) + (5-4i)) - (9-7i)))
[498469] ['-2i', '(4+9i)', '(5-3i)', '(9-6i)'] -> (-2i * (((4+9i) + (5-3i)) - (9-6i)))
[498470] ['-2i', '(4+9i)', '(5-2i)', '(9-5i)'] -> (-2i * (((4+9i) + (5-2i)) - (9-5i)))
[498471] ['-2i', '(4+9i)', '(5-i)', '(9-4i)'] -> (-2i * (((4+9i) + (5-i)) - (9-4i)))
[498472] ['-2i', '(4+9i)', '5', '(9-3i)'] -> (-2i * (((4+9i) + 5) - (9-3i)))
[498474] ['-2i', '(4+9i)', '(5+i)', '(5+7i)'] -> ((4+9i) - (((5+7i) * (5+i)) / -2i))
[498475] ['-2i', '(4+9i)', '(5+i)', '(9-2i)'] -> (-2i * (((4+9i) + (5+i)) - (9-2i)))
[498476] ['-2i', '(4+9i)', '(5+2i)', '(8+7i)'] -> (((5+2i) * ((8+7i) - (4+9i))) - -2i)
[498477] ['-2i', '(4+9i)', '(5+2i)', '(9-i)'] -> ((2-6i) * (((2-8i) / (4-2i)) - -5i))
[498480] ['-2i', '(4+9i)', '(5+3i)', '9'] -> (-2i * (((4+9i) + (5+3i)) - 9))
[498482] ['-2i', '(4+9i)', '(5+4i)', '(9+i)'] -> (-2i * (((4+9i) + (5+4i)) - (9+i)))
[498483] ['-2i', '(4+9i)', '(5+5i)', '(9+2i)'] -> (-2i * (((4+9i) + (5+5i)) - (9+2i)))
[498485] ['-2i', '(4+9i)', '(5+6i)', '(8+i)'] -> ((-2i * (5+6i)) + ((4+9i) + (8+i)))
[498486] ['-2i', '(4+9i)', '(5+6i)', '(9+3i)'] -> (-2i * (((4+9i) + (5+6i)) - (9+3i)))
[498487] ['-2i', '(4+9i)', '(5+7i)', '(6+i)'] -> ((-2i * (5+7i)) + ((4+9i) + (6+i)))
[498489] ['-2i', '(4+9i)', '(5+7i)', '(9+4i)'] -> (-2i * (((4+9i) + (5+7i)) - (9+4i)))
[498490] ['-2i', '(4+9i)', '(5+8i)', '(6-6i)'] -> ((-2i * (6-6i)) * ((4+9i) - (5+8i)))
[498492] ['-2i', '(4+9i)', '(5+8i)', '(9+5i)'] -> (-2i * (((4+9i) + (5+8i)) - (9+5i)))
[498495] ['-2i', '(4+9i)', '(5+9i)', '(9+6i)'] -> (-2i * (((4+9i) + (5+9i)) - (9+6i)))
[498501] ['-2i', '(4+9i)', '(6-7i)', '(8+4i)'] -> ((-2i * ((4+9i) - (6-7i))) - (8+4i))
[498502] ['-2i', '(4+9i)', '(6-6i)', '(6+4i)'] -> ((-2i * ((4+9i) - (6-6i))) - (6+4i))
[498503] ['-2i', '(4+9i)', '(6-6i)', '(6+9i)'] -> ((6-6i) * ((6+9i) - (-2i + (4+9i))))
[498504] ['-2i', '(4+9i)', '(6-6i)', '(8+5i)'] -> ((((8+5i) - (4+9i)) * (6-6i)) / -2i)
[498511] ['-2i', '(4+9i)', '6', '(8+7i)'] -> (((2-8i) * (2+3i)) - (-5i + (4-5i)))
[498516] ['-2i', '(4+9i)', '(6+2i)', '(8+9i)'] -> ((-5i + (3+8i)) * ((2-8i) + (2+4i)))
[498518] ['-2i', '(4+9i)', '(6+3i)', '(6+7i)'] -> ((-2i * (6+7i)) + ((4+9i) + (6+3i)))
[498520] ['-2i', '(4+9i)', '(6+5i)', '(6+6i)'] -> ((6+6i) * ((6+5i) - (-2i + (4+9i))))
[498521] ['-2i', '(4+9i)', '(6+5i)', '(7+7i)'] -> ((-2i * (7+7i)) + ((4+9i) + (6+5i)))
[498522] ['-2i', '(4+9i)', '(6+6i)', '(6+9i)'] -> ((6+6i) * ((6+9i) + (-2i - (4+9i))))
[498523] ['-2i', '(4+9i)', '(6+6i)', '(7-6i)'] -> ((-2i * ((4+9i) - (7-6i))) - (6+6i))
[498524] ['-2i', '(4+9i)', '(6+6i)', '(8+3i)'] -> ((-2i * (6+6i)) + ((4+9i) + (8+3i)))
[498525] ['-2i', '(4+9i)', '(6+7i)', '(6+8i)'] -> ((-2i + (6+8i)) * ((6+7i) - (4+9i)))
[498527] ['-2i', '(4+9i)', '(6+7i)', '(8+7i)'] -> ((-2i * (8+7i)) + ((4+9i) + (6+7i)))
[498528] ['-2i', '(4+9i)', '(6+8i)', '(8-6i)'] -> ((-2i * ((4+9i) - (8-6i))) - (6+8i))
[498531] ['-2i', '(4+9i)', '(6+9i)', '(9+7i)'] -> ((-2i * (9+7i)) + ((4+9i) + (6+9i)))
