[426498] ['(1-2i)', '(4-i)', '(5+7i)', '(9+2i)'] -> (((1-2i) * (5+7i)) - ((4-i) - (9+2i)))
[426500] ['(1-2i)', '(4-i)', '(5+8i)', '(6-3i)'] -> (((1-2i) + (5+8i)) * ((6-3i) - (4-i)))
[426502] ['(1-2i)', '(4-i)', '(5+8i)', '(6+4i)'] -> (((1-2i) - (5+8i)) + ((4-i) * (6+4i)))
[426503] ['(1-2i)', '(4-i)', '(5+8i)', '(7+i)'] -> (((1-2i) * (5+8i)) - ((4-i) - (7+i)))
[426515] ['(1-2i)', '(4-i)', '(6-9i)', '6'] -> ((-8i * (1+6i)) - ((3-i) * 8))
[426525] ['(1-2i)', '(4-i)', '(6-9i)', '(9-6i)'] -> (((9-6i) + ((4-i) * (6-9i))) / (1-2i))
[426533] ['(1-2i)', '(4-i)', '(6-8i)', '(8+9i)'] -> (((1-2i) * (8+9i)) + ((4-i) - (6-8i)))
[426536] ['(1-2i)', '(4-i)', '(6-7i)', '7'] -> (7 + ((6-7i) / ((1-2i) / (4-i))))
[426544] ['(1-2i)', '(4-i)', '(6-6i)', '(6+6i)'] -> (((1-2i) * (6-6i)) + ((4-i) * (6+6i)))
[426545] ['(1-2i)', '(4-i)', '(6-6i)', '(7-i)'] -> ((6-6i) * ((7-i) - ((1-2i) + (4-i))))
[426550] ['(1-2i)', '(4-i)', '(6-6i)', '(9+8i)'] -> (((1-2i) + (9+8i)) / ((4-i) / (6-6i)))
[426555] ['(1-2i)', '(4-i)', '(6-5i)', '(7+i)'] -> (((1-2i) - (6-5i)) + ((4-i) * (7+i)))
[426563] ['(1-2i)', '(4-i)', '(6-3i)', '(8+8i)'] -> (((6-3i) * (8+8i)) / ((4-i) - (1-2i)))
[426564] ['(1-2i)', '(4-i)', '(6-2i)', '(6+2i)'] -> (((4-i) * (6+2i)) - ((6-2i) / (1-2i)))
[426576] ['(1-2i)', '(4-i)', '6', '(7+i)'] -> (6 * ((7+i) + ((1-2i) - (4-i))))
[426579] ['(1-2i)', '(4-i)', '6', '(8-9i)'] -> (((8-9i) - (4-i)) / ((1-2i) / 6))
[426582] ['(1-2i)', '(4-i)', '(6+i)', '(6+i)'] -> ((6+i) * ((4-i) - ((1-2i) / (6+i))))
[426583] ['(1-2i)', '(4-i)', '(6+i)', '(6+4i)'] -> (((4-i) * ((1-2i) + (6+4i))) - (6+i))
[426585] ['(1-2i)', '(4-i)', '(6+i)', '(8-2i)'] -> (((6+i) * ((8-2i) - (4-i))) - (1-2i))
[426592] ['(1-2i)', '(4-i)', '(6+3i)', '(6+8i)'] -> (((1-2i) * (6+8i)) - ((4-i) - (6+3i)))
[426595] ['(1-2i)', '(4-i)', '(6+3i)', '9'] -> (((4-i) * 9) - ((1-2i) * (6+3i)))
[426597] ['(1-2i)', '(4-i)', '(6+4i)', '(6+9i)'] -> (((1-2i) * (6+4i)) + ((4-i) + (6+9i)))
[426601] ['(1-2i)', '(4-i)', '(6+5i)', '(6+6i)'] -> (((4-i) - (6+5i)) / ((1-2i) / (6+6i)))
[426604] ['(1-2i)', '(4-i)', '(6+5i)', '(7+5i)'] -> (((4-i) * ((1-2i) + (6+5i))) - (7+5i))
