[378682] ['-8i', '3i', '(3-8i)', '(8-3i)'] -> (3i + 8-3i) * (3-8i - -8i)
[378684] ['-8i', '3i', '(3-8i)', '(8+i)'] -> 8+i * (3-8i - -8i) - 3i
[378697] ['-8i', '3i', '(3-7i)', '(3+9i)'] -> 3i * (3-7i - (-8i + 3+9i))
[378703] ['-8i', '3i', '(3-7i)', '(5-7i)'] -> -8i + 3-7i + 3i * 5-7i
[378723] ['-8i', '3i', '(3-6i)', '3'] -> -8i * (3 - (3i + 3-6i))
[378727] ['-8i', '3i', '(3-6i)', '(4-4i)'] -> 1-5i * 1+2i + 5-i + 8+4i
[378741] ['-8i', '3i', '(3-6i)', '(6-3i)'] -> 6-3i * (3-6i - -8i) - 3i
[378744] ['-8i', '3i', '(3-6i)', '(6-i)'] -> -8i + 6-i + 3i * 3-6i
[378760] ['-8i', '3i', '(3-5i)', '(3+i)'] -> -8i * (3+i - (3i + 3-5i))
[378763] ['-8i', '3i', '(3-5i)', '(4-7i)'] -> (3i + 4-7i) * (3-5i - -8i)
[378778] ['-8i', '3i', '(3-5i)', '8'] -> 8 * (3-5i - (-8i + 3i))
[378782] ['-8i', '3i', '(3-5i)', '(9-i)'] -> -8i + 9-i + 3i * 3-5i
[378785] ['-8i', '3i', '(3-4i)', '(3+2i)'] -> -8i * (3+2i - (3i + 3-4i))
[378787] ['-8i', '3i', '(3-4i)', '(4-7i)'] -> -8i + 3-4i + 3i * 4-7i
[378808] ['-8i', '3i', '(3-4i)', '8'] -> 8 * (3i + 3-4i) - -8i
[378812] ['-8i', '3i', '(3-3i)', '(3+3i)'] -> -8i * (3+3i - (3i + 3-3i))
[378814] ['-8i', '3i', '(3-3i)', '(4-7i)'] -> 3-3i * (4-7i - (-8i - 3i))
[378815] ['-8i', '3i', '(3-3i)', '(4-i)'] -> 3-3i * (4-i - (-8i + 3i))
[378817] ['-8i', '3i', '(3-3i)', '(4+9i)'] -> 3-3i * (4+9i + -8i + 3i)
[378826] ['-8i', '3i', '(3-3i)', '(8-8i)'] -> (3i + 3-3i) * (8-8i - -8i)
[378831] ['-8i', '3i', '(3-3i)', '(8+9i)'] -> -8i / (3-3i - 8+9i / 3i)
[378835] ['-8i', '3i', '(3-2i)', '(3+4i)'] -> -8i * (3+4i - (3i + 3-2i))
[378839] ['-8i', '3i', '(3-2i)', '(4-4i)'] -> 4 * (3+4i + -3i + 3-i)
[378843] ['-8i', '3i', '(3-2i)', '(5+9i)'] -> -8i / (3-2i - 5+9i / 3i)
[378852] ['-8i', '3i', '(3-2i)', '(7+9i)'] -> -8i / (7+9i / 3i - 3-2i)
[378856] ['-8i', '3i', '(3-2i)', '8'] -> -8i + 8 * (3i + 3-2i)
[378859] ['-8i', '3i', '(3-i)', '(3+5i)'] -> -8i * (3+5i - (3i + 3-i))
[378864] ['-8i', '3i', '(3-i)', '(4+9i)'] -> -8i / (4+9i / 3i - 3-i)
[378881] ['-8i', '3i', '(3-i)', '(8-3i)'] -> 3-i * (3i + 8-3i) - -8i
[378883] ['-8i', '3i', '(3-i)', '(8+3i)'] -> 3-i * (8+3i - 3i) - -8i
[378885] ['-8i', '3i', '3', '(3+6i)'] -> -8i * (3+6i - (3i + 3))
[378887] ['-8i', '3i', '3', '(4+4i)'] -> (-8i + 4+4i) * (3i + 3)
[378902] ['-8i', '3i', '3', '(8-8i)'] -> -8i * 3 + 3i * 8-8i
[378903] ['-8i', '3i', '3', '(8-7i)'] -> 3 * (8-7i - -8i) - 3i
[378905] ['-8i', '3i', '3', '(8-5i)'] -> 3 * (8-5i - (-8i + 3i))
[378908] ['-8i', '3i', '3', '8'] -> 8 / (3 + -8i / 3i)
[378909] ['-8i', '3i', '3', '(8+5i)'] -> 3 * (8+5i + -8i + 3i)
[378910] ['-8i', '3i', '3', '(8+7i)'] -> 3i + 3 * (-8i + 8+7i)
[378911] ['-8i', '3i', '3', '(8+9i)'] -> 3 * (-8i + 8+9i) - 3i
[378914] ['-8i', '3i', '(3+i)', '(4-9i)'] -> -8i / (3+i + 4-9i / 3i)
[378929] ['-8i', '3i', '(3+i)', '(8-3i)'] -> -8i + 3+i * (3i + 8-3i)
[378935] ['-8i', '3i', '(3+2i)', '(3+8i)'] -> -8i * (3+8i - (3i + 3+2i))
[378937] ['-8i', '3i', '(3+2i)', '(4+4i)'] -> 4+4i * (3+2i + -8i + 3i)
[378951] ['-8i', '3i', '(3+2i)', '(6+5i)'] -> 3+2i * (-8i + 6+5i) - 3i
[378954] ['-8i', '3i', '(3+2i)', '(7-9i)'] -> -8i / (3+2i + 7-9i / 3i)
[378958] ['-8i', '3i', '(3+2i)', '8'] -> 8 * (3+2i - 3i) - -8i
[378960] ['-8i', '3i', '(3+3i)', '(3+9i)'] -> -8i * (3+9i - (3i + 3+3i))
[378961] ['-8i', '3i', '(3+3i)', '(4-9i)'] -> 3+3i * (4-9i - (-8i + 3i))
[378962] ['-8i', '3i', '(3+3i)', '(4+i)'] -> 3+3i * (4+i + -8i + 3i)
