[456126] ['-2i', '1', '(2+5i)', '(4-4i)'] -> ((4-4i) * ((2+5i) + (-2i + 1)))
[456134] ['-2i', '1', '(2+6i)', '(3-6i)'] -> (-2i * ((1 + (2+6i)) - (3-6i)))
[456144] ['-2i', '1', '(2+7i)', '(3-5i)'] -> (-2i * ((1 + (2+7i)) - (3-5i)))
[456148] ['-2i', '1', '(2+7i)', '(8-9i)'] -> (((8-9i) * (1 - -2i)) - (2+7i))
[456149] ['-2i', '1', '(2+7i)', '(8-3i)'] -> (-8i * ((8+2i) - ((2+8i) + (6-9i))))
[456153] ['-2i', '1', '(2+7i)', '(9+4i)'] -> ((-2i * (2+7i)) + (1 + (9+4i)))
[456154] ['-2i', '1', '(2+8i)', '(3-4i)'] -> (-2i * ((1 + (2+8i)) - (3-4i)))
[456165] ['-2i', '1', '(2+8i)', '(6-4i)'] -> ((6-4i) + ((2+8i) * (-2i + 1)))
[456167] ['-2i', '1', '(2+8i)', '(7+4i)'] -> ((-2i * (2+8i)) + (1 + (7+4i)))
[456172] ['-2i', '1', '(2+8i)', '(8+6i)'] -> ((8+6i) + (-2i * (1 + (2+8i))))
[456175] ['-2i', '1', '(2+8i)', '(9+4i)'] -> ((-2i * (2+8i)) - (1 - (9+4i)))
[456177] ['-2i', '1', '(2+9i)', '(3-3i)'] -> (-2i * ((1 + (2+9i)) - (3-3i)))
[456179] ['-2i', '1', '(2+9i)', '(4-5i)'] -> ((4-5i) + ((2+9i) * (-2i + 1)))
[456184] ['-2i', '1', '(2+9i)', '(5+4i)'] -> ((-2i * (2+9i)) + (1 + (5+4i)))
[456186] ['-2i', '1', '(2+9i)', '(6+6i)'] -> ((6+6i) + (-2i * (1 + (2+9i))))
[456188] ['-2i', '1', '(2+9i)', '(7+4i)'] -> ((-2i * (2+9i)) - (1 - (7+4i)))
[456192] ['-2i', '1', '(2+9i)', '(8+7i)'] -> ((2+9i) + ((8+7i) * (-2i + 1)))
[456195] ['-2i', '1', '(3-9i)', '(4-4i)'] -> (((3-9i) * (4-4i)) / (-2i - 1))
[456197] ['-2i', '1', '(3-9i)', '(4+3i)'] -> (-2i * ((4+3i) - (1 + (3-9i))))
[456199] ['-2i', '1', '(3-9i)', '(5-6i)'] -> ((1 + (5-6i)) - (-2i * (3-9i)))
