[291886] ['-3i', '(1-5i)', '(3-2i)', '(6+3i)'] -> ((1-5i) * (((6+3i) / (3-2i)) - -3i))
[291890] ['-3i', '(1-5i)', '(3-2i)', '(7-4i)'] -> (((7-4i) * ((3-2i) - -3i)) - (1-5i))
[291891] ['-3i', '(1-5i)', '(3-2i)', '(7-2i)'] -> (((3-2i) * ((7-2i) - (1-5i))) - -3i)
[291894] ['-3i', '(1-5i)', '(3-2i)', '(7+2i)'] -> (((3-2i) * (7+2i)) - (-3i + (1-5i)))
[291897] ['-3i', '(1-5i)', '(3-2i)', '(8+8i)'] -> ((-3i / (1-5i)) * ((3-2i) * (8+8i)))
[291899] ['-3i', '(1-5i)', '(3-2i)', '(9+7i)'] -> (-3i * (((9+7i) / (3-2i)) - (1-5i)))
[291901] ['-3i', '(1-5i)', '(3-i)', '3'] -> (((2-3i) * (4+5i)) - ((4-9i) - (5-7i)))
[291905] ['-3i', '(1-5i)', '(3-i)', '(4+2i)'] -> (((1-3i) * (4+7i)) + ((3+4i) - (4-i)))
[291909] ['-3i', '(1-5i)', '(3-i)', '(5-5i)'] -> (((5-5i) * ((3-i) - -3i)) - (1-5i))
[291912] ['-3i', '(1-5i)', '(3-i)', '(6-2i)'] -> (((3-i) + (6-2i)) - (-3i * (1-5i)))
[291914] ['-3i', '(1-5i)', '(3-i)', '(6+8i)'] -> (-3i * (((6+8i) / (3-i)) - (1-5i)))
[291916] ['-3i', '(1-5i)', '(3-i)', '(8-2i)'] -> (((3-i) * ((8-2i) - -3i)) - (1-5i))
[291919] ['-3i', '(1-5i)', '(3-i)', '(8+4i)'] -> (((3-i) * (-3i + (8+4i))) - (1-5i))
[291922] ['-3i', '(1-5i)', '(3-i)', '(9+9i)'] -> ((9+9i) * ((3-i) - ((1-5i) / -3i)))
[291923] ['-3i', '(1-5i)', '3', '(3+i)'] -> (((1-5i) + (3+i)) * (3 - -3i))
[291925] ['-3i', '(1-5i)', '3', '(4+3i)'] -> ((-9i + (8+9i)) * ((6+6i) - (3+6i)))
[291929] ['-3i', '(1-5i)', '3', '(5-7i)'] -> (((1-5i) * 3) - (-3i * (5-7i)))
[291930] ['-3i', '(1-5i)', '3', '(5-i)'] -> ((-3i + 3) * ((5-i) - (1-5i)))
[291934] ['-3i', '(1-5i)', '3', '(5+9i)'] -> ((-3i * (5+9i)) - ((1-5i) * 3))
[291935] ['-3i', '(1-5i)', '3', '(6-6i)'] -> ((6-6i) * (3 + (-3i - (1-5i))))
[291936] ['-3i', '(1-5i)', '3', '(6-3i)'] -> ((3 + (6-3i)) - (-3i * (1-5i)))
[291939] ['-3i', '(1-5i)', '3', '(7+2i)'] -> (3 * ((7+2i) - (-3i - (1-5i))))
[291940] ['-3i', '(1-5i)', '3', '(7+4i)'] -> ((3 * ((1-5i) + (7+4i))) - -3i)
[291941] ['-3i', '(1-5i)', '3', '(7+6i)'] -> (-3i + (3 * ((1-5i) + (7+6i))))
[291942] ['-3i', '(1-5i)', '3', '(7+8i)'] -> (3 * ((7+8i) + (-3i + (1-5i))))
[291947] ['-3i', '(1-5i)', '3', '(9-8i)'] -> (6 * ((4-6i) - ((1-8i) - (1-2i))))
[291949] ['-3i', '(1-5i)', '3', '(9-6i)'] -> ((3 * ((9-6i) - (1-5i))) - -3i)
[291950] ['-3i', '(1-5i)', '3', '(9-2i)'] -> (3 * ((9-2i) + (-3i - (1-5i))))
[291952] ['-3i', '(1-5i)', '(3+i)', '(3+6i)'] -> ((-3i + (3+6i)) * ((1-5i) + (3+i)))
[291956] ['-3i', '(1-5i)', '(3+i)', '(4+4i)'] -> (-3i * ((4+4i) - ((1-5i) + (3+i))))
[291959] ['-3i', '(1-5i)', '(3+i)', '(6-4i)'] -> (((3+i) + (6-4i)) - (-3i * (1-5i)))
[291963] ['-3i', '(1-5i)', '(3+i)', '(7-7i)'] -> (((3+i) * ((7-7i) - -3i)) - (1-5i))
[291965] ['-3i', '(1-5i)', '(3+i)', '(7-i)'] -> (((3+i) * (-3i + (7-i))) - (1-5i))
[291966] ['-3i', '(1-5i)', '(3+i)', '(8-6i)'] -> (-3i * ((8-6i) - ((1-5i) * (3+i))))
[291969] ['-3i', '(1-5i)', '(3+i)', '(9-9i)'] -> (((1-5i) + (3+i)) / (-3i / (9-9i)))
[291972] ['-3i', '(1-5i)', '(3+2i)', '(4+5i)'] -> (-3i * ((4+5i) - ((1-5i) + (3+2i))))
[291973] ['-3i', '(1-5i)', '(3+2i)', '(5-8i)'] -> (((3+2i) * ((5-8i) - -3i)) - (1-5i))
[291974] ['-3i', '(1-5i)', '(3+2i)', '(5-2i)'] -> (((3+2i) * (-3i + (5-2i))) - (1-5i))
[291975] ['-3i', '(1-5i)', '(3+2i)', '(5+2i)'] -> (-3i + ((3+2i) * ((1-5i) + (5+2i))))
[291977] ['-3i', '(1-5i)', '(3+2i)', '(6-5i)'] -> (((1-8i) - (1-2i)) * (4 - (4-4i)))
[291978] ['-3i', '(1-5i)', '(3+2i)', '6'] -> (6 * ((3+2i) - (-3i - (1-5i))))
[291986] ['-3i', '(1-5i)', '(3+2i)', '(8+i)'] -> (((8+i) * (-3i + (3+2i))) - (1-5i))
[291992] ['-3i', '(1-5i)', '(3+3i)', '(3+4i)'] -> ((3+3i) * ((3+4i) + (-3i + (1-5i))))
[291993] ['-3i', '(1-5i)', '(3+3i)', '(3+6i)'] -> (((1-5i) * (3+6i)) - (-3i * (3+3i)))
[291996] ['-3i', '(1-5i)', '(3+3i)', '(4-2i)'] -> (((1-5i) * (3+3i)) - (-3i * (4-2i)))
[291998] ['-3i', '(1-5i)', '(3+3i)', '(4+6i)'] -> (-3i * ((4+6i) - ((1-5i) + (3+3i))))
[291999] ['-3i', '(1-5i)', '(3+3i)', '(5-6i)'] -> ((3+3i) * ((5-6i) + (-3i - (1-5i))))
[292001] ['-3i', '(1-5i)', '(3+3i)', '(6-6i)'] -> ((4-9i) - ((2-3i) * ((5-9i) - (6-3i))))
[292004] ['-3i', '(1-5i)', '(3+3i)', '(6+9i)'] -> (((1-5i) * (3+3i)) - (-3i - (6+9i)))
[292005] ['-3i', '(1-5i)', '(3+3i)', '(7-6i)'] -> ((-3i * (1-5i)) + ((3+3i) * (7-6i)))
[292009] ['-3i', '(1-5i)', '(3+3i)', '(7+5i)'] -> ((-3i + (3+3i)) * ((1-5i) + (7+5i)))
[292012] ['-3i', '(1-5i)', '(3+3i)', '(9-9i)'] -> (((1-5i) * ((3+3i) - -3i)) - (9-9i))
[292014] ['-3i', '(1-5i)', '(3+3i)', '(9-5i)'] -> ((-3i + (3+3i)) * ((9-5i) - (1-5i)))
[292019] ['-3i', '(1-5i)', '(3+4i)', '(4-9i)'] -> (-3i * (((1-5i) + (3+4i)) - (4-9i)))
[292023] ['-3i', '(1-5i)', '(3+4i)', '(4+7i)'] -> (-3i * ((4+7i) - ((1-5i) + (3+4i))))
[292026] ['-3i', '(1-5i)', '(3+4i)', '(6-7i)'] -> (((3+4i) + (6-7i)) - (-3i * (1-5i)))
[292031] ['-3i', '(1-5i)', '(3+4i)', '(7-4i)'] -> (((7-4i) * (-3i + (3+4i))) - (1-5i))
[292039] ['-3i', '(1-5i)', '(3+5i)', '(4-8i)'] -> (-3i * (((1-5i) + (3+5i)) - (4-8i)))
[292040] ['-3i', '(1-5i)', '(3+5i)', '(4-7i)'] -> (((1-5i) * (3+5i)) - (-3i + (4-7i)))
[292046] ['-3i', '(1-5i)', '(3+5i)', '(4+8i)'] -> (-3i * ((4+8i) - ((1-5i) + (3+5i))))
