[340134] ['-3i', '(2-2i)', '(2+3i)', '(4+6i)'] -> 2-i * 8+9i + 7-3i - 8+7i
[340137] ['-3i', '(2-2i)', '(2+3i)', '(4+9i)'] -> -3i * (4+9i - (2-2i + 2+3i))
[340138] ['-3i', '(2-2i)', '(2+3i)', '(5-8i)'] -> 2+3i * (5-8i - 2-2i) - -3i
[340140] ['-3i', '(2-2i)', '(2+3i)', '(5+4i)'] -> 5+4i + 2+3i * (-3i + 2-2i)
[340141] ['-3i', '(2-2i)', '(2+3i)', '(5+8i)'] -> -3i - 2+3i + 2-2i * 5+8i
[340142] ['-3i', '(2-2i)', '(2+3i)', '(6-6i)'] -> -3i * 2-2i + 2+3i * 6-6i
[340145] ['-3i', '(2-2i)', '(2+3i)', '(7+4i)'] -> 2-2i * 7+4i - (-3i - 2+3i)
[340147] ['-3i', '(2-2i)', '(2+3i)', '(8+6i)'] -> 2-2i * (8+6i - (-3i + 2+3i))
[340150] ['-3i', '(2-2i)', '(2+4i)', '(2+8i)'] -> -3i * 2+8i - (2-2i - 2+4i)
[340154] ['-3i', '(2-2i)', '(2+4i)', '(4-6i)'] -> -3i * (2-2i + 2+4i - 4-6i)
[340155] ['-3i', '(2-2i)', '(2+4i)', '(4-i)'] -> (2-6i - 2) * (9+3i - 9-i)
[340156] ['-3i', '(2-2i)', '(2+4i)', '(4+2i)'] -> -3i * 2-2i * (2+4i - 4+2i)
[340157] ['-3i', '(2-2i)', '(2+4i)', '(4+5i)'] -> 2-2i * (4+5i + -3i + 2+4i)
[340168] ['-3i', '(2-2i)', '(2+4i)', '(8+7i)'] -> 2-2i * (8+7i - (-3i + 2+4i))
[340175] ['-3i', '(2-2i)', '(2+5i)', '(4-5i)'] -> (7-6i - 7+2i) / (1-3i / 9+3i)
[340177] ['-3i', '(2-2i)', '(2+5i)', '(4-4i)'] -> (-3i + 2+5i) * (2-2i + 4-4i)
[340178] ['-3i', '(2-2i)', '(2+5i)', '(4-2i)'] -> 2-2i * (4-2i - (-3i - 2+5i))
[340180] ['-3i', '(2-2i)', '(2+5i)', '(4+3i)'] -> 6i - -6i * (7-2i - 8+2i)
[340181] ['-3i', '(2-2i)', '(2+5i)', '(4+4i)'] -> 2-2i * (4+4i + -3i + 2+5i)
[340184] ['-3i', '(2-2i)', '(2+5i)', '5'] -> 2-i + 7-2i + 7-i + 8+4i
