[549] ['4', '16', '17', '17', '18'] -> (18 / ((17 / 17) - (4 / 16)))
[551] ['4', '16', '27', '27', '30'] -> (30 / ((27 / 27) + (4 / 16)))
[560] ['4', '20', '20', '26', '29'] -> (20 / ((29 / (26 - 20)) - 4))
[573] ['5', '5', '10', '17', '29'] -> (((29 / 5) - (17 / 5)) * 10)
[578] ['5', '5', '15', '16', '27'] -> (27 - (16 / ((5 / 15) + 5)))
[590] ['5', '5', '27', '30', '30'] -> (((27 / 5) - 5) * (30 + 30))
[591] ['5', '5', '18', '21', '30'] -> (((18 / 30) + (21 / 5)) * 5)
[592] ['5', '5', '18', '22', '22'] -> ((18 + 22) * (5 - (22 / 5)))
[631] ['5', '10', '17', '17', '17'] -> (((17 / 5) - (17 / 17)) * 10)
[643] ['5', '10', '17', '26', '26'] -> (((17 / 5) - (26 / 26)) * 10)
[644] ['5', '10', '17', '27', '27'] -> (((17 / 5) - (27 / 27)) * 10)
[646] ['5', '11', '11', '18', '20'] -> (18 / ((11 / 11) - (5 / 20)))
[648] ['5', '11', '11', '28', '30'] -> (28 / ((11 / 11) + (5 / 30)))
[660] ['5', '11', '18', '18', '27'] -> (((11 / 18) + (5 / 18)) * 27)
[668] ['5', '13', '13', '28', '30'] -> (28 / ((13 / 13) + (5 / 30)))
[671] ['5', '13', '13', '18', '20'] -> (18 / ((13 / 13) - (5 / 20)))
[683] ['5', '14', '17', '21', '21'] -> ((17 / ((14 / 21) + 5)) + 21)
[684] ['5', '15', '16', '23', '23'] -> (16 / ((23 / 23) - (5 / 15)))
[688] ['5', '14', '18', '18', '23'] -> (18 / ((23 / (18 - 14)) - 5))
[694] ['5', '15', '18', '28', '28'] -> (((28 / 28) + (5 / 15)) * 18)
[695] ['5', '15', '18', '29', '29'] -> (((29 / 29) + (5 / 15)) * 18)
[697] ['5', '15', '18', '23', '23'] -> (((23 / 23) + (5 / 15)) * 18)
[702] ['5', '16', '16', '17', '18'] -> (18 / ((17 / 16) - (5 / 16)))
[705] ['5', '16', '30', '30', '30'] -> (30 / (5 - ((30 + 30) / 16)))
[736] ['6', '6', '6', '13', '28'] -> (28 / ((13 / 6) - (6 / 6)))
[739] ['6', '6', '6', '22', '29'] -> ((22 + 6) / (6 - (29 / 6)))
[743] ['6', '6', '7', '7', '8'] -> (6 / ((7 / 7) - (6 / 8)))
[749] ['6', '6', '8', '29', '29'] -> (6 / ((29 / 29) - (6 / 8)))
[752] ['6', '6', '15', '19', '25'] -> (6 / ((25 / (19 - 15)) - 6))
[754] ['6', '6', '14', '14', '29'] -> ((14 + 14) / (6 - (29 / 6)))
[762] ['6', '6', '21', '28', '28'] -> (28 / ((28 / 6) - (21 / 6)))
[768] ['6', '7', '7', '13', '15'] -> (((13 / 7) + (15 / 7)) * 6)
[778] ['6', '9', '19', '28', '28'] -> (28 / (9 - ((19 + 28) / 6)))
[780] ['6', '10', '10', '13', '27'] -> (((13 / 10) + (27 / 10)) * 6)
[782] ['6', '10', '10', '17', '23'] -> (((17 / 10) + (23 / 10)) * 6)
[786] ['6', '11', '11', '13', '28'] -> (28 / ((13 / 6) - (11 / 11)))
[789] ['6', '11', '11', '21', '23'] -> (((21 / 11) + (23 / 11)) * 6)
[801] ['6', '13', '15', '15', '28'] -> (28 / ((13 / 6) - (15 / 15)))
[804] ['6', '13', '13', '25', '27'] -> (((25 / 13) + (27 / 13)) * 6)
[809] ['6', '13', '28', '28', '28'] -> (28 / ((13 / 6) - (28 / 28)))
[812] ['6', '13', '21', '21', '28'] -> (28 / ((13 / 6) - (21 / 21)))
[813] ['6', '14', '15', '15', '28'] -> (((28 / 14) - (6 / 15)) * 15)
[855] ['6', '21', '22', '22', '28'] -> (6 / ((22 / 22) - (21 / 28)))
[860] ['6', '21', '22', '27', '28'] -> (27 - (22 / ((28 / 21) + 6)))
[864] ['7', '7', '7', '16', '21'] -> (16 / ((7 / 7) - (7 / 21)))
[869] ['7', '7', '8', '23', '28'] -> (((7 - (8 / 28)) * 7) - 23)
[875] ['7', '7', '8', '17', '27'] -> (27 / ((17 / 8) - (7 / 7)))
[876] ['7', '7', '8', '20', '30'] -> (8 / ((7 / 7) - (20 / 30)))
[879] ['7', '7', '14', '14', '16'] -> (((14 / 7) - (7 / 14)) * 16)
[880] ['7', '7', '14', '16', '16'] -> (((16 / 14) + (16 / 7)) * 7)
[888] ['7', '7', '14', '16', '29'] -> (((7 - (29 / 7)) * 14) - 16)
[911] ['7', '7', '15', '21', '23'] -> (((23 / 7) - (15 / 7)) * 21)
[931] ['7', '8', '12', '22', '27'] -> (((7 - (22 / 8)) * 12) - 27)
[937] ['7', '9', '9', '14', '19'] -> (((19 / 7) - (9 / 9)) * 14)
[938] ['7', '9', '9', '28', '30'] -> (30 / ((7 / 28) + (9 / 9)))
[947] ['7', '9', '28', '28', '29'] -> ((9 - ((28 + 29) / 7)) * 28)
[957] ['7', '10', '15', '15', '29'] -> (((29 / 15) + (7 / 15)) * 10)
[960] ['7', '10', '14', '21', '30'] -> (((21 / 14) - (7 / 10)) * 30)
[962] ['7', '10', '18', '20', '27'] -> (((10 / 20) + (7 / 18)) * 27)
[970] ['7', '11', '11', '28', '30'] -> (30 / ((11 / 11) + (7 / 28)))
[974] ['7', '11', '16', '27', '27'] -> (16 / ((11 / 27) + (7 / 27)))
[982] ['7', '12', '15', '23', '25'] -> (12 / ((15 / (25 - 23)) - 7))
[983] ['7', '12', '17', '17', '27'] -> (((27 / 17) + (7 / 17)) * 12)
[984] ['7', '12', '19', '26', '30'] -> (26 - (19 / ((30 / 12) + 7)))
[997] ['7', '13', '13', '28', '30'] -> (30 / ((13 / 13) + (7 / 28)))
[1001] ['7', '13', '16', '16', '23'] -> (16 / ((23 / (16 - 13)) - 7))
[1012] ['7', '14', '14', '22', '29'] -> ((29 / ((7 / 14) + 14)) + 22)
[1015] ['7', '13', '28', '28', '28'] -> (((13 / 7) - (28 / 28)) * 28)
[1016] ['7', '13', '28', '30', '30'] -> (((13 / 7) - (30 / 30)) * 28)
[1017] ['7', '13', '19', '19', '28'] -> (((13 / 7) - (19 / 19)) * 28)
[1019] ['7', '14', '19', '19', '19'] -> (((19 / 7) - (19 / 19)) * 14)
[1021] ['7', '14', '19', '22', '22'] -> (((19 / 7) - (22 / 22)) * 14)
[1022] ['7', '14', '19', '23', '23'] -> (((19 / 7) - (23 / 23)) * 14)
[1023] ['7', '14', '19', '30', '30'] -> (((19 / 7) - (30 / 30)) * 14)
[1027] ['7', '13', '17', '28', '30'] -> (30 / ((13 / 7) - (17 / 28)))
[1029] ['7', '13', '18', '18', '28'] -> (((13 / 7) - (18 / 18)) * 28)
[1031] ['7', '15', '15', '21', '29'] -> (((29 / 15) - (7 / 21)) * 15)
[1032] ['7', '15', '15', '22', '30'] -> ((15 / ((15 / 30) + 7)) + 22)
[1034] ['7', '13', '25', '25', '28'] -> (((13 / 7) - (25 / 25)) * 28)
[1037] ['7', '15', '16', '20', '30'] -> (20 / ((16 / 15) - (7 / 30)))
[1057] ['7', '18', '28', '29', '29'] -> (18 / ((29 / 29) - (7 / 28)))
[1072] ['7', '20', '22', '23', '30'] -> (22 / ((23 / 20) - (7 / 30)))
[1076] ['8', '8', '8', '14', '21'] -> (8 / ((8 / 8) - (14 / 21)))
[1082] ['8', '8', '8', '21', '28'] -> (8 / ((28 / 21) - (8 / 8)))
[1084] ['7', '18', '27', '27', '29'] -> (((29 / 27) + (7 / 27)) * 18)
[1087] ['8', '8', '8', '18', '27'] -> (8 / ((8 / 8) - (18 / 27)))
[1098] ['8', '8', '11', '14', '25'] -> (8 / ((25 / (14 - 11)) - 8))
[1099] ['8', '8', '13', '15', '15'] -> (8 / ((13 / 15) - (8 / 15)))
[1102] ['8', '8', '15', '21', '22'] -> (21 / ((22 / 8) - (15 / 8)))
[1110] ['8', '8', '13', '20', '21'] -> (21 / ((20 / 8) - (13 / 8)))
[1111] ['8', '8', '17', '20', '25'] -> (8 / ((25 / (20 - 17)) - 8))
[1113] ['8', '8', '15', '23', '28'] -> (15 / ((28 / 8) - (23 / 8)))
[1114] ['8', '8', '15', '29', '30'] -> (15 / (8 - ((29 + 30) / 8)))
[1116] ['8', '9', '9', '18', '28'] -> (((28 / 9) - (8 / 18)) * 9)
[1117] ['8', '8', '19', '27', '28'] -> (27 / ((28 / 8) - (19 / 8)))
[1121] ['8', '8', '17', '26', '27'] -> (27 / ((26 / 8) - (17 / 8)))
[1123] ['8', '10', '10', '11', '19'] -> (((11 / 10) + (19 / 10)) * 8)
[1136] ['8', '10', '10', '18', '27'] -> (8 / ((10 / 10) - (18 / 27)))
[1137] ['8', '10', '15', '15', '15'] -> (8 / ((15 / 15) - (10 / 15)))
[1138] ['8', '10', '15', '15', '28'] -> (((28 / 15) + (8 / 15)) * 10)
[1139] ['8', '10', '15', '29', '29'] -> (8 / ((29 / 29) - (10 / 15)))
[1147] ['8', '11', '11', '18', '30'] -> (30 / ((18 / 8) - (11 / 11)))
[1149] ['8', '10', '19', '27', '27'] -> (8 / ((19 / 27) - (10 / 27)))
[1151] ['8', '11', '19', '22', '28'] -> (((19 / 11) + (28 / 22)) * 8)
