[355] ['8', '13', '88'] -> (88 / 8) + 13
[356] ['8', '13', '16'] -> (16 - 13) * 8
[357] ['8', '14', '17'] -> (17 - 14) * 8
[358] ['8', '14', '88'] -> (14 * 8) - 88
[359] ['8', '14', '80'] -> (80 / 8) + 14
[360] ['8', '15', '18'] -> (18 - 15) * 8
[361] ['8', '15', '72'] -> (72 / 8) + 15
[362] ['8', '15', '96'] -> (15 * 8) - 96
[363] ['8', '16', '22'] -> (16 / 8) + 22
[364] ['8', '16', '26'] -> 26 - (16 / 8)
[365] ['8', '16', '19'] -> (19 - 16) * 8
[366] ['8', '16', '64'] -> (64 / 8) + 16
[367] ['8', '17', '56'] -> (56 / 8) + 17
[368] ['8', '17', '20'] -> (20 - 17) * 8
[369] ['8', '18', '21'] -> (21 - 18) * 8
[370] ['8', '18', '48'] -> (48 / 8) + 18
[371] ['8', '19', '22'] -> (22 - 19) * 8
[372] ['8', '19', '40'] -> (40 / 8) + 19
[373] ['8', '20', '32'] -> (32 / 8) + 20
[374] ['8', '20', '23'] -> (23 - 20) * 8
[375] ['8', '22', '25'] -> (25 - 22) * 8
[376] ['8', '23', '26'] -> (26 - 23) * 8
[377] ['8', '25', '28'] -> (28 - 25) * 8
[378] ['8', '26', '29'] -> (29 - 26) * 8
[379] ['8', '27', '30'] -> (30 - 27) * 8
[380] ['8', '28', '31'] -> (31 - 28) * 8
[381] ['8', '28', '32'] -> 28 - (32 / 8)
[382] ['8', '29', '32'] -> (32 - 29) * 8
[383] ['8', '29', '40'] -> 29 - (40 / 8)
[384] ['8', '30', '33'] -> (33 - 30) * 8
[385] ['8', '30', '48'] -> 30 - (48 / 8)
[386] ['8', '31', '56'] -> 31 - (56 / 8)
[387] ['8', '31', '34'] -> (34 - 31) * 8
[388] ['8', '32', '35'] -> (35 - 32) * 8
[389] ['8', '33', '72'] -> 33 - (72 / 8)
[390] ['8', '33', '36'] -> (36 - 33) * 8
[391] ['8', '34', '37'] -> (37 - 34) * 8
[392] ['8', '34', '80'] -> 34 - (80 / 8)
[393] ['8', '35', '38'] -> (38 - 35) * 8
[394] ['8', '35', '88'] -> 35 - (88 / 8)
[395] ['8', '36', '39'] -> (39 - 36) * 8
[396] ['8', '36', '96'] -> 36 - (96 / 8)
[397] ['8', '37', '40'] -> (40 - 37) * 8
[398] ['8', '38', '41'] -> (41 - 38) * 8
[399] ['8', '39', '42'] -> (42 - 39) * 8
[400] ['8', '40', '43'] -> (43 - 40) * 8
[401] ['8', '41', '44'] -> (44 - 41) * 8
[402] ['8', '42', '45'] -> (45 - 42) * 8
[403] ['8', '43', '46'] -> (46 - 43) * 8
[404] ['8', '44', '47'] -> (47 - 44) * 8
[405] ['8', '45', '48'] -> (48 - 45) * 8
[406] ['8', '46', '49'] -> (49 - 46) * 8
[407] ['8', '47', '50'] -> (50 - 47) * 8
[408] ['8', '48', '51'] -> (51 - 48) * 8
[409] ['8', '49', '52'] -> (52 - 49) * 8
[410] ['8', '50', '53'] -> (53 - 50) * 8
[411] ['8', '51', '54'] -> (54 - 51) * 8
[412] ['8', '52', '55'] -> (55 - 52) * 8
[413] ['8', '53', '56'] -> (56 - 53) * 8
[414] ['8', '54', '57'] -> (57 - 54) * 8
[415] ['8', '55', '58'] -> (58 - 55) * 8
[416] ['8', '56', '59'] -> (59 - 56) * 8
[417] ['8', '57', '60'] -> (60 - 57) * 8
[418] ['8', '58', '61'] -> (61 - 58) * 8
[419] ['8', '59', '62'] -> (62 - 59) * 8
[420] ['8', '60', '63'] -> (63 - 60) * 8
[421] ['8', '61', '64'] -> (64 - 61) * 8
[422] ['8', '62', '65'] -> (65 - 62) * 8
[423] ['8', '63', '66'] -> (66 - 63) * 8
[424] ['8', '64', '67'] -> (67 - 64) * 8
[425] ['8', '65', '68'] -> (68 - 65) * 8
[426] ['8', '66', '69'] -> (69 - 66) * 8
[427] ['8', '67', '70'] -> (70 - 67) * 8
[428] ['8', '68', '71'] -> (71 - 68) * 8
[429] ['8', '69', '72'] -> (72 - 69) * 8
[430] ['8', '70', '73'] -> (73 - 70) * 8
[431] ['8', '71', '74'] -> (74 - 71) * 8
[432] ['8', '72', '75'] -> (75 - 72) * 8
[433] ['8', '73', '76'] -> (76 - 73) * 8
[434] ['8', '74', '77'] -> (77 - 74) * 8
[435] ['8', '75', '78'] -> (78 - 75) * 8
[436] ['8', '76', '79'] -> (79 - 76) * 8
[437] ['8', '77', '80'] -> (80 - 77) * 8
[438] ['8', '78', '81'] -> (81 - 78) * 8
[439] ['8', '79', '82'] -> (82 - 79) * 8
[440] ['8', '80', '83'] -> (83 - 80) * 8
[441] ['8', '81', '84'] -> (84 - 81) * 8
[442] ['8', '82', '85'] -> (85 - 82) * 8
[443] ['8', '83', '86'] -> (86 - 83) * 8
[444] ['8', '84', '87'] -> (87 - 84) * 8
[445] ['8', '85', '88'] -> (88 - 85) * 8
[446] ['8', '86', '89'] -> (89 - 86) * 8
[447] ['8', '87', '90'] -> (90 - 87) * 8
[448] ['1', '3', '75'] -> (75 / 3) - 1
[449] ['8', '88', '91'] -> (91 - 88) * 8
[450] ['8', '89', '92'] -> (92 - 89) * 8
[451] ['8', '90', '93'] -> (93 - 90) * 8
[452] ['8', '91', '94'] -> (94 - 91) * 8
[453] ['8', '92', '95'] -> (95 - 92) * 8
[454] ['8', '93', '96'] -> (96 - 93) * 8
[455] ['8', '93', '99'] -> (93 + 99) / 8
[456] ['8', '94', '97'] -> (97 - 94) * 8
[457] ['8', '94', '98'] -> (94 + 98) / 8
[458] ['8', '95', '97'] -> (95 + 97) / 8
[459] ['8', '95', '98'] -> (98 - 95) * 8
[460] ['8', '96', '96'] -> (96 + 96) / 8
[461] ['8', '96', '99'] -> (99 - 96) * 8
[462] ['1', '3', '48'] -> 48 / (3 - 1)
[463] ['9', '9', '23'] -> (9 / 9) + 23
[464] ['9', '9', '25'] -> 25 - (9 / 9)
[465] ['9', '9', '57'] -> (9 * 9) - 57
[466] ['9', '10', '66'] -> (10 * 9) - 66
[467] ['9', '11', '12'] -> (11 - 9) * 12
[468] ['9', '11', '48'] -> 48 / (11 - 9)
[469] ['9', '11', '75'] -> (11 * 9) - 75
