[235] ['3', '11', '23'] -> 11 - (23 / 3) mod 31
[236] ['3', '11', '27'] -> (3 / 11) - 27 mod 31
[237] ['3', '13', '15'] -> (3 * 13) - 15 mod 31
[238] ['3', '13', '19'] -> 19 + (3 / 13) mod 31
[239] ['3', '13', '22'] -> 3 / (13 + 22) mod 31
[240] ['3', '13', '26'] -> 3 * (13 + 26) mod 31
[241] ['3', '14', '17'] -> 3 + (14 * 17) mod 31
[242] ['3', '14', '29'] -> (29 - 3) / 14 mod 31
[243] ['3', '14', '30'] -> 14 + (30 / 3) mod 31
[244] ['3', '15', '18'] -> 18 - (3 / 15) mod 31
[245] ['3', '15', '28'] -> 15 - (3 * 28) mod 31
[246] ['3', '15', '30'] -> 30 + (3 / 15) mod 31
[247] ['3', '16', '21'] -> (3 / 21) - 16 mod 31
[248] ['3', '16', '30'] -> 30 - (3 / 16) mod 31
[249] ['3', '17', '20'] -> 3 + (17 / 20) mod 31
[250] ['3', '18', '18'] -> 18 + (18 / 3) mod 31
[251] ['3', '19', '21'] -> (19 * 21) - 3 mod 31
[252] ['3', '19', '30'] -> (3 / 19) - 30 mod 31
[253] ['3', '20', '23'] -> 20 * (3 + 23) mod 31
[254] ['3', '21', '23'] -> 23 + (3 * 21) mod 31
[255] ['3', '21', '26'] -> (3 - 26) / 21 mod 31
[256] ['3', '22', '22'] -> 22 / (22 - 3) mod 31
[257] ['3', '26', '27'] -> (3 * 27) - 26 mod 31
[258] ['3', '26', '28'] -> 28 * (26 - 3) mod 31
[259] ['3', '27', '28'] -> 27 * (28 - 3) mod 31
[260] ['3', '28', '29'] -> (3 * 28) - 29 mod 31
[261] ['3', '29', '30'] -> 30 + (3 * 29) mod 31
[262] ['4', '4', '5'] -> 4 + (4 * 5) mod 31
[263] ['4', '4', '10'] -> 4 * (10 - 4) mod 31
[264] ['4', '4', '13'] -> 4 - (13 / 4) mod 31
[265] ['4', '4', '18'] -> 4 + (18 / 4) mod 31
[266] ['4', '4', '19'] -> (19 / 4) - 4 mod 31
[267] ['4', '4', '21'] -> (4 + 4) / 21 mod 31
[268] ['4', '4', '26'] -> 4 - (4 * 26) mod 31
[269] ['4', '4', '29'] -> 4 * (4 - 29) mod 31
[270] ['4', '5', '9'] -> (4 - 5) / 9 mod 31
[271] ['4', '5', '11'] -> 4 * (11 - 5) mod 31
[272] ['4', '5', '19'] -> (5 / 19) - 4 mod 31
[273] ['4', '5', '22'] -> (5 - 4) / 22 mod 31
[274] ['4', '5', '28'] -> 5 + (4 * 28) mod 31
[275] ['4', '6', '8'] -> 6 * (8 - 4) mod 31
