[1] ['1', '1', '3'] -> (1 / 3) - 1 mod 37
[227] ['10', '25', '25'] -> (10 + 25) * 25 mod 37
[228] ['10', '25', '31'] -> (10 / 25) + 31 mod 37
[229] ['10', '25', '36'] -> (36 / 25) - 10 mod 37
[230] ['10', '26', '28'] -> (28 - 10) * 26 mod 37
[231] ['10', '27', '35'] -> 35 - (10 * 27) mod 37
[232] ['10', '27', '36'] -> 36 / (10 - 27) mod 37
[233] ['10', '28', '30'] -> 28 - (10 * 30) mod 37
[234] ['10', '28', '36'] -> (28 / 10) + 36 mod 37
[235] ['10', '29', '36'] -> (36 / 29) + 10 mod 37
[236] ['1', '16', '23'] -> 16 - (1 / 23) mod 37
[237] ['10', '31', '31'] -> (10 + 31) / 31 mod 37
[238] ['10', '31', '33'] -> 31 - (33 / 10) mod 37
[239] ['10', '32', '34'] -> (32 / 34) + 10 mod 37
[240] ['10', '32', '36'] -> 32 / (36 - 10) mod 37
[241] ['10', '33', '33'] -> 33 / (10 + 33) mod 37
[242] ['10', '34', '35'] -> (34 + 35) * 10 mod 37
[243] ['11', '11', '15'] -> (15 / 11) - 11 mod 37
[244] ['11', '11', '16'] -> (16 - 11) / 11 mod 37
[245] ['11', '11', '19'] -> 11 - (11 * 19) mod 37
[246] ['11', '11', '20'] -> (11 * 20) - 11 mod 37
[247] ['1', '16', '31'] -> 31 - (1 / 16) mod 37
[248] ['11', '11', '25'] -> 25 - (11 / 11) mod 37
[249] ['11', '11', '29'] -> (11 - 29) * 11 mod 37
[250] ['11', '11', '30'] -> (30 - 11) * 11 mod 37
[251] ['11', '11', '31'] -> (11 + 31) / 11 mod 37
[252] ['11', '11', '34'] -> 34 - (11 * 11) mod 37
[253] ['11', '12', '15'] -> 15 - (12 / 11) mod 37
[254] ['11', '12', '16'] -> 12 - (16 / 11) mod 37
[255] ['11', '12', '27'] -> 11 / (12 + 27) mod 37
[256] ['11', '12', '35'] -> (12 * 35) + 11 mod 37
[257] ['11', '13', '16'] -> 11 - (16 / 13) mod 37
[258] ['1', '16', '36'] -> 1 / (16 - 36) mod 37
[259] ['11', '13', '18'] -> (18 - 13) / 11 mod 37
[260] ['11', '13', '19'] -> 19 - (11 * 13) mod 37
[261] ['11', '14', '14'] -> (14 - 11) / 14 mod 37
[262] ['11', '14', '23'] -> (11 - 14) / 23 mod 37
[263] ['11', '14', '26'] -> 14 - (11 * 26) mod 37
[264] ['11', '14', '34'] -> (34 / 14) + 11 mod 37
[265] ['11', '15', '15'] -> 15 / (11 - 15) mod 37
[266] ['11', '15', '18'] -> (11 + 15) * 18 mod 37
[267] ['11', '15', '32'] -> 32 / (11 + 15) mod 37
[268] ['11', '15', '34'] -> (34 - 15) * 11 mod 37
[269] ['1', '17', '17'] -> (1 - 17) * 17 mod 37
[270] ['11', '16', '16'] -> (11 / 16) - 16 mod 37
[271] ['11', '16', '17'] -> (16 * 17) + 11 mod 37
[272] ['11', '16', '20'] -> 11 - (16 * 20) mod 37
[273] ['11', '16', '25'] -> (25 - 11) / 16 mod 37
[274] ['11', '16', '36'] -> (16 / 11) + 36 mod 37
[275] ['11', '17', '21'] -> 11 - (17 * 21) mod 37
[276] ['11', '17', '25'] -> (17 + 25) / 11 mod 37
[277] ['11', '17', '29'] -> 29 - (11 / 17) mod 37
[278] ['11', '17', '35'] -> (17 - 35) * 11 mod 37
[279] ['11', '18', '18'] -> (18 / 11) - 18 mod 37
[280] ['1', '17', '18'] -> (18 / 17) - 1 mod 37
[281] ['11', '18', '19'] -> (18 / 11) + 19 mod 37
[282] ['11', '18', '22'] -> (11 - 22) * 18 mod 37
[283] ['11', '18', '25'] -> 11 - (25 / 18) mod 37
[284] ['11', '18', '30'] -> 30 / (11 + 18) mod 37
[285] ['11', '18', '34'] -> (11 + 18) * 34 mod 37
[286] ['11', '19', '19'] -> 19 - (19 / 11) mod 37
[287] ['11', '19', '22'] -> (22 - 11) * 19 mod 37
[288] ['11', '19', '27'] -> 11 - (19 / 27) mod 37
[289] ['11', '19', '30'] -> 30 / (11 - 19) mod 37
[290] ['11', '19', '33'] -> (19 * 33) - 11 mod 37
[291] ['1', '17', '22'] -> (22 - 1) * 17 mod 37
[292] ['11', '19', '34'] -> (11 - 19) * 34 mod 37
[293] ['11', '19', '35'] -> (11 / 19) - 35 mod 37
[294] ['11', '20', '21'] -> (20 * 21) + 11 mod 37
[295] ['11', '20', '29'] -> (11 / 20) + 29 mod 37
[296] ['11', '20', '31'] -> 31 / (20 - 11) mod 37
[297] ['11', '20', '35'] -> (20 / 11) - 35 mod 37
[298] ['11', '21', '27'] -> (11 / 21) + 27 mod 37
[299] ['11', '21', '30'] -> 21 - (11 * 30) mod 37
[300] ['11', '21', '36'] -> 36 - (21 / 11) mod 37
[301] ['11', '22', '22'] -> (22 / 11) + 22 mod 37
[302] ['1', '17', '23'] -> 23 / (1 - 17) mod 37
[303] ['11', '22', '25'] -> (25 / 11) - 22 mod 37
[304] ['11', '22', '31'] -> (11 + 22) * 31 mod 37
[305] ['11', '23', '23'] -> (11 + 23) / 23 mod 37
[306] ['11', '23', '35'] -> (11 - 23) * 35 mod 37
[307] ['11', '25', '33'] -> 33 - (25 / 11) mod 37
[308] ['11', '25', '35'] -> 11 - (25 * 35) mod 37
[309] ['11', '26', '27'] -> 27 / (26 - 11) mod 37
[310] ['11', '26', '29'] -> (29 - 11) * 26 mod 37
[311] ['11', '26', '31'] -> (31 - 26) / 11 mod 37
[312] ['11', '26', '33'] -> (26 - 11) / 33 mod 37
[313] ['1', '17', '24'] -> (1 - 17) / 24 mod 37
[314] ['11', '26', '34'] -> (11 * 26) + 34 mod 37
[315] ['11', '27', '31'] -> (11 + 31) * 27 mod 37
[316] ['11', '28', '28'] -> (28 + 28) * 11 mod 37
[317] ['11', '28', '35'] -> (11 * 35) - 28 mod 37
[318] ['11', '29', '35'] -> 35 / (11 + 29) mod 37
[319] ['11', '30', '33'] -> 33 - (11 / 30) mod 37
[320] ['11', '30', '34'] -> (34 - 11) * 30 mod 37
[321] ['11', '30', '35'] -> (35 - 30) / 11 mod 37
[322] ['11', '31', '35'] -> 31 / (11 + 35) mod 37
[323] ['11', '32', '32'] -> (11 * 32) - 32 mod 37
[324] ['1', '17', '26'] -> (1 + 17) * 26 mod 37
[325] ['11', '33', '33'] -> (11 - 33) / 33 mod 37
[326] ['11', '33', '36'] -> (11 / 33) + 36 mod 37
[327] ['11', '34', '35'] -> (35 / 34) + 11 mod 37
[328] ['12', '12', '21'] -> 21 / (12 + 12) mod 37
[329] ['12', '12', '23'] -> (12 / 12) + 23 mod 37
[330] ['12', '12', '27'] -> (12 + 27) * 12 mod 37
[331] ['12', '12', '28'] -> (12 * 12) + 28 mod 37
[332] ['12', '12', '30'] -> 12 / (12 - 30) mod 37
[333] ['12', '12', '33'] -> (33 / 12) + 12 mod 37
[334] ['12', '13', '15'] -> (15 - 13) * 12 mod 37
[335] ['1', '2', '9'] -> (9 / 2) + 1 mod 37
[336] ['1', '17', '28'] -> (1 / 28) - 17 mod 37
[337] ['12', '13', '19'] -> 12 - (13 * 19) mod 37
[338] ['12', '13', '20'] -> (12 - 13) / 20 mod 37
[339] ['12', '13', '22'] -> 22 - (13 / 12) mod 37
[340] ['12', '13', '29'] -> 12 - (29 / 13) mod 37
[341] ['12', '14', '17'] -> 12 - (17 / 14) mod 37
[342] ['12', '14', '18'] -> (12 + 14) * 18 mod 37
[343] ['12', '14', '20'] -> (20 / 14) + 12 mod 37
[344] ['12', '14', '21'] -> 14 - (12 / 21) mod 37
[345] ['12', '14', '30'] -> 14 - (12 * 30) mod 37
[346] ['12', '15', '15'] -> (12 + 15) / 15 mod 37
[347] ['1', '18', '21'] -> (18 - 1) * 21 mod 37
[348] ['12', '15', '17'] -> (17 - 15) * 12 mod 37
[349] ['12', '15', '31'] -> (12 * 31) - 15 mod 37
[350] ['12', '15', '33'] -> 12 / (15 - 33) mod 37
[351] ['12', '15', '35'] -> 35 / (15 - 12) mod 37
[352] ['12', '15', '36'] -> (12 / 15) - 36 mod 37
[353] ['12', '16', '25'] -> 16 / (25 - 12) mod 37
[354] ['12', '16', '27'] -> 12 - (16 * 27) mod 37
[355] ['12', '16', '29'] -> (12 - 29) * 16 mod 37
[356] ['12', '17', '22'] -> (17 + 22) * 12 mod 37
[357] ['12', '17', '23'] -> (17 / 23) + 12 mod 37
[358] ['1', '18', '22'] -> 22 - (1 / 18) mod 37
[359] ['12', '17', '33'] -> (33 - 12) * 17 mod 37
[360] ['12', '17', '35'] -> 12 / (17 - 35) mod 37
[361] ['12', '18', '21'] -> (18 + 21) * 12 mod 37
[362] ['12', '18', '28'] -> (18 - 12) / 28 mod 37
[363] ['12', '18', '29'] -> (12 + 18) / 29 mod 37
[364] ['12', '18', '32'] -> (12 / 32) - 18 mod 37
[365] ['12', '19', '19'] -> (12 * 19) - 19 mod 37
[366] ['12', '19', '27'] -> (19 - 27) / 12 mod 37
[367] ['12', '19', '29'] -> (12 - 19) / 29 mod 37
[368] ['12', '19', '32'] -> (12 / 32) + 19 mod 37
[369] ['1', '18', '35'] -> 1 / (35 - 18) mod 37
[370] ['12', '19', '36'] -> (12 + 36) * 19 mod 37
[371] ['12', '20', '22'] -> (22 - 20) * 12 mod 37
[372] ['12', '20', '23'] -> 12 - (20 / 23) mod 37
[373] ['12', '20', '27'] -> (20 / 12) - 27 mod 37
[374] ['12', '20', '30'] -> 30 / (12 - 20) mod 37
[375] ['12', '20', '31'] -> (12 * 20) - 31 mod 37
[376] ['12', '20', '33'] -> (12 - 33) * 20 mod 37
[377] ['12', '20', '36'] -> 12 / (20 + 36) mod 37
[378] ['12', '21', '24'] -> (21 / 12) - 24 mod 37
[379] ['12', '21', '25'] -> 21 / (12 - 25) mod 37
[380] ['1', '19', '20'] -> (19 / 20) - 1 mod 37
[381] ['12', '21', '27'] -> (21 * 27) + 12 mod 37
[382] ['12', '21', '30'] -> (30 / 21) + 12 mod 37
[383] ['12', '21', '34'] -> (12 / 21) + 34 mod 37
[384] ['12', '22', '22'] -> (22 - 12) / 22 mod 37
[385] ['12', '22', '26'] -> (12 / 26) - 22 mod 37
[386] ['12', '22', '30'] -> (22 - 30) / 12 mod 37
[387] ['12', '22', '35'] -> (12 + 35) / 22 mod 37
[388] ['12', '23', '29'] -> 29 - (23 / 12) mod 37
[389] ['12', '23', '31'] -> (23 - 31) / 12 mod 37
[390] ['12', '23', '34'] -> (12 * 34) + 23 mod 37
[391] ['1', '19', '25'] -> 25 / (19 - 1) mod 37
[392] ['12', '24', '33'] -> (33 - 12) / 24 mod 37
[393] ['12', '25', '27'] -> (27 - 25) * 12 mod 37
[394] ['12', '25', '28'] -> 28 - (12 * 25) mod 37
[395] ['12', '25', '30'] -> 25 / (30 - 12) mod 37
[396] ['12', '26', '29'] -> (12 * 26) - 29 mod 37
[397] ['12', '26', '35'] -> (12 * 35) - 26 mod 37
[398] ['12', '27', '27'] -> 27 / (27 - 12) mod 37
[399] ['12', '27', '36'] -> 27 - (36 / 12) mod 37
[400] ['12', '28', '28'] -> 12 / (28 + 28) mod 37
[401] ['12', '28', '30'] -> (30 - 28) * 12 mod 37
[402] ['1', '19', '30'] -> (30 / 19) + 1 mod 37
[403] ['12', '28', '31'] -> (12 + 31) / 28 mod 37
[404] ['12', '28', '32'] -> (32 / 12) - 28 mod 37
[405] ['12', '28', '33'] -> (28 * 33) - 12 mod 37
[406] ['12', '28', '36'] -> (28 - 36) / 12 mod 37
[407] ['12', '29', '32'] -> 29 - (12 / 32) mod 37
[408] ['12', '29', '36'] -> 36 / (12 - 29) mod 37
[409] ['12', '30', '30'] -> (30 * 30) + 12 mod 37
[410] ['12', '30', '36'] -> (30 + 36) / 12 mod 37
[411] ['12', '32', '32'] -> 12 - (32 * 32) mod 37
[412] ['12', '32', '35'] -> (12 + 35) * 32 mod 37
[413] ['1', '19', '35'] -> 1 / (19 + 35) mod 37
[414] ['12', '32', '36'] -> 36 / (32 - 12) mod 37
[415] ['12', '33', '33'] -> (33 + 33) / 12 mod 37
[416] ['12', '33', '36'] -> 36 - (33 / 12) mod 37
[417] ['13', '13', '19'] -> 13 - (13 / 19) mod 37
[418] ['13', '13', '25'] -> 25 - (13 / 13) mod 37
[419] ['13', '13', '29'] -> (29 - 13) / 13 mod 37
[420] ['13', '14', '16'] -> (16 - 13) / 14 mod 37
[421] ['13', '14', '18'] -> 14 - (18 / 13) mod 37
[422] ['13', '14', '21'] -> 21 - (13 * 14) mod 37
[423] ['13', '14', '30'] -> (30 - 14) / 13 mod 37
[424] ['1', '20', '21'] -> 1 - (21 / 20) mod 37
[425] ['13', '14', '32'] -> 14 - (13 / 32) mod 37
[426] ['13', '14', '35'] -> (14 - 35) / 13 mod 37
[427] ['13', '15', '19'] -> 13 - (15 * 19) mod 37
[428] ['13', '15', '28'] -> 28 - (15 / 13) mod 37
[429] ['13', '15', '35'] -> (15 / 35) + 13 mod 37
[430] ['13', '15', '36'] -> (15 - 36) / 13 mod 37
[431] ['13', '16', '26'] -> 16 / (26 - 13) mod 37
[432] ['13', '16', '28'] -> (28 / 16) + 13 mod 37
[433] ['13', '16', '33'] -> (33 - 13) * 16 mod 37
[434] ['13', '16', '35'] -> 35 / (16 - 13) mod 37
[435] ['1', '20', '22'] -> (1 - 22) * 20 mod 37
[436] ['13', '17', '32'] -> 13 - (17 * 32) mod 37
