[138] ['1', '7', '78'] -> 1 + (78 / 7) mod 83
[139] ['1', '7', '79'] -> 79 * (1 - 7) mod 83
[140] ['1', '7', '82'] -> (1 - 82) / 7 mod 83
[141] ['1', '8', '13'] -> (1 / 13) - 8 mod 83
[142] ['1', '8', '18'] -> 1 + (18 / 8) mod 83
[143] ['1', '8', '22'] -> 1 + (8 / 22) mod 83
[144] ['1', '8', '25'] -> (1 + 25) / 8 mod 83
[145] ['1', '8', '29'] -> 8 / (29 - 1) mod 83
[146] ['1', '8', '37'] -> 1 / (8 + 37) mod 83
[147] ['1', '8', '39'] -> 39 * (8 - 1) mod 83
[148] ['1', '8', '44'] -> 44 * (1 - 8) mod 83
[149] ['1', '8', '46'] -> 1 / (8 - 46) mod 83
[150] ['1', '8', '49'] -> 1 - (8 * 49) mod 83
[151] ['1', '8', '50'] -> 50 / (1 + 8) mod 83
[152] ['1', '8', '53'] -> 1 / (53 - 8) mod 83
[153] ['1', '8', '56'] -> 8 / (1 - 56) mod 83
[154] ['1', '8', '57'] -> 8 - (1 / 57) mod 83
[155] ['1', '8', '61'] -> 1 - (8 / 61) mod 83
[156] ['1', '8', '65'] -> 1 - (65 / 8) mod 83
[157] ['1', '8', '73'] -> (1 + 8) / 73 mod 83
[158] ['1', '8', '76'] -> 76 - (1 / 8) mod 83
[159] ['1', '8', '80'] -> (8 / 80) - 1 mod 83
[160] ['1', '9', '12'] -> (9 * 12) - 1 mod 83
[161] ['1', '9', '13'] -> (1 / 9) - 13 mod 83
[162] ['1', '9', '19'] -> 19 * (1 + 9) mod 83
[163] ['1', '9', '21'] -> 1 + (9 * 21) mod 83
[164] ['1', '9', '28'] -> (9 - 1) / 28 mod 83
[165] ['1', '9', '35'] -> (1 + 9) / 35 mod 83
[166] ['1', '9', '36'] -> 1 / (9 + 36) mod 83
[167] ['1', '9', '41'] -> 1 + (41 / 9) mod 83
[168] ['1', '9', '42'] -> 1 - (42 / 9) mod 83
[169] ['1', '9', '47'] -> 1 / (9 - 47) mod 83
[170] ['1', '9', '49'] -> (1 + 49) / 9 mod 83
[171] ['1', '9', '54'] -> 1 / (54 - 9) mod 83
[172] ['1', '9', '55'] -> (1 - 9) / 55 mod 83
[173] ['1', '9', '61'] -> 61 - (1 / 9) mod 83
[174] ['1', '9', '62'] -> 1 - (9 * 62) mod 83
[175] ['1', '9', '70'] -> 70 + (1 / 9) mod 83
[176] ['1', '9', '78'] -> (1 / 78) - 9 mod 83
[177] ['1', '9', '79'] -> 1 - (9 / 79) mod 83
[178] ['1', '9', '80'] -> 80 * (1 - 9) mod 83
[179] ['1', '10', '10'] -> (1 - 10) / 10 mod 83
[180] ['1', '10', '17'] -> (10 / 17) - 1 mod 83
[181] ['1', '10', '18'] -> 10 * (1 + 18) mod 83
[182] ['1', '10', '20'] -> 10 * (20 - 1) mod 83
[183] ['1', '10', '22'] -> (1 / 22) - 10 mod 83
[184] ['1', '10', '25'] -> 25 * (1 - 10) mod 83
[185] ['1', '10', '36'] -> 10 / (36 - 1) mod 83
[186] ['1', '10', '44'] -> (10 * 44) - 1 mod 83
[187] ['1', '10', '48'] -> 1 / (10 - 48) mod 83
[188] ['1', '10', '58'] -> 58 * (10 - 1) mod 83
[189] ['1', '10', '64'] -> 1 + (64 / 10) mod 83
[190] ['1', '10', '65'] -> 10 * (1 - 65) mod 83
[191] ['1', '10', '75'] -> (75 - 1) / 10 mod 83
[192] ['1', '10', '80'] -> (1 + 10) / 80 mod 83
