[140] ['4', '5', '8'] -> (8 - 4) / 5 mod 29
[141] ['4', '5', '10'] -> 4 / (10 - 5) mod 29
[142] ['4', '5', '19'] -> 19 - (4 / 5) mod 29
[143] ['4', '6', '9'] -> (6 / 9) + 4 mod 29
[144] ['4', '6', '13'] -> (13 * 6) + 4 mod 29
[145] ['4', '6', '18'] -> 6 / (18 + 4) mod 29
[146] ['1', '6', '9'] -> (6 * 9) - 1 mod 29
[147] ['4', '6', '21'] -> (6 / 4) - 21 mod 29
[148] ['4', '6', '27'] -> (4 + 6) / 27 mod 29
[149] ['4', '6', '28'] -> 4 / (28 + 6) mod 29
[150] ['4', '7', '7'] -> (7 * 7) + 4 mod 29
[151] ['4', '7', '17'] -> 7 / (4 - 17) mod 29
[152] ['4', '7', '20'] -> 7 / (20 - 4) mod 29
[153] ['4', '7', '23'] -> 23 - (4 * 7) mod 29
[154] ['4', '7', '26'] -> (26 * 4) + 7 mod 29
[155] ['4', '7', '28'] -> (28 + 7) * 4 mod 29
[156] ['4', '8', '10'] -> 10 - (4 / 8) mod 29
[157] ['1', '6', '13'] -> (6 / 13) - 1 mod 29
[158] ['4', '8', '13'] -> 4 / (13 - 8) mod 29
[159] ['4', '8', '18'] -> (18 * 8) - 4 mod 29
[160] ['4', '8', '24'] -> (4 - 8) / 24 mod 29
[161] ['4', '8', '25'] -> 8 - (25 * 4) mod 29
[162] ['4', '9', '9'] -> (4 + 9) / 9 mod 29
[163] ['4', '9', '12'] -> (4 * 9) - 12 mod 29
[164] ['4', '9', '13'] -> (4 + 9) * 13 mod 29
[165] ['4', '9', '14'] -> 4 / (14 - 9) mod 29
[166] ['4', '9', '15'] -> (15 - 9) * 4 mod 29
[167] ['4', '9', '21'] -> 9 - (4 / 21) mod 29
[168] ['1', '6', '16'] -> (1 + 6) / 16 mod 29
[169] ['4', '9', '22'] -> 22 / (4 + 9) mod 29
[170] ['4', '9', '27'] -> 9 - (27 / 4) mod 29
[171] ['4', '10', '13'] -> (10 * 4) + 13 mod 29
[172] ['4', '10', '20'] -> (20 / 4) - 10 mod 29
[173] ['4', '11', '13'] -> (4 - 11) / 13 mod 29
[174] ['4', '11', '28'] -> (28 + 4) / 11 mod 29
[175] ['4', '12', '12'] -> (12 * 12) - 4 mod 29
[176] ['4', '12', '20'] -> (12 + 4) / 20 mod 29
[177] ['4', '12', '22'] -> 4 / (12 + 22) mod 29
[178] ['4', '12', '24'] -> (12 * 4) - 24 mod 29
[179] ['1', '6', '20'] -> (1 + 6) * 20 mod 29
[180] ['4', '12', '28'] -> (28 / 4) - 12 mod 29
[181] ['4', '13', '13'] -> 13 / (13 - 4) mod 29
[182] ['4', '13', '21'] -> 4 / (13 + 21) mod 29
[183] ['4', '13', '27'] -> (13 + 4) * 27 mod 29
[184] ['4', '14', '22'] -> 22 - (14 * 4) mod 29
[185] ['4', '14', '27'] -> (14 - 4) / 27 mod 29
[186] ['4', '14', '28'] -> 14 / (28 + 4) mod 29
[187] ['4', '15', '15'] -> (15 + 4) * 15 mod 29
[188] ['4', '15', '27'] -> (15 * 27) - 4 mod 29
[189] ['4', '16', '16'] -> 16 / (16 + 4) mod 29
[190] ['1', '6', '25'] -> 25 / (1 - 6) mod 29
[191] ['4', '16', '19'] -> (16 + 19) * 4 mod 29
[192] ['4', '16', '21'] -> 4 / (21 - 16) mod 29
[193] ['4', '16', '23'] -> (16 * 23) + 4 mod 29
[194] ['4', '17', '24'] -> (4 / 17) - 24 mod 29
[195] ['4', '17', '28'] -> (28 / 4) + 17 mod 29
[196] ['4', '18', '26'] -> (4 - 18) / 26 mod 29
[197] ['4', '19', '21'] -> (4 / 21) - 19 mod 29
[198] ['4', '19', '22'] -> (4 / 19) - 22 mod 29
[199] ['4', '20', '20'] -> (20 - 4) / 20 mod 29
[200] ['4', '20', '23'] -> (23 / 20) + 4 mod 29
[201] ['1', '6', '26'] -> (1 - 26) * 6 mod 29
[202] ['4', '20', '27'] -> (20 * 4) - 27 mod 29
[203] ['4', '21', '24'] -> (21 + 4) / 24 mod 29
[204] ['4', '22', '22'] -> (22 * 22) + 4 mod 29
[205] ['4', '22', '28'] -> (28 - 22) * 4 mod 29
[206] ['4', '23', '27'] -> (4 - 23) / 27 mod 29
[207] ['4', '25', '27'] -> (27 - 4) * 25 mod 29
[208] ['4', '25', '28'] -> 25 / (28 - 4) mod 29
[209] ['5', '5', '9'] -> (9 - 5) / 5 mod 29
[210] ['5', '5', '21'] -> 5 - (21 / 5) mod 29
[211] ['5', '5', '25'] -> 25 - (5 / 5) mod 29
[212] ['1', '6', '27'] -> (1 + 27) / 6 mod 29
[213] ['5', '6', '9'] -> (9 - 5) * 6 mod 29
[214] ['5', '6', '10'] -> (10 - 6) / 5 mod 29
[215] ['5', '6', '26'] -> 6 - (26 / 5) mod 29
[216] ['5', '7', '19'] -> 19 / (7 - 5) mod 29
[217] ['5', '7', '25'] -> (25 - 5) * 7 mod 29
[218] ['5', '8', '12'] -> (12 - 8) / 5 mod 29
[219] ['5', '8', '25'] -> (25 + 8) / 5 mod 29
[220] ['5', '9', '11'] -> 11 - (5 * 9) mod 29
[221] ['5', '9', '13'] -> (13 - 9) / 5 mod 29
[222] ['5', '9', '14'] -> 5 - (14 * 9) mod 29
[223] ['1', '1', '19'] -> 19 / (1 + 1) mod 29
[224] ['1', '7', '7'] -> (1 - 7) / 7 mod 29
[225] ['5', '9', '15'] -> (15 * 9) + 5 mod 29
[226] ['5', '9', '18'] -> (18 - 5) / 9 mod 29
[227] ['5', '10', '14'] -> (14 - 10) / 5 mod 29
[228] ['5', '10', '23'] -> (10 + 23) / 5 mod 29
[229] ['5', '11', '26'] -> 11 / (26 - 5) mod 29
[230] ['5', '12', '15'] -> 12 - (15 * 5) mod 29
[231] ['5', '12', '21'] -> (12 + 21) / 5 mod 29
[232] ['5', '12', '23'] -> 23 / (12 - 5) mod 29
[233] ['5', '13', '27'] -> (27 - 5) / 13 mod 29
[234] ['5', '14', '19'] -> (14 + 19) / 5 mod 29
[235] ['1', '7', '14'] -> 7 / (1 - 14) mod 29
[236] ['5', '14', '20'] -> (14 * 20) + 5 mod 29
[237] ['5', '15', '17'] -> (17 - 5) / 15 mod 29
[238] ['5', '15', '18'] -> (15 + 18) / 5 mod 29
[239] ['5', '15', '19'] -> (19 - 15) / 5 mod 29
[240] ['5', '15', '20'] -> 5 - (15 * 20) mod 29
[241] ['5', '16', '20'] -> (20 - 16) / 5 mod 29
[242] ['5', '16', '25'] -> 16 / (25 - 5) mod 29
[243] ['5', '17', '21'] -> (21 - 17) / 5 mod 29
[244] ['5', '17', '23'] -> 17 - (23 / 5) mod 29
[245] ['5', '18', '27'] -> 27 - (18 * 5) mod 29
[246] ['1', '7', '19'] -> (1 + 19) * 7 mod 29
[247] ['5', '19', '22'] -> 22 - (19 / 5) mod 29
[248] ['5', '19', '23'] -> (23 - 19) / 5 mod 29
[249] ['5', '21', '25'] -> (25 - 21) / 5 mod 29
[250] ['5', '23', '26'] -> 26 / (23 - 5) mod 29
[251] ['5', '23', '28'] -> 28 - (5 / 23) mod 29
[252] ['5', '26', '28'] -> 5 - (28 / 26) mod 29
[253] ['6', '6', '6'] -> (6 / 6) - 6 mod 29
[254] ['6', '6', '8'] -> 6 - (8 / 6) mod 29
[255] ['6', '6', '13'] -> 6 / (6 - 13) mod 29
[256] ['6', '6', '15'] -> (6 + 6) / 15 mod 29
[257] ['1', '7', '21'] -> (21 - 1) * 7 mod 29
[258] ['6', '6', '19'] -> 6 - (6 / 19) mod 29
[259] ['6', '6', '21'] -> (21 / 6) + 6 mod 29
[260] ['6', '6', '22'] -> (22 + 6) / 6 mod 29
[261] ['6', '6', '25'] -> 25 - (6 / 6) mod 29
[262] ['6', '6', '26'] -> 6 - (26 * 6) mod 29
[263] ['6', '6', '28'] -> 6 / (28 - 6) mod 29
[264] ['6', '7', '7'] -> (7 / 7) - 6 mod 29
[265] ['6', '7', '17'] -> (17 + 6) / 7 mod 29
[266] ['6', '7', '21'] -> (21 + 7) / 6 mod 29
[267] ['6', '8', '8'] -> (8 / 8) - 6 mod 29
[268] ['1', '7', '25'] -> (1 - 7) * 25 mod 29
[269] ['6', '8', '11'] -> (11 * 8) - 6 mod 29
[270] ['6', '8', '23'] -> (8 / 23) + 6 mod 29
[271] ['6', '8', '28'] -> (28 / 8) + 6 mod 29
[272] ['6', '9', '18'] -> (6 - 9) / 18 mod 29
[273] ['6', '9', '22'] -> (6 - 22) / 9 mod 29
[274] ['6', '10', '10'] -> (10 / 10) - 6 mod 29
[275] ['6', '10', '13'] -> 13 - (6 / 10) mod 29
[276] ['6', '10', '18'] -> (10 + 18) / 6 mod 29
[277] ['6', '10', '24'] -> (6 - 10) / 24 mod 29
[278] ['6', '10', '27'] -> (6 - 27) / 10 mod 29
[279] ['1', '8', '8'] -> 1 - (8 * 8) mod 29
[280] ['6', '11', '13'] -> (11 * 6) - 13 mod 29
[281] ['6', '11', '16'] -> (11 * 6) + 16 mod 29
[282] ['6', '11', '20'] -> (20 / 6) + 11 mod 29
[283] ['6', '11', '26'] -> (26 + 6) / 11 mod 29
[284] ['6', '12', '27'] -> 12 - (27 * 6) mod 29
[285] ['6', '13', '22'] -> (6 - 22) * 13 mod 29
[286] ['6', '14', '17'] -> (14 / 6) - 17 mod 29
[287] ['6', '14', '23'] -> (23 - 6) / 14 mod 29
[288] ['6', '15', '17'] -> (6 / 15) - 17 mod 29
[289] ['6', '15', '23'] -> (6 - 23) / 15 mod 29
[290] ['1', '8', '22'] -> (1 + 8) * 22 mod 29
[291] ['6', '16', '16'] -> (16 / 16) - 6 mod 29
[292] ['6', '16', '18'] -> 16 - (18 * 6) mod 29
[293] ['6', '16', '23'] -> 6 / (16 - 23) mod 29
[294] ['6', '17', '22'] -> 22 - (17 / 6) mod 29
[295] ['6', '18', '18'] -> (18 / 18) - 6 mod 29
[296] ['6', '19', '19'] -> (19 / 19) - 6 mod 29
[297] ['6', '19', '24'] -> (19 + 6) / 24 mod 29
[298] ['6', '19', '27'] -> (27 - 6) / 19 mod 29
[299] ['6', '20', '26'] -> (6 - 20) / 26 mod 29
[300] ['6', '21', '21'] -> (21 / 21) - 6 mod 29
[301] ['1', '8', '23'] -> 23 / (8 - 1) mod 29
[302] ['6', '22', '28'] -> (22 / 6) - 28 mod 29
[303] ['6', '23', '26'] -> (23 * 26) + 6 mod 29
[304] ['6', '25', '25'] -> (25 / 25) - 6 mod 29
[305] ['6', '25', '27'] -> (6 - 25) / 27 mod 29
[306] ['7', '7', '7'] -> 7 * 7 * 7 mod 29
