[1] ['1', '1', '8'] -> (1 / 8) + 1 mod 61
[166] ['34', '38', '43'] -> (34 - 43) * 38 mod 61
[167] ['34', '38', '45'] -> (38 / 45) + 34 mod 61
[168] ['34', '38', '47'] -> (47 / 38) + 34 mod 61
[169] ['34', '38', '49'] -> 38 - (49 / 34) mod 61
[170] ['2', '49', '50'] -> 49 - (50 / 2) mod 61
[171] ['34', '38', '51'] -> (38 - 34) / 51 mod 61
[172] ['34', '38', '52'] -> (34 / 38) + 52 mod 61
[173] ['34', '38', '54'] -> 38 / (34 + 54) mod 61
[174] ['34', '38', '55'] -> (34 - 38) * 55 mod 61
[175] ['34', '38', '56'] -> (38 + 56) * 34 mod 61
[176] ['34', '39', '39'] -> (39 / 34) + 39 mod 61
[177] ['34', '39', '41'] -> (34 / 39) - 41 mod 61
[178] ['34', '39', '45'] -> (39 + 45) / 34 mod 61
[179] ['34', '39', '47'] -> 39 - (34 / 47) mod 61
[180] ['34', '40', '41'] -> (41 / 34) - 40 mod 61
[181] ['2', '49', '56'] -> 2 - (49 / 56) mod 61
[182] ['34', '40', '44'] -> (40 + 44) / 34 mod 61
[183] ['34', '40', '47'] -> (34 / 40) - 47 mod 61
[184] ['34', '40', '49'] -> 40 / (34 + 49) mod 61
[185] ['34', '40', '54'] -> (40 + 54) * 34 mod 61
[186] ['34', '40', '55'] -> (34 * 40) - 55 mod 61
[187] ['34', '40', '58'] -> 34 / (40 + 58) mod 61
[188] ['34', '41', '42'] -> (42 - 34) / 41 mod 61
[189] ['34', '41', '43'] -> (41 + 43) / 34 mod 61
[190] ['34', '41', '46'] -> 46 / (41 - 34) mod 61
[191] ['34', '41', '47'] -> (41 - 34) * 47 mod 61
[192] ['2', '50', '52'] -> 50 - (52 / 2) mod 61
[193] ['34', '41', '48'] -> (34 - 41) / 48 mod 61
[194] ['34', '41', '52'] -> (41 * 52) - 34 mod 61
[195] ['34', '41', '54'] -> (34 + 41) * 54 mod 61
[196] ['34', '41', '57'] -> 34 / (41 + 57) mod 61
[197] ['34', '41', '60'] -> (60 / 41) - 34 mod 61
[198] ['34', '42', '42'] -> (42 + 42) / 34 mod 61
[199] ['34', '42', '47'] -> (42 / 47) - 34 mod 61
[200] ['34', '42', '48'] -> (48 / 34) - 42 mod 61
[201] ['34', '42', '53'] -> 34 - (42 / 53) mod 61
