[1] ['1', '1', '4'] -> 1 / (1 - 4) mod 73
[282] ['16', '55', '68'] -> (55 - 16) * 68 mod 73
[283] ['16', '55', '70'] -> 55 / (70 - 16) mod 73
[284] ['16', '55', '71'] -> 16 - (71 / 55) mod 73
[285] ['16', '56', '62'] -> 62 / (16 - 56) mod 73
[286] ['16', '56', '63'] -> 16 - (63 / 56) mod 73
[287] ['16', '56', '67'] -> 56 / (67 - 16) mod 73
[288] ['16', '56', '69'] -> (16 * 56) - 69 mod 73
[289] ['16', '56', '71'] -> (16 * 71) + 56 mod 73
[290] ['16', '56', '72'] -> (72 / 16) + 56 mod 73
[291] ['16', '57', '60'] -> 60 - (16 * 57) mod 73
[292] ['2', '16', '68'] -> (16 / 68) - 2 mod 73
[293] ['16', '57', '64'] -> 57 / (64 - 16) mod 73
[294] ['16', '57', '70'] -> (70 - 16) / 57 mod 73
[295] ['16', '57', '71'] -> (57 / 71) + 16 mod 73
[296] ['16', '58', '59'] -> 59 / (58 - 16) mod 73
[297] ['16', '58', '61'] -> 58 / (61 - 16) mod 73
[298] ['16', '58', '64'] -> (16 / 58) + 64 mod 73
[299] ['16', '58', '69'] -> (16 * 69) - 58 mod 73
[300] ['16', '58', '71'] -> (71 / 16) - 58 mod 73
[301] ['16', '59', '62'] -> (59 * 62) + 16 mod 73
[302] ['16', '59', '63'] -> 63 / (16 - 59) mod 73
[303] ['2', '17', '18'] -> 18 / (17 + 2) mod 73
[304] ['16', '59', '69'] -> (59 / 69) - 16 mod 73
[305] ['16', '60', '60'] -> (16 * 60) - 60 mod 73
[306] ['16', '60', '65'] -> 60 - (65 / 16) mod 73
[307] ['16', '60', '69'] -> (69 - 16) / 60 mod 73
[308] ['16', '60', '71'] -> (60 / 16) - 71 mod 73
[309] ['16', '61', '61'] -> (16 + 61) / 61 mod 73
[310] ['16', '61', '62'] -> (16 - 61) / 62 mod 73
[311] ['16', '61', '70'] -> (16 * 61) + 70 mod 73
[312] ['16', '61', '72'] -> (16 / 61) - 72 mod 73
[313] ['16', '62', '62'] -> (62 / 16) - 62 mod 73
[314] ['2', '17', '21'] -> (17 / 2) - 21 mod 73
[315] ['16', '62', '63'] -> (16 / 63) - 62 mod 73
[316] ['16', '62', '65'] -> (16 - 62) / 65 mod 73
[317] ['16', '62', '67'] -> 67 - (16 * 62) mod 73
[318] ['16', '62', '69'] -> 69 - (16 / 62) mod 73
[319] ['16', '62', '71'] -> (71 / 62) - 16 mod 73
[320] ['16', '63', '72'] -> (72 - 16) * 63 mod 73
[321] ['16', '64', '64'] -> (64 * 64) + 16 mod 73
[322] ['16', '64', '65'] -> 16 - (64 / 65) mod 73
[323] ['16', '64', '66'] -> (16 + 64) * 66 mod 73
[324] ['16', '64', '71'] -> (16 - 64) / 71 mod 73
[325] ['2', '17', '28'] -> (17 - 2) / 28 mod 73
[326] ['16', '65', '65'] -> 65 / (16 - 65) mod 73
[327] ['16', '65', '68'] -> (65 * 68) - 16 mod 73
[328] ['16', '65', '71'] -> 65 - (16 * 71) mod 73
[329] ['16', '66', '67'] -> (67 - 16) / 66 mod 73
[330] ['16', '66', '69'] -> (66 - 16) / 69 mod 73
