[1] ['1', '1', '12'] -> (1 + 1) * 12 mod 79
[257] ['13', '43', '71'] -> (13 + 71) / 43 mod 79
[258] ['13', '43', '72'] -> (13 * 72) - 43 mod 79
[259] ['2', '14', '37'] -> (14 / 37) - 2 mod 79
[260] ['13', '43', '78'] -> (78 / 43) + 13 mod 79
[261] ['13', '44', '45'] -> (13 + 45) * 44 mod 79
[262] ['13', '44', '49'] -> (44 + 49) * 13 mod 79
[263] ['13', '44', '51'] -> (44 / 13) + 51 mod 79
[264] ['13', '44', '56'] -> (56 / 13) + 44 mod 79
[265] ['13', '44', '58'] -> (58 - 44) * 13 mod 79
[266] ['13', '44', '59'] -> 13 - (44 * 59) mod 79
[267] ['13', '44', '62'] -> 62 - (13 / 44) mod 79
[268] ['13', '44', '65'] -> (13 / 44) + 65 mod 79
[269] ['13', '44', '66'] -> (13 * 66) - 44 mod 79
[270] ['2', '14', '39'] -> (2 - 14) / 39 mod 79
[271] ['13', '44', '69'] -> 13 - (69 / 44) mod 79
[272] ['13', '44', '71'] -> (71 - 13) * 44 mod 79
[273] ['13', '44', '75'] -> 13 - (44 / 75) mod 79
[274] ['13', '44', '76'] -> 76 - (44 / 13) mod 79
[275] ['13', '45', '47'] -> (13 * 47) + 45 mod 79
[276] ['13', '45', '51'] -> 13 / (45 + 51) mod 79
[277] ['13', '45', '59'] -> (59 - 45) * 13 mod 79
[278] ['13', '45', '61'] -> (45 / 61) - 13 mod 79
[279] ['13', '45', '62'] -> 13 / (62 - 45) mod 79
[280] ['13', '45', '66'] -> (66 - 13) / 45 mod 79
[281] ['2', '14', '41'] -> (14 + 2) * 41 mod 79
[282] ['13', '45', '70'] -> 70 - (45 / 13) mod 79
[283] ['13', '46', '49'] -> 46 - (49 / 13) mod 79
[284] ['13', '46', '51'] -> (46 - 13) * 51 mod 79
[285] ['13', '46', '54'] -> (13 * 54) - 46 mod 79
[286] ['13', '46', '58'] -> (13 * 46) + 58 mod 79
[287] ['13', '46', '61'] -> 46 / (61 - 13) mod 79
[288] ['13', '46', '62'] -> (13 + 46) * 62 mod 79
[289] ['13', '46', '65'] -> (13 + 46) / 65 mod 79
[290] ['13', '46', '73'] -> 73 / (13 + 46) mod 79
[291] ['13', '46', '77'] -> 77 / (13 - 46) mod 79
[292] ['2', '14', '45'] -> (14 - 45) / 2 mod 79
[293] ['13', '47', '48'] -> (13 * 48) - 47 mod 79
[294] ['13', '47', '51'] -> (47 - 51) / 13 mod 79
[295] ['13', '47', '53'] -> 53 / (13 - 47) mod 79
[296] ['13', '47', '54'] -> (54 / 13) - 47 mod 79
[297] ['13', '47', '59'] -> (13 * 59) + 47 mod 79
[298] ['13', '47', '61'] -> (61 - 47) * 13 mod 79
[299] ['13', '47', '64'] -> 13 / (64 - 47) mod 79
[300] ['13', '47', '70'] -> (13 - 70) / 47 mod 79
[301] ['13', '47', '71'] -> (13 - 47) / 71 mod 79
[302] ['13', '47', '73'] -> (13 - 73) * 47 mod 79
[303] ['2', '14', '48'] -> (48 / 14) - 2 mod 79
[304] ['13', '47', '75'] -> (13 / 75) + 47 mod 79
[305] ['13', '48', '48'] -> 13 / (48 + 48) mod 79
[306] ['13', '48', '50'] -> 50 / (48 - 13) mod 79
[307] ['13', '48', '53'] -> (53 - 13) * 48 mod 79
[308] ['13', '48', '54'] -> (54 / 48) + 13 mod 79
[309] ['13', '48', '55'] -> (13 / 48) + 55 mod 79
[310] ['13', '48', '58'] -> (13 - 48) * 58 mod 79
[311] ['13', '48', '64'] -> (48 - 13) / 64 mod 79
[312] ['13', '48', '69'] -> (48 / 69) + 13 mod 79
[313] ['13', '48', '71'] -> (48 * 71) + 13 mod 79
[314] ['2', '14', '51'] -> 51 / (14 - 2) mod 79
[315] ['13', '48', '72'] -> 72 - (13 / 48) mod 79
[316] ['13', '49', '52'] -> (13 - 49) * 52 mod 79
[317] ['13', '49', '57'] -> (13 + 57) / 49 mod 79
[318] ['13', '49', '59'] -> (13 + 49) * 59 mod 79
[319] ['13', '49', '63'] -> (63 - 49) * 13 mod 79
[320] ['13', '49', '65'] -> (65 / 49) + 13 mod 79
[321] ['13', '49', '69'] -> (13 / 69) + 49 mod 79
[322] ['13', '49', '70'] -> (70 / 13) + 49 mod 79
[323] ['13', '49', '73'] -> (13 / 49) - 73 mod 79
[324] ['13', '49', '74'] -> 74 / (49 - 13) mod 79
[325] ['2', '14', '52'] -> 52 - (14 * 2) mod 79
[326] ['13', '49', '76'] -> (49 * 76) + 13 mod 79
[327] ['13', '50', '52'] -> (13 + 50) / 52 mod 79
[328] ['13', '50', '59'] -> (50 / 59) - 13 mod 79
[329] ['13', '50', '62'] -> (50 / 62) + 13 mod 79
[330] ['13', '50', '64'] -> (64 - 50) * 13 mod 79
[331] ['13', '50', '65'] -> (50 * 65) + 13 mod 79
[332] ['13', '50', '67'] -> 13 / (67 - 50) mod 79
[333] ['13', '50', '71'] -> (50 / 13) - 71 mod 79
[334] ['13', '50', '73'] -> (13 * 50) - 73 mod 79
[335] ['13', '50', '75'] -> (50 * 75) - 13 mod 79
[336] ['1', '6', '42'] -> (1 / 6) - 42 mod 79
[337] ['2', '14', '59'] -> 14 - (59 / 2) mod 79
[338] ['13', '50', '76'] -> (76 / 50) + 13 mod 79
[339] ['13', '51', '52'] -> (52 - 13) / 51 mod 79
[340] ['13', '51', '54'] -> 13 - (51 * 54) mod 79
[341] ['13', '51', '56'] -> (13 / 56) - 51 mod 79
[342] ['13', '51', '60'] -> 13 - (51 / 60) mod 79
[343] ['13', '51', '68'] -> 13 / (68 - 51) mod 79
[344] ['13', '51', '70'] -> (70 / 51) - 13 mod 79
[345] ['13', '51', '71'] -> 13 - (71 / 51) mod 79
[346] ['13', '51', '72'] -> (13 * 51) + 72 mod 79
[347] ['13', '51', '74'] -> (51 - 13) / 74 mod 79
[348] ['2', '14', '60'] -> 2 / (14 - 60) mod 79
[349] ['13', '51', '75'] -> 51 - (13 * 75) mod 79
[350] ['13', '51', '78'] -> 51 / (13 + 78) mod 79
[351] ['13', '52', '60'] -> 13 - (60 / 52) mod 79
[352] ['13', '52', '67'] -> 67 / (52 - 13) mod 79
[353] ['13', '52', '68'] -> 68 - (13 * 52) mod 79
[354] ['13', '52', '71'] -> 52 - (13 / 71) mod 79
[355] ['13', '52', '74'] -> (52 / 74) - 13 mod 79
[356] ['13', '52', '75'] -> (13 / 52) - 75 mod 79
[357] ['13', '52', '76'] -> (76 - 13) / 52 mod 79
[358] ['13', '53', '53'] -> (53 / 13) - 53 mod 79
[359] ['2', '14', '61'] -> (2 - 61) / 14 mod 79
[360] ['13', '53', '57'] -> (53 - 57) / 13 mod 79
[361] ['13', '53', '58'] -> 53 / (58 - 13) mod 79
[362] ['13', '53', '59'] -> (13 + 59) * 53 mod 79
[363] ['13', '53', '61'] -> 53 - (61 / 13) mod 79
[364] ['13', '53', '62'] -> (13 + 53) / 62 mod 79
[365] ['13', '53', '70'] -> 13 / (70 - 53) mod 79
[366] ['13', '54', '57'] -> 54 - (13 * 57) mod 79
[367] ['13', '54', '58'] -> (54 - 58) / 13 mod 79
[368] ['13', '54', '60'] -> (13 - 60) / 54 mod 79
[369] ['13', '54', '61'] -> 54 - (13 / 61) mod 79
[370] ['2', '14', '63'] -> 14 - (2 / 63) mod 79
[371] ['13', '54', '63'] -> (13 - 54) * 63 mod 79
[372] ['13', '54', '68'] -> (68 - 54) * 13 mod 79
[373] ['13', '54', '70'] -> 54 / (13 - 70) mod 79
[374] ['13', '54', '71'] -> 13 / (71 - 54) mod 79
[375] ['13', '54', '77'] -> (13 + 54) * 77 mod 79
[376] ['13', '55', '63'] -> 13 - (55 * 63) mod 79
[377] ['13', '55', '71'] -> (71 / 13) + 55 mod 79
[378] ['13', '55', '72'] -> 13 / (72 - 55) mod 79
[379] ['13', '55', '74'] -> 13 - (55 / 74) mod 79
[380] ['13', '56', '58'] -> (58 / 13) + 56 mod 79
[381] ['2', '14', '64'] -> 2 - (14 / 64) mod 79
[382] ['13', '56', '63'] -> (63 / 56) + 13 mod 79
[383] ['13', '56', '68'] -> 56 / (68 - 13) mod 79
[384] ['13', '56', '69'] -> (13 - 69) * 56 mod 79
[385] ['13', '56', '70'] -> (70 - 56) * 13 mod 79
[386] ['13', '56', '74'] -> 74 / (13 - 56) mod 79
[387] ['13', '56', '76'] -> 76 / (13 + 56) mod 79
[388] ['13', '57', '60'] -> 57 / (13 - 60) mod 79
[389] ['13', '57', '61'] -> (57 - 61) / 13 mod 79
[390] ['13', '57', '71'] -> (71 - 57) * 13 mod 79
[391] ['13', '57', '73'] -> (13 * 57) + 73 mod 79
[392] ['2', '14', '69'] -> (2 / 14) + 69 mod 79
[393] ['13', '58', '60'] -> (13 * 58) + 60 mod 79
[394] ['13', '58', '66'] -> (13 / 58) + 66 mod 79
[395] ['13', '58', '73'] -> 13 - (73 / 58) mod 79
[396] ['13', '58', '76'] -> (13 + 58) * 76 mod 79
[397] ['13', '59', '63'] -> (59 - 63) / 13 mod 79
[398] ['13', '59', '65'] -> 65 - (59 / 13) mod 79
[399] ['13', '59', '69'] -> 69 / (13 + 59) mod 79
[400] ['13', '59', '73'] -> (73 - 59) * 13 mod 79
[401] ['13', '59', '75'] -> (75 - 13) * 59 mod 79
[402] ['13', '59', '77'] -> 77 / (59 - 13) mod 79
[403] ['2', '14', '74'] -> 14 - (2 * 74) mod 79
[404] ['13', '59', '78'] -> 59 / (78 - 13) mod 79
[405] ['13', '60', '60'] -> (13 - 60) * 60 mod 79
[406] ['13', '60', '65'] -> (65 / 13) - 60 mod 79
[407] ['13', '60', '68'] -> (60 / 13) + 68 mod 79
[408] ['13', '60', '73'] -> 60 - (73 / 13) mod 79
[409] ['13', '60', '75'] -> (13 + 60) * 75 mod 79
[410] ['13', '60', '77'] -> 13 / (77 - 60) mod 79
[411] ['13', '61', '63'] -> (61 / 63) + 13 mod 79
[412] ['13', '61', '65'] -> (61 - 65) / 13 mod 79
[413] ['13', '61', '67'] -> (13 - 67) * 61 mod 79
[414] ['2', '15', '17'] -> (15 - 2) / 17 mod 79
[415] ['13', '61', '68'] -> (13 / 68) - 61 mod 79
[416] ['13', '61', '75'] -> (75 - 61) * 13 mod 79
[417] ['13', '61', '77'] -> (13 - 61) / 77 mod 79
[418] ['13', '62', '62'] -> 62 / (13 + 62) mod 79
[419] ['13', '62', '64'] -> (13 - 62) * 64 mod 79
[420] ['13', '62', '66'] -> (62 - 66) / 13 mod 79
[421] ['13', '62', '71'] -> (13 * 62) - 71 mod 79
[422] ['13', '62', '72'] -> (72 - 13) * 62 mod 79
[423] ['13', '62', '75'] -> 13 - (62 * 75) mod 79
[424] ['13', '62', '76'] -> (76 - 62) * 13 mod 79
[425] ['2', '15', '20'] -> (15 + 2) * 20 mod 79
[426] ['13', '63', '65'] -> 63 / (65 - 13) mod 79
[427] ['13', '63', '67'] -> (63 - 67) / 13 mod 79
[428] ['13', '63', '70'] -> (63 - 13) * 70 mod 79
[429] ['13', '63', '71'] -> (13 + 63) * 71 mod 79
[430] ['13', '63', '72'] -> (63 / 13) - 72 mod 79
[431] ['13', '63', '76'] -> (13 * 76) + 63 mod 79
[432] ['13', '64', '68'] -> (64 - 68) / 13 mod 79
[433] ['13', '64', '72'] -> (72 / 64) + 13 mod 79
[434] ['13', '64', '73'] -> (64 * 73) + 13 mod 79
[435] ['13', '64', '76'] -> 64 - (13 * 76) mod 79
[436] ['2', '15', '23'] -> (15 / 2) - 23 mod 79
