[1] ['1', '1', '12'] -> (1 + 1) * 12 mod 89
[135] ['10', '52', '60'] -> 60 / (10 - 52) mod 89
[136] ['10', '52', '61'] -> (10 * 61) - 52 mod 89
[137] ['2', '3', '63'] -> (2 - 3) / 63 mod 89
[138] ['10', '52', '63'] -> (10 - 52) * 63 mod 89
[139] ['10', '52', '65'] -> (10 - 52) / 65 mod 89
[140] ['10', '52', '73'] -> 10 - (73 / 52) mod 89
[141] ['10', '52', '74'] -> 52 - (10 * 74) mod 89
[142] ['10', '52', '75'] -> (52 + 75) * 10 mod 89
[143] ['10', '52', '76'] -> (76 / 10) + 52 mod 89
[144] ['10', '52', '77'] -> (77 / 52) - 10 mod 89
[145] ['10', '52', '78'] -> (10 - 78) * 52 mod 89
[146] ['10', '52', '80'] -> (52 / 80) + 10 mod 89
[147] ['10', '52', '83'] -> 52 - (10 / 83) mod 89
[148] ['2', '3', '68'] -> (3 * 68) - 2 mod 89
[149] ['10', '52', '88'] -> (52 / 10) - 88 mod 89
[150] ['10', '53', '53'] -> 53 / (53 - 10) mod 89
[151] ['10', '53', '54'] -> (53 * 54) + 10 mod 89
[152] ['10', '53', '58'] -> (58 / 10) - 53 mod 89
[153] ['10', '53', '59'] -> 10 - (59 / 53) mod 89
[154] ['10', '53', '60'] -> 10 / (53 - 60) mod 89
[155] ['10', '53', '66'] -> (66 / 10) + 53 mod 89
[156] ['10', '53', '80'] -> (53 - 80) / 10 mod 89
[157] ['10', '53', '81'] -> (53 / 10) + 81 mod 89
[158] ['10', '54', '60'] -> (60 - 10) / 54 mod 89
[159] ['2', '3', '71'] -> (2 * 3) - 71 mod 89
[160] ['10', '54', '61'] -> 10 / (54 - 61) mod 89
[161] ['10', '54', '62'] -> (10 + 54) / 62 mod 89
[162] ['10', '54', '65'] -> 65 - (54 / 10) mod 89
[163] ['10', '54', '71'] -> (10 * 54) - 71 mod 89
[164] ['10', '54', '72'] -> (54 / 10) + 72 mod 89
[165] ['10', '54', '73'] -> (54 + 73) * 10 mod 89
[166] ['10', '54', '76'] -> (54 - 10) / 76 mod 89
[167] ['10', '54', '77'] -> 77 / (54 - 10) mod 89
[168] ['10', '54', '80'] -> (10 / 80) - 54 mod 89
[169] ['10', '54', '81'] -> (54 - 81) / 10 mod 89
[170] ['2', '3', '72'] -> (3 / 72) - 2 mod 89
[171] ['10', '54', '86'] -> (10 * 86) + 54 mod 89
[172] ['10', '55', '62'] -> 10 / (55 - 62) mod 89
[173] ['10', '55', '63'] -> (55 / 10) + 63 mod 89
[174] ['10', '55', '64'] -> (10 + 64) / 55 mod 89
[175] ['10', '55', '66'] -> 10 - (55 / 66) mod 89
[176] ['10', '55', '72'] -> (55 + 72) * 10 mod 89
[177] ['10', '55', '74'] -> 74 - (55 / 10) mod 89
[178] ['10', '55', '76'] -> (10 - 55) / 76 mod 89
[179] ['10', '55', '78'] -> (78 / 10) - 55 mod 89
[180] ['10', '55', '81'] -> (10 * 55) - 81 mod 89
[181] ['2', '3', '74'] -> (74 - 2) / 3 mod 89
[182] ['10', '55', '82'] -> (55 - 82) / 10 mod 89
[183] ['10', '55', '85'] -> 55 / (10 + 85) mod 89
[184] ['10', '56', '57'] -> (10 + 56) * 57 mod 89
[185] ['10', '56', '61'] -> (56 * 61) - 10 mod 89
[186] ['10', '56', '62'] -> (10 / 56) - 62 mod 89
[187] ['10', '56', '63'] -> 10 / (56 - 63) mod 89
[188] ['10', '56', '68'] -> (10 * 68) + 56 mod 89
[189] ['10', '56', '73'] -> (10 - 56) * 73 mod 89
[190] ['10', '56', '74'] -> (74 - 10) * 56 mod 89
[191] ['10', '56', '78'] -> (10 / 78) - 56 mod 89
[192] ['2', '3', '77'] -> (3 / 77) + 2 mod 89
[193] ['10', '56', '85'] -> 10 - (56 / 85) mod 89
[194] ['10', '56', '87'] -> (10 * 56) + 87 mod 89
[195] ['10', '57', '59'] -> (10 * 59) + 57 mod 89
[196] ['10', '57', '64'] -> 10 / (57 - 64) mod 89
[197] ['10', '57', '65'] -> (57 - 10) / 65 mod 89
[198] ['10', '57', '68'] -> 57 / (68 - 10) mod 89
[199] ['10', '57', '69'] -> (69 / 57) - 10 mod 89
[200] ['10', '57', '70'] -> (57 + 70) * 10 mod 89
[201] ['10', '57', '74'] -> (57 / 74) + 10 mod 89
[202] ['10', '57', '76'] -> (76 - 10) * 57 mod 89
[203] ['2', '3', '78'] -> (78 / 3) - 2 mod 89
[204] ['10', '57', '83'] -> (57 * 83) + 10 mod 89
[205] ['10', '57', '84'] -> (57 - 84) / 10 mod 89
[206] ['10', '58', '69'] -> (58 + 69) * 10 mod 89
[207] ['10', '58', '70'] -> 70 - (10 * 58) mod 89
[208] ['10', '58', '74'] -> 58 / (10 + 74) mod 89
[209] ['10', '58', '75'] -> (58 / 75) - 10 mod 89
[210] ['10', '58', '76'] -> (10 / 58) + 76 mod 89
[211] ['10', '58', '77'] -> (10 + 58) / 77 mod 89
[212] ['10', '58', '78'] -> 10 - (78 / 58) mod 89
[213] ['10', '58', '81'] -> (81 - 10) * 58 mod 89
[214] ['2', '3', '83'] -> (2 - 83) * 3 mod 89
[215] ['10', '58', '84'] -> 84 / (58 - 10) mod 89
[216] ['10', '58', '85'] -> (58 - 85) / 10 mod 89
[217] ['10', '59', '61'] -> (10 - 59) / 61 mod 89
[218] ['10', '59', '62'] -> (59 / 10) - 62 mod 89
[219] ['10', '59', '66'] -> 10 / (59 - 66) mod 89
[220] ['10', '59', '68'] -> (59 + 68) * 10 mod 89
[221] ['10', '59', '71'] -> (10 + 71) / 59 mod 89
[222] ['10', '59', '78'] -> 59 / (10 - 78) mod 89
[223] ['10', '59', '80'] -> 80 - (10 * 59) mod 89
[224] ['10', '59', '82'] -> (10 - 82) * 59 mod 89
[225] ['1', '6', '32'] -> 1 / (32 - 6) mod 89
[226] ['2', '3', '84'] -> 84 - (2 / 3) mod 89
[227] ['10', '59', '86'] -> (59 - 86) / 10 mod 89
[228] ['10', '60', '61'] -> (60 - 10) * 61 mod 89
[229] ['10', '60', '64'] -> (10 / 64) + 60 mod 89
[230] ['10', '60', '68'] -> 10 - (60 * 68) mod 89
[231] ['10', '60', '69'] -> (10 + 60) * 69 mod 89
[232] ['10', '60', '72'] -> 10 - (60 / 72) mod 89
[233] ['10', '60', '78'] -> 78 / (10 + 60) mod 89
[234] ['10', '60', '80'] -> (10 / 60) - 80 mod 89
[235] ['10', '60', '82'] -> (82 / 60) - 10 mod 89
[236] ['10', '60', '83'] -> (10 - 83) / 60 mod 89
[237] ['2', '4', '4'] -> (2 + 4) * 4 mod 89
[238] ['10', '60', '85'] -> (85 / 10) + 60 mod 89
[239] ['10', '61', '63'] -> 61 / (10 + 63) mod 89
[240] ['10', '61', '68'] -> 10 / (61 - 68) mod 89
[241] ['10', '61', '71'] -> (10 / 61) - 71 mod 89
[242] ['10', '61', '79'] -> (61 - 10) * 79 mod 89
[243] ['10', '61', '83'] -> 61 / (83 - 10) mod 89
[244] ['10', '61', '87'] -> (61 / 87) + 10 mod 89
[245] ['10', '61', '88'] -> (61 - 88) / 10 mod 89
[246] ['10', '62', '62'] -> (10 * 62) - 62 mod 89
[247] ['10', '62', '67'] -> (67 / 62) + 10 mod 89
[248] ['2', '4', '5'] -> (2 + 5) / 4 mod 89
[249] ['10', '62', '69'] -> 10 / (62 - 69) mod 89
[250] ['10', '62', '70'] -> (10 / 70) + 62 mod 89
[251] ['10', '62', '74'] -> (74 - 10) / 62 mod 89
[252] ['10', '62', '75'] -> 62 - (10 * 75) mod 89
[253] ['10', '62', '88'] -> (10 + 88) * 62 mod 89
[254] ['10', '63', '63'] -> 63 / (10 - 63) mod 89
[255] ['10', '63', '64'] -> (63 + 64) * 10 mod 89
[256] ['10', '63', '70'] -> 10 / (63 - 70) mod 89
[257] ['10', '63', '72'] -> (10 * 63) - 72 mod 89
[258] ['10', '63', '74'] -> (63 * 74) - 10 mod 89
[259] ['2', '4', '7'] -> (4 / 7) - 2 mod 89
[260] ['10', '63', '78'] -> (10 + 78) / 63 mod 89
[261] ['10', '63', '81'] -> (81 / 63) + 10 mod 89
[262] ['10', '63', '83'] -> (63 / 83) - 10 mod 89
[263] ['10', '63', '86'] -> (10 / 63) + 86 mod 89
[264] ['10', '63', '88'] -> (63 + 88) / 10 mod 89
[265] ['10', '64', '67'] -> 64 - (10 / 67) mod 89
[266] ['10', '64', '69'] -> (64 - 10) / 69 mod 89
[267] ['10', '64', '72'] -> 64 / (72 - 10) mod 89
[268] ['10', '64', '76'] -> (10 - 76) / 64 mod 89
[269] ['10', '64', '77'] -> 77 - (10 / 64) mod 89
[270] ['2', '4', '10'] -> (10 * 2) + 4 mod 89
[271] ['10', '64', '80'] -> (10 * 80) - 64 mod 89
[272] ['10', '64', '82'] -> (10 * 64) - 82 mod 89
[273] ['10', '64', '83'] -> 10 - (83 / 64) mod 89
[274] ['10', '64', '87'] -> (64 + 87) / 10 mod 89
[275] ['10', '65', '69'] -> 10 - (69 / 65) mod 89
[276] ['10', '65', '75'] -> 75 - (65 / 10) mod 89
[277] ['10', '65', '76'] -> (10 * 76) + 65 mod 89
[278] ['10', '65', '83'] -> (10 - 65) / 83 mod 89
[279] ['10', '66', '73'] -> 10 / (66 - 73) mod 89
[280] ['10', '66', '74'] -> 66 / (10 - 74) mod 89
[281] ['2', '4', '15'] -> (15 / 4) - 2 mod 89
[282] ['10', '66', '76'] -> (10 * 66) + 76 mod 89
[283] ['10', '66', '78'] -> 10 - (66 * 78) mod 89
[284] ['10', '66', '84'] -> 84 - (66 / 10) mod 89
[285] ['10', '67', '68'] -> 68 / (10 + 67) mod 89
[286] ['10', '67', '71'] -> 71 - (10 * 67) mod 89
[287] ['10', '67', '73'] -> (10 / 67) + 73 mod 89
[288] ['10', '67', '84'] -> (67 + 84) / 10 mod 89
[289] ['10', '67', '85'] -> (10 + 85) / 67 mod 89
[290] ['10', '67', '86'] -> (10 + 86) * 67 mod 89
[291] ['10', '67', '87'] -> (10 + 67) * 87 mod 89
[292] ['2', '4', '17'] -> 4 / (17 - 2) mod 89
[293] ['10', '68', '71'] -> (68 - 10) * 71 mod 89
[294] ['10', '68', '73'] -> (10 / 68) - 73 mod 89
[295] ['10', '68', '75'] -> 10 / (68 - 75) mod 89
[296] ['10', '68', '81'] -> 81 - (10 * 68) mod 89
[297] ['10', '68', '83'] -> (68 + 83) / 10 mod 89
[298] ['10', '69', '69'] -> (10 / 69) + 69 mod 89
[299] ['10', '69', '72'] -> (10 - 69) * 72 mod 89
[300] ['10', '69', '80'] -> (80 - 10) * 69 mod 89
[301] ['10', '69', '81'] -> 81 / (69 - 10) mod 89
[302] ['10', '69', '82'] -> (69 + 82) / 10 mod 89
[303] ['2', '4', '21'] -> (2 / 4) - 21 mod 89
[304] ['10', '69', '84'] -> (84 / 10) + 69 mod 89
[305] ['10', '69', '85'] -> 69 / (10 - 85) mod 89
[306] ['10', '70', '71'] -> 10 - (70 * 71) mod 89
[307] ['10', '70', '72'] -> (70 / 10) - 72 mod 89
[308] ['10', '70', '73'] -> 73 / (10 - 70) mod 89
[309] ['10', '70', '74'] -> (74 / 10) + 70 mod 89
[310] ['10', '70', '75'] -> 75 - (10 / 70) mod 89
[311] ['10', '70', '77'] -> 10 / (70 - 77) mod 89
[312] ['10', '70', '81'] -> (70 + 81) / 10 mod 89
[313] ['10', '71', '73'] -> (71 - 10) / 73 mod 89
[314] ['2', '4', '32'] -> 32 - (2 * 4) mod 89
[315] ['10', '71', '76'] -> 71 / (76 - 10) mod 89
[316] ['10', '71', '80'] -> (71 + 80) / 10 mod 89
[317] ['10', '71', '81'] -> (71 / 10) - 81 mod 89
[318] ['10', '72', '73'] -> (10 * 72) - 73 mod 89
[319] ['10', '72', '76'] -> 72 - (10 * 76) mod 89
[320] ['10', '72', '80'] -> (10 - 72) * 80 mod 89
[321] ['10', '72', '81'] -> 81 - (10 / 72) mod 89
[322] ['10', '72', '82'] -> 72 / (10 + 82) mod 89
[323] ['10', '72', '85'] -> (10 + 72) / 85 mod 89
[324] ['10', '72', '87'] -> (72 * 87) - 10 mod 89
[325] ['2', '4', '37'] -> (2 - 4) / 37 mod 89
[326] ['10', '72', '88'] -> (72 / 10) + 88 mod 89
[327] ['10', '73', '77'] -> (73 * 77) + 10 mod 89
[328] ['10', '73', '78'] -> (73 + 78) / 10 mod 89
[329] ['10', '73', '88'] -> 88 / (73 - 10) mod 89
[330] ['10', '74', '75'] -> (10 + 75) / 74 mod 89
[331] ['10', '74', '77'] -> (74 + 77) / 10 mod 89
[332] ['10', '74', '85'] -> (10 * 74) + 85 mod 89
[333] ['10', '75', '75'] -> (10 * 75) + 75 mod 89
[334] ['10', '75', '77'] -> (10 / 75) - 77 mod 89
[335] ['10', '75', '79'] -> (10 - 79) / 75 mod 89
[336] ['1', '6', '35'] -> (1 - 35) / 6 mod 89
[337] ['2', '4', '39'] -> 2 - (39 * 4) mod 89
[338] ['10', '75', '83'] -> (10 + 75) * 83 mod 89
[339] ['10', '76', '78'] -> 78 - (10 / 76) mod 89
[340] ['10', '76', '83'] -> 10 / (76 - 83) mod 89
[341] ['10', '76', '86'] -> (76 / 86) - 10 mod 89
[342] ['10', '77', '77'] -> (10 + 77) * 77 mod 89
[343] ['10', '77', '83'] -> 83 / (10 - 77) mod 89
[344] ['10', '77', '85'] -> 77 - (85 / 10) mod 89
[345] ['10', '78', '80'] -> 78 / (80 - 10) mod 89
[346] ['10', '78', '82'] -> (10 + 82) / 78 mod 89
[347] ['10', '78', '83'] -> (83 / 10) + 78 mod 89
[348] ['2', '4', '40'] -> (40 / 2) + 4 mod 89
[349] ['10', '80', '82'] -> (80 / 82) + 10 mod 89
[350] ['10', '80', '86'] -> 80 - (10 / 86) mod 89
[351] ['10', '80', '87'] -> 10 / (80 - 87) mod 89
[352] ['10', '81', '82'] -> (81 / 10) - 82 mod 89
[353] ['10', '81', '84'] -> (84 / 81) - 10 mod 89
[354] ['10', '81', '85'] -> (85 - 10) / 81 mod 89
[355] ['10', '81', '88'] -> 10 / (81 - 88) mod 89
[356] ['10', '82', '84'] -> (10 * 82) - 84 mod 89
[357] ['10', '82', '86'] -> (10 - 82) / 86 mod 89
[358] ['10', '83', '85'] -> (10 / 83) + 85 mod 89
[359] ['2', '4', '44'] -> (4 + 44) / 2 mod 89
[360] ['10', '83', '86'] -> 83 - (10 * 86) mod 89
[361] ['10', '83', '88'] -> 10 / (83 + 88) mod 89
[362] ['10', '84', '85'] -> 85 / (84 - 10) mod 89
[363] ['10', '84', '86'] -> (10 - 86) * 84 mod 89
[364] ['10', '84', '87'] -> 10 / (84 + 87) mod 89
[365] ['10', '85', '86'] -> 10 / (85 + 86) mod 89
[366] ['10', '86', '86'] -> 86 - (86 / 10) mod 89
[367] ['10', '86', '88'] -> 86 / (10 - 88) mod 89
[368] ['10', '87', '87'] -> (87 - 10) * 87 mod 89
[369] ['11', '11', '14'] -> (11 - 14) / 11 mod 89
[370] ['2', '4', '45'] -> (4 - 45) / 2 mod 89
[371] ['11', '11', '15'] -> 11 - (11 * 15) mod 89
[372] ['11', '11', '29'] -> (29 / 11) - 11 mod 89
[373] ['11', '11', '30'] -> 11 / (30 - 11) mod 89
[374] ['11', '11', '35'] -> 11 - (35 / 11) mod 89
[375] ['11', '11', '38'] -> (11 + 11) / 38 mod 89
[376] ['11', '11', '41'] -> (11 / 41) - 11 mod 89
[377] ['11', '11', '54'] -> (54 / 11) + 11 mod 89
[378] ['11', '11', '64'] -> (11 + 64) * 11 mod 89
[379] ['11', '11', '66'] -> (11 / 11) - 66 mod 89
[380] ['11', '11', '74'] -> (11 * 74) + 11 mod 89
[381] ['2', '4', '49'] -> 4 - (49 / 2) mod 89
[382] ['11', '11', '75'] -> (11 + 75) / 11 mod 89
[383] ['11', '11', '76'] -> (11 * 76) - 11 mod 89
[384] ['11', '11', '82'] -> (11 + 11) * 82 mod 89
[385] ['11', '11', '86'] -> (86 - 11) * 11 mod 89
[386] ['11', '12', '13'] -> (13 - 11) * 12 mod 89
[387] ['11', '12', '14'] -> (11 / 12) - 14 mod 89
[388] ['11', '12', '15'] -> (12 - 15) / 11 mod 89
[389] ['11', '12', '17'] -> 17 - (12 / 11) mod 89
[390] ['11', '12', '18'] -> 18 / (11 + 12) mod 89
[391] ['11', '12', '19'] -> (11 * 12) - 19 mod 89
[392] ['2', '4', '50'] -> (4 * 50) + 2 mod 89
[393] ['11', '12', '34'] -> 12 / (11 + 34) mod 89
[394] ['11', '12', '36'] -> 11 - (12 * 36) mod 89
[395] ['11', '12', '38'] -> (11 / 38) + 12 mod 89
[396] ['11', '12', '42'] -> (12 / 42) + 11 mod 89
[397] ['11', '12', '43'] -> (43 / 11) + 12 mod 89
[398] ['11', '12', '46'] -> 12 - (46 / 11) mod 89
[399] ['11', '12', '51'] -> 12 - (11 / 51) mod 89
[400] ['11', '12', '55'] -> 12 / (11 - 55) mod 89
[401] ['11', '12', '56'] -> 12 / (56 - 11) mod 89
[402] ['11', '12', '58'] -> (12 / 11) - 58 mod 89
[403] ['2', '4', '51'] -> (4 * 51) - 2 mod 89
[404] ['11', '12', '62'] -> 62 - (11 / 12) mod 89
[405] ['11', '12', '68'] -> (11 * 68) - 12 mod 89
[406] ['11', '12', '69'] -> (12 / 69) - 11 mod 89
[407] ['11', '12', '70'] -> (11 * 12) + 70 mod 89
[408] ['11', '12', '72'] -> (11 / 72) - 12 mod 89
[409] ['11', '12', '74'] -> (12 + 74) / 11 mod 89
[410] ['11', '12', '75'] -> (11 / 12) + 75 mod 89
[411] ['11', '12', '79'] -> (11 - 79) / 12 mod 89
[412] ['11', '12', '80'] -> (11 + 80) * 12 mod 89
[413] ['11', '12', '87'] -> (87 - 12) * 11 mod 89
[414] ['2', '4', '55'] -> 55 / (2 + 4) mod 89
[415] ['11', '13', '18'] -> 18 - (11 / 13) mod 89
[416] ['11', '13', '27'] -> (13 - 27) * 11 mod 89
[417] ['11', '13', '29'] -> 13 / (11 - 29) mod 89
[418] ['11', '13', '37'] -> (11 - 13) / 37 mod 89
[419] ['11', '13', '39'] -> (13 / 11) + 39 mod 89
[420] ['11', '13', '41'] -> 41 / (11 - 13) mod 89
[421] ['11', '13', '42'] -> 42 / (11 + 13) mod 89
[422] ['11', '13', '46'] -> (11 / 46) - 13 mod 89
[423] ['11', '13', '51'] -> (51 / 11) - 13 mod 89
[424] ['11', '13', '52'] -> (13 - 11) / 52 mod 89
[425] ['2', '4', '68'] -> (2 / 4) + 68 mod 89
[426] ['11', '13', '56'] -> (56 - 11) / 13 mod 89
[427] ['11', '13', '57'] -> 13 - (57 / 11) mod 89
[428] ['11', '13', '62'] -> (13 + 62) * 11 mod 89
[429] ['11', '13', '77'] -> (11 - 13) * 77 mod 89
[430] ['11', '13', '80'] -> (80 / 13) + 11 mod 89
[431] ['11', '13', '82'] -> 13 / (82 - 11) mod 89
[432] ['11', '13', '83'] -> 11 / (13 - 83) mod 89
[433] ['11', '14', '19'] -> 14 / (19 - 11) mod 89
[434] ['11', '14', '20'] -> (14 * 20) + 11 mod 89
[435] ['11', '14', '22'] -> (11 - 22) * 14 mod 89
[436] ['2', '4', '69'] -> 69 - (2 / 4) mod 89
