[1] ['1', '1', '5'] -> 1 / (1 - 5) mod 97
[93] ['9', '18', '44'] -> (18 + 9) * 44 mod 97
[94] ['9', '18', '47'] -> 18 - (9 / 47) mod 97
[95] ['9', '18', '50'] -> (9 / 50) + 18 mod 97
[96] ['9', '18', '56'] -> (18 * 9) + 56 mod 97
[97] ['9', '18', '61'] -> (18 - 9) / 61 mod 97
[98] ['9', '18', '66'] -> 66 / (18 + 9) mod 97
[99] ['9', '18', '73'] -> 73 - (9 / 18) mod 97
[100] ['9', '18', '76'] -> (76 / 18) + 9 mod 97
[101] ['9', '18', '79'] -> 9 / (79 - 18) mod 97
[102] ['9', '18', '81'] -> 18 / (9 - 81) mod 97
[103] ['1', '64', '74'] -> (1 / 64) + 74 mod 97
[104] ['9', '18', '86'] -> (18 + 9) / 86 mod 97
[105] ['9', '18', '87'] -> (87 / 9) - 18 mod 97
[106] ['9', '18', '93'] -> (18 - 93) / 9 mod 97
[107] ['9', '19', '21'] -> 19 - (21 * 9) mod 97
[108] ['9', '19', '28'] -> (28 + 9) * 19 mod 97
[109] ['9', '19', '32'] -> (19 / 9) - 32 mod 97
[110] ['9', '19', '37'] -> 19 - (9 / 37) mod 97
[111] ['9', '19', '38'] -> (9 - 38) / 19 mod 97
[112] ['9', '19', '40'] -> (9 - 19) / 40 mod 97
[113] ['9', '19', '41'] -> (41 - 19) / 9 mod 97
[114] ['1', '6', '48'] -> (48 - 1) / 6 mod 97
[115] ['1', '64', '82'] -> (82 - 1) / 64 mod 97
[116] ['9', '19', '44'] -> 9 - (19 / 44) mod 97
[117] ['9', '19', '47'] -> (19 * 9) + 47 mod 97
[118] ['9', '19', '51'] -> 51 / (9 - 19) mod 97
[119] ['9', '19', '53'] -> (19 / 53) + 9 mod 97
[120] ['9', '19', '54'] -> (54 - 19) * 9 mod 97
[121] ['9', '19', '55'] -> 9 / (19 - 55) mod 97
[122] ['9', '19', '57'] -> (19 - 9) / 57 mod 97
[123] ['9', '19', '59'] -> (59 + 9) / 19 mod 97
[124] ['9', '19', '60'] -> (9 / 60) + 19 mod 97
[125] ['9', '19', '65'] -> (19 / 9) + 65 mod 97
[126] ['1', '64', '83'] -> 1 - (64 * 83) mod 97
[127] ['9', '19', '69'] -> (9 - 69) * 19 mod 97
[128] ['9', '19', '76'] -> (76 * 9) + 19 mod 97
[129] ['9', '19', '81'] -> (19 - 81) * 9 mod 97
[130] ['9', '19', '82'] -> (19 + 9) / 82 mod 97
[131] ['9', '19', '84'] -> (19 + 9) * 84 mod 97
[132] ['9', '19', '85'] -> 19 / (9 - 85) mod 97
[133] ['9', '19', '86'] -> 9 - (19 * 86) mod 97
[134] ['9', '19', '94'] -> (19 - 94) / 9 mod 97
[135] ['9', '19', '95'] -> (9 / 19) + 95 mod 97
[136] ['9', '19', '96'] -> (96 / 9) - 19 mod 97
[137] ['1', '64', '90'] -> 1 - (64 / 90) mod 97
[138] ['9', '20', '25'] -> (20 * 25) + 9 mod 97
[139] ['9', '20', '27'] -> 27 / (9 - 20) mod 97
[140] ['9', '20', '30'] -> (20 / 30) - 9 mod 97
[141] ['9', '20', '36'] -> (36 / 9) + 20 mod 97
[142] ['9', '20', '38'] -> (20 * 9) + 38 mod 97
[143] ['9', '20', '39'] -> 39 - (9 / 20) mod 97
[144] ['9', '20', '41'] -> 9 / (20 + 41) mod 97
[145] ['9', '20', '42'] -> (42 - 20) / 9 mod 97
[146] ['9', '20', '44'] -> (9 - 20) / 44 mod 97
[147] ['9', '20', '48'] -> (48 * 9) - 20 mod 97
[148] ['1', '64', '92'] -> (1 - 64) * 92 mod 97
[149] ['9', '20', '49'] -> (49 - 9) * 20 mod 97
[150] ['9', '20', '51'] -> (20 + 9) * 51 mod 97
[151] ['9', '20', '59'] -> (20 * 9) - 59 mod 97
[152] ['9', '20', '61'] -> 20 - (61 / 9) mod 97
[153] ['9', '20', '70'] -> 70 / (20 - 9) mod 97
[154] ['9', '20', '72'] -> 9 - (20 * 72) mod 97
[155] ['9', '20', '81'] -> 9 / (81 - 20) mod 97
[156] ['9', '20', '82'] -> (20 - 82) * 9 mod 97
[157] ['9', '20', '83'] -> (83 + 9) / 20 mod 97
[158] ['9', '20', '89'] -> 20 / (9 - 89) mod 97
[159] ['1', '65', '67'] -> 65 / (1 - 67) mod 97
[160] ['9', '21', '22'] -> 21 / (22 - 9) mod 97
[161] ['9', '21', '28'] -> (28 - 9) / 21 mod 97
[162] ['9', '21', '29'] -> (21 * 9) + 29 mod 97
[163] ['9', '21', '32'] -> 21 - (32 * 9) mod 97
[164] ['9', '21', '39'] -> (9 / 39) - 21 mod 97
[165] ['9', '21', '40'] -> 9 / (21 + 40) mod 97
[166] ['9', '21', '41'] -> 41 / (21 + 9) mod 97
[167] ['9', '21', '48'] -> (9 - 21) / 48 mod 97
[168] ['9', '21', '49'] -> (21 - 9) / 49 mod 97
[169] ['9', '21', '59'] -> (21 + 9) * 59 mod 97
[170] ['1', '65', '75'] -> (65 * 75) - 1 mod 97
[171] ['9', '21', '65'] -> (65 * 9) + 21 mod 97
[172] ['9', '21', '66'] -> 66 - (9 / 21) mod 97
[173] ['9', '21', '68'] -> (21 * 9) - 68 mod 97
[174] ['9', '21', '73'] -> 9 - (73 / 21) mod 97
[175] ['9', '21', '80'] -> (21 / 80) - 9 mod 97
[176] ['9', '21', '82'] -> 9 / (82 - 21) mod 97
[177] ['9', '21', '83'] -> (21 - 83) * 9 mod 97
[178] ['9', '21', '87'] -> (9 - 87) / 21 mod 97
[179] ['9', '21', '93'] -> 21 / (9 - 93) mod 97
[180] ['9', '21', '95'] -> (9 - 21) * 95 mod 97
[181] ['1', '65', '76'] -> (1 / 65) - 76 mod 97
[182] ['9', '21', '96'] -> (21 - 96) / 9 mod 97
[183] ['9', '22', '26'] -> (26 / 9) - 22 mod 97
[184] ['9', '22', '33'] -> (22 / 33) - 9 mod 97
[185] ['9', '22', '34'] -> (34 + 9) / 22 mod 97
[186] ['9', '22', '47'] -> (47 / 22) - 9 mod 97
[187] ['9', '22', '48'] -> 48 - (22 / 9) mod 97
[188] ['9', '22', '50'] -> (22 * 50) - 9 mod 97
[189] ['9', '22', '53'] -> (9 / 53) + 22 mod 97
[190] ['9', '22', '57'] -> (57 - 22) * 9 mod 97
[191] ['9', '22', '59'] -> (59 * 9) - 22 mod 97
[192] ['1', '65', '81'] -> 81 / (65 - 1) mod 97
[193] ['9', '22', '65'] -> 65 / (22 + 9) mod 97
[194] ['9', '22', '70'] -> (22 + 9) / 70 mod 97
[195] ['9', '22', '74'] -> (9 / 74) - 22 mod 97
[196] ['9', '22', '76'] -> 76 / (9 - 22) mod 97
[197] ['9', '22', '77'] -> (22 * 9) - 77 mod 97
[198] ['9', '22', '83'] -> 9 / (83 - 22) mod 97
[199] ['9', '22', '84'] -> (22 - 84) * 9 mod 97
[200] ['9', '22', '92'] -> (22 / 92) + 9 mod 97
[201] ['9', '23', '25'] -> (23 + 9) * 25 mod 97
[202] ['9', '23', '26'] -> (9 - 23) * 26 mod 97
[203] ['1', '66', '66'] -> (1 - 66) / 66 mod 97
[204] ['9', '23', '27'] -> (9 / 23) - 27 mod 97
[205] ['9', '23', '30'] -> (30 + 9) * 23 mod 97
[206] ['9', '23', '35'] -> (35 / 9) - 23 mod 97
[207] ['9', '23', '37'] -> 37 - (23 * 9) mod 97
[208] ['9', '23', '39'] -> (9 - 39) / 23 mod 97
[209] ['9', '23', '41'] -> (23 - 9) / 41 mod 97
[210] ['9', '23', '48'] -> (48 - 9) * 23 mod 97
[211] ['9', '23', '52'] -> 52 / (9 - 23) mod 97
[212] ['9', '23', '66'] -> (23 + 9) / 66 mod 97
[213] ['9', '23', '67'] -> (9 - 67) * 23 mod 97
[214] ['1', '66', '67'] -> 66 - (1 / 67) mod 97
[215] ['9', '23', '70'] -> (9 / 23) + 70 mod 97
[216] ['9', '23', '71'] -> (23 - 9) * 71 mod 97
[217] ['9', '23', '75'] -> 75 - (9 / 23) mod 97
[218] ['9', '23', '80'] -> (80 / 23) - 9 mod 97
[219] ['9', '23', '83'] -> (23 / 83) - 9 mod 97
[220] ['9', '23', '84'] -> 9 / (84 - 23) mod 97
[221] ['9', '23', '86'] -> (23 * 9) - 86 mod 97
[222] ['9', '23', '90'] -> (23 * 90) - 9 mod 97
[223] ['9', '23', '91'] -> (9 / 91) - 23 mod 97
[224] ['9', '23', '93'] -> 23 / (9 + 93) mod 97
[225] ['1', '6', '51'] -> (1 - 51) / 6 mod 97
[226] ['1', '66', '70'] -> 1 / (66 - 70) mod 97
[227] ['9', '23', '96'] -> (23 + 96) / 9 mod 97
[228] ['9', '24', '44'] -> (44 / 9) - 24 mod 97
[229] ['9', '24', '70'] -> (70 * 9) - 24 mod 97
[230] ['9', '24', '79'] -> (9 / 79) - 24 mod 97
[231] ['9', '24', '82'] -> (82 + 9) / 24 mod 97
[232] ['9', '25', '33'] -> (25 - 9) / 33 mod 97
[233] ['9', '25', '34'] -> (25 / 34) + 9 mod 97
[234] ['9', '25', '41'] -> (41 - 9) * 25 mod 97
[235] ['9', '25', '43'] -> (43 * 9) + 25 mod 97
[236] ['9', '25', '44'] -> (25 * 44) - 9 mod 97
[237] ['1', '66', '71'] -> 66 / (1 - 71) mod 97
[238] ['9', '25', '50'] -> (25 - 9) * 50 mod 97
[239] ['9', '25', '53'] -> (53 / 9) - 25 mod 97
[240] ['9', '25', '54'] -> 25 - (54 * 9) mod 97
[241] ['9', '25', '55'] -> 55 - (25 * 9) mod 97
[242] ['9', '25', '60'] -> (60 - 25) * 9 mod 97
[243] ['9', '25', '61'] -> 9 / (25 - 61) mod 97
[244] ['9', '25', '63'] -> 9 - (25 / 63) mod 97
[245] ['9', '25', '64'] -> (9 - 25) / 64 mod 97
[246] ['9', '25', '74'] -> (9 - 74) * 25 mod 97
[247] ['9', '25', '77'] -> 9 - (25 * 77) mod 97
[248] ['1', '66', '72'] -> (66 - 1) * 72 mod 97
[249] ['9', '25', '84'] -> (84 / 25) + 9 mod 97
[250] ['9', '25', '90'] -> (25 * 9) + 90 mod 97
[251] ['9', '25', '92'] -> (25 + 9) * 92 mod 97
[252] ['9', '25', '93'] -> 93 / (25 - 9) mod 97
[253] ['9', '26', '29'] -> (26 - 9) / 29 mod 97
[254] ['9', '26', '35'] -> 9 / (26 + 35) mod 97
[255] ['9', '26', '39'] -> (26 / 39) - 9 mod 97
[256] ['9', '26', '43'] -> 43 - (9 / 26) mod 97
[257] ['9', '26', '44'] -> (9 / 44) + 26 mod 97
[258] ['9', '26', '47'] -> (26 / 47) + 9 mod 97
[259] ['1', '66', '80'] -> (1 - 80) * 66 mod 97
[260] ['9', '26', '48'] -> (48 - 26) / 9 mod 97
[261] ['9', '26', '50'] -> 9 - (26 / 50) mod 97
[262] ['9', '26', '51'] -> (51 - 9) / 26 mod 97
[263] ['9', '26', '53'] -> 26 - (9 / 53) mod 97
[264] ['9', '26', '54'] -> (26 + 9) / 54 mod 97
[265] ['9', '26', '61'] -> (61 - 26) * 9 mod 97
[266] ['9', '26', '70'] -> 70 - (26 / 9) mod 97
[267] ['9', '26', '74'] -> (74 + 9) * 26 mod 97
[268] ['9', '26', '75'] -> (26 / 9) + 75 mod 97
[269] ['9', '26', '77'] -> 77 / (9 - 26) mod 97
[270] ['1', '66', '88'] -> (66 / 88) - 1 mod 97
[271] ['9', '26', '79'] -> (79 / 9) + 26 mod 97
[272] ['9', '26', '82'] -> (82 / 26) - 9 mod 97
[273] ['9', '26', '88'] -> (26 - 88) * 9 mod 97
[274] ['9', '26', '93'] -> (26 + 93) / 9 mod 97
[275] ['9', '26', '95'] -> 9 - (95 / 26) mod 97
[276] ['9', '27', '27'] -> 27 - (27 / 9) mod 97
[277] ['9', '27', '32'] -> (32 * 9) + 27 mod 97
[278] ['9', '27', '33'] -> (27 + 9) * 33 mod 97
[279] ['9', '27', '34'] -> 9 / (27 + 34) mod 97
[280] ['9', '27', '35'] -> (35 + 9) * 27 mod 97
[281] ['1', '66', '96'] -> (1 / 66) + 96 mod 97
[282] ['9', '27', '37'] -> 9 - (27 / 37) mod 97
[283] ['9', '27', '38'] -> (38 * 9) - 27 mod 97
[284] ['9', '27', '40'] -> (9 - 40) / 27 mod 97
[285] ['9', '27', '41'] -> (9 / 27) - 41 mod 97
[286] ['9', '27', '44'] -> 44 / (27 - 9) mod 97
[287] ['9', '27', '49'] -> (49 - 27) / 9 mod 97
[288] ['9', '27', '50'] -> (27 + 9) / 50 mod 97
[289] ['9', '27', '56'] -> (9 / 27) + 56 mod 97
[290] ['9', '27', '57'] -> (57 + 9) / 27 mod 97
[291] ['9', '27', '63'] -> 9 / (27 - 63) mod 97
[292] ['1', '67', '70'] -> (1 - 67) / 70 mod 97
[293] ['9', '27', '65'] -> 27 - (65 * 9) mod 97
[294] ['9', '27', '66'] -> (27 - 9) * 66 mod 97
[295] ['9', '27', '70'] -> (70 / 9) + 27 mod 97
[296] ['9', '27', '71'] -> (71 / 9) - 27 mod 97
[297] ['9', '27', '73'] -> 73 - (27 * 9) mod 97
[298] ['9', '27', '75'] -> (75 - 9) / 27 mod 97
[299] ['9', '27', '77'] -> 27 / (77 + 9) mod 97
[300] ['9', '27', '80'] -> 9 - (80 / 27) mod 97
[301] ['9', '27', '92'] -> (27 + 92) / 9 mod 97
[302] ['9', '27', '94'] -> (9 / 94) + 27 mod 97
[303] ['1', '67', '71'] -> 1 / (67 - 71) mod 97
[304] ['9', '28', '29'] -> 29 / (9 - 28) mod 97
[305] ['9', '28', '32'] -> (32 / 28) + 9 mod 97
[306] ['9', '28', '36'] -> 28 - (36 / 9) mod 97
[307] ['9', '28', '37'] -> (28 - 9) * 37 mod 97
[308] ['9', '28', '41'] -> (9 / 28) + 41 mod 97
[309] ['9', '28', '42'] -> (28 / 42) - 9 mod 97
[310] ['9', '28', '46'] -> (28 + 9) / 46 mod 97
[311] ['9', '28', '50'] -> (50 - 28) / 9 mod 97
[312] ['9', '28', '51'] -> (51 / 28) - 9 mod 97
[313] ['9', '28', '56'] -> (9 / 28) - 56 mod 97
[314] ['1', '67', '73'] -> 1 - (67 / 73) mod 97
[315] ['9', '28', '58'] -> (9 / 58) - 28 mod 97
[316] ['9', '28', '60'] -> (9 - 28) * 60 mod 97
[317] ['9', '28', '65'] -> 9 - (65 / 28) mod 97
[318] ['9', '28', '67'] -> (28 * 67) - 9 mod 97
[319] ['9', '28', '76'] -> (9 - 28) / 76 mod 97
[320] ['9', '28', '80'] -> (80 / 9) - 28 mod 97
[321] ['9', '28', '82'] -> 82 - (28 * 9) mod 97
[322] ['9', '28', '89'] -> 9 / (89 - 28) mod 97
[323] ['9', '28', '90'] -> (28 - 90) * 9 mod 97
[324] ['9', '29', '31'] -> 31 - (9 / 29) mod 97
[325] ['1', '67', '75'] -> 67 / (1 - 75) mod 97
[326] ['9', '29', '32'] -> 9 / (29 + 32) mod 97
[327] ['9', '29', '37'] -> (9 / 37) + 29 mod 97
[328] ['9', '29', '39'] -> 39 / (29 + 9) mod 97
[329] ['9', '29', '40'] -> (29 - 9) * 40 mod 97
[330] ['9', '29', '43'] -> (29 * 9) - 43 mod 97
[331] ['9', '29', '47'] -> (47 / 29) + 9 mod 97
[332] ['9', '29', '49'] -> (49 * 9) - 29 mod 97
[333] ['9', '29', '50'] -> 9 - (50 / 29) mod 97
[334] ['9', '29', '51'] -> (51 - 29) / 9 mod 97
[335] ['9', '29', '52'] -> (52 / 9) + 29 mod 97
[336] ['1', '6', '53'] -> (53 / 6) - 1 mod 97
[337] ['1', '67', '86'] -> (86 / 67) + 1 mod 97
[338] ['9', '29', '54'] -> (29 * 9) + 54 mod 97
[339] ['9', '29', '55'] -> (9 - 55) * 29 mod 97
[340] ['9', '29', '57'] -> (9 - 29) * 57 mod 97
[341] ['9', '29', '58'] -> (29 * 58) - 9 mod 97
[342] ['9', '29', '64'] -> (64 - 29) * 9 mod 97
[343] ['9', '29', '65'] -> 9 / (29 - 65) mod 97
[344] ['9', '29', '67'] -> (29 + 9) * 67 mod 97
[345] ['9', '29', '76'] -> 29 - (76 * 9) mod 97
[346] ['9', '29', '84'] -> (84 / 29) - 9 mod 97
[347] ['9', '29', '86'] -> (29 / 86) + 9 mod 97
[348] ['1', '67', '88'] -> 67 - (1 / 88) mod 97
[349] ['9', '30', '31'] -> 9 / (30 + 31) mod 97
[350] ['9', '30', '33'] -> 30 - (33 * 9) mod 97
[351] ['9', '30', '34'] -> 34 - (9 / 30) mod 97
[352] ['9', '30', '35'] -> 9 - (35 / 30) mod 97
[353] ['9', '30', '38'] -> (30 + 9) / 38 mod 97
[354] ['9', '30', '43'] -> (43 / 9) + 30 mod 97
[355] ['9', '30', '44'] -> (30 / 9) - 44 mod 97
[356] ['9', '30', '48'] -> 9 - (30 * 48) mod 97
[357] ['9', '30', '49'] -> (30 * 49) + 9 mod 97
[358] ['9', '30', '53'] -> (30 / 9) + 53 mod 97
[359] ['1', '67', '93'] -> (67 * 93) + 1 mod 97
[360] ['9', '30', '54'] -> 30 - (54 / 9) mod 97
[361] ['9', '30', '62'] -> (62 / 30) + 9 mod 97
[362] ['9', '30', '64'] -> (64 * 9) + 30 mod 97
[363] ['9', '30', '66'] -> 9 / (30 - 66) mod 97
[364] ['9', '30', '68'] -> (68 - 9) * 30 mod 97
[365] ['9', '30', '69'] -> (30 * 69) - 9 mod 97
[366] ['9', '30', '81'] -> (9 / 81) - 30 mod 97
[367] ['9', '30', '89'] -> (30 + 89) / 9 mod 97
[368] ['9', '30', '91'] -> 9 / (91 - 30) mod 97
[369] ['9', '30', '95'] -> 9 - (30 / 95) mod 97
[370] ['1', '68', '72'] -> 1 / (68 - 72) mod 97
[371] ['9', '31', '41'] -> (9 - 41) / 31 mod 97
[372] ['9', '31', '42'] -> (9 / 31) - 42 mod 97
[373] ['9', '31', '49'] -> 49 - (31 / 9) mod 97
[374] ['9', '31', '55'] -> (9 / 31) + 55 mod 97
[375] ['9', '31', '56'] -> (56 + 9) / 31 mod 97
[376] ['9', '31', '60'] -> (60 * 9) - 31 mod 97
[377] ['9', '31', '63'] -> 31 - (63 / 9) mod 97
[378] ['9', '31', '66'] -> (66 - 31) * 9 mod 97
[379] ['9', '31', '67'] -> 9 / (31 - 67) mod 97
[380] ['9', '31', '68'] -> (9 / 68) + 31 mod 97
[381] ['1', '68', '74'] -> (1 - 68) / 74 mod 97
[382] ['9', '31', '70'] -> (70 + 9) * 31 mod 97
[383] ['9', '31', '74'] -> (74 - 9) / 31 mod 97
[384] ['9', '31', '76'] -> (9 / 76) - 31 mod 97
[385] ['9', '31', '77'] -> (77 / 31) + 9 mod 97
[386] ['9', '31', '79'] -> 31 / (79 - 9) mod 97
[387] ['9', '31', '82'] -> 9 - (31 / 82) mod 97
[388] ['9', '31', '84'] -> 9 - (31 * 84) mod 97
[389] ['9', '31', '90'] -> 90 - (9 / 31) mod 97
[390] ['9', '31', '92'] -> 9 / (92 - 31) mod 97
[391] ['9', '31', '93'] -> (31 - 93) * 9 mod 97
[392] ['1', '68', '81'] -> (81 - 1) / 68 mod 97
[393] ['9', '31', '96'] -> (31 / 9) + 96 mod 97
[394] ['9', '32', '34'] -> (34 - 9) * 32 mod 97
[395] ['9', '32', '39'] -> (32 - 9) * 39 mod 97
[396] ['9', '32', '42'] -> (32 / 9) + 42 mod 97
[397] ['9', '32', '44'] -> 32 - (44 * 9) mod 97
[398] ['9', '32', '45'] -> 9 - (32 * 45) mod 97
[399] ['9', '32', '46'] -> (9 / 32) - 46 mod 97
[400] ['9', '32', '48'] -> (32 / 48) - 9 mod 97
[401] ['9', '32', '51'] -> (9 / 32) + 51 mod 97
[402] ['9', '32', '52'] -> (32 * 52) + 9 mod 97
[403] ['1', '68', '83'] -> (1 / 68) - 83 mod 97
[404] ['9', '32', '54'] -> (54 - 32) / 9 mod 97
[405] ['9', '32', '57'] -> 32 / (57 + 9) mod 97
[406] ['9', '32', '58'] -> (9 - 32) * 58 mod 97
[407] ['9', '32', '68'] -> 9 / (32 - 68) mod 97
[408] ['9', '32', '69'] -> 9 - (32 / 69) mod 97
[409] ['9', '32', '70'] -> (32 * 9) - 70 mod 97
[410] ['9', '32', '75'] -> 32 / (75 - 9) mod 97
[411] ['9', '32', '81'] -> (9 - 81) * 32 mod 97
[412] ['9', '32', '87'] -> (32 + 87) / 9 mod 97
[413] ['9', '32', '93'] -> 9 / (93 - 32) mod 97
[414] ['1', '68', '85'] -> 1 - (85 / 68) mod 97
[415] ['9', '32', '95'] -> (32 * 95) - 9 mod 97
[416] ['9', '33', '44'] -> 33 / (9 - 44) mod 97
[417] ['9', '33', '45'] -> (45 - 9) * 33 mod 97
[418] ['9', '33', '53'] -> 33 / (53 + 9) mod 97
[419] ['9', '33', '55'] -> (55 - 33) / 9 mod 97
[420] ['9', '33', '59'] -> (9 / 33) + 59 mod 97
[421] ['9', '33', '60'] -> 60 - (33 / 9) mod 97
[422] ['9', '33', '68'] -> (68 - 33) * 9 mod 97
[423] ['9', '33', '69'] -> 9 / (33 - 69) mod 97
[424] ['9', '33', '70'] -> (9 - 70) * 33 mod 97
[425] ['1', '68', '86'] -> 68 - (1 / 86) mod 97
[426] ['9', '33', '81'] -> 33 - (81 / 9) mod 97
[427] ['9', '33', '85'] -> (33 / 9) + 85 mod 97
[428] ['9', '33', '87'] -> 9 - (87 / 33) mod 97
[429] ['9', '33', '90'] -> (9 - 90) / 33 mod 97
[430] ['9', '33', '91'] -> 91 / (33 - 9) mod 97
[431] ['9', '33', '94'] -> 9 / (94 - 33) mod 97
[432] ['9', '33', '95'] -> (33 - 95) * 9 mod 97
[433] ['9', '34', '38'] -> (9 / 34) + 38 mod 97
[434] ['9', '34', '39'] -> 39 - (34 * 9) mod 97
[435] ['9', '34', '42'] -> (42 * 9) + 34 mod 97
[436] ['1', '69', '69'] -> 69 - (1 / 69) mod 97
