[1] ['1', '1', '2'] -> 1 / (1 + 2) mod 71
[178] ['17', '49', '53'] -> (49 * 53) - 17 mod 71
[179] ['17', '49', '54'] -> (49 - 17) * 54 mod 71
[180] ['17', '49', '58'] -> 58 / (49 - 17) mod 71
[181] ['2', '21', '44'] -> (21 - 44) / 2 mod 71
[182] ['17', '49', '64'] -> 17 - (49 / 64) mod 71
[183] ['17', '49', '69'] -> 17 / (49 - 69) mod 71
[184] ['17', '49', '70'] -> 49 - (70 / 17) mod 71
[185] ['17', '50', '51'] -> (51 / 17) - 50 mod 71
[186] ['17', '50', '52'] -> 52 - (50 / 17) mod 71
[187] ['17', '50', '53'] -> (17 / 53) - 50 mod 71
[188] ['17', '50', '55'] -> (55 / 17) + 50 mod 71
[189] ['17', '50', '58'] -> 50 - (17 / 58) mod 71
[190] ['17', '50', '63'] -> (17 + 63) * 50 mod 71
[191] ['17', '50', '66'] -> (66 / 50) + 17 mod 71
[192] ['2', '21', '45'] -> (21 * 45) + 2 mod 71
[193] ['17', '50', '70'] -> 17 / (50 - 70) mod 71
[194] ['17', '51', '55'] -> (51 - 17) * 55 mod 71
[195] ['17', '51', '59'] -> (51 + 59) * 17 mod 71
[196] ['17', '51', '60'] -> (51 * 60) + 17 mod 71
[197] ['17', '51', '63'] -> (17 + 51) * 63 mod 71
[198] ['17', '51', '65'] -> 51 / (17 + 65) mod 71
[199] ['17', '51', '67'] -> (17 + 67) * 51 mod 71
[200] ['17', '51', '68'] -> (68 / 17) - 51 mod 71
[201] ['17', '51', '70'] -> 70 / (17 + 51) mod 71
[202] ['17', '52', '53'] -> 53 - (17 / 52) mod 71
[203] ['2', '21', '48'] -> (2 / 48) + 21 mod 71
[204] ['17', '52', '56'] -> 56 - (17 * 52) mod 71
[205] ['17', '52', '61'] -> (17 * 61) + 52 mod 71
[206] ['17', '52', '62'] -> 17 - (62 / 52) mod 71
[207] ['17', '52', '63'] -> (17 * 52) + 63 mod 71
[208] ['17', '52', '64'] -> 52 - (17 / 64) mod 71
[209] ['17', '52', '65'] -> (17 + 52) / 65 mod 71
[210] ['17', '52', '66'] -> (17 / 52) + 66 mod 71
[211] ['17', '52', '68'] -> 52 / (17 + 68) mod 71
[212] ['17', '53', '55'] -> 17 - (55 / 53) mod 71
[213] ['17', '53', '56'] -> 53 - (17 * 56) mod 71
[214] ['2', '21', '56'] -> 2 / (21 + 56) mod 71
[215] ['17', '53', '62'] -> (17 / 62) - 53 mod 71
[216] ['17', '53', '67'] -> 53 - (67 / 17) mod 71
[217] ['17', '53', '68'] -> (17 + 53) / 68 mod 71
[218] ['17', '53', '69'] -> 17 / (53 + 69) mod 71
[219] ['17', '55', '55'] -> (55 + 55) * 17 mod 71
[220] ['17', '55', '60'] -> 60 / (55 - 17) mod 71
[221] ['17', '56', '59'] -> (17 * 59) - 56 mod 71
[222] ['17', '56', '65'] -> (17 / 65) - 56 mod 71
[223] ['17', '56', '67'] -> (56 / 17) - 67 mod 71
[224] ['17', '56', '68'] -> (56 + 68) / 17 mod 71
[225] ['1', '7', '51'] -> 7 / (1 - 51) mod 71
[226] ['2', '21', '57'] -> (21 - 2) / 57 mod 71
[227] ['17', '57', '59'] -> 57 / (17 - 59) mod 71
[228] ['17', '57', '61'] -> (17 / 57) - 61 mod 71
[229] ['17', '57', '62'] -> (57 / 62) - 17 mod 71
[230] ['17', '57', '63'] -> (57 * 63) - 17 mod 71
[231] ['17', '57', '66'] -> (66 - 17) * 57 mod 71
[232] ['17', '57', '70'] -> 70 - (17 * 57) mod 71
[233] ['17', '58', '59'] -> (58 / 59) + 17 mod 71
[234] ['17', '58', '60'] -> (60 - 17) / 58 mod 71
[235] ['17', '58', '64'] -> 17 / (58 + 64) mod 71
[236] ['17', '58', '66'] -> (58 + 66) / 17 mod 71
[237] ['2', '21', '58'] -> (2 * 58) - 21 mod 71
[238] ['17', '59', '62'] -> (62 / 17) - 59 mod 71
[239] ['17', '59', '64'] -> 64 - (17 / 59) mod 71
[240] ['17', '59', '65'] -> (59 + 65) / 17 mod 71
[241] ['17', '60', '60'] -> (60 - 17) * 60 mod 71
[242] ['17', '60', '62'] -> 17 / (60 + 62) mod 71
[243] ['17', '60', '64'] -> (60 + 64) / 17 mod 71
[244] ['17', '60', '65'] -> (65 / 60) + 17 mod 71
[245] ['17', '61', '63'] -> (61 + 63) / 17 mod 71
[246] ['17', '61', '64'] -> (17 - 61) * 64 mod 71
[247] ['17', '61', '67'] -> 67 - (17 * 61) mod 71
