[1] ['1', '1', '5'] -> (1 + 1) / 5 mod 59
[106] ['39', '48', '56'] -> (48 - 56) / 39 mod 59
[107] ['39', '48', '58'] -> 58 - (39 / 48) mod 59
[108] ['39', '49', '55'] -> 55 / (39 - 49) mod 59
[109] ['39', '49', '56'] -> (49 + 56) * 39 mod 59
[110] ['39', '49', '57'] -> (49 - 57) / 39 mod 59
[111] ['39', '50', '51'] -> 51 - (50 / 39) mod 59
[112] ['39', '50', '52'] -> (50 * 52) - 39 mod 59
[113] ['39', '50', '55'] -> (50 + 55) * 39 mod 59
[114] ['1', '7', '25'] -> 1 / (25 + 7) mod 59
[115] ['3', '3', '5'] -> (3 + 5) * 3 mod 59
[116] ['39', '50', '57'] -> (50 - 39) / 57 mod 59
[117] ['39', '51', '51'] -> (39 / 51) + 51 mod 59
[118] ['39', '51', '56'] -> 56 - (39 / 51) mod 59
[119] ['39', '52', '53'] -> (52 + 53) * 39 mod 59
[120] ['39', '52', '57'] -> (39 * 52) - 57 mod 59
[121] ['39', '52', '58'] -> (52 + 58) / 39 mod 59
[122] ['39', '53', '54'] -> 53 / (39 - 54) mod 59
[123] ['39', '53', '58'] -> (39 / 53) - 58 mod 59
[124] ['39', '55', '55'] -> (55 + 55) / 39 mod 59
[125] ['39', '55', '56'] -> (39 * 55) - 56 mod 59
[126] ['3', '3', '7'] -> (3 * 7) + 3 mod 59
[127] ['39', '57', '57'] -> (57 * 57) - 39 mod 59
[128] ['40', '40', '42'] -> (40 * 40) - 42 mod 59
[129] ['40', '40', '55'] -> (40 + 55) * 40 mod 59
[130] ['40', '40', '58'] -> 40 / (40 - 58) mod 59
[131] ['40', '41', '48'] -> 48 - (40 / 41) mod 59
[132] ['40', '41', '51'] -> (41 / 40) + 51 mod 59
[133] ['40', '41', '52'] -> (52 / 41) + 40 mod 59
[134] ['40', '42', '44'] -> (44 / 40) - 42 mod 59
[135] ['40', '42', '45'] -> (45 - 40) / 42 mod 59
[136] ['40', '42', '48'] -> 48 / (42 - 40) mod 59
[137] ['3', '3', '9'] -> (3 * 9) - 3 mod 59
[138] ['40', '42', '50'] -> (40 / 42) - 50 mod 59
[139] ['40', '42', '52'] -> 52 - (40 * 42) mod 59
[140] ['40', '42', '54'] -> (40 - 42) / 54 mod 59
[141] ['40', '42', '55'] -> (40 * 42) + 55 mod 59
[142] ['40', '43', '45'] -> 45 / (40 + 43) mod 59
[143] ['40', '43', '46'] -> 46 / (40 - 43) mod 59
[144] ['40', '43', '47'] -> (40 + 47) * 43 mod 59
[145] ['40', '43', '55'] -> (43 * 55) - 40 mod 59
[146] ['40', '43', '56'] -> (40 / 43) + 56 mod 59
[147] ['40', '43', '57'] -> 40 / (43 + 57) mod 59
[148] ['3', '3', '10'] -> (10 + 3) / 3 mod 59
[149] ['40', '44', '46'] -> (40 - 46) / 44 mod 59
[150] ['40', '44', '48'] -> 44 / (40 - 48) mod 59
[151] ['40', '44', '51'] -> (44 + 51) * 40 mod 59
[152] ['40', '44', '52'] -> (40 / 44) - 52 mod 59
[153] ['40', '44', '53'] -> (40 - 44) * 53 mod 59
[154] ['40', '44', '57'] -> (40 / 57) + 44 mod 59
[155] ['40', '45', '45'] -> (45 / 40) + 45 mod 59
[156] ['40', '45', '47'] -> (47 / 45) + 40 mod 59
[157] ['40', '45', '49'] -> (40 / 45) - 49 mod 59
[158] ['40', '45', '51'] -> (40 + 51) * 45 mod 59
[159] ['3', '3', '11'] -> (11 - 3) * 3 mod 59
[160] ['40', '45', '52'] -> (45 - 40) * 52 mod 59
[161] ['40', '45', '53'] -> (40 * 45) + 53 mod 59
[162] ['40', '45', '54'] -> 54 - (40 * 45) mod 59
[163] ['40', '45', '55'] -> 40 / (45 + 55) mod 59
[164] ['40', '45', '58'] -> (58 - 40) / 45 mod 59
[165] ['40', '46', '46'] -> (40 * 46) - 46 mod 59
[166] ['40', '46', '49'] -> (46 + 49) * 40 mod 59
[167] ['40', '46', '53'] -> (53 / 46) - 40 mod 59
[168] ['40', '46', '55'] -> (40 - 46) * 55 mod 59
[169] ['40', '47', '50'] -> 50 / (47 - 40) mod 59
[170] ['3', '3', '16'] -> (16 - 3) / 3 mod 59
[171] ['40', '47', '53'] -> 40 / (47 + 53) mod 59
[172] ['40', '47', '58'] -> (58 / 47) - 40 mod 59
[173] ['40', '48', '48'] -> (48 / 40) - 48 mod 59
[174] ['40', '48', '50'] -> (40 + 50) / 48 mod 59
[175] ['40', '48', '51'] -> (40 * 48) + 51 mod 59
[176] ['40', '48', '52'] -> 40 / (48 + 52) mod 59
[177] ['40', '48', '58'] -> (58 / 48) + 40 mod 59
[178] ['40', '49', '56'] -> 49 - (56 / 40) mod 59
[179] ['40', '49', '57'] -> (49 / 57) - 40 mod 59
[180] ['40', '50', '50'] -> 40 / (50 + 50) mod 59
[181] ['3', '3', '17'] -> (3 / 17) + 3 mod 59
[182] ['40', '50', '51'] -> (50 / 40) - 51 mod 59
[183] ['40', '50', '56'] -> 50 - (40 / 56) mod 59
[184] ['40', '50', '57'] -> (57 - 40) * 50 mod 59
[185] ['40', '51', '55'] -> (40 - 55) / 51 mod 59
[186] ['40', '52', '54'] -> (52 / 40) - 54 mod 59
[187] ['40', '52', '58'] -> 52 - (58 / 40) mod 59
[188] ['40', '53', '55'] -> 53 / (40 - 55) mod 59
[189] ['40', '53', '56'] -> (40 - 53) / 56 mod 59
[190] ['40', '55', '58'] -> (58 / 40) + 55 mod 59
[191] ['40', '56', '57'] -> (40 / 56) + 57 mod 59
[192] ['3', '3', '22'] -> (22 / 3) - 3 mod 59
[193] ['40', '56', '58'] -> (56 / 40) + 58 mod 59
[194] ['41', '41', '48'] -> 41 - (48 / 41) mod 59
[195] ['41', '41', '51'] -> 41 - (41 / 51) mod 59
[196] ['41', '41', '53'] -> 53 - (41 * 41) mod 59
[197] ['41', '41', '54'] -> (41 * 41) + 54 mod 59
[198] ['41', '41', '55'] -> 41 / (55 - 41) mod 59
[199] ['41', '42', '43'] -> (41 / 42) - 43 mod 59
[200] ['41', '42', '45'] -> 45 / (41 + 42) mod 59
[201] ['41', '42', '50'] -> (50 - 41) * 42 mod 59
[202] ['41', '42', '51'] -> (51 / 41) - 42 mod 59
[203] ['3', '3', '23'] -> (3 / 3) + 23 mod 59
[204] ['41', '42', '53'] -> (53 / 42) + 41 mod 59
[205] ['41', '42', '54'] -> 42 / (41 - 54) mod 59
[206] ['41', '42', '55'] -> (42 + 55) * 41 mod 59
[207] ['41', '42', '56'] -> 41 / (56 - 42) mod 59
[208] ['41', '43', '45'] -> (41 / 43) + 45 mod 59
[209] ['41', '43', '46'] -> (41 + 46) * 43 mod 59
[210] ['41', '43', '48'] -> 48 / (43 - 41) mod 59
[211] ['41', '43', '52'] -> (41 * 52) - 43 mod 59
[212] ['41', '43', '53'] -> (43 / 53) + 41 mod 59
[213] ['41', '43', '56'] -> (43 + 56) / 41 mod 59
[214] ['3', '3', '26'] -> 26 / (3 + 3) mod 59
[215] ['41', '43', '57'] -> 41 / (57 - 43) mod 59
[216] ['41', '44', '48'] -> (41 / 44) - 48 mod 59
[217] ['41', '44', '51'] -> (41 - 44) * 51 mod 59
[218] ['41', '44', '54'] -> (41 / 54) + 44 mod 59
[219] ['41', '44', '55'] -> (44 + 55) / 41 mod 59
[220] ['41', '45', '49'] -> (41 - 45) / 49 mod 59
[221] ['41', '45', '50'] -> (41 + 50) * 45 mod 59
[222] ['41', '45', '52'] -> (45 + 52) * 41 mod 59
[223] ['41', '45', '53'] -> (41 - 45) * 53 mod 59
[224] ['41', '45', '54'] -> (45 + 54) / 41 mod 59
[225] ['1', '7', '26'] -> 26 / (7 - 1) mod 59
[226] ['3', '3', '33'] -> 33 - (3 * 3) mod 59
[227] ['41', '45', '57'] -> 41 - (57 / 45) mod 59
[228] ['41', '46', '50'] -> (41 / 46) - 50 mod 59
[229] ['41', '46', '51'] -> (46 + 51) * 41 mod 59
[230] ['41', '46', '53'] -> (46 + 53) / 41 mod 59
[231] ['41', '46', '58'] -> (41 - 58) / 46 mod 59
[232] ['41', '47', '47'] -> 47 / (41 + 47) mod 59
[233] ['41', '47', '50'] -> (47 + 50) * 41 mod 59
[234] ['41', '47', '58'] -> 47 - (58 / 41) mod 59
[235] ['41', '48', '48'] -> (41 + 48) * 48 mod 59
[236] ['41', '48', '51'] -> (48 + 51) / 41 mod 59
[237] ['3', '3', '34'] -> 3 / (3 + 34) mod 59
[238] ['41', '48', '55'] -> (41 * 55) - 48 mod 59
[239] ['41', '48', '56'] -> (41 * 48) - 56 mod 59
[240] ['41', '49', '50'] -> (49 + 50) / 41 mod 59
[241] ['41', '49', '51'] -> (41 + 51) * 49 mod 59
[242] ['41', '49', '56'] -> (41 - 49) * 56 mod 59
[243] ['41', '49', '58'] -> (58 / 49) - 41 mod 59
[244] ['41', '50', '52'] -> (50 - 41) / 52 mod 59
[245] ['41', '50', '54'] -> 54 - (50 / 41) mod 59
[246] ['41', '50', '58'] -> (58 - 41) * 50 mod 59
[247] ['41', '51', '52'] -> (41 / 51) - 52 mod 59
[248] ['3', '3', '36'] -> (3 / 3) - 36 mod 59
[249] ['41', '51', '53'] -> (41 + 51) / 53 mod 59
[250] ['41', '51', '55'] -> 55 / (41 - 51) mod 59
[251] ['41', '52', '54'] -> (41 * 54) + 52 mod 59
[252] ['41', '53', '56'] -> 53 / (41 - 56) mod 59
[253] ['41', '53', '57'] -> (41 - 53) * 57 mod 59
[254] ['41', '54', '55'] -> 55 - (41 * 54) mod 59
[255] ['41', '54', '56'] -> (41 - 54) / 56 mod 59
[256] ['41', '54', '58'] -> 54 / (58 - 41) mod 59
[257] ['41', '55', '57'] -> 57 - (55 / 41) mod 59
[258] ['41', '55', '58'] -> 58 - (41 / 55) mod 59
[259] ['3', '3', '40'] -> 3 / (40 - 3) mod 59
[260] ['41', '58', '58'] -> (58 / 41) - 58 mod 59
[261] ['42', '42', '47'] -> (47 - 42) / 42 mod 59
[262] ['42', '42', '48'] -> 42 - (48 / 42) mod 59
[263] ['42', '43', '46'] -> (42 + 46) / 43 mod 59
[264] ['42', '43', '47'] -> (42 * 43) + 47 mod 59
[265] ['42', '43', '48'] -> (48 - 43) / 42 mod 59
[266] ['42', '43', '56'] -> 42 / (43 - 56) mod 59
[267] ['42', '44', '44'] -> (42 / 44) - 44 mod 59
[268] ['42', '44', '45'] -> (45 / 42) + 44 mod 59
[269] ['42', '44', '46'] -> 42 - (44 * 46) mod 59
[270] ['3', '3', '44'] -> (3 * 3) - 44 mod 59
[271] ['42', '44', '47'] -> (42 - 44) * 47 mod 59
[272] ['42', '44', '49'] -> (49 - 44) / 42 mod 59
[273] ['42', '44', '53'] -> (53 - 44) * 42 mod 59
[274] ['42', '44', '55'] -> (42 * 55) - 44 mod 59
[275] ['42', '44', '57'] -> 42 / (44 - 57) mod 59
[276] ['42', '44', '58'] -> 58 / (42 + 44) mod 59
[277] ['42', '45', '49'] -> (42 + 49) * 45 mod 59
[278] ['42', '45', '50'] -> (50 - 45) / 42 mod 59
[279] ['42', '45', '54'] -> (54 - 45) * 42 mod 59
[280] ['42', '45', '56'] -> 45 - (56 / 42) mod 59
[281] ['3', '3', '46'] -> (3 / 46) - 3 mod 59
[282] ['42', '45', '58'] -> 42 / (45 - 58) mod 59
[283] ['42', '46', '47'] -> 47 / (42 + 46) mod 59
[284] ['42', '46', '48'] -> 48 - (42 / 46) mod 59
[285] ['42', '46', '57'] -> (57 / 46) + 42 mod 59
[286] ['42', '47', '50'] -> 50 - (42 / 47) mod 59
[287] ['42', '47', '51'] -> 51 - (42 * 47) mod 59
[288] ['42', '48', '48'] -> (42 + 48) / 48 mod 59
[289] ['42', '48', '49'] -> (48 / 49) - 42 mod 59
[290] ['42', '48', '50'] -> (42 * 50) + 48 mod 59
[291] ['42', '48', '54'] -> (54 / 42) + 48 mod 59
[292] ['3', '3', '49'] -> (3 - 49) / 3 mod 59
[293] ['42', '48', '58'] -> (42 / 48) - 58 mod 59
[294] ['42', '49', '49'] -> (49 * 49) + 42 mod 59
[295] ['42', '49', '53'] -> (49 / 53) + 42 mod 59
[296] ['42', '49', '58'] -> (58 - 49) * 42 mod 59
[297] ['42', '50', '53'] -> (42 + 50) / 53 mod 59
[298] ['42', '50', '54'] -> 50 - (42 * 54) mod 59
[299] ['42', '50', '56'] -> (42 - 50) * 56 mod 59
[300] ['42', '51', '53'] -> (42 * 51) - 53 mod 59
[301] ['42', '51', '57'] -> (42 - 57) / 51 mod 59
[302] ['42', '52', '53'] -> 42 / (52 + 53) mod 59
[303] ['3', '3', '54'] -> (3 - 54) * 3 mod 59
[304] ['42', '52', '54'] -> 52 / (54 - 42) mod 59
[305] ['42', '52', '57'] -> (57 - 52) / 42 mod 59
[306] ['42', '53', '56'] -> 42 - (53 * 56) mod 59
[307] ['42', '53', '58'] -> (58 - 53) / 42 mod 59
[308] ['42', '54', '55'] -> (42 / 55) - 54 mod 59
[309] ['42', '55', '55'] -> (55 / 42) + 55 mod 59
[310] ['42', '55', '56'] -> (42 - 55) / 56 mod 59
[311] ['42', '57', '58'] -> 58 - (42 * 57) mod 59
[312] ['43', '43', '45'] -> (43 + 45) / 43 mod 59
[313] ['43', '43', '49'] -> (49 / 43) - 43 mod 59
[314] ['3', '3', '55'] -> 3 - (55 / 3) mod 59
[315] ['43', '43', '55'] -> (43 * 43) - 55 mod 59
[316] ['43', '43', '57'] -> (43 / 57) - 43 mod 59
[317] ['43', '43', '58'] -> 58 / (43 + 43) mod 59
[318] ['43', '44', '44'] -> (44 + 44) / 43 mod 59
[319] ['43', '44', '47'] -> (44 / 43) - 47 mod 59
[320] ['43', '44', '48'] -> (43 / 48) + 44 mod 59
[321] ['43', '44', '51'] -> 44 / (43 - 51) mod 59
[322] ['43', '44', '57'] -> (57 / 44) - 43 mod 59
[323] ['43', '45', '50'] -> (45 * 50) - 43 mod 59
[324] ['43', '45', '51'] -> (43 * 51) - 45 mod 59
[325] ['3', '4', '4'] -> (4 + 4) * 3 mod 59
[326] ['43', '45', '58'] -> (45 / 43) - 58 mod 59
[327] ['43', '46', '46'] -> 46 / (43 - 46) mod 59
[328] ['43', '46', '51'] -> (43 - 46) * 51 mod 59
[329] ['43', '46', '52'] -> (43 * 46) + 52 mod 59
[330] ['43', '47', '48'] -> (43 + 47) / 48 mod 59
[331] ['43', '47', '49'] -> (43 - 47) / 49 mod 59
[332] ['43', '47', '51'] -> (51 / 47) + 43 mod 59
[333] ['43', '47', '53'] -> (43 - 47) * 53 mod 59
[334] ['43', '47', '56'] -> (43 / 47) - 56 mod 59
[335] ['43', '48', '50'] -> (48 * 50) + 43 mod 59
[336] ['1', '7', '33'] -> 33 / (1 - 7) mod 59
[337] ['3', '4', '7'] -> 4 / (3 + 7) mod 59
[338] ['43', '48', '52'] -> (48 - 43) * 52 mod 59
[339] ['43', '48', '57'] -> 57 / (43 - 48) mod 59
[340] ['43', '49', '49'] -> (43 + 49) * 49 mod 59
[341] ['43', '49', '53'] -> (43 + 49) / 53 mod 59
[342] ['43', '49', '56'] -> 49 - (43 / 56) mod 59
[343] ['43', '50', '52'] -> 52 - (43 / 50) mod 59
[344] ['43', '50', '53'] -> (53 / 50) + 43 mod 59
[345] ['43', '50', '56'] -> 50 - (56 / 43) mod 59
[346] ['43', '50', '57'] -> (43 * 50) + 57 mod 59
[347] ['43', '51', '53'] -> (51 / 43) + 53 mod 59
[348] ['3', '4', '10'] -> 10 - (3 / 4) mod 59
[349] ['43', '51', '55'] -> 51 / (43 + 55) mod 59
[350] ['43', '51', '56'] -> (43 - 51) * 56 mod 59
[351] ['43', '51', '57'] -> (43 * 57) + 51 mod 59
[352] ['43', '52', '52'] -> (52 - 43) / 52 mod 59
[353] ['43', '53', '58'] -> 53 / (43 - 58) mod 59
[354] ['43', '54', '56'] -> (43 * 54) - 56 mod 59
[355] ['43', '54', '57'] -> (54 - 43) / 57 mod 59
[356] ['43', '56', '56'] -> (43 - 56) / 56 mod 59
[357] ['43', '56', '58'] -> (43 / 56) + 58 mod 59
[358] ['44', '44', '45'] -> (44 / 45) + 44 mod 59
[359] ['3', '4', '20'] -> (20 * 4) + 3 mod 59
[360] ['44', '44', '47'] -> 47 / (44 + 44) mod 59
[361] ['44', '44', '50'] -> (44 - 50) / 44 mod 59
[362] ['44', '44', '52'] -> 44 / (44 - 52) mod 59
[363] ['44', '45', '47'] -> (44 + 47) * 45 mod 59
[364] ['44', '45', '48'] -> (44 + 45) * 48 mod 59
[365] ['44', '45', '50'] -> (44 * 45) + 50 mod 59
[366] ['44', '45', '52'] -> (45 * 52) + 44 mod 59
[367] ['44', '45', '57'] -> 57 - (44 * 45) mod 59
[368] ['44', '46', '51'] -> (46 / 51) - 44 mod 59
[369] ['44', '46', '53'] -> (44 * 46) - 53 mod 59
[370] ['3', '4', '21'] -> (3 / 4) - 21 mod 59
[371] ['44', '46', '56'] -> (46 * 56) + 44 mod 59
[372] ['44', '47', '50'] -> (50 / 44) + 47 mod 59
[373] ['44', '47', '53'] -> (47 - 53) / 44 mod 59
[374] ['44', '48', '54'] -> (48 - 54) / 44 mod 59
[375] ['44', '48', '56'] -> 44 / (48 - 56) mod 59
[376] ['44', '49', '51'] -> (44 * 49) + 51 mod 59
[377] ['44', '49', '56'] -> 56 - (44 * 49) mod 59
[378] ['44', '50', '51'] -> 50 / (51 - 44) mod 59
[379] ['44', '50', '52'] -> (44 * 50) - 52 mod 59
[380] ['44', '50', '55'] -> (44 - 50) * 55 mod 59
[381] ['3', '4', '22'] -> (4 / 22) - 3 mod 59
[382] ['44', '51', '51'] -> (51 / 44) + 51 mod 59
[383] ['44', '51', '53'] -> (44 / 53) + 51 mod 59
[384] ['44', '51', '55'] -> (55 / 44) - 51 mod 59
[385] ['44', '51', '56'] -> 56 - (51 / 44) mod 59
[386] ['44', '51', '57'] -> (51 - 57) / 44 mod 59
[387] ['44', '52', '52'] -> 52 - (52 / 44) mod 59
[388] ['44', '52', '54'] -> (44 / 52) - 54 mod 59
[389] ['44', '53', '55'] -> 55 - (44 * 53) mod 59
[390] ['44', '53', '56'] -> 56 - (44 / 53) mod 59
[391] ['44', '54', '56'] -> 44 / (54 + 56) mod 59
[392] ['3', '4', '26'] -> 3 / (4 - 26) mod 59
[393] ['44', '54', '57'] -> 54 - (44 * 57) mod 59
[394] ['44', '54', '58'] -> (54 + 58) / 44 mod 59
[395] ['44', '55', '55'] -> 44 / (55 + 55) mod 59
[396] ['44', '56', '58'] -> 44 - (58 / 56) mod 59
[397] ['45', '45', '46'] -> (45 + 46) * 45 mod 59
[398] ['45', '45', '48'] -> (45 + 45) / 48 mod 59
[399] ['45', '45', '54'] -> (45 * 45) - 54 mod 59
[400] ['45', '45', '58'] -> (58 / 45) + 45 mod 59
[401] ['45', '46', '46'] -> 46 - (46 / 45) mod 59
[402] ['45', '46', '48'] -> 46 / (45 - 48) mod 59
[403] ['3', '4', '27'] -> (3 - 4) / 27 mod 59
[404] ['45', '46', '49'] -> 46 - (45 * 49) mod 59
[405] ['45', '46', '57'] -> (46 / 45) - 57 mod 59
[406] ['45', '47', '47'] -> (45 - 47) * 47 mod 59
[407] ['45', '47', '49'] -> (45 + 47) * 49 mod 59
[408] ['45', '47', '52'] -> (52 - 45) / 47 mod 59
[409] ['45', '47', '53'] -> (45 + 47) / 53 mod 59
[410] ['45', '47', '54'] -> (45 - 47) / 54 mod 59
[411] ['45', '48', '51'] -> (45 - 48) * 51 mod 59
[412] ['45', '49', '50'] -> 50 - (49 / 45) mod 59
[413] ['45', '49', '51'] -> 45 - (49 * 51) mod 59
[414] ['3', '4', '29'] -> (29 * 3) - 4 mod 59
[415] ['45', '50', '51'] -> (50 / 51) + 45 mod 59
[416] ['45', '50', '55'] -> (45 / 55) + 50 mod 59
[417] ['45', '51', '58'] -> (45 + 58) / 51 mod 59
[418] ['45', '52', '53'] -> (52 / 45) + 53 mod 59
[419] ['45', '52', '56'] -> 45 - (52 * 56) mod 59
[420] ['45', '53', '57'] -> (45 / 53) - 57 mod 59
[421] ['45', '55', '55'] -> 55 / (45 - 55) mod 59
[422] ['45', '55', '56'] -> 45 - (55 / 56) mod 59
[423] ['45', '55', '58'] -> 58 - (55 / 45) mod 59
[424] ['45', '56', '57'] -> (56 - 45) / 57 mod 59
[425] ['3', '4', '33'] -> 3 / (33 + 4) mod 59
[426] ['45', '56', '58'] -> (45 - 58) / 56 mod 59
[427] ['45', '57', '57'] -> (45 - 57) * 57 mod 59
[428] ['46', '46', '52'] -> (46 + 52) * 46 mod 59
[429] ['46', '46', '53'] -> (46 + 46) / 53 mod 59
[430] ['46', '46', '55'] -> (46 + 55) / 46 mod 59
[431] ['46', '47', '48'] -> (46 - 48) * 47 mod 59
[432] ['46', '47', '50'] -> 46 / (47 - 50) mod 59
[433] ['46', '47', '54'] -> (47 + 54) / 46 mod 59
[434] ['46', '47', '55'] -> 47 - (55 / 46) mod 59
[435] ['46', '47', '57'] -> (46 / 57) + 47 mod 59
[436] ['3', '4', '38'] -> (3 / 4) + 38 mod 59
