[1272] ['1/9', '3/4', '6', '9'] -> (6 / ((1/9 * 9) - 3/4))
[1273] ['1/9', '3/4', '8', '8'] -> (((8 / 3/4) - 8) / 1/9)
[1278] ['1/9', '7/9', '1', '2'] -> (((2 + 7/9) / 1/9) - 1)
[1279] ['1/9', '7/9', '1', '3'] -> (((7/9 / 1/9) + 1) * 3)
[1280] ['1/9', '7/9', '1', '4'] -> (((7/9 / 1/9) - 1) * 4)
[1312] ['1/9', '2/3', '2', '7'] -> (((2/3 * 7) - 2) / 1/9)
[1324] ['1/9', '2/3', '8', '8'] -> ((8 - (2/3 * 8)) / 1/9)
[1339] ['1/9', '5/8', '1', '9'] -> (1 / (1/9 - (5/8 / 9)))
[1365] ['1/9', '4/5', '3', '3'] -> (((3 / 1/9) + 3) * 4/5)
[1367] ['1/9', '4/5', '4', '6'] -> (((4 / 1/9) - 6) * 4/5)
[1375] ['1/9', '5/6', '1', '2'] -> (((2 * 5/6) + 1) / 1/9)
[1392] ['1/9', '3/4', '1', '4'] -> ((4 - (1 / 3/4)) / 1/9)
[1393] ['1/9', '3/4', '1', '9'] -> (((1 / 1/9) + 9) / 3/4)
[1429] ['1/9', '7/9', '2', '4'] -> (2 / ((7/9 / 4) - 1/9))
[1430] ['1/9', '7/9', '2', '5'] -> (((7/9 / 1/9) + 5) * 2)
[1431] ['1/9', '7/9', '2', '6'] -> (((6 * 7/9) - 2) / 1/9)
[1434] ['1/9', '7/9', '3', '5'] -> ((5 - (3 * 7/9)) / 1/9)
[1438] ['1/9', '7/9', '5', '6'] -> (((5 * 7/9) + 1/9) * 6)
[1439] ['1/9', '7/9', '5', '8'] -> (5 / ((7/9 / 8) + 1/9))
[1440] ['1/9', '7/9', '7', '9'] -> ((7 + 9) / (7/9 - 1/9))
[1441] ['1/9', '7/9', '8', '8'] -> ((8 + 8) / (7/9 - 1/9))
[1470] ['1/9', '5/6', '2', '2'] -> (((2 / 1/9) + 2) / 5/6)
[1472] ['1/9', '5/6', '2', '5'] -> ((2 / 1/9) + (5 / 5/6))
[1473] ['1/9', '5/6', '2', '7'] -> (((7 / 2) - 5/6) / 1/9)
[1479] ['1/9', '5/6', '3', '4'] -> (4 / ((5/6 / 3) - 1/9))
[1480] ['1/9', '5/6', '3', '7'] -> (((3 / 1/9) - 7) / 5/6)
[1483] ['1/9', '5/6', '4', '8'] -> (((5/6 * 8) - 4) / 1/9)
[1484] ['1/9', '5/6', '4', '9'] -> (4 / ((1/9 * 9) - 5/6))
[1487] ['1/9', '5/6', '6', '6'] -> (6 / ((5/6 / 6) + 1/9))
[1491] ['1/9', '6/7', '1', '3'] -> (((3 / 1/9) + 1) * 6/7)
[1516] ['1/9', '6/7', '2', '4'] -> (((4 / 6/7) - 2) / 1/9)
[1517] ['1/9', '6/7', '2', '5'] -> ((5 - (2 / 6/7)) / 1/9)
[1518] ['1/9', '6/7', '2', '7'] -> ((2 / 1/9) + (6/7 * 7))
[1523] ['1/9', '6/7', '4', '8'] -> (((4 / 1/9) - 8) * 6/7)
[1541] ['1/9', '7/8', '3', '6'] -> (((3 / 1/9) - 6) / 7/8)
[1542] ['1/9', '7/8', '3', '8'] -> (3 / (8 - (7/8 / 1/9)))
[1543] ['1/9', '7/8', '3', '9'] -> (3 / ((1/9 * 9) - 7/8))
[1545] ['1/9', '7/8', '5', '6'] -> (5 / (7/8 - (1/9 * 6)))
[1546] ['1/9', '7/8', '5', '9'] -> (5 / ((7/8 / 9) + 1/9))
[1555] ['1/9', '8/9', '1', '7'] -> (((1 + 8/9) / 1/9) + 7)
[1601] ['1/8', '1/8', '1', '2'] -> ((1 / 1/8) + (2 / 1/8))
[1602] ['1/8', '1/8', '1', '4'] -> ((4 / 1/8) - (1 / 1/8))
[1603] ['1/8', '1/8', '1', '7'] -> ((7 - 1) / (1/8 + 1/8))
[1663] ['1/9', '5/2', '3', '7'] -> (((7 / 1/9) - 3) / 5/2)
[1664] ['1/9', '5/2', '4', '6'] -> ((5/2 / 1/9) + (6 / 4))
[1665] ['1/9', '5/2', '4', '9'] -> (4 / ((5/2 / 9) - 1/9))
