[166] ['8', '63', '70', '70'] -> ((70 + 70) * 63) + 8 mod 71
[167] ['9', '9', '9', '9'] -> 9 / (9 + 9 + 9) mod 71
[168] ['1', '1', '5', '35'] -> 1 / ((1 / 35) + 5) mod 71
[169] ['9', '9', '9', '10'] -> (9 + 9 + 9) / 10 mod 71
[170] ['9', '9', '9', '11'] -> 9 - ((9 + 9) * 11) mod 71
[171] ['9', '9', '9', '61'] -> ((9 + 9) * 61) - 9 mod 71
[172] ['9', '9', '15', '65'] -> (65 * 9) - (15 * 9) mod 71
[173] ['9', '9', '26', '26'] -> ((26 + 9) / 26) + 9 mod 71
[174] ['9', '12', '12', '69'] -> ((12 / 12) - 69) / 9 mod 71
[175] ['9', '13', '13', '13'] -> (13 - (13 / 9)) * 13 mod 71
[176] ['9', '18', '18', '18'] -> 18 / ((9 / 18) + 18) mod 71
[177] ['9', '31', '31', '31'] -> (9 - (31 * 31)) * 31 mod 71
[178] ['9', '40', '40', '40'] -> ((40 * 40) - 9) * 40 mod 71
[179] ['1', '1', '5', '61'] -> 1 / (1 - (61 / 5)) mod 71
[180] ['9', '41', '41', '41'] -> 41 - ((41 + 41) / 9) mod 71
[181] ['9', '43', '43', '43'] -> ((43 * 9) - 43) * 43 mod 71
[182] ['9', '53', '53', '53'] -> 53 / ((9 / 53) + 53) mod 71
[183] ['9', '59', '59', '59'] -> ((59 + 9) * 59) + 59 mod 71
[184] ['9', '61', '70', '70'] -> (9 / (61 + 70)) + 70 mod 71
[185] ['10', '10', '10', '10'] -> 10 / (10 + 10 + 10) mod 71
[186] ['10', '10', '10', '16'] -> ((10 * 10) + 16) * 10 mod 71
[187] ['10', '10', '10', '39'] -> ((10 * 39) + 10) * 10 mod 71
[188] ['10', '10', '10', '52'] -> (10 * 52) + (10 / 10) mod 71
[189] ['10', '10', '19', '19'] -> ((10 / 19) + 19) / 10 mod 71
[190] ['1', '1', '7', '57'] -> 1 / (1 - (57 / 7)) mod 71
[191] ['10', '10', '29', '70'] -> ((10 - 29) * 10) - 70 mod 71
[192] ['10', '18', '18', '18'] -> (18 * 18) - (18 / 10) mod 71
[193] ['10', '19', '19', '61'] -> (19 - (61 / 19)) / 10 mod 71
[194] ['10', '35', '35', '70'] -> ((35 - 10) * 35) - 70 mod 71
[195] ['10', '62', '62', '62'] -> ((62 + 62) * 10) + 62 mod 71
[196] ['11', '11', '11', '21'] -> ((11 / 11) - 21) / 11 mod 71
[197] ['11', '11', '11', '23'] -> ((11 * 23) + 11) / 11 mod 71
[198] ['11', '11', '11', '31'] -> (11 / 11) - (31 / 11) mod 71
[199] ['11', '11', '11', '64'] -> ((11 / 64) - 11) * 11 mod 71
[200] ['11', '11', '11', '66'] -> ((11 + 11) * 11) + 66 mod 71
[201] ['1', '1', '7', '65'] -> ((1 + 7) * 65) + 1 mod 71
[202] ['11', '11', '11', '70'] -> ((11 * 11) - 70) / 11 mod 71
[203] ['11', '11', '12', '22'] -> (11 * 22) + (11 / 12) mod 71
