[131] ['7', '14', '14', '14'] -> (7 - 14) / (14 + 14) mod 97
[132] ['7', '15', '30', '89'] -> ((30 - 15) / 7) - 89 mod 97
[133] ['7', '17', '66', '96'] -> (7 / (17 + 96)) + 66 mod 97
[134] ['7', '17', '73', '83'] -> 7 / (17 - (73 * 83)) mod 97
[135] ['7', '19', '58', '58'] -> ((58 - 19) * 58) - 7 mod 97
[136] ['1', '1', '22', '29'] -> ((1 + 1) / 22) - 29 mod 97
[137] ['7', '20', '20', '20'] -> (7 - (20 * 20)) / 20 mod 97
[138] ['7', '20', '46', '46'] -> (7 / 46) - (46 / 20) mod 97
[139] ['7', '20', '51', '51'] -> (51 / 20) - (7 / 51) mod 97
[140] ['7', '20', '70', '70'] -> 7 / ((20 * 70) - 70) mod 97
[141] ['7', '20', '77', '77'] -> (7 - (77 * 77)) / 20 mod 97
[142] ['7', '21', '90', '90'] -> 7 / (21 - (90 * 90)) mod 97
[143] ['7', '23', '23', '62'] -> ((23 * 62) - 23) * 7 mod 97
[144] ['7', '23', '60', '60'] -> (7 - (23 * 60)) / 60 mod 97
[145] ['7', '27', '27', '27'] -> ((27 / 27) - 27) / 7 mod 97
[146] ['7', '31', '31', '77'] -> 7 / (31 - (31 * 77)) mod 97
[147] ['1', '1', '22', '34'] -> (1 + 1) * (34 - 22) mod 97
[148] ['7', '31', '31', '96'] -> (7 - (96 / 31)) * 31 mod 97
[149] ['7', '32', '32', '89'] -> (32 - (32 * 7)) / 89 mod 97
[150] ['7', '33', '33', '89'] -> (33 - (89 / 33)) * 7 mod 97
[151] ['7', '33', '64', '89'] -> ((89 / 64) + 33) * 7 mod 97
[152] ['7', '36', '36', '36'] -> ((36 * 36) + 36) / 7 mod 97
[153] ['7', '39', '76', '90'] -> (39 - (90 / 76)) / 7 mod 97
[154] ['7', '43', '86', '86'] -> 86 - (43 / (7 + 86)) mod 97
[155] ['7', '47', '73', '73'] -> 47 / (7 - (73 / 73)) mod 97
[156] ['7', '53', '72', '72'] -> ((72 / 72) - 53) * 7 mod 97
[157] ['7', '59', '69', '69'] -> (59 * 7) - (69 / 69) mod 97
[158] ['1', '1', '22', '35'] -> 35 - (22 / (1 + 1)) mod 97
[159] ['7', '64', '64', '89'] -> ((89 / 64) - 64) * 7 mod 97
[160] ['7', '70', '75', '96'] -> ((75 - 96) / 7) - 70 mod 97
[161] ['7', '73', '80', '83'] -> (80 - (7 / 73)) / 83 mod 97
[162] ['7', '75', '75', '96'] -> (7 + 75) * (75 - 96) mod 97
[163] ['7', '76', '76', '76'] -> ((7 + 76) * 76) - 76 mod 97
