[1] ['2i', '4i', '8i'] -> (2i - 8i) * 4i
[233] ['(1+i)', '(5+i)', '6'] -> (5+i - 1+i) * 6
[234] ['(1+2i)', '3', '(6+6i)'] -> (3 - 1+2i) * 6+6i
[235] ['3i', '7i', '3'] -> 3 - (3i * 7i)
[236] ['(1+2i)', '3', '(9+2i)'] -> (9+2i - 1+2i) * 3
[237] ['(1+2i)', '4', '(7+2i)'] -> (7+2i - 1+2i) * 4
[238] ['(1+2i)', '(4+2i)', '8'] -> (4+2i - 1+2i) * 8
[239] ['(1+2i)', '(5+2i)', '6'] -> (5+2i - 1+2i) * 6
[240] ['(1+3i)', '(1+6i)', '(7+9i)'] -> 7+9i - (1+3i * 1+6i)
[241] ['(1+3i)', '3', '(9+3i)'] -> (9+3i - 1+3i) * 3
[242] ['(1+3i)', '(3+i)', '(6+6i)'] -> (3+i - 1+3i) * 6+6i
[243] ['(1+3i)', '(5+3i)', '6'] -> (5+3i - 1+3i) * 6
[244] ['(1+3i)', '4', '(4+4i)'] -> (4 - 1+3i) * 4+4i
[245] ['(1+3i)', '4', '(7+3i)'] -> (7+3i - 1+3i) * 4
[246] ['3i', '9i', '(3+8i)'] -> 9i - (3+8i * 3i)
[247] ['(1+3i)', '(4+3i)', '8'] -> (4+3i - 1+3i) * 8
[248] ['(1+4i)', '(1+4i)', '(9+8i)'] -> 9+8i - (1+4i * 1+4i)
[249] ['(1+4i)', '(1+5i)', '(5+9i)'] -> 5+9i - (1+4i * 1+5i)
[250] ['(1+4i)', '3', '(9+4i)'] -> (9+4i - 1+4i) * 3
[251] ['(1+4i)', '(3+2i)', '(6+6i)'] -> (3+2i - 1+4i) * 6+6i
[252] ['(1+4i)', '(3+3i)', '5'] -> (5 - 1+4i) * 3+3i
[253] ['(1+4i)', '4', '(7+4i)'] -> (7+4i - 1+4i) * 4
[254] ['(1+4i)', '(4+i)', '(4+4i)'] -> (4+i - 1+4i) * 4+4i
[255] ['(1+4i)', '(4+4i)', '8'] -> (4+4i - 1+4i) * 8
[256] ['(1+4i)', '(5+4i)', '6'] -> (5+4i - 1+4i) * 6
[257] ['3i', '1', '(1+8i)'] -> (1 - 1+8i) * 3i
[258] ['(1+5i)', '(3+3i)', '(5+i)'] -> (5+i - 1+5i) * 3+3i
[259] ['(1+5i)', '(3+3i)', '(6+6i)'] -> (3+3i - 1+5i) * 6+6i
[260] ['(1+5i)', '4', '(7+5i)'] -> (7+5i - 1+5i) * 4
[261] ['(1+5i)', '(4+2i)', '(4+4i)'] -> (4+2i - 1+5i) * 4+4i
[262] ['(1+5i)', '(4+5i)', '8'] -> (4+5i - 1+5i) * 8
[263] ['(1+5i)', '3', '(9+5i)'] -> (9+5i - 1+5i) * 3
[264] ['(1+5i)', '5', '(5+i)'] -> (5 * 5+i) - 1+5i
[265] ['(1+5i)', '(5+5i)', '6'] -> (5+5i - 1+5i) * 6
[266] ['(1+6i)', '3', '(9+6i)'] -> (9+6i - 1+6i) * 3
[267] ['(1+6i)', '(5+6i)', '6'] -> (5+6i - 1+6i) * 6
[268] ['3i', '(1+i)', '(1+9i)'] -> (1+i - 1+9i) * 3i
[269] ['(1+6i)', '(2+2i)', '7'] -> (7 - 1+6i) * 2+2i
[270] ['(1+6i)', '4', '(7+6i)'] -> (7+6i - 1+6i) * 4
[271] ['(1+6i)', '(4+3i)', '(4+4i)'] -> (4+3i - 1+6i) * 4+4i
[272] ['(1+6i)', '(4+6i)', '8'] -> (4+6i - 1+6i) * 8
[273] ['(1+7i)', '3', '(9+7i)'] -> (9+7i - 1+7i) * 3
[274] ['(1+7i)', '(3+3i)', '(5+3i)'] -> (5+3i - 1+7i) * 3+3i
[275] ['(1+7i)', '(3+5i)', '(6+6i)'] -> (3+5i - 1+7i) * 6+6i
[276] ['(1+6i)', '(3+3i)', '(5+2i)'] -> (5+2i - 1+6i) * 3+3i
[277] ['(1+6i)', '(3+4i)', '(6+6i)'] -> (3+4i - 1+6i) * 6+6i
[278] ['(1+7i)', '(2+2i)', '(7+i)'] -> (7+i - 1+7i) * 2+2i
[279] ['3i', '(1+5i)', '(9+3i)'] -> 9+3i - (1+5i * 3i)
[280] ['(1+7i)', '4', '(7+7i)'] -> (7+7i - 1+7i) * 4
[281] ['(1+7i)', '(4+4i)', '(4+4i)'] -> (4+4i - 1+7i) * 4+4i
[282] ['(1+7i)', '(4+7i)', '8'] -> (4+7i - 1+7i) * 8
[283] ['(1+7i)', '(5+7i)', '6'] -> (5+7i - 1+7i) * 6
[284] ['(1+8i)', '(3+3i)', '(5+4i)'] -> (5+4i - 1+8i) * 3+3i
[285] ['(1+8i)', '(3+6i)', '(6+6i)'] -> (3+6i - 1+8i) * 6+6i
[286] ['(1+8i)', '4', '(7+8i)'] -> (7+8i - 1+8i) * 4
[287] ['(1+8i)', '(5+8i)', '6'] -> (5+8i - 1+8i) * 6
[288] ['(1+8i)', '(4+4i)', '(4+5i)'] -> (4+5i - 1+8i) * 4+4i
[289] ['(1+8i)', '(4+8i)', '8'] -> (4+8i - 1+8i) * 8
[290] ['3i', '(1+6i)', '(6+3i)'] -> 6+3i - (1+6i * 3i)
[291] ['(1+9i)', '(2+2i)', '(7+3i)'] -> (7+3i - 1+9i) * 2+2i
[292] ['(1+8i)', '3', '(9+8i)'] -> (9+8i - 1+8i) * 3
[293] ['(1+8i)', '(2+2i)', '(7+2i)'] -> (7+2i - 1+8i) * 2+2i
[294] ['(1+9i)', '(3+7i)', '(6+6i)'] -> (3+7i - 1+9i) * 6+6i
[295] ['(1+9i)', '4', '(7+9i)'] -> (7+9i - 1+9i) * 4
[296] ['(1+9i)', '(4+4i)', '(4+6i)'] -> (4+6i - 1+9i) * 4+4i
[297] ['(1+9i)', '(5+9i)', '6'] -> (5+9i - 1+9i) * 6
[298] ['(1+9i)', '3', '(9+9i)'] -> (9+9i - 1+9i) * 3
[299] ['(1+9i)', '(3+3i)', '(5+5i)'] -> (5+5i - 1+9i) * 3+3i
[300] ['(1+9i)', '(4+9i)', '8'] -> (4+9i - 1+9i) * 8
[301] ['3i', '(1+7i)', '(3+3i)'] -> 3+3i - (1+7i * 3i)
[302] ['2', '3', '6'] -> (2 + 6) * 3
[303] ['2', '3', '9'] -> (3 + 9) * 2
[304] ['2', '6', '9'] -> (2 * 9) + 6
[305] ['2', '5', '7'] -> (5 + 7) * 2
[306] ['2', '5', '8'] -> (5 - 2) * 8
[307] ['2', '8', '8'] -> (2 * 8) + 8
[308] ['2', '4', '4'] -> (2 + 4) * 4
[309] ['(2+i)', '6', '(6+i)'] -> (6+i - 2+i) * 6
[310] ['(2+i)', '4', '(8+i)'] -> (8+i - 2+i) * 4
[311] ['(2+2i)', '(2+6i)', '8'] -> (8 - 2+6i) * 2+2i
[312] ['3i', '2', '(2+8i)'] -> (2 - 2+8i) * 3i
[313] ['(2+2i)', '(2+7i)', '(8+i)'] -> (8+i - 2+7i) * 2+2i
[314] ['(2+2i)', '(2+8i)', '(8+2i)'] -> (8+2i - 2+8i) * 2+2i
[315] ['(2+i)', '(5+i)', '8'] -> (5+i - 2+i) * 8
[316] ['(2+2i)', '(2+9i)', '(8+3i)'] -> (8+3i - 2+9i) * 2+2i
[317] ['(2+2i)', '(5+2i)', '8'] -> (5+2i - 2+2i) * 8
[318] ['(2+2i)', '(3+6i)', '9'] -> (9 - 3+6i) * 2+2i
[319] ['(2+2i)', '(3+7i)', '(9+i)'] -> (9+i - 3+7i) * 2+2i
[320] ['(2+2i)', '(3+8i)', '(9+2i)'] -> (9+2i - 3+8i) * 2+2i
[321] ['(2+2i)', '(3+9i)', '(9+3i)'] -> (9+3i - 3+9i) * 2+2i
[322] ['(2+2i)', '4', '(6+6i)'] -> (4 - 2+2i) * 6+6i
[323] ['3i', '(2+i)', '(2+9i)'] -> (2+i - 2+9i) * 3i
[324] ['(2+2i)', '4', '(8+2i)'] -> (8+2i - 2+2i) * 4
[325] ['(2+2i)', '6', '(6+2i)'] -> (6+2i - 2+2i) * 6
[326] ['(2+3i)', '4', '(8+3i)'] -> (8+3i - 2+3i) * 4
[327] ['(2+3i)', '(4+i)', '(6+6i)'] -> (4+i - 2+3i) * 6+6i
[328] ['(2+3i)', '(4+4i)', '5'] -> (5 - 2+3i) * 4+4i
[329] ['(2+3i)', '(5+3i)', '8'] -> (5+3i - 2+3i) * 8
[330] ['(2+3i)', '6', '(6+3i)'] -> (6+3i - 2+3i) * 6
[331] ['(2+4i)', '(3+3i)', '6'] -> (6 - 2+4i) * 3+3i
[332] ['(2+4i)', '4', '(8+4i)'] -> (8+4i - 2+4i) * 4
[333] ['(2+4i)', '(4+2i)', '(6+6i)'] -> (4+2i - 2+4i) * 6+6i
[334] ['i', '3i', '9i'] -> (i - 9i) * 3i
[335] ['3i', '(2+i)', '(6+6i)'] -> (2+i - 3i) * 6+6i
[336] ['(2+4i)', '(4+4i)', '(5+i)'] -> (5+i - 2+4i) * 4+4i
[337] ['(2+4i)', '6', '(6+4i)'] -> (6+4i - 2+4i) * 6
[338] ['(2+4i)', '(5+4i)', '8'] -> (5+4i - 2+4i) * 8
[339] ['(2+5i)', '(3+3i)', '(6+i)'] -> (6+i - 2+5i) * 3+3i
