[312] ['5', '37', '63'] -> 37 - (63 / 5) base 12
[313] ['2', 'A', '56'] -> (56 - A) / 2 base 12
[314] ['5', '37', '81'] -> (37 + 81) / 5 base 12
[315] ['5', '38', '68'] -> 38 - (68 / 5) base 12
[316] ['5', '38', '80'] -> (38 + 80) / 5 base 12
[317] ['5', '39', '71'] -> 39 - (71 / 5) base 12
[318] ['5', '39', '7B'] -> (39 + 7B) / 5 base 12
[319] ['5', '3A', '76'] -> 3A - (76 / 5) base 12
[320] ['5', '3A', '7A'] -> (3A + 7A) / 5 base 12
[321] ['5', '3B', '79'] -> (3B + 79) / 5 base 12
[322] ['5', '3B', '7B'] -> 3B - (7B / 5) base 12
[323] ['5', '40', '78'] -> (40 + 78) / 5 base 12
[324] ['2', 'A', '64'] -> (64 / 2) - A base 12
[325] ['5', '40', '84'] -> 40 - (84 / 5) base 12
[326] ['5', '41', '77'] -> (41 + 77) / 5 base 12
[327] ['5', '41', '89'] -> 41 - (89 / 5) base 12
[328] ['5', '42', '76'] -> (42 + 76) / 5 base 12
[329] ['5', '42', '92'] -> 42 - (92 / 5) base 12
[330] ['5', '43', '75'] -> (43 + 75) / 5 base 12
[331] ['5', '43', '97'] -> 43 - (97 / 5) base 12
[332] ['5', '44', '74'] -> (44 + 74) / 5 base 12
[333] ['5', '44', 'A0'] -> 44 - (A0 / 5) base 12
[334] ['5', '45', '73'] -> (45 + 73) / 5 base 12
[335] ['1', '3', '48'] -> 48 / (3 - 1) base 12
[336] ['2', 'B', '21'] -> (21 - B) * 2 base 12
[337] ['5', '45', 'A5'] -> 45 - (A5 / 5) base 12
[338] ['5', '46', '72'] -> (46 + 72) / 5 base 12
[339] ['5', '46', 'AA'] -> 46 - (AA / 5) base 12
[340] ['5', '47', '71'] -> (47 + 71) / 5 base 12
[341] ['5', '47', 'B3'] -> 47 - (B3 / 5) base 12
[342] ['5', '48', '70'] -> (48 + 70) / 5 base 12
[343] ['5', '48', 'B8'] -> 48 - (B8 / 5) base 12
[344] ['5', '49', '6B'] -> (49 + 6B) / 5 base 12
[345] ['5', '4A', '6A'] -> (4A + 6A) / 5 base 12
[346] ['5', '4B', '69'] -> (4B + 69) / 5 base 12
[347] ['2', 'B', '2A'] -> (2A / 2) + B base 12
[348] ['5', '50', '68'] -> (50 + 68) / 5 base 12
[349] ['5', '51', '67'] -> (51 + 67) / 5 base 12
[350] ['5', '52', '66'] -> (52 + 66) / 5 base 12
[351] ['5', '53', '65'] -> (53 + 65) / 5 base 12
[352] ['5', '54', '64'] -> (54 + 64) / 5 base 12
[353] ['5', '55', '63'] -> (55 + 63) / 5 base 12
[354] ['5', '56', '62'] -> (56 + 62) / 5 base 12
[355] ['5', '57', '61'] -> (57 + 61) / 5 base 12
[356] ['5', '58', '60'] -> (58 + 60) / 5 base 12
[357] ['5', '59', '5B'] -> (59 + 5B) / 5 base 12
[358] ['2', 'B', '39'] -> (39 + B) / 2 base 12
[359] ['5', '5A', '5A'] -> (5A + 5A) / 5 base 12
[360] ['6', '6', '8'] -> (6 * 6) - 8 base 12
[361] ['6', '6', '23'] -> (6 / 6) + 23 base 12
[362] ['6', '6', '25'] -> 25 - (6 / 6) base 12
[363] ['6', '6', '54'] -> 54 - (6 * 6) base 12
[364] ['6', '6', 'B0'] -> (B0 / 6) + 6 base 12
[365] ['6', '7', 'A'] -> (A - 6) * 7 base 12
[366] ['6', '7', '12'] -> (6 * 7) - 12 base 12
[367] ['6', '7', '5A'] -> 5A - (6 * 7) base 12
[368] ['6', '7', 'A6'] -> (A6 / 6) + 7 base 12
[369] ['2', 'B', '42'] -> 42 - (2 * B) base 12
[370] ['6', '8', '18'] -> (6 * 8) - 18 base 12
[371] ['6', '8', '48'] -> 48 / (8 - 6) base 12
[372] ['6', '8', '64'] -> 64 - (6 * 8) base 12
[373] ['6', '8', 'A0'] -> (A0 / 6) + 8 base 12
[374] ['6', '9', '22'] -> (6 * 9) - 22 base 12
[375] ['6', '9', '6A'] -> 6A - (6 * 9) base 12
[376] ['6', '9', '70'] -> 70 / (9 - 6) base 12
[377] ['6', '9', '96'] -> (96 / 6) + 9 base 12
[378] ['6', 'A', '74'] -> 74 - (6 * A) base 12
[379] ['6', 'A', '90'] -> (90 / 6) + A base 12
[380] ['2', 'B', '57'] -> (57 - B) / 2 base 12
[381] ['6', 'A', '94'] -> 94 / (A - 6) base 12
[382] ['6', 'B', '32'] -> (6 * B) - 32 base 12
[383] ['6', 'B', '7A'] -> 7A - (6 * B) base 12
[384] ['6', 'B', '86'] -> (86 / 6) + B base 12
[385] ['6', 'B', 'B8'] -> B8 / (B - 6) base 12
[386] ['6', '10', '22'] -> (10 / 6) + 22 base 12
[387] ['6', '10', '26'] -> 26 - (10 / 6) base 12
[388] ['6', '10', '38'] -> (10 * 6) - 38 base 12
[389] ['6', '10', '80'] -> (80 / 6) + 10 base 12
[390] ['6', '10', '84'] -> 84 - (10 * 6) base 12
[391] ['2', 'B', '66'] -> (66 / 2) - B base 12
[392] ['6', '11', '42'] -> (11 * 6) - 42 base 12
[393] ['6', '11', '76'] -> (76 / 6) + 11 base 12
[394] ['6', '11', '8A'] -> 8A - (11 * 6) base 12
[395] ['6', '12', '48'] -> (12 * 6) - 48 base 12
[396] ['6', '12', '70'] -> (70 / 6) + 12 base 12
[397] ['6', '12', '94'] -> 94 - (12 * 6) base 12
[398] ['6', '13', '52'] -> (13 * 6) - 52 base 12
[399] ['6', '13', '66'] -> (66 / 6) + 13 base 12
[400] ['6', '13', '9A'] -> 9A - (13 * 6) base 12
[401] ['6', '14', '58'] -> (14 * 6) - 58 base 12
[402] ['2', '10', '18'] -> (18 * 2) - 10 base 12
[403] ['6', '14', '60'] -> (60 / 6) + 14 base 12
[404] ['6', '14', 'A4'] -> A4 - (14 * 6) base 12
[405] ['6', '15', '56'] -> (56 / 6) + 15 base 12
[406] ['6', '15', '62'] -> (15 * 6) - 62 base 12
