[286] ['2', '2B', '35'] -> (2 * 2B) - 35 base 13
[287] ['2', '2B', '40'] -> 2 * (40 - 2B) base 13
[288] ['2', '2B', '76'] -> (76 - 2B) / 2 base 13
[289] ['2', '2B', '80'] -> 80 - (2 * 2B) base 13
[290] ['2', '2B', 'A4'] -> (A4 / 2) - 2B base 13
[291] ['2', '2C', '37'] -> (2 * 2C) - 37 base 13
[292] ['2', '2C', '3A'] -> 3A - (2C / 2) base 13
[293] ['2', '2C', '41'] -> 2 * (41 - 2C) base 13
[294] ['2', '2C', '77'] -> (77 - 2C) / 2 base 13
[295] ['2', '2C', '82'] -> 82 - (2 * 2C) base 13
[296] ['2', '2C', 'A6'] -> (A6 / 2) - 2C base 13
[297] ['2', '30', '39'] -> (2 * 30) - 39 base 13
[298] ['2', '30', '42'] -> 2 * (42 - 30) base 13
[299] ['2', '30', '78'] -> (78 - 30) / 2 base 13
[300] ['2', '30', '84'] -> 84 - (2 * 30) base 13
[301] ['2', '30', 'A8'] -> (A8 / 2) - 30 base 13
[302] ['2', '31', '43'] -> 2 * (43 - 31) base 13
[303] ['2', '31', '79'] -> (79 - 31) / 2 base 13
[304] ['2', '31', '86'] -> 86 - (2 * 31) base 13
[305] ['2', '31', 'AA'] -> (AA / 2) - 31 base 13
[306] ['2', '32', '40'] -> (2 * 32) - 40 base 13
[307] ['2', '32', '44'] -> 2 * (44 - 32) base 13
[308] ['2', '32', '7A'] -> (7A - 32) / 2 base 13
[309] ['2', '32', '88'] -> 88 - (2 * 32) base 13
[310] ['2', '32', 'AC'] -> (AC / 2) - 32 base 13
[311] ['2', '33', '3C'] -> 3C - (33 / 2) base 13
[312] ['2', '33', '42'] -> (2 * 33) - 42 base 13
[313] ['2', '33', '45'] -> 2 * (45 - 33) base 13
[314] ['2', '33', '7B'] -> (7B - 33) / 2 base 13
[315] ['2', '33', '8A'] -> 8A - (2 * 33) base 13
[316] ['2', '33', 'B1'] -> (B1 / 2) - 33 base 13
[317] ['2', '34', '44'] -> (2 * 34) - 44 base 13
[318] ['2', '34', '46'] -> 2 * (46 - 34) base 13
[319] ['2', '34', '7C'] -> (7C - 34) / 2 base 13
[320] ['2', '34', '8C'] -> 8C - (2 * 34) base 13
[321] ['2', '34', 'B3'] -> (B3 / 2) - 34 base 13
[322] ['2', '35', '40'] -> 40 - (35 / 2) base 13
[323] ['2', '35', '46'] -> (2 * 35) - 46 base 13
[324] ['2', '35', '47'] -> 2 * (47 - 35) base 13
[325] ['2', '35', '80'] -> (80 - 35) / 2 base 13
[326] ['2', '35', '91'] -> 91 - (2 * 35) base 13
[327] ['2', '35', 'B5'] -> (B5 / 2) - 35 base 13
[328] ['2', '36', '81'] -> (81 - 36) / 2 base 13
[329] ['2', '36', '93'] -> 93 - (2 * 36) base 13
[330] ['2', '36', 'B7'] -> (B7 / 2) - 36 base 13
[331] ['2', '37', '41'] -> 41 - (37 / 2) base 13
[332] ['2', '37', '49'] -> 2 * (49 - 37) base 13
