[1] ['1', '1', '12'] -> (1 + 1) * 12 base 5
[113] ['2', '11', '21'] -> (11 / 2) + 21 base 5
[114] ['2', '11', '23'] -> (23 - 11) * 2 base 5
[115] ['1', '2', '13'] -> (13 - 1) * 2 base 5
[116] ['2', '11', '31'] -> (31 / 2) + 11 base 5
[117] ['2', '11', '32'] -> 32 - (11 / 2) base 5
[118] ['2', '12', '41'] -> (12 + 41) / 2 base 5
[119] ['2', '13', '20'] -> (13 / 2) + 20 base 5
[120] ['2', '13', '21'] -> (2 * 21) - 13 base 5
[121] ['2', '13', '22'] -> (22 / 2) + 13 base 5
[122] ['2', '13', '30'] -> (30 - 13) * 2 base 5
[123] ['2', '13', '33'] -> 33 - (13 / 2) base 5
[124] ['2', '14', '20'] -> (20 / 2) + 14 base 5
[125] ['2', '14', '31'] -> (31 - 14) * 2 base 5
[126] ['1', '3', '10'] -> (10 * 3) - 1 base 5
[127] ['2', '14', '34'] -> (14 + 34) / 2 base 5
[128] ['2', '20', '22'] -> (2 * 22) - 20 base 5
[129] ['2', '20', '32'] -> (32 - 20) * 2 base 5
[130] ['2', '20', '33'] -> (20 + 33) / 2 base 5
[131] ['2', '20', '34'] -> 34 - (20 / 2) base 5
[132] ['2', '21', '32'] -> (21 + 32) / 2 base 5
[133] ['2', '21', '33'] -> (33 - 21) * 2 base 5
[134] ['2', '22', '23'] -> (2 * 23) - 22 base 5
[135] ['2', '22', '31'] -> (22 + 31) / 2 base 5
[136] ['2', '22', '34'] -> (34 - 22) * 2 base 5
[137] ['1', '3', '12'] -> (3 - 1) * 12 base 5
[138] ['2', '22', '40'] -> 40 - (22 / 2) base 5
[139] ['2', '23', '30'] -> (23 + 30) / 2 base 5
[140] ['2', '23', '40'] -> (40 - 23) * 2 base 5
[141] ['2', '30', '31'] -> (2 * 30) - 31 base 5
[142] ['2', '30', '42'] -> (42 - 30) * 2 base 5
[143] ['2', '31', '33'] -> (2 * 31) - 33 base 5
[144] ['2', '31', '42'] -> 42 - (31 / 2) base 5
[145] ['2', '31', '43'] -> (43 - 31) * 2 base 5
[146] ['2', '32', '40'] -> (2 * 32) - 40 base 5
[147] ['2', '32', '44'] -> (44 - 32) * 2 base 5
[148] ['2', '2', '10'] -> (10 + 2) * 2 base 5
[149] ['2', '33', '42'] -> (2 * 33) - 42 base 5
[150] ['2', '33', '43'] -> 43 - (33 / 2) base 5
[151] ['2', '34', '44'] -> (2 * 34) - 44 base 5
[152] ['2', '40', '44'] -> 44 - (40 / 2) base 5
[153] ['3', '3', '10'] -> (3 * 3) + 10 base 5
[154] ['3', '3', '23'] -> (3 / 3) + 23 base 5
[155] ['3', '3', '30'] -> 30 - (3 / 3) base 5
[156] ['3', '3', '43'] -> 43 - (3 * 3) base 5
[157] ['3', '4', '11'] -> (11 * 3) - 4 base 5
[158] ['3', '10', '12'] -> (10 - 3) * 12 base 5
[159] ['2', '2', '11'] -> (11 * 2) + 2 base 5
[160] ['3', '11', '22'] -> (11 / 3) + 22 base 5
[161] ['3', '11', '31'] -> 31 - (11 / 3) base 5
[162] ['3', '11', '44'] -> (44 / 3) + 11 base 5
[163] ['3', '12', '12'] -> (12 * 3) - 12 base 5
[164] ['3', '12', '41'] -> (41 / 3) + 12 base 5
[165] ['3', '13', '20'] -> (13 * 3) - 20 base 5
[166] ['3', '13', '33'] -> (33 / 3) + 13 base 5
[167] ['3', '14', '21'] -> (14 / 3) + 21 base 5
[168] ['3', '14', '23'] -> (14 * 3) - 23 base 5
[169] ['3', '14', '30'] -> (30 / 3) + 14 base 5
[170] ['2', '2', '13'] -> (13 * 2) - 2 base 5
[171] ['3', '14', '32'] -> 32 - (14 / 3) base 5
[172] ['3', '20', '22'] -> (22 / 3) + 20 base 5
[173] ['3', '20', '31'] -> (20 * 3) - 31 base 5
[174] ['3', '21', '34'] -> (21 * 3) - 34 base 5
[175] ['3', '22', '33'] -> 33 - (22 / 3) base 5
[176] ['3', '22', '42'] -> (22 * 3) - 42 base 5
[177] ['3', '30', '34'] -> 34 - (30 / 3) base 5
[178] ['3', '33', '40'] -> 40 - (33 / 3) base 5
[179] ['3', '33', '44'] -> (33 + 44) / 3 base 5
[180] ['3', '34', '43'] -> (34 + 43) / 3 base 5
[181] ['2', '2', '14'] -> (14 - 2) * 2 base 5
[182] ['3', '40', '42'] -> (40 + 42) / 3 base 5
[183] ['3', '42', '44'] -> 42 - (44 / 3) base 5
[184] ['4', '4', '23'] -> (4 / 4) + 23 base 5
[185] ['4', '4', '30'] -> 30 - (4 / 4) base 5
[186] ['4', '10', '11'] -> (10 * 4) - 11 base 5
[187] ['4', '11', '12'] -> (11 - 4) * 12 base 5
[188] ['4', '11', '20'] -> (11 * 4) - 20 base 5
[189] ['4', '12', '24'] -> (12 * 4) - 24 base 5
[190] ['4', '13', '22'] -> (13 / 4) + 22 base 5
[191] ['4', '13', '31'] -> 31 - (13 / 4) base 5
