[185] ['2', '2', '30'] -> 2 - (30 / 2) mod 37
[186] ['2', '2', '32'] -> 2 / (2 + 32) mod 37
[187] ['2', '2', '36'] -> 2 / (36 - 2) mod 37
[188] ['2', '3', '10'] -> 3 * (10 - 2) mod 37
[189] ['2', '3', '20'] -> (2 - 3) / 20 mod 37
[190] ['2', '3', '21'] -> (3 * 21) - 2 mod 37
[191] ['2', '3', '26'] -> (2 / 3) - 26 mod 37
[192] ['2', '3', '27'] -> 27 * (2 + 3) mod 37
[193] ['2', '4', '4'] -> 4 * (2 + 4) mod 37
[194] ['2', '4', '5'] -> 5 + (2 / 4) mod 37
[195] ['2', '4', '6'] -> 6 - (2 / 4) mod 37
[196] ['2', '4', '10'] -> 4 + (2 * 10) mod 37
[197] ['2', '4', '13'] -> 2 - (4 * 13) mod 37
[198] ['2', '4', '21'] -> (2 * 4) - 21 mod 37
[199] ['2', '4', '23'] -> 2 - (23 / 4) mod 37
[200] ['2', '4', '28'] -> (2 + 4) / 28 mod 37
[201] ['2', '5', '11'] -> (11 - 2) / 5 mod 37
[202] ['2', '5', '19'] -> (19 / 5) - 2 mod 37
[203] ['2', '5', '35'] -> 35 / (5 - 2) mod 37
[204] ['2', '6', '11'] -> 6 / (2 - 11) mod 37
[205] ['2', '6', '22'] -> 22 / (6 - 2) mod 37
[206] ['2', '6', '26'] -> 6 / (2 + 26) mod 37
[207] ['2', '6', '27'] -> 27 - (6 / 2) mod 37
[208] ['2', '6', '33'] -> 6 + (2 / 33) mod 37
[209] ['2', '7', '32'] -> 2 * (7 - 32) mod 37
[210] ['2', '8', '8'] -> 8 + (2 * 8) mod 37
[211] ['2', '8', '11'] -> 2 / (8 - 11) mod 37
[212] ['2', '8', '12'] -> 2 + (8 * 12) mod 37
[213] ['2', '8', '15'] -> 15 - (2 / 8) mod 37
[214] ['2', '8', '16'] -> (2 * 16) - 8 mod 37
[215] ['2', '8', '17'] -> (8 / 2) - 17 mod 37
[216] ['2', '8', '25'] -> 2 - (8 * 25) mod 37
[217] ['2', '8', '26'] -> 2 / (8 + 26) mod 37
[218] ['2', '8', '36'] -> 8 * (2 - 36) mod 37
[219] ['2', '9', '11'] -> 9 - (2 * 11) mod 37
[220] ['2', '9', '18'] -> (2 / 18) - 9 mod 37
[221] ['2', '9', '19'] -> 19 * (2 + 9) mod 37
[222] ['2', '9', '27'] -> 9 - (2 / 27) mod 37
[223] ['2', '9', '32'] -> 32 + (2 / 9) mod 37
[224] ['2', '9', '33'] -> (33 - 2) / 9 mod 37
[225] ['2', '9', '36'] -> (9 / 2) - 36 mod 37
[226] ['2', '10', '10'] -> (10 * 10) - 2 mod 37
[227] ['2', '10', '18'] -> (10 / 2) - 18 mod 37
[228] ['2', '10', '22'] -> 2 * (22 - 10) mod 37
[229] ['2', '10', '26'] -> (10 / 26) - 2 mod 37
[230] ['2', '10', '31'] -> (31 / 2) - 10 mod 37
[231] ['2', '11', '12'] -> 11 - (2 * 12) mod 37
[232] ['2', '11', '14'] -> 2 / (11 - 14) mod 37
[233] ['2', '11', '16'] -> 16 / (2 + 11) mod 37
[234] ['2', '11', '18'] -> 2 - (11 / 18) mod 37
[235] ['2', '11', '19'] -> 2 + (11 / 19) mod 37
[236] ['2', '11', '25'] -> 11 + (2 * 25) mod 37
[237] ['2', '11', '27'] -> (27 / 11) - 2 mod 37
[238] ['2', '11', '31'] -> 31 / (11 - 2) mod 37
[239] ['2', '11', '32'] -> (2 - 11) / 32 mod 37
[240] ['2', '12', '13'] -> 12 - (13 / 2) mod 37
[241] ['2', '12', '17'] -> 12 / (2 + 17) mod 37
[242] ['2', '12', '20'] -> 12 / (2 - 20) mod 37
[243] ['2', '12', '29'] -> 2 - (12 * 29) mod 37
[244] ['2', '12', '36'] -> (12 + 36) / 2 mod 37
[245] ['2', '13', '15'] -> 13 - (15 / 2) mod 37
[246] ['2', '13', '17'] -> 13 + (2 / 17) mod 37
[247] ['2', '13', '20'] -> 13 - (2 / 20) mod 37
[248] ['2', '13', '22'] -> 13 + (22 / 2) mod 37
[249] ['2', '13', '23'] -> (2 - 23) / 13 mod 37
