[152] ['3', '3', '17'] -> (17 - 3) / 3 mod 29
[153] ['3', '3', '21'] -> 3 / (3 - 21) mod 29
[154] ['3', '3', '28'] -> 28 / (3 + 3) mod 29
[155] ['3', '4', '8'] -> 4 / (8 - 3) mod 29
[156] ['3', '4', '9'] -> 4 * (9 - 3) mod 29
[157] ['3', '4', '20'] -> 20 * (3 + 4) mod 29
[158] ['3', '4', '22'] -> 3 / (4 - 22) mod 29
[159] ['3', '6', '6'] -> 6 + (3 * 6) mod 29
[160] ['3', '6', '9'] -> 9 + (3 / 6) mod 29
[161] ['3', '6', '28'] -> 6 * (3 - 28) mod 29
[162] ['3', '7', '10'] -> 3 + (7 / 10) mod 29
[163] ['3', '7', '13'] -> 7 / (3 + 13) mod 29
[164] ['3', '7', '18'] -> 3 / (18 - 7) mod 29
[165] ['3', '7', '21'] -> (21 - 7) / 3 mod 29
[166] ['3', '7', '24'] -> (3 - 7) / 24 mod 29
[167] ['3', '8', '17'] -> 17 - (8 / 3) mod 29
[168] ['3', '8', '18'] -> 18 * (3 + 8) mod 29
[169] ['3', '8', '20'] -> 20 + (3 / 8) mod 29
[170] ['3', '8', '26'] -> 3 / (8 - 26) mod 29
[171] ['3', '9', '13'] -> 9 - (13 / 3) mod 29
[172] ['3', '9', '20'] -> 3 / (20 - 9) mod 29
[173] ['3', '9', '21'] -> 21 + (9 / 3) mod 29
[174] ['3', '9', '26'] -> 26 + (3 * 9) mod 29
[175] ['3', '10', '14'] -> (3 / 10) - 14 mod 29
[176] ['3', '10', '20'] -> 20 * (10 - 3) mod 29
[177] ['3', '10', '28'] -> 3 / (10 - 28) mod 29
[178] ['3', '11', '11'] -> 11 / (3 - 11) mod 29
[179] ['3', '11', '17'] -> 17 / (3 + 11) mod 29
[180] ['3', '11', '20'] -> 20 + (3 * 11) mod 29
[181] ['3', '11', '21'] -> 11 * (21 - 3) mod 29
[182] ['3', '11', '22'] -> 3 / (22 - 11) mod 29
[183] ['3', '11', '23'] -> 3 + (11 * 23) mod 29
[184] ['3', '11', '27'] -> 11 + (3 / 27) mod 29
[185] ['3', '12', '18'] -> 12 / (18 - 3) mod 29
[186] ['3', '12', '19'] -> 19 * (3 + 12) mod 29
[187] ['3', '12', '21'] -> (21 / 3) - 12 mod 29
[188] ['3', '13', '20'] -> (3 + 13) / 20 mod 29
[189] ['3', '13', '26'] -> 26 + (3 / 13) mod 29
[190] ['3', '13', '28'] -> (13 - 28) / 3 mod 29
[191] ['3', '14', '14'] -> (3 + 14) / 14 mod 29
[192] ['3', '14', '15'] -> (3 - 15) / 14 mod 29
[193] ['3', '14', '19'] -> 19 - (14 / 3) mod 29
[194] ['3', '14', '21'] -> (14 - 3) / 21 mod 29
[195] ['3', '15', '15'] -> (15 - 3) / 15 mod 29
[196] ['3', '15', '18'] -> 18 + (3 / 15) mod 29
[197] ['3', '15', '21'] -> (3 * 15) - 21 mod 29
[198] ['3', '16', '16'] -> 16 * (3 - 16) mod 29
[199] ['3', '17', '18'] -> 17 / (3 - 18) mod 29
[200] ['3', '17', '21'] -> 17 + (21 / 3) mod 29
[201] ['3', '17', '22'] -> (3 / 22) - 17 mod 29
[202] ['3', '17', '27'] -> (3 * 17) - 27 mod 29
[203] ['3', '18', '18'] -> 18 + (18 / 3) mod 29
[204] ['3', '18', '21'] -> 18 * (3 - 21) mod 29
[205] ['3', '18', '25'] -> (18 + 25) / 3 mod 29
[206] ['3', '19', '28'] -> 19 / (3 + 28) mod 29
[207] ['3', '20', '20'] -> 3 / (20 + 20) mod 29
[208] ['3', '20', '23'] -> (20 + 23) / 3 mod 29
[209] ['3', '20', '24'] -> (3 / 20) - 24 mod 29
[210] ['3', '21', '21'] -> (3 - 21) / 21 mod 29
[211] ['3', '21', '25'] -> 25 / (3 + 21) mod 29
[212] ['3', '21', '26'] -> 26 / (21 - 3) mod 29
[213] ['3', '22', '22'] -> (22 / 3) - 22 mod 29
[214] ['3', '22', '25'] -> (3 * 25) - 22 mod 29
[215] ['3', '23', '28'] -> 23 * (28 - 3) mod 29
[216] ['4', '4', '8'] -> 8 + (4 * 4) mod 29
[217] ['4', '4', '9'] -> 4 / (9 - 4) mod 29
[218] ['4', '4', '11'] -> 11 - (4 * 4) mod 29
[219] ['4', '4', '18'] -> 18 / (4 + 4) mod 29
[220] ['4', '4', '21'] -> (4 * 4) - 21 mod 29
[221] ['4', '4', '22'] -> 4 + (22 / 4) mod 29
[222] ['4', '4', '27'] -> 4 * (4 - 27) mod 29
[223] ['4', '4', '28'] -> 4 / (4 - 28) mod 29
[224] ['4', '5', '8'] -> (8 - 4) / 5 mod 29
[225] ['4', '5', '10'] -> 4 / (10 - 5) mod 29
[226] ['4', '5', '19'] -> 19 - (4 / 5) mod 29
[227] ['4', '6', '9'] -> 4 + (6 / 9) mod 29
[228] ['4', '6', '13'] -> 4 + (6 * 13) mod 29
[229] ['4', '6', '18'] -> 6 / (4 + 18) mod 29
[230] ['4', '6', '21'] -> (6 / 4) - 21 mod 29
[231] ['4', '6', '27'] -> (4 + 6) / 27 mod 29
[232] ['4', '6', '28'] -> 4 / (6 + 28) mod 29
[233] ['4', '7', '7'] -> 4 + (7 * 7) mod 29
[234] ['4', '7', '17'] -> 7 / (4 - 17) mod 29
[235] ['4', '7', '20'] -> 7 / (20 - 4) mod 29
[236] ['4', '7', '23'] -> 23 - (4 * 7) mod 29
[237] ['4', '7', '26'] -> 7 + (4 * 26) mod 29
[238] ['4', '7', '28'] -> 4 * (7 + 28) mod 29
[239] ['4', '8', '10'] -> 10 - (4 / 8) mod 29
[240] ['4', '8', '13'] -> 4 / (13 - 8) mod 29
[241] ['4', '8', '18'] -> (8 * 18) - 4 mod 29
[242] ['4', '8', '24'] -> (4 - 8) / 24 mod 29
[243] ['4', '8', '25'] -> 8 - (4 * 25) mod 29
[244] ['4', '9', '9'] -> (4 + 9) / 9 mod 29
[245] ['4', '9', '12'] -> (4 * 9) - 12 mod 29
[246] ['4', '9', '13'] -> 13 * (4 + 9) mod 29
[247] ['4', '9', '14'] -> 4 / (14 - 9) mod 29
[248] ['4', '9', '15'] -> 4 * (15 - 9) mod 29
[249] ['4', '9', '21'] -> 9 - (4 / 21) mod 29
[250] ['4', '9', '22'] -> 22 / (4 + 9) mod 29
[251] ['4', '9', '27'] -> 9 - (27 / 4) mod 29
[252] ['4', '10', '13'] -> 13 + (4 * 10) mod 29
[253] ['4', '10', '20'] -> (20 / 4) - 10 mod 29
[254] ['4', '11', '13'] -> (4 - 11) / 13 mod 29
[255] ['4', '11', '28'] -> (4 + 28) / 11 mod 29
[256] ['4', '12', '12'] -> (12 * 12) - 4 mod 29
[257] ['4', '12', '20'] -> (4 + 12) / 20 mod 29
[258] ['4', '12', '22'] -> 4 / (12 + 22) mod 29
[259] ['4', '12', '24'] -> (4 * 12) - 24 mod 29
[260] ['4', '12', '28'] -> (28 / 4) - 12 mod 29
[261] ['4', '13', '13'] -> 13 / (13 - 4) mod 29
[262] ['4', '13', '21'] -> 4 / (13 + 21) mod 29
[263] ['4', '13', '27'] -> 27 * (4 + 13) mod 29
[264] ['4', '14', '22'] -> 22 - (4 * 14) mod 29
[265] ['4', '14', '27'] -> (14 - 4) / 27 mod 29
[266] ['4', '14', '28'] -> 14 / (4 + 28) mod 29
[267] ['4', '15', '15'] -> 15 * (4 + 15) mod 29
[268] ['4', '15', '27'] -> (15 * 27) - 4 mod 29
[269] ['4', '16', '16'] -> 16 / (4 + 16) mod 29
[270] ['4', '16', '19'] -> 4 * (16 + 19) mod 29
[271] ['4', '16', '21'] -> 4 / (21 - 16) mod 29
[272] ['4', '16', '23'] -> 4 + (16 * 23) mod 29
[273] ['4', '17', '24'] -> (4 / 17) - 24 mod 29
[274] ['4', '17', '28'] -> 17 + (28 / 4) mod 29
[275] ['4', '18', '26'] -> (4 - 18) / 26 mod 29
[276] ['4', '19', '21'] -> (4 / 21) - 19 mod 29
[277] ['4', '19', '22'] -> (4 / 19) - 22 mod 29
[278] ['4', '20', '20'] -> (20 - 4) / 20 mod 29
[279] ['4', '20', '23'] -> 4 + (23 / 20) mod 29
[280] ['4', '20', '27'] -> (4 * 20) - 27 mod 29
[281] ['4', '21', '24'] -> (4 + 21) / 24 mod 29
[282] ['4', '22', '22'] -> 4 + (22 * 22) mod 29
[283] ['4', '22', '28'] -> 4 * (28 - 22) mod 29
[284] ['4', '23', '27'] -> (4 - 23) / 27 mod 29
[285] ['4', '25', '27'] -> 25 * (27 - 4) mod 29
[286] ['4', '25', '28'] -> 25 / (28 - 4) mod 29
[287] ['5', '5', '9'] -> (9 - 5) / 5 mod 29
[288] ['5', '5', '21'] -> 5 - (21 / 5) mod 29
[289] ['5', '5', '25'] -> 25 - (5 / 5) mod 29
[290] ['5', '6', '9'] -> 6 * (9 - 5) mod 29
[291] ['5', '6', '10'] -> (10 - 6) / 5 mod 29
[292] ['5', '6', '26'] -> 6 - (26 / 5) mod 29
[293] ['5', '7', '19'] -> 19 / (7 - 5) mod 29
[294] ['5', '7', '25'] -> 7 * (25 - 5) mod 29
[295] ['5', '8', '12'] -> (12 - 8) / 5 mod 29
[296] ['5', '8', '25'] -> (8 + 25) / 5 mod 29
[297] ['5', '9', '11'] -> 11 - (5 * 9) mod 29
[298] ['5', '9', '13'] -> (13 - 9) / 5 mod 29
[299] ['5', '9', '14'] -> 5 - (9 * 14) mod 29
[300] ['5', '9', '15'] -> 5 + (9 * 15) mod 29
[301] ['5', '9', '18'] -> (18 - 5) / 9 mod 29
[302] ['5', '10', '14'] -> (14 - 10) / 5 mod 29
[303] ['5', '10', '23'] -> (10 + 23) / 5 mod 29
[304] ['5', '11', '26'] -> 11 / (26 - 5) mod 29
[305] ['5', '12', '15'] -> 12 - (5 * 15) mod 29
[306] ['5', '12', '21'] -> (12 + 21) / 5 mod 29
[307] ['5', '12', '23'] -> 23 / (12 - 5) mod 29
[308] ['5', '13', '27'] -> (27 - 5) / 13 mod 29
[309] ['5', '14', '19'] -> (14 + 19) / 5 mod 29
[310] ['5', '14', '20'] -> 5 + (14 * 20) mod 29
[311] ['5', '15', '17'] -> (17 - 5) / 15 mod 29
[312] ['5', '15', '18'] -> (15 + 18) / 5 mod 29
[313] ['5', '15', '19'] -> (19 - 15) / 5 mod 29
[314] ['5', '15', '20'] -> 5 - (15 * 20) mod 29
[315] ['5', '16', '20'] -> (20 - 16) / 5 mod 29
[316] ['5', '16', '25'] -> 16 / (25 - 5) mod 29
[317] ['5', '17', '21'] -> (21 - 17) / 5 mod 29
[318] ['5', '17', '23'] -> 17 - (23 / 5) mod 29
[319] ['5', '18', '27'] -> 27 - (5 * 18) mod 29
[320] ['5', '19', '22'] -> 22 - (19 / 5) mod 29
[321] ['5', '19', '23'] -> (23 - 19) / 5 mod 29
[322] ['5', '21', '25'] -> (25 - 21) / 5 mod 29
[323] ['5', '23', '26'] -> 26 / (23 - 5) mod 29
[324] ['5', '23', '28'] -> 28 - (5 / 23) mod 29
[325] ['5', '26', '28'] -> 5 - (28 / 26) mod 29
[326] ['6', '6', '6'] -> (6 / 6) - 6 mod 29
[327] ['6', '6', '8'] -> 6 - (8 / 6) mod 29
[328] ['6', '6', '13'] -> 6 / (6 - 13) mod 29
[329] ['6', '6', '15'] -> (6 + 6) / 15 mod 29
[330] ['6', '6', '19'] -> 6 - (6 / 19) mod 29
[331] ['6', '6', '21'] -> 6 + (21 / 6) mod 29
[332] ['6', '6', '22'] -> (6 + 22) / 6 mod 29
[333] ['6', '6', '25'] -> 25 - (6 / 6) mod 29
[334] ['6', '6', '26'] -> 6 - (6 * 26) mod 29
[335] ['6', '6', '28'] -> 6 / (28 - 6) mod 29
[336] ['6', '7', '7'] -> (7 / 7) - 6 mod 29
[337] ['6', '7', '17'] -> (6 + 17) / 7 mod 29
[338] ['6', '7', '21'] -> (7 + 21) / 6 mod 29
